welcome home,"Now the door, I left. I know with all but words that made me choke. It says, I know, you feel alone. You're scared to death, I'm letting go. Sometimes you have to lose it all. To find yourself across the world. For no one else safe for you. But one more word before I go. I'm scared to death, you're scared to die alone. I'm out the door to chase. What I've been searching for, the spaces. In between us grow, you'll never know. I'm scared to death of letting go. So take [?] upon my heart. Need a break it from [?] mistake. Until I find my way back. Only find my way back. And bring me home. I'm not ready to believe. Everyone meets for this collision. And it's just not what I need. So bring me home, if make it back. Home, if make it back. Maybe you can be the reason. And fix this part of me. Cause it's just not what I need. (Can you fix this part of me?). It's not a living if I'm not living with you. It's not a living if I'm not living with you. It's not a living if I'm not living with you. It's not a living if I'm not living with you. And bring me home. I'm not ready to believe. Everyone meets for this collision. And it's just not what I need. So bring me home, if make it back. Home, if make it back. Maybe you can be the reason. And fix this part of me. Cause it's just not what I need. So bring me home"
hollow bodies,"Black souls, empty bodies! you had me fooled. Straight from the start! we pray for an answer. We have to fight or be hollow just like them!. Walking lifeless, have we been left for the dead?. Black souls, empty bodies!. We have to fight or be hollow just like them!. They're coming for us now (whoa). So don't make a sound (whoa). Is there anybody left to see the sun?. Is there anybody left to cure the dead?. Unaware and unawake! unaware and unawake!. Every city is burning, we're all wasting away!. Nothing will end this, nothing to prove!. There's nowhere to run, all hell is breaking loose!. They're coming for us now (whoa). So don't make a sound (whoa). Is there anybody left to see the sun?. Is there anybody left to cure the dead?. Unaware and unawake! unaware and unawake!. Something tells me we could be here for a while. And all I know is if you can't run learn to die!. And now I wonder if we'll make it through the night. All I know is if you can't run learn to die!. With the setting sun put the gun in my hand!. Pull the trigger don't fail me now!. With the setting sun put the gun in my hand!. Don't fail me now!. It's starting again. we're going hollow! we're going hollow!. Something tells me we could be here for a while. And all I know is if you can't run learn to die!. And now I wonder if we'll make it through the night. All I know is if you can't run learn to die!. Whoa, whoa! don't fail me now!. Whoa, whoa! don't fail me now!"
open water,"Love like a storm, like and ocean, endless. Love like a fire, like the world is burning. Should've know better. But you see through all lines and then. Prove I'm not like all of them. Should've know better. Should've know better. If your love is just a dream, don't wake me up. It's hard enough to face to world alone. You are the one I waited for, I knew it all along. You are the one I'm fighting for, I knew it all along. Love like a dream, like you're never waking. Love like your last, like the sky is falling. Should've know better. But you see through all lines and then. Prove I'm not like all of them. Should've know better. Should've know better. You are the one I waited for, I knew it all along. You are the one I'm fighting for, I knew it all along. Sing me something that'll bring me to my knees. That'll put my mind at ease. Please tell me anything. We can build this like a dream. Let's make believe just you and me. If your love is like a dream, don't wake me up. It's hard enough to face the world alone. If this love is just a dream, don't wake me up. It's hard enough to face the world alone. If your heart stops beating God rest my soul. Dig this grave for two, can't live without you. It's hard enough to face this world alone. You are the one I waited for, I knew it all along"
sakura blues,"It starts inside my head. Let it course into my bones. I breathe recycled air just to feel like I'm not alone. So does it kill you now?. Call it insincere. You took the worst way out. And I'm still here. It's too late. It's too late. The ground's breaking under me. I can't breathe. I'm underneath. So go ahead and wish me hell cause. You're the one who dragged me there, yeah. It's too late to save today. I took the right one at the wrong time. It's like a dry scrape that you know can never heal. So give me something I can feel, to feel. So let it kill me now. I took the worst way out. It's too late. It's too late. The ground's breaking under me. I can't breathe. I'm underneath. So go ahead and wish me hell cause. You're the one who dragged me there, yeah. It's too late to save today. And I still feel her in my bones. Feel her in my bones. I'm not alone. It's too late. It's too late. The ground's breaking under me. I can't breathe. I'm underneath. So go ahead and wish me hell cause. You're the one who dragged me there, yeah. It's too late to save today"
youngbloods,"If you can't find a dedication. This life could swallow you whole!. If you can't find anything to believe in. Why are you still here?. I am far from perfect, I am so full of sin. Everyday you have the chance to take it. Our time is now. you're just a bitch! and it was all a lie. No one ever gave me anything, what I have I earned. end. I'll take this to my grave. every time I turn around. I see another face trying to take me to the grave. What's there to fear! womehow I'll carry on. (we'll all be dead in the end! we'll all be dead in the end!). I know you hear me, for now I'll carry on. We'll all be dead in the end!. Watch as we rise, here until our time is over!. We'll all be dead in the end! we'll all be dead in the end!. Watch as we rise, here until our time is over!. We'll all be dead in the end! we'll all be dead in the end!. The words you said, it was all a lie. Your reign is ending! iou never know. When the time approaches! your reign is ending!. I've got the world on my back. There's no way I'm ever giving up!. Your reign is ending! iou never know. When the time approaches! your reign is ending!. I've got the world on my back. There's no way I'm ever giving this up!. You will not be a part of this! yon't kid yourself. There's no room for you here! you will not be a part of this!. You're just a fucking disgrace"
rise up,"Keep your eye focused this time, keep us in front of. your sights,. I've waited long for this, now it's our time for. bliss, I just hope we have the time.. I stand broken, please god hear my cries, he does. everytime.. How many times have you watched me fall just to smile,. I've been through thick and thin we've struggled. through now we smile,. so we're here now just be ready, brace yourself cause. were not leaving.. Keep your eye focused this time, keep us in front of. your sights,. I've waited long for this, our time to shine, I just. hope we have the time.. I stand broken, please god hear my cries, he does. everytime.. Help us get out, help us get out, out into the open,. Help us grow, Rise up rise up.. I stand broken, please god hear my cries, he does. everytime.. Keep your eye focused this time, keep us in front of. your sights,. I've waited long for this, now it's our time for. bliss, I just hope we have the time.. I stand broken, please god hear my cries, he does. everytime"
feeling low,"Here's a shot in the dark. A chance I shouldn't take. If I dive in again don't let me sink. You could be the remedy. Only one dose and I'm out of sight. I could be the drug trapped in your mind. Before you go. Tell me I'm worth dying for. All the things you were promising. Give it up, put it all on me. Lose your grip and now it's out of reach. Don't believe in what you cannot see. All the things you will never know. It keeps me, keeps me feeling low. Is this all that we are. A stitch that pulled apart. You told me I was your beat mistake. That you were taking the grave. And I don't know where to start. So tell me. Are we taking this way to far. Please tell me. I'm not a shot in the dark. Is there something you want. Is there something you need from me"
don't say goodbye,"Do you remember when you lost hope. And faith in this world?. When will it change?. Don't say goodbye cause I know you can try to. Open your eyes it's all inside. You will wake from this nightmare. I know you'll find a better way. Now it seems like you’re bleeding just to feel alive. Your arms always tell the story. And it looks like you're living just to pass the time. Digging deeper are you trying to find. Find the strength to carry on there is salvation. Keep holding on, keep holding. You've gone too far even though I know you're dying to let go. You've gone too far, you've given up. Now you have to tell yourself ""where did you go wrong?"". And stop yourself from falling down. I can see you running, so far away. Don't you give up, don't give up"
"hey baby, here's that song you wanted","I watched the sun again, it's easy now. I've spent all night long tyring to figure out. What I've lost and what I've failed. When my feet won't hit the ground. Trying to make it, starting over. And will we ever love again?. Hey baby, are you alone tonight?. How can we make it?. Hey baby, looks like you were wrong. It's never too late, too late. So here we are again, to make some sense of it all. All these sudden changes, maybe things are not so. different. Rearrange the pieces, like it's all we know. It's all we know, let it go. Hey baby, are you alone tonight?. How can we make it?. Hey baby, looks like you were wrong. It's never too late, too late. I can't put it together, what we've lost. The pieces keep falling one by one. Cos this life has us holding on. Fall tomorrow then it's done. Fall tomorrow then I call. Hey baby, it looks like you were wrong. How can we make it?. Hey baby, are you alone tonight?. How can we make it?. Hey baby, looks like you were wrong. It's never too late, too late. (Take it all, leave the past behind). There's no one else tonight. Tonight"
find yourself,"Too bad, for you. I'm a walking open wound. Too close, too soon. Another sad excuse. Go on and take my mind. No matter what you find. I'll keep you under my skin. I've never let this go, before I lose it all. Tell me how could you. Could you love what tries to kill you?. When you trust what isn't the truth?. Cannot find my old forgiveness. Cannot get to you. So find yourself. Cause today will be all you remember. For anyone else. Take all the wrongs and rewrite them your own way. That's it, for me. My last apology. I held us, like glass. That broke inside my hands. We walk a fragile line, no matter what you find. Just keep me under your skin. And what I need to know, before you let me go. Tell me how could you. Could you love what tries to kill you?. When you trust what isn't the truth?. Cannot find my old forgiveness. Cannot get to you. So find yourself. Cause today will be all you remember. For anyone else. Take all the wrongs and rewrite them your own way. I know you'll never understand. That if my scars are stories, of who I am. Tell me, does it feel like home?. Hanging at the end of your rope?. You could tear it down and go your own way. Could you love what tries to kill you?. Could you love what tries. Could you love what tries to kill you?. When you trust what isn't the truth?. Cannot find my old forgiveness. Cannot get to you. So find yourself. Cause today will be all you remember. For anyone else. Take all the wrongs and rewrite them your own way"
