heart of glass,"Once I had a love and it was a gas. Soon turned out, I had a heart of glass. Seemed like the real thing, only to find. Mucho mistrust, love's gone behind. Once I had a love and it was divine. Soon found out I was losing my mind. Seemed like the real thing, but I was so blind. Mucho mistrust, love's gone behind. In between, what I find is pleasing and I'm feeling fine,. love is so confusing there's no peace of mind. If I fear I'm losing you. It's just no good, you teasing like you do. Once I had a love and it was a gas. Soon turned out I had a heart of glass. Seemed like the real thing, only to find. Mucho mistrust, love's gone behind. Lost inside. Adorable illusion and I cannot hide. I'm the one you're using, please don't push me aside. We coulda made it cruising, yeah. Yeah, riding high on love's true bluish light. Once I had a love and it was gas. Soon turned out, it was a pain in the ass. Seemed like the real thing, only to find. Mucho mistrust, love's gone behind"
maria,"She moves like she don't care. Smooth as silk, cool as air. Ooh it makes you wanna cry. She doesn't know your name. And your heart beats like a subway train. Ooh it makes you wanna die. Ooh, don't you wanna take her?. wanna make her all your own?. Maria, you've gotta see her. Go insane and out of your mind. Latina, Ave Maria. A million and one candle lights. I've seen this thing before. In my best friend and the boy next door. Fool for love and full of fire. Won't come in from the rain. She's oceans running down the drain. Blue as ice and desire. Don't you wanna make her?. Ooh, don't you wanna take her home?. Maria, you've gotta see her. Go insane and out of your mind. Latina, Ave Maria. A million and one candle lights. Ooh, don't you wanna break her?. Ooh, don't you wanna take her home?. She walks like she don't care. Walkin' on imported air. Ooh, it makes you wanna die. Maria, you've gotta see her. Go insane and out of your mind. Latina, Ave Maria. A million and one candle lights. Maria, you've gotta see her. Go insane and out of your mind. Latina, Ave Maria. A million and one candle lights"
one way or another,"One way or another, I'm gonna find ya'. I'm gonna get ya', get ya', get ya', get ya'. One way or another, I'm gonna win ya'. I'm gonna get ya', get ya' ,get ya', get ya'. One way or another, I'm gonna see ya'. I'm gonna meet ya', meet ya', meet ya', meet ya'. One day, maybe next week,. I'm gonna meet ya'. I'm gonna meet ya', I'll meet ya'. I will drive past your house. and if the lights are all down. I'll see who's around. One way or another, I'm gonna find ya'. I'm gonna get ya', get ya', get ya', get ya'. One way or another, I'm gonna win ya'. I'll get ya', I'll get ya'. One way or another, I'm gonna see ya'. I'm gonna meet ya', meet ya', meet ya', meet ya'. One day maybe next week ,I'm gonna meet ya'. I'll meet ya' ah. And if the lights are all out. I'll follow your bus downtown. See who's hanging out. One way or another, I'm gonna lose ya'. I'm gonna give you the slip. a slip of the lip or another. I'm gonna lose you. I'm gonna trick ya', I'll trick ya'. One way or another, I'm gonna lose ya'. I'm gonna trick ya', trick ya', trick ya', trick ya'. One way or another, I'm gonna lose ya'. I'm gonna give you the slip. I'll walk down the mall, stand over by the wall. Where I can see it all, find out who ya' call. Lead you to the supermarket checkout. Some specials and rat food. Get lost in the crowd. One way or another, I'm gonna get ya'. I'll get ya'. I'll get ya', get ya', get ya', get ya'"
call me,"Colour me your colour, baby. Colour me your car. Colour me your colour, darling. I know who you are. Come up off your colour chart. I know where you're comin' from. Call me (call me) on the line. Call me, call me any, anytime. Call me (call me) my love. You can call me any day or night. Call me. Cover me with kisses, baby. Cover me with love. Roll me in designer sheets. I'll never get enough. Emotions come, I don't know why. Cover up love's alibi. Call me (call me) on the line. Call me, call me any, anytime. Call me (call me) oh my love. When you're ready we can share the wine. Call me. Ooo-oo-oo-oo-oo, he speaks the languages of love. Ooo-oo-oo-oo-oo, amore, chiamami, chiamami. Ooo-oo-oo-oo-oo, appelle-moi mon cherie, appelle-moi. Anytime, anyplace, anywhere, any way. Anytime, anyplace, anywhere, any day-ay. Call me (call me) my love. Call me, call me any, anytime. Call me (call me) for a ride. Call me, call me for some overtime. Call me (call me) my love. Call me, call me in a sweet design. Call me (call me), call me for your lover's lover's alibi. Call me (call me) on the line. Call me, call me any, anytime. Call me (call me). Oh, call me, oo-hoo-hah. Call me (call me) my love. Call me, call me any, anytime."
the tide is high,"The tide is high but I'm holding on. I'm gonna be your number one. I'm not the kind of girl. Who gives up just like that. Oh, no. It's not the things you do. That tease and wound me bad. But it's the way you do. The things you do to me. I'm not the kind of girl. Who gives up just like that. Oh, no. The tide is high but I'm holding on. I'm gonna be your number one. Number one, number one. Every girl wants you to be her man. But I'll wait my dear 'til it's my turn. I'm not the kind of girl. Who gives up just like that. Oh, no. The tide is high but I'm holding on. I'm gonna be your number one. Number one, number one. Every girl wants you to be her man. But I'll wait my dear 'til it's my turn. I'm not the kind of girl. Who gives up just like that. Oh, no. The tide is high but I'm holding on. I'm gonna be your number one. {Repeat}."
rapture,"Toe to toe dancing very close. Body breathing almost comatose. Wall to wall people hypnotized. And they're stepping lightly. Hang each night in rapture. Back to back sacroiliac. Spineless movement and a wild attack. Face to face sightless solitude. And it's finger popping. Twenty four hour shopping in rapture. Fab Five Freddy told me everybody's fly. DJ spinning I said ""My My"". Flash is fast flash is cool. Francois c'est pas flashe non due. And you don't stop sure shot. Go out to the parking lot. And you get in your car and drive real far. And you drive all night and then you see a light. And it comes right down and it lands on the ground. And out comes the man from Mars. And you try to run but he's got a gun. And he shoots you dead and he eats your head. And then you're in the man from Mars. You go out at night eating cars. You eat Cadillacs Lincolns too. Mercurys and Subaru. And you don't stop. You keep on eating cars. Then when there's no more cars you go out at night. And eat up bars where the people meet. Face to face. Dance cheek to cheek. One to one. Man to man. Dance toe to toe. Don't move too slow 'cause the man from Mars is through with cars. He's eating bars. Yeah wall to wall. Door to door. Hall to hall. He's gonna eat 'em all. Rapture. Be pure. Take a tour through the sewer. Don't strain your brain. Paint a train. You'll be singing in the rain. Said don't stop to the punk rock. back to back, body muscular spinless movement, bite the jugular one to one. (?)technology. And a ardour, no sign of saviour in Rapture. Well now you see what you wanna be. Just have your party on TV. 'Cause the man from Mars won't eat up bars where the TV's on. And now he's gone back up to space where he won't have a hassle with the. human race. And you hip hop. And you don't stop. Just blast off sure shot. Because the man from Mars stopped eating cars. And eating bars. And now he only eats guitars. Get up!."
dreaming,"When I met you in the restaurant. You could tell I was no debutante. You asked me what's my pleasure,. ""A movie or a measure""?. I'll have a cup of tea. and tell you of my dreaming. Dreaming is free. I don't want to live on charity. Pleasure's real or is it fantasy?. Reel to reel is living rarity. People stop and stare at me,. we just walk on by;. we just keep on dreaming. Feet feet: walking a two mile. Meet meet: meet me at the turnstile. I never met him, I'll never forget him. Dream dream: even for a little while. Dream dream: filling up an idle hour. Fade away, radiate. I sit by and watch the river flow. I sit by and watch the traffic go. Imagine something of your very own;. something you can have and hold. I'd build a road in gold. just to have some dreaming. Dreaming is free"
long time,"I've been running circles 'round a night that never ends. I've been chasing heartache in a city and a friend. I've been with you so long. Even seen you lose it, but who cares?. Racing down the bowery on a crowded afternoon. Draping from the davenport of your insecure typhoon. Can you even want me or is this just a way. To keep you safe?. Take me, then lose me, then tell them I'm yours. Are you happy?. Does it take you a long time?. Does it make you upset?. Does it make you think. Everybody wants to be your friend?. I can give you a heartbeat, I can give you a friend. I can make you think everybody wants to be your friend. Drinking with your cellphone with a smile on your face. Happy in success, but still a thousand miles away. Is this what you wanted?. Is this everything you had in store?. Take me, then lose me, then tell them I'm yours. Are you, happy?. Does it take you a long time?. Does it make you upset?. Does it make you think. Everybody wants to be your friend?. I can give you a heartbeat, I can give you a friend. I can make you think everybody wants to be your friend. Take me, then lose me, then tell them I'm yours. Are you happy?. I've been running circles 'round a night that never ends. I've been chasing heartache in a city and a friend. I've been with you so long. Even seen you lose it, but who cares?. Does it take you a long time?. Does it make you upset?. Does it make you think. Everybody wants to be your friend?. I can give you a heartbeat, I can give you a friend. I can make you think everybody wants to be your friend. Take me, then lose me, then tell them I'm yours. Take me, then lose me, then tell them I'm yours. Take me, then lose me, then tell them I'm yours. Take me, then lose me, then tell them I'm yours"
denis,"Oh Denis doo-be-do, I'm in love with you.. Denis doo-be-do, I'm in love with you.. Denis doo-be-do, I'm in love with you.. Denis Denis, oh with your eyes so blue.... Denis Denis, I've got a crush on you.. Denis Denis, I'm so in love with you.. Oh when we walk it always feels so nice,. and when we talk it seems like paradise.. Denis Denis I'm so in love with you.. You're my king and I'm in heaven every time I look at you!. When you smile it's like a dream.... And I'm so lucky 'cause I found a boy like you!. (Denis Denis, oh won't you hold me tight?. Denis Denis, please can we kiss all night?. Denis Denis, I'm so in love with you.). Denis Denis, avec tes yeux si bleux, (With your eyes so blue,). Denis Denis, moi j'ai flashe a nous deux. (I'm always thinking about us.). Denis Denis, un grand baiser d'eternite. (One deep kiss that will last for ever.). Denis Denis, je suis si folle de toi. (I'm so crazy about you.). Denis Denis, oh embrasse-moi ce soir. (Please hold me tonight.). Denis Denis, un grand baiser d'eternite. (One deep kiss that will last all night.)"
fun,"You're all I need. Can't deny it. You make a room come alive. You know the problem with you. You're too good to be true. You're my heart, can't get enough. [Pre-Chorus]. You are the one I decided. You're my fun when I'm down. You pick me up again. You pick me up again. You're my fun, too much fun. I get the feeling that you're changing my mind. [Chorus]. Take me back home again. I'll make love with you. Take me back home with you. Oh yeah yeah. You're my fun. Too much fun. Isn't fun. [Verse 2]. The deafening sound of a heartbeat. You're smiling at me, not with your eyes. You know the problem with you. You're too good to be true. You're my heart, I can't get enough. Time after time, you're on time. I get the feeling that you're making me blind. [Pre-Chorus]. When I'm down. You pick me up again. You pick me up again. You're my fun, too much fun. I get the feeling that you're changing my mind. [Chorus]. Take me back home again. I wanna make love again. Take me back home again. Oh yeah yeah. You're my fun. Too much fun. Isn't fun. [Bridge]. You know the problem with you. You're too good to be true. You're my heart, I can't get enough. And time after time, you're on time. I get the feeling that you're changing my mind. [Chorus]. You're my fun when I'm down. You pick me up again. You pick me up again. You're my fun, too much fun. I get the feeling that you're changing my mind. I get the feeling that you're making me blind. I get the feeling that you're making me blind. You're my fun when I'm down. You pick me up again. You pick me up again. You're my fun, too much fun. I get the feeling that you're changing my mind. Take me back home again. I wanna make love with you. Take me back home again. Oh yeah yeah. You're my fun. Too much fun. Isn't fun"
doom or destiny (feat. joan jett),"Clear as a bell and an echoing shell. Clear as a pane of glass. I realize, I can't revise. As clear as a big blue sky. Through and through it all. You're trying to stall. It's clear as a crystal ball. As the facets are bold in platinum and gold. Clear as a flawless diamond. I'm hitting the wall. I know I'm gonna fall for you. Is it my fate or fatal attraction?. Could it be a fait accompli?. Oh, is it doom or destiny?. Oh, is it doom or destiny?. Dark as a winter's moonless night. Dark as a velvet cape. I realize, I can't revise. It's dark as the other side. I can recommend but I can't defend. It's dark as a deep sea trench. I was stuck in a target, having a shit pit. Dark as an angry [?]. Oh, I can't wait. You're an out-of-state plate, oh. It's creepy fate or fatal attraction. Could it be a fait accompli?. Oh, is it doom or destiny?. Oh, is it doom or destiny?. Oh, is it doom or destiny?. Oh, is it doom or destiny?. Oh, is it doom or destiny?. Oh, is it doom or destiny?. Oh, is it doom or destiny?. Oh, is it doom or destiny?"
the hardest part,"The Hardest Part. Twenty five tons of hardened steel rolls on no ordinary wheel.. Inside the armored car ride two big armed guards.. In a bulletproof vest, shatterproof glass, overdrive, we're gonna pass.. Twenty five tons of hardened steel rolls on no ordinary wheel.. The hardest part of the armored guard.... Big man of steel behind the steering wheel.. Nitro and acetylene open la machine.. No short heist, no overnight, big money.. Take ya to Brazil.. Bulletproof vest, shatterproof glass, overdrive, we're gonna pass.. Time bomb, greasy mob, count down, hurry up, come on.. The hardest part of the armored guard.... Big man of steel behind the steering wheel.. In a wire mesh cage with a twelve gauge.. Radio - we're coming fast.. Ooh, need to feel some hardened steel.. Deliver the big money deal.. Of the armored guard here's what I heard:. I'll tell you that he will no matter what you feel.. The hardest part of the armored guard.... Big man of steel behind the steering wheel.. Twenty five tons of hardened steel deliver the big money deal."
contact in red square,"Contact In Red Square. 1 2 3 4. Although I'm young I got a job to do.. Hid the microfilm in the lining of my shoe.. Call it a business trip.. Got to hide inside my trenchcoat and be clever .. I got my papers and a cyanide pill.. My polaroid's a taser in disguise.. There's a base in the hills,. and the wheat fields looks like Kansas in November.. Astrovia, sweet comrade, your nation is your gun.. Your love reads like the broken code you sent me.. One last contact in red square,. unless I have to run and the long arms of the K.G.B. detect me.. Can't trust a soul, secret messenger,. just the rules that lie like circuits in your brain and a cool .45.. The wind is ice and foreign air tastes strange.. I.C.B.M.. Bang! Bang! You're dead!. No one left to worry.. Kiss me quick, now I have to hurry.. Our last contact in red square,. unless I have to run. and the long arms of the C.I.A. detect me.. Hey!. Hey! Hey!"
atomic,"Uh huh make me tonight.. Tonight make it right.. Uh huh make me tonight.. Tonight.. Tonight.. Oh uh huh make it magnificent.. Tonight.. Right.. Oh, your hair is beautiful.. Oh, tonight.. Atomic.. Tonight make it magnificent.. Tonight.. Make me tonight.. Your hair is beautiful.. Oh, tonight.. Atomic.. Atomic.. Oh."
rip her to shreds,"Rip Her To Shreds. (Heypsst psst, here she comes now.). Oh, you know her.. Would ya look at that hair!. Yeah, you know her,. Check out those shoes.. She looks like she stepped out of the middle of somebody's blues.. She looks like the Sunday comics!. She thinks she's Brenda Starr.. Her nose job is real atomic.... all she needs is an old knife scar!. Ehhh, she's so dull, come on rip her to shreds.. She's so dull, come on rip her to shreds.. Oh, you know her, ""Miss Groupie Supreme""!. Yeah, you know her, ""Vera Vogue"" on parade.. Red eye shadow!. Green mascara!. Yuck.. She's too much.. She looks like she don't know better.. A case of partial extreme.. Dressed in a Robert Hall sweater.. Acting like a soap opera queen.... Ehhh, she's so dull, come on rip her to shreds.. She's so dull, come on rip her to shreds.. She got the nerve to tell me she's not ""on it"". But her expression is too serene.... Yeah, she looks like she washes with Comet!. Always looking to create a scene.... Ehhh, she's so dull, come on rip her to shreds.. She's so dull, come on rip her to shreds.. She's so dull.. Rip her to shreds!. Oh, you know her, ""Miss Groupie Supreme"".. Yeah, you know her, ""Vera Vogue"" on parade.. Yeah, you know her, with the fish eating grin.... She's so dull.. Yeah, she got the nerve to tell me!. Huh, she's so... dull.... Yeah, there she goes now.. She making out with King Kong!. She take her boat to Hong Kong.. Well, bye bye sugar!. And not a minute too soon."
kung fu girls,"Kung Fu Girls. 1 2 3!. Down in chinatown (the year of the Cock) he sold the silver belt, put it in hock.. Fistful of money, mouth full of gold, soon to be free of all armfull of holes!. She was a kung fu girl, kung fu girl.. Uh eow!. He got the address symbolized in Cantonese, then asked a native, ""Some assistance, please"".. She took him to the secret door, he was kissing the floor!. Don't know much more!. She was a kung fu girl, kung fu girl.. Heng lu Cindy Sue.. Difo difong hacking hu.. In a flash of recollection of oriental pride she threw him to the side!. Got the address, gave the door a knock... what happened next caused quite a shock!. She was standing, looking out the door, he was kicked to the floor!. Don't know much more!. She was a kung fu girl, kung fu girl.. Uh eow!. Kung fu!. Cindy Sue!. Oh, I wanna get close to you!. You're my kung fu girl!. You're my kung fu girl!. Oh my oriental pearl!. Kung fu!. Cindy Sue!. Oh, I wanna get close to you!. You're my kung fu girl!. You're my kung fu girl, get down!"
i'm on e,"I'm on E.. I'm on E.. I'm on E.. Got nothin' to say.. I used to have a car of my own.. I'm on E.. I'm on E.. I'm on E for England.. Laid out for maybe a week.. I've walked my feet to the bone.. I'd give my life for a car of my own.. I'm on E.. I'm on E.. Two weeks ago saturday I was on TV.. I'd like a show of my own.. But you see I'm still on E even though everything is happening to me.. So when your drivin' on home don't regret your loan.. I'm on E.. I'm on E.. I gave my car to a guy named Vinnie.. I feel like gassin' my feet.. They've totalled (?) and skipped a beat.. I used to have a car of my own.. 28 or 58.. Walking to refrigerator.. To the pump, do the bump.. Still on E, I'll think of something.. I'm on E and I'm on E.. I'll never have to stop my feet.. 28 or 58.. Walking to refrigerator.. To the pump, do the bump.. Still on E, I'll think of something.. I'm on E and I'm on E.. I'll never have to fill my feet up.."
slow motion,"What's all that commotion going on?. The boy in the back on his second attack wants his baby back.. Wants his baby back.. What's all that commotion that you hear?. The girl in the back who was doing the quake got a belly ache.. She can't concentrate.. Pick up the beat, you can move like you're made out of vapor.. ""Catch me if you can"" is what she said with her hands.. Come on and take me back.. Can you take her back?. When she gives you the beat and you get the shine, the world slows down and she stops on a dime.. Got a number when you close your eyes like a real magician.. Still she knows she'll never lose a thing.. She can put you up on a shelf until she wants to pull the string.. Still you know she'll never slip away.. Keep time in your head, counting in your head.. Slow motion.. I can play with time.. I can keep today but tomorrow's fine.. Stop and look at the pictures rolling in your head.. Slow motion.. You can play with time.. You can leave her today but tomorrow's fine.. Stop and live in your dreams at night, rolling in your bed.. Slow motion, you can stop on a dime.. Slow motion, you ought to try it sometime.. Take me back on another track.. Take me back, take me back.. Slow motion, you can pick up the beat.. Slow motion, you can stop on the street.. Take me back on another track.. Take me back, take me back."
