always,This Romeo is bleeding. But you can't see his blood. It's nothing but some feelings. That this old dog kicked up. It's been raining since you left me. Now I'm drowning in the flood. You see I've always been a fighter. But without you I give up. Now I can't sing a love song. Like the way it's meant to be. Well I guess I'm not that good anymore. But baby that's just me. And I will love you baby always. And I'll be there forever and a day always. I'll be there till the stars don't shine. Till the heavens burst and the words don't rhyme. And I know when I die you'll be on my mind. And I'll love you always. Now your pictures that you left behind. Are just memories of a different life. Some that made us laugh. Some that made us cry. One that made you have to say good bye. What I'd give to run my fingers through your hair. To touch your lips to hold you near. When you say your prayers try to understand. I've made mistakes I'm just a man. When he holds you close. When he pulls you near. When he says the words. You've been needing to hear. I'll wish I was him cause these words are mine. To say to you till the end of time. And I will love you baby always. And I'll be there forever and a day always. If you told me to cry for you I could. If you told me to die for you I would. Take a look at my face. There's no price I won't pay. To say these words to you. Well there ain't no luck in this loaded dice. But baby if you give me just one more try. We can pack up our old dreams and our old lives. We'll find a place where the sun still shines. And I will love you baby always. And I'll be there forever and a day always. I'll be there till the stars don't shine. Till the heavens burst and the words don't rhyme. And I know when I die you'll be on my mind. And I'll love you always
it's my life,"This ain't a song for the broken-hearted. No silent prayer for the faith-departed. I ain't gonna be just a face in the crowd. You're gonna hear my voice when I shout it out loud. It's my life. It's now or never. I ain't gonna live forever. I just want to live while I'm alive. (It's my life). My heart is like an open highway. Like Frankie said. I did it my way. I just wanna live while I'm alive. It's my life. This is for the ones who stood their ground. For Tommy and Gina who never backed down. Tomorrow's getting harder make no mistake. Luck ain't even lucky. Got to make your own breaks. It's my life. It's now or never. I ain't gonna live forever. I just want to live while I'm alive. (It's my life). My heart is like an open highway. Like Frankie said. I did it my way. I just wanna live while I'm alive. 'Cause it's my life. Better stand tall when they're calling you out. Don't bend, don't break, baby, don't back down. It's my life. It's now or never. 'Cause I ain't gonna live forever. I just want to live while I'm alive. (It's my life). My heart is like an open highway. Like Frankie said. I did it my way. I just wanna live while I'm alive. (It's my life). It's now or never. I ain't gonna live forever. I just want to live while I'm alive. (It's my life). My heart is like an open highway. Like Frankie said. I did it my way. I just wanna live while I'm alive. 'Cause It's my life"
livin' on a prayer,"Once upon a time. Not so long ago. Tommy used to work on the docks. Union's been on strike. He's down on his luck. It's tough, so tough. Gina works the diner all day. Working for her man, she brings home her pay. For love, for love. She says, we've got to hold on to what we've got. It doesn't make a difference if we make it or not. We've got each other and that's a lot for love. We'll give it a shot. We're half way there. Livin' on a prayer. Take my hand, we'll make it, I swear. Livin' on a prayer. Tommy got his six string in hock. Now he's holding in. When he used to make it talk, so tough. It's tough. Gina dreams of running away. When she cries in the night Tommy whispers. Baby it's okay, someday. We've got to hold on to what we've got. It doesn't make a difference if we make it or not. We've got each other and that's a lot for love. We'll give it a shot. We're half way there. Livin' on a prayer. Take my hand, we'll make it, I swear. Livin' on a prayer. Livin' on a prayer. We've got to hold on ready or not. You live for the fight when that's all that you've got. We're half way there. Livin' on a prayer. Take my hand, we'll make it, I swear. Livin' on a prayer. We're half way there. Livin' on a prayer. Take my hand, we'll make it, I swear. Livin' on a prayer"
i'll be there for you,"I guess this time you're really leaving. I heard your suitcase say goodbye. And as my broken heart lies bleeding. You say true love is suicide. You say you've cried a thousand rivers. And now you're swimming for the shore. You left me drowning in my tears. And you won't save me anymore. I'll pray to God to give me one more chance, girl. I'll be there for you. These five words I swear to you. When you breathe I wanna be the air for you. I'll be there for you. I'd live and I'd die for you. I'll steal the sun from the sky for you. Words can't say what love can do. I'll be there for you. I know you know we've had some good times. Now they have their own hiding place. I can promise you tomorrow. But I can't buy back yesterday. And baby you know my hands are dirty. But I wanted to be your valentine. I'll be the water when you get thirsty, baby. When you get drunk, I'll be the wine. I'll be there for you. These five words I swear to you. When you breathe I wanna be the air for you. I'll be there for you. I'd live and I'd die for you. I'll steal the sun from the sky for you. Words can't say what love can do. I'll be there for you. And I wasn't there when you were happy. I wasn't there when you were down. I didn't mean to miss your birthday, baby. I wish I'd seen you blow those candles out. I'll be there for you. These five words I swear to you. When you breathe I wanna be the air for you. I'll be there for you. I'd live and I'd die for you. I'll steal the sun from the sky for you. Words can't say what love can do. I'll be there for. I'll be there for you. These five words I swear to you. When you breathe I wanna be the air for you. I'll be there for you. I'd live and I'd die for you. I'll steal the sun from the sky for you. Words can't say what love can do. I'll be there for"
bed of roses,"Sitting here, wasted and wounded. At this old piano. Trying hard to capture the moment. This morning I don't know. 'Cause a bottle of vodka. Is still lodged in my head. And some blond gave me nightmares. I think that she's still in my bed. As I dream about movies. They won't make of me when I'm dead. With an ironclad fist I wake up. And french kiss the morning. While some marching band keeps. It's own beat in my head. While we're talking. About all of the things that I long to believe. About love, the truth. And what you mean to me. And the truth is baby, you're all that I need. I wanna lay you down in a bed of roses. For tonight I sleep on a bed of nails. I wanna be just as close as the Holy Ghost is. And lay you down on a bed of roses. Well, I'm so far away. That each step that I take is on my way home. A king's ransom in dimes I'd give each night. Just to see through this payphone. Still I run out of time. Or it's hard to get through. Till the bird on the wire flies me back to you. I'll just close my eyes and whisper. Baby, blind love is true. I wanna lay you down in a bed of roses. For tonight I sleep on a bed of nails. I wanna be just as close as the Holy Ghost is. And lay you down on a bed of roses. Well, this hotel bar's hangover whiskey's gone dry. The barkeeper's wig's crooked. And she's giving me the eye. Well, I might have said yeah. But I laughed so hard I think I died. When you close your eyes. Know I'll be thinking about you. While my mistress, she calls me. To stand in her spotlight again. Tonight I won't be alone. But you know that don't. Mean I'm not lonely. I've got nothing to prove. For it's you that I'd die to defend. I wanna lay you down in a bed of roses. For tonight I sleep on a bed of nails. I wanna be just as close as the Holy Ghost is. And lay you down. I wanna lay you down in a bed of roses. For tonight I sleep on a bed of nails. I wanna be just as close as the Holy Ghost is. And lay you down on a bed of roses"
misunderstood,"Should I? Could I?. Have said the wrong things right a thousand times. If I could just rewind, I see it in my mind. If I could turn back time, you'd still be mine. You cried, I died. I should have shut my mouth, things headed south. As the words slipped off my tongue,. They sounded dumb. If this old heart could talk,. It'd say you're the one. I'm wasting time when I think about it. [Chorus:]. I should have drove all night,. I would have run all the lights. I was misunderstood. I stumbled like my words, Did the best I could. Damn, misunderstood. Could I? Should I?. Apologize for sleeping on the couch that night. Staying out too late with all my friends. You found me passed out in the yard again. You cried, I tried. To stretch the truth, but didn't lie. It's not so bad when you think about it. [Chorus:]. I should have drove all night,. I would have run all the lights. I was misunderstood. I stumbled like my words, did the best I could. I 'm hanging outside your door. I've been here before. Misunderstood. I stumbled like my words, did the best I could. Damn, misunderstood. Intentions good. It's you and I, just think about it.... [Chorus:]. I should have drove all night. I would have run all the lights. I was misunderstood. I stumbled like my words, did the best I could. Misunderstood. I 'm hanging outside your door. I've been here before. Misunderstood. I stumbled like my words, did the best I could. Damn, misunderstood. Intentions good."
you give love a bad name,"Shot through the heart and you're to blame. Darlin' you give love, a bad name. An angel's smile is what you sell. You promise me heaven, then put me through hell. Chains of love, got a hold on me. When passion's a prison, you can't break free. You're a loaded gun. There's nowhere to run. No one can save me. The damage is done. Shot through the heart and you're to blame. You give love a bad name. I play my part and you play your game. You give love a bad name. You give love a bad name. You paint your smile on your lips. Blood red nails on your fingertips. A school boy's dream, you act so shy. You very first kiss was your first kiss goodbye. You're a loaded gun. There's nowhere to run. No one can save me. The damage is done. Shot through the heart and you're to blame. You give love a bad name. I play my part and you play your game. You give love a bad name. You give love a bad name. Shot through the heart and you're to blame. You give love a bad name. I play my part and you play your game. You give love a bad name. You give love a bad name. Shot through the heart and you're to blame. You give love a bad name. I play my part and you play your game. You give love a bad name. You give love a bad name. You give love. You give love a bad name. You give love. You give love a bad name. You give love. You give love a bad name. You give love. You give love a bad name"
blaze of glory,"I wake up in the morning. And I raise my weary head. I've got an old coat for a pillow. And the earth was last night's bed. I don't know where I'm going. Only God knows where I've been. I'm a devil on the road. A six gun lover. A candle in the wind. When you're brought into this world. They say you're born in sin. Well at least they gave me something. I didn't have to steal or have to win. Well they tell me that I'm wanted. Yeah I'm a wanted man. I'm colt in your stable. I'm what Cain was to Abel. Mister catch me if you can. I'm going down in a blaze of glory. Take me now but know the truth. I'm going down in a blaze of glory. Lord I never drew first. But I drew first blood. I'm no ones son. Call me young gun. You ask about my conscience. And I offer you my soul. You ask If I'll grow to be a wise man. Well I ask if I'll grow old. You ask me if I known love. And what it's like to sing songs in the rain. Well,I've seen love come. And I've seen it shot down. I've seen it die in vain. Shot down in a blaze of glory. Take me now but know the truth. I'm going down in a blaze of glory. Lord I never drew first. But I drew first blood. I'm the devil's son. Call me young gun. Each night I go to bed. I pray the Lord my soul to keep. No I ain't looking for forgiveness. But before I'm six foot deep. Lord,I got to ask a favor. And I'll hope You'll understand. 'Cause I've lived life to the fullest. Let this boy die like a man. Staring down the bullet. Let me make my final stand. Shot down in a blaze of glory. Take me now but know the truth. I'm going down in a blaze of glory. Lord I never drew first. But I drew first blood. I'm the devil's son. Call me young gun. I'm young gun,. Young gun yeah yeahh young gun"
thank you for loving me,"It´s hard for me to say the things. I want to say sometimes. There´s no one here but you and me. And that broken old street light. Lock the doors. leave the world outside. All I´ve got to give to you. Are these five words and I. Thank you for loving me. For being my eyes. When I couldn´t see. For parting my lips. When I couldn´t breathe. Thank you for loving me. Thank you for loving me. I never knew I had a dream. Until that dream was you. When I look into your eyes. The sky´s a different blue. Cross my heart. I wear no disguise. If I tried, you´d make believe. That you believed my lies. Thank you for loving me. For being my eyes. When I couldn´t see. For parting my lips. When I couldn´t breathe. Thank you for loving me. You pick me up when I fall down. You ring the bell before they count me out. If I was drowning you would part the sea. And risk your own life to rescue me. Lock the doors. leave the world outside. All I´ve got to give to you. Are these five words and I. Thank you for loving me. For being my eyes. When I couldn´t see. For parting my lips. When I couldn´t breathe. Thank you for loving me. When I couldn´t fly. Oh, you gave me wings. You parted my lips. When I couldn´t breathe. Thank you for loving me. Thank you for loving me. Thank you for loving me. Oh, for loving me."
these days,"I was walking around, just a face in the crowd. Trying to keep myself out of the rain. Saw a vagabond king wear a styrofoam crown. Wondered if I might end up the same. There's a man out on the corner, singing old songs about change. Everybody got their cross to bare, these days. She came looking for some shelter with a suitcase full of dreams. To a motel room on the boulevard. I guess she's trying to be James Dean. She's seen all the disciples and all the wanna be's. No one wants to be themselves these days. Still there's nothing to hold on to but these days. These days - the stars seem out of reach. These days - there ain't a ladder on the streets. These days - are fast, nothing last in this graceless age. There ain't anybody left but us these days. Jimmy shoes busted both his legs, trying to learn to fly. From a second story window, he just jumped and closed his eyes. His mamma said he was crazy - he said mamma ""I've got to try"". Don't you know that all my heroes died. And I guess I'd rather die than fade away. These days - the stars ain't out of reach. But these days - there ain't a ladder on the streets. These days - are fast, nothing lasts, it's a graceless age. Even innocence has caught the midnight train. And there ain't anybody left but us these days. I know Rome's still burning. Though the times have changed. This world keeps turning round and round and round and round. These days. These days - the stars ain't out of reach. These days - there ain't a ladder on the streets. These days - are fast, nothing lasts. There ain't no time to waste. There ain't anybody left to take the blame. And there ain't anybody left but us these days. There ain't anybody left but us these days"
