the diary of jane,"If I had to. I would put myself right beside you. So let me ask. Would you like that?. Would you like that?. And I don't mind. If you say this love is the last time. So now I'll ask. Do you like that?. Do you like that?. No!. Something's getting in the way. Something's just about to break. I will try to find my place in the diary of Jane. So tell me how it should be!. Try to find out what makes you tick. As I lie down. Sore and sick. Do you like that?. Do you like that?. There's a fine line between love and hate. And I don't mind. Just let me say that I like that. I like that. Something's getting in the way. Something's just about to break. I will try to find my place in the diary of Jane. As I burn another page. As I look the other way. I still try to find my place in the diary of Jane. So tell me how it should be!. Desperate, I will crawl. Waiting for so long. No love, there is no love. Die for anyone. What have I become?. Something's getting in the way. Something's just about to break. I will try to find my place in the diary of Jane. As I burn another page. As I look the other way. I still try to find my place. In the diary of Jane..."
breath,"I see nothing in your eyes. And the more I see the less I like. Is it over yet, in my head?. I know nothing of your kind. And I won't reveal your evil mind. Is it over yet? I can't win. So sacrifice yourself. And let me have what's left. I know that I can find. the fire in your eyes.. I'm going it all away,. get away, please.. [Chorus]. You take the breath right out of me. You left a hole where my heart should be. You got to fight just to make it through. Cause I will be the death of you. This will be all over soon. Pour salt into the open wound. Is it over yet? Let me in. So sacrifice yourself. and let me have what's left. I know that I can find. the fire in your eyes. I'm going it all away. get away, please. [Chorus]. You take the breath right out of me.. You left a hole where my heart should be.. You got to fight just to make it through,. Cause I will be the death of you.. I'm waiting, I'm prayin. Realize. Start hiding!. [Chorus]. You take the breath right out of me.. You left a hole where my heart should be.. You got to fight just to make it through,. Cause I will be the death of you."
give me a sign,Dead star shine. Light up the sky. I'm all out of breath. My walls are closing in. Days go by. Give me a sign. Come back to the end. The shepherd of the damned. I can feel you falling away. No longer the lost. No longer the same. And I can see you starting to break. I'll keep you alive. If you show me the way. Forever - and ever. the scars will remain. I'm falling apart. Leave me here forever in the dark. Daylight dies. Blackout the sky. Does anyone care?. Is anybody there?. Take this life. Empty inside. I'm already dead. I'll rise to fall again. I can feel you falling away. No longer the lost. No longer the same. And I can see you starting to break. I'll keep you alive. If you show me the way. Forever - and ever. the scars will remain. I'm falling apart. Leave me here forever in the dark. God help me I've come undone. Out of the light of the sun. God help me I've come undone. Out of the light of the sun. I can feel you falling away. No longer the lost. No longer the same. And I can see you starting to break. I'll keep you alive. If you show me the way. Forever - and ever. the scars will remain. Give me a sign. There's something buried in the words. Give me a sign. Your tears are adding to the flood. Just give me a sign. there's something buried in the words. Give me a sign. Your tears are adding to the flood. Just give me a sign. There's something buried in the words. Give me a sign. Your tears are adding to the flood. Forever - and ever. The scars will remain
the dark of you,"It must have been inside my head. I've lost the hope that I have lived. And now, at last, it comes to pass. We sleep, we dream, we have no less. Along the path we lost our way. It's all a game that I must play. And now the weak that fall. Return to ash, defeated after all. Fade away to the wicked world we left. And I become the dark of you. Say a prayer for the wounded heart within. As I become the dark of you. Let go, we know this kind of life. We live, we breathe, we die. They call me to the light. Forever lost inside. With every dream we find. We feed, we burn, we lie. The fall of humankind. The everlasting light. Fade away to the wicked world we left. And I become the dark of you. Say a prayer for the wounded heart within. As I become the dark of you. Let go. Save this selfish world. Let go. Save this selfish world. Let go. Save this selfish world. Let go. Save this selfish world"
so cold,"Crowded streets are cleared away. One by one. Hollow heroes separate. As they run. You're so cold. Keep your hand in mine. Wise men wonder While. Strong men die. [CHORUS]. Show me how it ends. It's alright. Show me how defenseless you really are. Satisfied and empty inside. That's alright, let's give this another try. If you find your family, don't you cry. In this land of make-believe, dead and dry. You're so cold, but you feel alive. Lay your hands on me one last time. [CHORUS x2]. It's alright. It's alright. It's alright. It's alright. It's alright. It's alright. It's alright. It's alright. It's alright"
dance with the devil,"Here I stand, helpless and left for dead.. Close your eyes, so many days gone by.. Easy to find what's wrong,. harder to find what's right.. I believe in you,. I can show you that. I can see right through all your empty lies.. I won't stay long, in this world so wrong.. [Chorus]. Say goodbye, as we dance with the devil tonight.. Don't you dare look at him in the eye,. as we dance with the devil tonight.. Trembeling, crawling across my skin.. Feeling your cold dead eyes,. stealing the life of mine.. I believe in you,. I can show you that. I can see right through all your empty lies.. I won't last long, in this world so wrong.. Say goodbye, as we dance with the devil tonight.. Don't you dare look at him in the eye,. as we dance with the devil tonight.. Hold on, hold on, hold on.. Say goodbye, as we dance with the devil tonight.. Don't you dare look at him in the eye,. as we dance with the devil tonight.. Hold on, hold on"
anthem of the angels,White walls surround us. No light will touch your face again. Rain taps the window. As we sleep among the dead. Days go on forever. But I have not left your side. We can chase the dark together. If you go then so will I. There is nothing left of you. I can see it in your eyes. Sing the anthem of the angels. And say the last goodbye. Verse 2. Cold light above us. Hope fills the heart. And fades away. Skin white as winter. As the sky returns to grey. Days go on forever. But I have not left your side. We can chase the dark together. If you go then so will I. There is nothing left of you. I can see it in your eyes. Sing the anthem of the angels. And say the last goodbye. I keep holding onto you. But I can't bring you back to life. Sing the anthem of the angels. Then say the last goodbye. You're dead alive (x4). There is nothing left of you. I can see it in your eyes. Sing the anthem of the angels. And say the last goodbye. I keep holding onto you. But I can't bring you back to life. Sing the anthem of the angels. And say the last goodbye
down,"Lie beneath, faded and selfish I fall between. Jaded and helpless. I long to breathe wasted and empty inside. To feel faceless and buried alone. Into your eyes I live, beautifully broken. Fight! We'll fight!. And bury our lies. We'll break these chains. And wash it away. Oh light, carry me over the ground. Heavy won't hold me down. Blind belief wasted in envy. I long to bleed, nameless and hated. I fall relieved, violent and empty. Alive to see, suffer in silence alone. Into your eyes I live. Beautifully broken. Fight! We'll fight!. And bury our lies. We'll break these chains. And wash it away. Oh light, carry me over the ground. Heavy won't hold me down. Love won't lie. Tell me it's over, so long. I've done wrong. Under the shadow of dawn. Fight! We'll fight!. And bury our lies. We'll break these chains. And wash it away. Carry me over the ground. Heavy won't hold me down. Into the sun we burn. Heavy won't hold me down!. Down!. Down!. Down!"
red cold river,"Day, it's reborn. Fight with folded hands. Pain left below. The lifeless live again. Run, run, run. Red cold river. Run, run, run. Red cold river. I can't feel anything at all. This life has left me cold and down. I can't feel anything at all. This love has led me to the end. Stay reformed. Erase this perfect world. Hate left below. The dark stream war. Run, run, run. Red cold river. I can't feel anything at all. This life has left me cold and down. I can't feel anything at all. This love has led me to the end. Run, run, run. Red cold river. Try to find a reason to live. Try to find a reason to live. Try to find a reason to live. I can't feel anything at all. (Try to find a reason to live). This life has left me cold and down. (Try to find a reason to live). I can't feel anything at all. This love has let me to the end. Run, run, run. Red cold river"
psycho,"Into the bottom I will go. I feel the daylight choking. Into the vile I become. I am forever changing. In the cold eternal light. I am the ember fading. Every scar we try to hide. I am the fake you make me. Into the hollow I let go. I see the darkness close in. Into the silence I've become. I am the faith forsaken. In the cold eternal light. I am the ember fading. Every scar we try to hide. I am the fake you make me. Psycho, let go. I am the one embracing. Psycho, faithful. I am the rupture breaking. In the cold eternal light. I am the ember fading. Every scar we try to hide. I am the fake you make me. Psycho, let go. I am the one embracing. Psycho, faithful. I am the rupture breaking"
