medicine,Some people are a lot like clouds you know. 'cause life's so much brighter when they go. You rained on my heart for far too long. Couldn't see the thunder for the storm. Because I cut my teeth. and bit my tongue. til' my mouth was dripping blood. but I never dished the dirt. just held my breath. while you dragged me through the mud. I don't know why I tried to save you 'cause. I can't save you from yourself. when all you give a shit about. is everybody else. And you just can't quit. Why don't you deal with it?. I think it's time to stop. You need a taste of your own medicine. Cos I'm sick to death of swallowing. watch me take the wheel like you. Not feel like you. Act like nothing's real like you. so I'm sorry for this. it might sting a bit. Some people are a lot like clouds you know. 'cause life's so much brighter when they go. and I spent too long in a place I don't belong. couldn't see the thunder for the storm. But you won't admit. Why don't you get a grip. 'Cause you can't keep going on and on and on like this. No you just can't quit. Why don't you deal with it?. I think it's time to stop
in the dark,"(In the dark). (In the dark). Oh, I've done it again. Dug a little deep and it's all caved in. Now I free fall in a black hole. I know I'm getting warm 'cause I feel so cold. But I'm looking on the bright side now. Tryna figure out somehow. (None of this is real, no). It's looking like I write off now. I think we need to talk like now. So, don't swear to God he never asked you. It's not his heart you drove a knife through. It's not his world you turned inside out. Now his tears still rolling down. Jesus Christ, you're so damn cold. Don't you know you've lost control?. Forget about the things you think I know. No secrets, you can't keep me. (In the dark). (In the dark). Deathblow, look at you go. Brought a T-62 to a Rodeo. So tall it broke the fourth wall. Guess my fairytale has a few plot holes. Well, I'm looking on the bright side now. Tryna figure out somehow. (None of this is real, no). You can give the act up now. Yeah, go ahead and take a bow. So, don't swear to God he never asked you. It's not his heart you drove a knife through. It's not his world you turned inside out. Now his tears still rolling down. Jesus Christ, you're so damn cold. Don't you know you've lost control?. Forget about the things you think I know. No secrets, you can't keep me. (In the dark). (In the dark). No secrets, you can't keep me. (In the dark). (In the dark). I'm not looking for salvation. Just a little faith in anyone or anything. I'm not looking for salvation. Just a little faith in anyone or anything. I'm not looking for salvation. Just a little faith in anyone or anything. ('Cause it's all come caving in). I'm not looking for salvation. Just a little faith in anyone or anything. (And it's time I knew you, so). Don't swear to God he never asked you. It's not his heart you drove a knife through. It's not his world you turned inside out. Now his tears still rolling down. Jesus Christ, you're so damn cold. Don't you know you've lost control?. Forget about the things you think I know. No secrets, you can't keep me. (In the dark). Don't swear to God he never asked you. It's not his heart you drove a knife through. (In the dark). It's not his world you turned inside out. Now his tears still rolling down. Jesus Christ, you're so damn cold. Don't you know you've lost control?. Forget about the things you think I know. No secrets, you can't keep me. (In the dark). Don't swear to God he never asked you (Oh no). It's not his heart you drove a knife through (Oh no). It's not his world you turned inside out (Oh no). Now his tears still rolling down (You're so damn cold). Jesus Christ, you're so damn cold (You're so damn cold). Don't you know you've lost control? (Oh). Forget about the things you think I know (Oh). No secrets, you can't keep me. (In the dark). (In the dark). No secrets, you can't keep me. (In the dark). (In the dark). (In the dark)"
i apologise if you feel something,"I saw you staring out of your own abyss again. Waiting for something you're not sure even still exists. Don't be afraid to wonder, don't be afraid to be scared. It should never be a prison. So I apologise if you feel something. But love is all we have, feel something, I know. Or if I steal something, please remember it is mine. Real something"
sugar honey ice & tea,"Count down to thunder. I think we're too close for comfort. So now don't rock the boat. Don't calm the storm. God already gave you his answer. Think you're sorry, it's over. The whistle has been blown now. Think you got the wrong number. I'm breaking up. Wanna make a connection. Can't get no reception. Leave a message after the tone. 'Cause it's got my head running 24 7. I don't know if I can figure it out. It's all messed up, only one thing I know for sure. We're so full of. Sugar, honey, ice, and tea. Sugar, honey, ice, and tea. (Everybody's full of...). Sugar, honey, ice, and tea. Sugar, honey, ice, and tea. Don't move a muscle. No, we can't have a struggle. But the ""situation is in control"". So play pretend that it's all good. You could tell the Messiah. His pants are on fire. I'll politely decline. I gotta go, I gotta stick my head in the sand. Then block out all the sadness. Lalalalalalalala. 'Cause it's got my head running 24 7. I don't know if I can figure it out. It's all messed up. only one thing I know for sure. We're so full of. Sugar, honey, ice, and tea. Sugar, honey, ice, and tea. (Yeah, everybody's full of...). Sugar, honey, ice, and tea. Sugar, honey, ice, and tea. And it's got my head running 24 7. I don't reckon I can figure it out. It's all messed up. only one thing I know for sure. (We're so fucked). And we all march on. like we know the way to heaven. Who the hell died and made you the king. We don't know what we want, but we know that we want it. Yeah, we want it, yeah, we want it right now. Yeah, yeah, yeah, yeah, oh!. (Fuck you). Everybody is full of. Sugar, honey, ice, and tea. (Oh, now everybody full of...). Sugar, honey, ice, and tea. (Every, every, everybody full of...). Sugar, honey, ice, and tea. (Oh, everybody full of...). Sugar, honey, ice, and tea. (Yeah, yeah, yeah, yeah, yeah)"
drown,"What doesn't kill you makes you wish you were dead. Got a hole in my soul, growing deeper and deeper. And I can't take one more moment of this silence. The loneliness is haunting me. And the weight of the world's getting harder to hold up. It comes in waves, I close my eyes. Hold my breath and let it bury me. I'm not okay, and it's not alright. Won't you drag the lake and bring me home again?. Who will fix me now?. Dive in when I'm down?. Save me from myself, don't let me drown. Who will make me fight? Drag me out alive?. Save me from myself, don't let me drown. What doesn't destroy you, leaves you broken instead. Got a hole in my soul growing deeper and deeper. And I can't take one more moment of this silence. The loneliness is haunting me. And the weight of the world's getting harder to hold up. It comes in waves, I close my eyes. Hold my breath and let it bury me. I'm not okay, and it's not alright. Won't you drag the lake and bring me home again?. Who will fix me now?. Dive in when I'm down?. Save me from myself, don't let me drown. Who will make me fight? Drag me out alive?. Save me from myself, don't let me drown. 'Cause you know that I can't do this on my own. (Woah oh oh oh). 'Cause you know that I can't do this on my own. (Woah oh oh oh). 'Cause you know that I can't do this on my own. (Woah oh oh oh). ('Cause you know that I can't do this on my own.). Who will fix me now?. Who will fix me now?. Who will fix me now?. Dive in when I'm down?. Save me from myself, don't let me drown"
mother tongue,"I didn't see it coming (Coming). But I never really had much faith. In the universe's magic (Magic) , oh, no. Till it pulled us to that time and place. And I'll never forget. When the floodgates opened, we, we cried an ocean. It still has me choking; it's hard to explain. I know you know me, you don't have to show me. I, I feel you're lonely, no need to explain. So don't say you love me; fala, ""amo"". Just let your heart speak up, and I'll know. No amount of words could ever find a way. to make sense of this. So I wanna hear your mother tongue. So don't say you love me; fala, ""amo"". Just let your heart speak up, and I'll know. No amount of words could ever find a way. to make sense of this. So I wanna hear your mother tongue. And yeah, I could be punching. But I always tend to fluctuate. And I feel sick that I'm buzzing, oh, love, I'm in trouble. I'm sorry, but you got me gushing all over the place. I never wanna get wet. But I think we're chosen like our fates were woven. And all of those bad choices were left turns on the way"
nihilist blues (feat. grimes),"I've been climbing up the walls. To escape the sinking feeling. But I can't hide from the nihilist at my door. Buried in the basement floor. Didn't know what I had planted. It blossomed with all the heart of a cold war. I'm a spirit in a tomb. Won't somebody raise the roof. I'm going white, I'm going black, I'm going blue. Do you mind if I'm exhumed?. I'm the ashes in the plume. I'm a beggar in the ruin. I'm peaking out, I'm burning up, I'm shooting through. I'm only lonely for the true. Paradise is in my soul. And I'm terrified I can't get out. I'm lost in a labyrinth. We are lost in a labyrinth. Paradise is in my soul. And I'm terrified I can't get out. I'm lost in a labyrinth. We are lost in a labyrinth. Please don't follow. Paradise is in my soul. And I'm terrified I can't get out. I'm lost in a labyrinth. We are lost in a labyrinth. Please don't follow. Light as a feather, stiff as a board. Sink to the floor, I sink to the floor. I sink to the floor. Light as a feather, stiff as a board. You were in my dream last night. But your face was someone else's. A twitch in my spine, a mutual disorder. Isolation neophyte. Too afraid to taste your conscience. You march in the dark, little lamb to the slaughter. I'm a spirit in a tomb. Won't somebody raise the roof. I'm going white, I'm going black, I'm going blue. Do you mind if I'm exhumed?. I'm the ashes in the plume. I'm a beggar in the ruin. I'm peaking out, I'm burning up, I'm shooting through. I'm only lonely for the true. Paradise is in my soul. And I'm terrified I can't get out. I'm lost in a labyrinth. We are lost in a labyrinth. Please don't follow. Paradise is in my soul. And I'm terrified I can't get out. I'm lost in a labyrinth. We are lost in a labyrinth. Please don't follow. Please don't follow. Please don't follow. Please don't follow. Please don't follow. (Please don't follow). I've been climbing up the walls. To escape the sinking feeling. But I can't hide from the nihilist at my door"
mantra,"Do you wanna start a cult with me?. I'm not vibrating like I oughta be. I need a purpose. I can't keep surfing. Through this existential misery. Now, we are going to need some real estate. But if I choose my words carefully. Think I could fool you that I'm the guru. Wait, how do you spell epiphany?. Before the truth will set you free. It'll piss you off. Before you find a place to be. You're gonna lose the plot. Too late to tell you now. One ear and right out the other one. Because all you ever do is chant. the same old mantra. Could I have your attention please. It's time to tap in to your tragedy. Think you could use a new abuser. Close your eyes and listen carefully. Imagine you're stood on a beach. Water gently lapping at your feet. But now your sinking. What were you thinking?. That's all the time we have this week. Before the truth will set you free. It'll piss you off. Before you find a place to be. You're gonna lose the plot. Too late to tell you now. One ear and right out the other one. Because all you ever do is chant. the same old mantra. And I know this doesn't make a lot of sense. But do you really wanna think all by yourself now?. All I'm asking for is a little bit of faith. You know it's easy to believe. And I know this doesn't make a lot of sense. Y'know you gotta work. the corners of your mind now. All I'm asking for's a little bit of faith. You know it's easy to, so easy to believe. Before the truth will set you free. It'll piss you off. Before you find a place to be. You're gonna lose the plot. Before the truth will set you free. It'll piss you off. Before you find a place to be. You're gonna lose the plot. Too late to tell you now. One ear and right out the other one. Because all you ever do is chant. the same old mantra"
i don't know what to say,"I'll see you at the gates when it gets dark. You jump the wall. I'll find a place to park. Kill the angels if they're keeping guard. How do I start. When you don't know what to say?. No, I don't know what to say. You said the world's already full enough. Of defeated people, and you would not be one. Always a choice to move yourself along. And find better. And I hope that's where you are. Yeah, I know that's where you are. A doppelgänger with a telling scar. I saw the Universe hidden in your heart. Wish I told you this before it got too dark. Where do you start. When you know it has to end?. How a flower in the rain. Only grows more when it's grey. You just shined on brighter. Making gold out of the pain. I can die, but I can't break, you said. You can rule, I won't obey. As long as I'm still smiling. Well, I don't know what to say"
ouch,"Tu as tué mon bébé. Na, na, na, na. Na, na, na, na, na, na, na. Na, na, na, na. Na, na, na, na. Na, na, na, na, na, na, na. Na, na, na, na. (I always knew) This is gonna end in tears. Didn't think your wrists will keep a souvenir. And I thought that I had heard it all. Till I heard your lover screaming down the phone. I know I said I was under your spell. But this hex is on another level. I know I said you could drag me through hell. But I hoped you wouldn't fuck the devil. Na, na, na, na. Na, na, na, na, na, na, na. Na, na, na, na. Na, na, na, na, na, na, na. This was gonna end in tears. Didn't think your wrists would keep a souvenir. And I thought I had it all. Till I heard your lover screaming down the phone. I know I said I was under your spell. But this hex is on another level. I know I said you could drag me through hell. But I hoped you wouldn't fuck the devil"
