for what it's worth,"There's somethin' happenin' here.. What it is ain't exactly clear.. There's a man with a gun over there. A-tellin' me I've got to beware.. I think it's time we stop.. Children, what's that sound?. Everybody look what's goin' down.. There's battle lines bein' drawn.. Nobody's right if everybody's wrong.. Young people speakin' their minds. A-gettin' so much resistance from behind.. I think it's time we stop.. Hey, what's that sound?. Everybody look what's goin' down.. What a field day for the heat.. A thousand people in the street. Singin' songs and a-carryin' signs. Mostly sayin' hooray for our side.. It's time we stop.. Hey, what's that sound?. Everybody look what's goin' down.. Paranoia strikes deep.. Into your life it will creep.. It starts when you're always afraid.. Step out of line, the men come and take you away.. You better stop.. Hey, what's that sound?. Everybody look what's goin'... You better stop.. Hey, what's that sound?. Everybody look what's goin'... You better stop.. Now, what's that sound?. Everybody look what's goin'... You better stop.. Children, what's that sound?. Everybody look what's goin'..."
baby don't scold me,"Baby don't scold me. You see I'm not old enough. To recognise all the signs you might find - if you just told me!. From now on it would be wise to spill it when you, baby you, you've got eyes.. Bet you just like me - you dream of what might be. But when it comes to the words. They sound absurd taken lightly.. From now on it would be wise. to spill it when you, baby you, you've got eyes.. When you see the sun. You don't have to run. Stand and watch it -. not an extra moment will it last.. If you need me, you don't have to plead me. Baby just let me feel something real. And if you'll heed me -. From now on it would be wise to spill it when you, baby you, you've got eyes."
on the way home,"When the dream came. I held my breath. with my eyes closed. I went insane,. Like a smoke ring day. When the wind blows. Now I won't be back. till later on. If I do come back at all. But you know me,. and I miss you now.. In a strange game. I saw myself as you knew me. When the change came,. And you had a. Chance to see through me. Though the other side. is just the same. You can tell. my dream is real. Because I love you,. can you see me now.. Though we rush ahead. to save our time. We are only what we feel. And I love you,. can you feel it now."
everybody's wrong,"Listen to my song. It isn't very long. You'll see before I'm gone. That everybody's wrong. Those of us who run. To catch a moment in the sun. Seem to find the when we're done. That we weren't supposed to run. And there's to many words going down. Babe wrecking against the walls with the hollow sounds. All about what it's going to be. Yes, you know what it was you see. It ain't million, you and me not a crown. Finding what you sought. After all the time you fought. Sometimes leave's you with the thought. That perhaps you just been caught."
a child's claim to fame,"Well there goes another day. Now I wonder why. You and I. Keep telling lies. I can't believe that what you say. 'cause tomorrows lullaby. can't passify. my lonesome crying. Make believe that's all you know. And to make believe is a game. A child's rein. You've changed your name. So sadly I watched the show. I watched you became. Truth is the shame. Yeah, too much pain."
out of my mind,"Out of my mind. And I just can't take it anymore. Left behind. By myself and what I'm living for. All I hear are screams from outside the limousines. That are taking me. Out of my mind. Through the keyhole in an open door. Happy to find. That I don't know what I'm smiling for. Tired of hanging on. If you've missed me, I've just gone. Cause they're taking me. Out of my mind."
mr. soul,"Oh, hello Mr. Soul, I dropped by to pick up a reason. For the thought that I caught that my head is the event of the season. Why in crowds just a trace of my face could seem so pleasin'. I'll cop out to the change, but a stranger is putting the tease on.. I was down on a frown when the messenger brought me a letter. I was raised by the praise of a fan who said I upset her. Any girl in the world could have easily known me better. She said, You're strange, but don't change, and I let her.. In a while will the smile on my face turn to plaster?. Stick around while the clown who is sick does the trick of disaster. For the race of my head and my face is moving much faster. Is it strange I should change? I don't know, why don't you ask her?."
hung upside down,"Look what's happening to me,. I'm going blind, please help.. There I sat until three,. gettin' further behind myself.. Bymyself.. And I'm hung upside down. (x2). Hung upside down, said I'm. hung upside down, c'mon, c'mon.. Hung upside down.. Someday I will be free,. and there'll be times, you just wait.. I will come to you, see,. what I'll bring you when I get straight,. Oh it's too late.. And I'm hung upside down. (x2). Hung upside down, said I'm. hung upside down, c'mon, c'mon.. Hung upside down."
flying on the ground (is wrong),"Is my world not falling down. I'm in pieces on the ground. And my eyes aren't open. And I'm standing on my knees. But if crying and holding on. And flying on the ground is wrong. Then I'm sorry to let you down. But you're from my side of town. And I miss you. Turn me up or turn me down. Turn me off or turn me round. I wish I could have met you in a place. Where we both belong. But if crying and holding on. And flying on the ground is wrong. Then I'm sorry to let you down. But you're from my side of town. And I miss you. Sometimes I feel like I'm just a helpless child. Sometimes I feel like a kid. But baby, since I have changed. I can't take nothing home. City lights at a country fair. Never shine but always glare. If I'm bright enough to see you. You're just too dark to care. But if crying and holding on. And flying on the ground is wrong. Then I'm sorry to let you down. But you're from my side of town. And I miss you."
bluebird,"Listen to my bluebird laugh.. She can't tell you why.. Deep within her heart, you see,. She knows only crying.. Just crying.. There she sits, a lofty perch.. Strangest color blue.. Flying is forgotten now.. Thinks only of you.. Just you.. So, get all those blues,. Must be a thousand hues.. And be just differently used.. You just know.. You sit there mesmerized. By the depth of those eyes. That you can't categorize.. She got soul.. She got soul.. She got soul.. She got soul!. Do you think she knows you?. Do you think at all?. Soon she's going to fly away.. Sadness is her own.. Reverse of a death of tears. And go home, and go home.."
a child's claim to fame,"Well there goes another day. Now I wonder why. You and I. Keep telling lies. I can't believe that what you say. 'cause tomorrows lullaby. can't passify. my lonesome crying. Make believe that's all you know. And to make believe is a game. A child's rein. You've changed your name. So sadly I watched the show. I watched you became. Truth is the shame. Yeah, too much pain."
baby don't scold me,"Baby don't scold me. You see I'm not old enough. To recognise all the signs you might find - if you just told me!. From now on it would be wise to spill it when you, baby you, you've got eyes.. Bet you just like me - you dream of what might be. But when it comes to the words. They sound absurd taken lightly.. From now on it would be wise. to spill it when you, baby you, you've got eyes.. When you see the sun. You don't have to run. Stand and watch it -. not an extra moment will it last.. If you need me, you don't have to plead me. Baby just let me feel something real. And if you'll heed me -. From now on it would be wise to spill it when you, baby you, you've got eyes."
bluebird,"Listen to my bluebird laugh.. She can't tell you why.. Deep within her heart, you see,. She knows only crying.. Just crying.. There she sits, a lofty perch.. Strangest color blue.. Flying is forgotten now.. Thinks only of you.. Just you.. So, get all those blues,. Must be a thousand hues.. And be just differently used.. You just know.. You sit there mesmerized. By the depth of those eyes. That you can't categorize.. She got soul.. She got soul.. She got soul.. She got soul!. Do you think she knows you?. Do you think at all?. Soon she's going to fly away.. Sadness is her own.. Reverse of a death of tears. And go home, and go home.."
broken arrow,"The lights turned on and the curtain fell down,. And when it was over it felt like a dream,. They stood at the stage door and begged for a scream,. The agents had paid for the black limousine. That waited outside in the rain.. Did you see them, did you see them?. Did you see them in the river?. They were there to wave to you.. Could you tell that the empty quivered,. Brown skinned Indian on the banks. That were crowded and narrow,. Held a broken arrow?. Eighteen years of American dream,. He saw that his brother had sworn on the wall.. He hung up his eyelids and ran down the hall,. His mother had told him a trip was a fall,. And don't mention babies at all.. Did you see him, did you see him?. Did you see him in the river?. He was there to wave to you.. Could you tell that the empty quivered,. Brown skinned Indian on the banks. That were crowded and narrow,. Held a broken arrow?. The streets were lined for the wedding parade,. The Queen wore the white gloves, the county of song,. The black covered caisson her horses had drawn. Protected her King from the sun rays of dawn.. They married for peace and were gone.. Did you see them, did you see them?. Did you see them in the river?. They were there to wave to you.. Could you tell that the empty quivered,. Brown skinned Indian on the banks. That were crowded and narrow,. Held a broken arrow?."
burned,"Been burned and with both feet on the ground. I've learned that it's painful comin' down. No use runnin' away, and there's no time left to stay. Now I'm finding out that it's so confusin'. No time left and I know I'm losin'. Flashed and I think I'm fallin' down. Crashed, and my ears can't hear a sound. No use runnin' away, and there's no time left to stay. Now I'm finding out that it's so confusin'. No time left and I know I'm losin'. Now I'm finding out that it's so confusin'. No time left and I know I'm losin'. Burned and with both feet on the ground. I've learned that it's painful comin' down. No use runnin' away, and there's no time left to stay. Now I'm finding out that it's so confusin'. No time left and I know I'm losin'"
carefree country day,"I get up in the morning with a cock-a-doodle-do,. I get myself together if and when I chose.. I'm just buckin time, without a reason or ryme,. Oh what a wonderful way,. to spend a carefree country day. I got to have it that way.. I best get all my chores done, got. some friends a commin' by.. There's a lot of country livin in just trying to get by,. I'm just buckin time, without a reason or ryme,. Oh what a wonderful way,. to spend a carefree country day. I got to have it that way.. I make myself a livin' off a haulin' on junk,. A man can live on thrivin from searchin' the dump.. I'm just buckin time, without a reason or ryme,. Oh what a wonderful way,. to spend a carefree country day. I've got to have it that way."
do i have to come right out and say it,"Do I have to come right out and say it. Tell you that you look so fine. Do I have to come right out and ask you to be mine. If it was a game I could play it. Trying to make it but I'm losing time. I got to bring you in, you're overworking my mind. Indecision is crowding me. I have no room to spare. And I can't believe she cared. Like a dream she has taken me. And now I don't know where. And a part of me is scared. The part of me I shared. Once before."
everybody's wrong,"Listen to my song. It isn't very long. You'll see before I'm gone. That everybody's wrong. Those of us who run. To catch a moment in the sun. Seem to find the when we're done. That we weren't supposed to run. And there's to many words going down. Babe wrecking against the walls with the hollow sounds. All about what it's going to be. Yes, you know what it was you see. It ain't million, you and me not a crown. Finding what you sought. After all the time you fought. Sometimes leave's you with the thought. That perhaps you just been caught."
everydays,"Look at the sad goodbyes. Every day's a killing time. Sun coming up outside. No men are born this time. Saturday's child stays home. Nothing to say so long. Well well well another day. Well well well another day. Grocery store ten bucks. Just making change for plastic cherries. Up in a tree a Jay Bird looking at me. No word. Everyone looks but can't see. We can't be ignored so easily. Well well well another day. Well well well another day. Soft within the wayward things. Like ecstasy, the sound of trees. Most anything, what a baby sees. Beautiful face all right. Many a place out of sight. Old woman there with red shoes. a million balloons all hues. Drive over hills forget your fear. Getting it out of second gear. Well well well another day. Well well well another day"
expecting to fly,"There you stood on the edge of your feather,. Expecting to fly.. While I laughed, I wondered whether. I could wave goodbye,. Knowin' that you'd gone.. By the summer it was healing,. We had said goodbye.. All the years we'd spent with feeling. Ended with a cry,. Babe, ended with a cry,. Babe, ended with a cry.. I tried so hard to stand. As I stumbled and fell to the ground.. So hard to laugh as I fumbled. And reached for the love I found,. Knowin' it was gone.. If I never lived without you,. Now you know I'd die.. If I never said I loved you,. Now you know I'd try,. Babe, now you know I'd try.. Babe, now you know I'd try,. Babe.."
flying on the ground (is wrong),"Is my world not falling down. I'm in pieces on the ground. And my eyes aren't open. And I'm standing on my knees. But if crying and holding on. And flying on the ground is wrong. Then I'm sorry to let you down. But you're from my side of town. And I miss you. Turn me up or turn me down. Turn me off or turn me round. I wish I could have met you in a place. Where we both belong. But if crying and holding on. And flying on the ground is wrong. Then I'm sorry to let you down. But you're from my side of town. And I miss you. Sometimes I feel like I'm just a helpless child. Sometimes I feel like a kid. But baby, since I have changed. I can't take nothing home. City lights at a country fair. Never shine but always glare. If I'm bright enough to see you. You're just too dark to care. But if crying and holding on. And flying on the ground is wrong. Then I'm sorry to let you down. But you're from my side of town. And I miss you."
