drunk,"You're a pain in my ass. You make me wanna die. Or kill or try to forget the remains of my life. I feel so hostile when you're around. Stumbling in the dark, through the trailer park. While the sky's falling down. I see your face in every drop of golden urine. Reflections rippling in the bowl, the room is spinning. I fall to my knees, oh God, please, I'm losing everything. Retasting nachos, exhaling beer, I love getting drunk. I faked a back injury to stay unemployed. But now the nagging pain is real. And we're both in the void. It's time for dinner, while the dog food's still cold. I'm watching the game, words grow loud and profane. I storm out the door. I used to love you many years ago. But my blood content changed. Those days so far away, and so many to go. Defacing my clothes with belly stain. And smelling like a skunk. Replacing myself in public places. I love getting..."
i hate me more than i love you,"(Girl, you've been treatin' me so bad - and I think I like it). (Girl, I don't think you understand, so I'm gonna tell ya how it is). You can do anything ya want with me - You can lie and I'll believe. You can tell me stay and I'll be waiting. To be the one who wants to hold your hand - To be your foolish man. And when ya do me wrong I'll say I'm sorry. Someday when ya want me and ya lose the man ya left behind. I say it in my mind but never say it out loud. We both know deep down I'll be the one who's still around. It's breaking all my spirit down and lifting you so high. It's a cruel cruel world. And I've got a girl that shows me it's true. In a world so unkind,. I've got to ask why I'd want to stay with you. Cause I hate me more than I love you. GUEST LYRICIST - ANOMOS:. Self esteem lower than snow at 12 below - Aint never seen nice, so bad is all I know. It's hard to look up when all I feel is down - Explain my pains through instruments with sound. All these years of searchin for the right answers - That you never helped me come closer to. Was it my fault bein' a naive romancer - I took it how it came - I should have been a chancer. Now I open my eyes and see that you're controllin' all of me. It's time to make a choice - but what should I do - When I hate me more than I love you. It's a cruel cruel world. And I've got a girl that shows me it's true. In a world so unkind,. Please don't ask me why - I just might tell the truth. I hate me more than I love you. Ya never showed me any love before. Just a game and ya played me like a cheap hand. The more ya treat me like an open door. The more I like it and keep on crawlin' back again. Draggin me and my dignity across the floor to ya now,. So you can kick me when I'm down. Oh, use me and abuse me - you're never gonna lose me. I can't let go of anything. Punish me, won't ya punish me - I don't deserve all the better things. Punish me, won't ya punish me - I can't forgive an imperfect me. It's a cruel cruel world. And I've got a girl that shows me it's true. In a world so unkind,. I made up my mind - I've got to tell you the truth. I hate me more than I love you. I hate me more than I love you. (Ah ,yeah - there ya have it baby - all for you). (Nothin' else I can say will ever be so true)"
a way out,"Why do I try - sometimes I need reasons. For leaving songs after I stop breathing. Long after I'm gone - what greater gift will be there. If I struggle, if I dig deep, go every night without sleep. Torturin' myself till I give every piece away and there's nothing left.. Till I don't wanna talk, I don't wanna fuck. I just wanna shoot up into space where I can blow up. Into pieces that float into nowhere - I wanna go there. Where I won't know care, where I won't know existence. Resistance, for an instance, for a moment. We can fight but every moment will always be lost.. I can't believe what you're sayin' now. Nothing is real except for pain now. Life is a deal I never made now. Tossed into skin - I need a way out. I had to blow my brains out. No matter how we spend our time. Every tick of the clock counting down. We lose our minds trying to find a way. To make it all stop - climbing for years. Out of fear that we won't reach the top. My hands are numb and I need to just drop. I can't believe what you're sayin' now. Nothing is real except for pain now. Life is a deal I never made now. Tossed into skin - I need a way out. I had to blow my brains out. I need a way out"
apathy,Apathy and afterbirth. Wasted seeds growing in the dirt. Could it be our paths always weave. I believe in mortality. But I don't care. I don't care at all. I don't care no more. In the air apples leave the tree. In the garden snakes are scheming. Misery and the merciful. Company for the gullible. I don't care at all. I don't care no more. I'm just wastin' time. Got you on my mind.... Empathy for the cynical. Apathy and I don't care. Seeds are sewing behind every glare. Cruel roots anchor into the Earth. Afterbirth never leaves the dirt. I don't care at all. I don't care no more. I'm just wastin' time. Got you on my mind...
argentina,"This is our last goodbye. Young hearts will stop, torn souls set free. All that we have is now. If this is what you want then come to me. My argentina, my love. One final kiss 'til we meet again. Now I know what it's like. To live two lives and have to choose. Sorrow and song, they dance. Let them, for all the perfect nights with you. My argentina, my love. One final kiss 'til we meet again. I never asked for your love. You gave it all and now it's gone, oh, it's gone. I can't be obligated. I never said I was the one, one, the one. This is the winter of our lives. We come to play the final scene. The curtains close and in the darkness we expose. What lies beneath. You thought I needed someone. To be complete but you were wrong, oh, so wrong. I'm nothing more than who I am. Don't put it all in my hands. I never said that I could save you from yourself. But you took the chance. And this is how it ends. Games of revenge that no one wins. This is how it ends. We romanticize our pain. And justify our rage. We excuse ourselves and remove ourselves. From all the wars we wage. We call it love. Competition, foolish pride, taking sides. We call it love. Stabbing words manipulate. It's how we're taught to use and take. We call it love. When you look back on what you had, not what you lost. Then call it love. But this is how it ends. All things must come to an end. And in our place once we're forgotten. A new day will come. And the sun will shine again. But I don't know when"
awake,I miss me.. Miss the noise. Miss the colored dreams. And rings.. And screams. Miss the pain of love and tragedy. It's time to decide.. How should I live each tomorrow - like the first day or the last. With silence in the sunshine or music in the darkness. Either way I'll be ok as long as when I get there I'm with you. You make me wanna live again. But what is life without knowing who I am. It's time to decide.. How should I live each tomorrow - like the first day or the last. With silence in the sunshine or music in the darkness. This peace inside is killing me - I think it might be time to leave. Feel the floodgate start to break and crash away the wall. And I awake with you. The first sight in these eyes I want is you
backfur,The hair on my belly is touching my chest - the hair on my chest is touching my shoulders. It looks like I'm wearing a permanent sweater - I'm working my way toward backfur. The hair on my ass is rising up - the hair on my head is falling down. I got a spider mole that's spreading her legs - she's laying her eggs in backfur. I had a smooth body 'long time ago - then gravity gave me a few folds. Somebody shot me with a beast gun square on - the pellets were seeds of backfur. My body's 'lot wider than it used to be - too much a taste of the old country. Inherited my simian ancestry - I'm working my way toward backfur. I used to think I was invincible (10 years ago). So many things I didn't know. I never knew how cruel the world can be (silly me). My time was not complete. Poor me (poor me) I'm dying. I pushed my mind to a future height - and balanced with a pre-historic body type. Just give me my speedos and put me on a beach - I'm sporting my rolls of backfur. I keep a short comb on a stick - to pick out the occasional deer ticks. I can't afford electrolysis - face down I'm a rug of backfur. I'm pushing harder but I'm losing speed (moving so slow). So many miles left to go. I knew but couldn't feel mortality (silly me). My time was not complete. Poor me (poor me) I'm dying. I used to be a fatty fatback - an inch away from my heart-attack. I'm pushing my luck I'm chasing hot dog trucks - I'm shaded from the sun with backfur. I'm hosting a family of mosquitoes - they live beneath the thicket of Velcro. They can't find my cholesterol-high-blood-rich skin - they can't find their way out of my backfur. I didn't know my life was on the clock. Won't close my eyes anymore. A new year passes every time I blink - or so I think. My time was not complete. Poor me - I'm dying
breaking away,Breaking Away. Why do we go so far. Till it's too far to turn back. When we take it so far. We lose so much more. We lose it all. Stop me if I go too far. It's so hard to turn back. Don't let me take it all. Away from you. From you. So don't let go now. Please show me how. To stop this breaking away. From you
brooklyn steakhouse,"My reservation was for 9. All heads look down. There was no clock around. I tried but couldn't make it on time. Couldn't find a lie. Watches stopped, broken clocks. My, my hands are tied. And I can't hold the lie. And I know I can never eat here again. Hey, Peter Luger, let me in. It's all my fault. Father Time - I have sinned. I missed my plate of splatterfat ribs. No one forgives. Traffic costs dirty bibs. My, my hands were tied. And I had crossed the line. And I know I can never eat here again. (I don't know what to do, nobody care 'bout no fair share. Yeah, I'm comin' up on a meat beat down. Service with a frown - cause I was late I get a cold plate. You punish me - that's not how it was supposed to be). (I screw you and I screw me too - it's not what I meant to do. But my actions didn't live up to my intentions or my expectations. The reservation was for 4 but they just wanna show me the door. And get me outta there). My, my hands are tied. And I can't hold the lie. And I know I can never eat here again. And I'll starve till I die. (I should have went to Vegas diner 'round the corner. Where the price is good, the food is worse, and it's in Bensonhurst). My, my hands were tied. (You murdered my night - the food was not right. The bill was bigger than my wallet, and bigger than my appetite). And I had crossed the line. (Another time another night I could have been better satisfied. I tried, it's gonna be the last time). And I know I can never eat here again"
cactus,"If you sit in a pot of dirt with nothin' to say - you're a cactus. If you spend all day starin' at the sun - you're a cactus. If you don't wanna get close so you wear a coat of pins - you're a cactus. If you keep your world barren like a desert - you're a cactus. If you have no face and need more space - you're a cactus. If you like to hide in the sand - you're a cactus. If you can't seem to get anything done - you're a cactus. If the company of tumbleweed is unexpected fun - you're a CACTUS!. If you fit in perfectly in an empty room - you're a cactus. If you hurt anyone who bumps into you - you're a cactus. If your social circle is you - you're a cactus. If you're referred to as ""what"" instead of ""who"" - you're a cactus. If your skin is green and you have no spleen - you're a cactus. If simple creatures think of you as mean - you're a cactus. If life-sucking weeds won't even go near ya - you're a cactus. And if balloons fear ya - you're a CACTUS!. If the world finds you abrasive - you're a cactus. If you're unique with a plain physique - you're a cactus. If you're full of wine and have no spine - you're a cactus. If you resemble a sleeping porcupine - you're a cactus. If no one wants to sit on your lap - you're a cactus. If you are full of, or considered a sap - you're a cactus..."
