i want you to want me,"I want you to want me.. I need you to need me.. I'd love you to love me.. I'm beggin' you to beg me.. I want you to want me.. I need you to need me.. I'd love you to love me.. I'll shine up the old brown shoes, put on a brand new shirt.. I'll get home early from work if you say that you love me.. Didn't I, didn't I, didn't I see you cryin'?. Oh, didn't I, didn't I, didn't I see you cryin'?. Feelin' all alone without a friend, you know you feel like dyin'.. Oh, didn't I, didn't I, didn't I see you cryin'?. I want you to want me.. I need you to need me.. I'd love you to love me.. I'm beggin' you to beg me.. I'll shine up the old brown shoes, put on a brand-new shirt.. I'll get home early from work if you say that you love me.. Didn't I, didn't I, didn't I see you cryin'?. Oh, didn't I, didn't I, didn't I see you cryin'?. Feelin' all alone without a friend, you know you feel like dyin'.. Oh, didn't I, didn't I, didn't I see you cryin'?. Feelin' all alone without a friend, you know you feel like dyin'.. Oh, didn't I, didn't I, didn't I see you cryin'?. I want you to want me.. I need you to need me.. I'd love you to love me.. I'm beggin' you to beg me.. I want you to want me.. I want you to want me.. I want you to want me.. I want you to want me.."
dream police,"The dream police, they live inside of my head.. The dream police, they come to me in my bed.. The dream police, they're coming to arrest me, oh no.. You know that talk is cheap, and those rumors ain't nice.. And when I fall asleep I don't think I'll survive the night, the night.. 'Cause they're waiting for me.. They're looking for me.. Ev'ry single night they're driving me insane.. Those men inside my brain.. The dream police, they live inside of my head.. (Live inside of my head.). The dream police, they come to me in my bed.. (Come to me in my bed.). The dream police, they're coming to arrest me, oh no.. Well, I can't tell lies, 'cause they're listening to me.. And when I fall asleep, bet they're spying on me. tonight, tonight.. 'Cause they're waiting for me.. They're looking for me.. Ev'ry single night they're driving me insane.. Those men inside my brain.. I try to sleep, they're wide awake, they won't leave me alone.. They don't get paid to take vacations, or let me. alone.. They spy on me, I try to hide, they won't let me. alone.. They persecute me, they're the judge and jury all in one.. 'Cause they're waiting for me.. They're looking for me.. Ev'ry single night they're driving me insane.. Those men inside my brain.. The dream police, they live inside of my head.. The dream police, they come to me in my bed.. The dream police, they're coming to arrest me."
(i'm my) best friend,"BEST FRIEND. (R. Nielsen, R. Zander, T. Petersson). Mmmm. When the moon came up. And the sun went down. All I could see was a national frown. It was pounded from flesh. And harder than steel. Pretty in pink that's just how I feel. Leave me alone cuz I'm my best friend. If you wanna be with me I'll be there til the end. Til the end of time and time again. Just leave me alone cuz I'm my best friend. Yeah, yeah. Cuz I'm my best friend now. Cuz I'm my best friend now. All I got is might and will. If all I got is might and will. Can't slow down cuz down we'll go. Where I step you don't wanna know. Round round round we'll go. Where I step is where I wanna go. Go go go go. Where I wanna be is where I wanna go. Lofty thoughts high ideals. lofty skirts. Is what appeals. This baby is no Baby Ruth. He was too smart for her. She was so damned cute. I'm sick and tired can't be late. I'm so damn mad I can't keep straight. Time and time and time again. Leave me alone cuz I'm my best friend yeah. Leave me alone cuz I'm my best friend yeah. I'm my best friend yeah. I'm my best friend yeah. I'm my best friend yeah."
voices,"Words and Music by Rick Nielsen. You didn't know what you were looking for. 'Till you heard the voices in your ear.. Hey, it's me again.. Plain, to see again.. Please, can I see you ev'ry day?. I'm a fool again.. I fell in love with you again.. Please, can I see you ev'ry day?. You didn't know what you were looking for. 'Till you heard the voices in your ear.. You didn't know what you were looking for. 'Till you heard the voices in your ear.. Words don't come out right.. I tried to say it, oh, so right.. I hope you understand my meaning.. Hey, it's me again.. I'm so in love with you again.. Please, can I see you ev'ry day?. You didn't know what you were looking for. 'Till you heard the voices in your ear.. You didn't know what you were looking for. 'Till you heard the voices in your ear.. I remember ev'ry word you said. (Word you said.). I remember voices in my head. (In my head.). I remember ev'ry word you said. (Word you said.). Your voices. (I). Cool voices. (hear). Warm voices. (your). It was just what I needed to. (voice.). Cool voices. (Words). Warm voices. (don't). Your voices. (seem). But it's just what I needed for. (right.). Warm voices. (Love). Your voices. (is). Cool voices. (the). It was just what I needed to. (word.). Your voices. (I). Cool voices. (hear). Warm voices. (your). It was just what I needed to. (voice.). Just what I needed to, just what I needed to,. just what I needed.. You didn't know what you were looking for. 'Till you heard the voices in your ear.. You didn't know what you were looking for. 'Till you heard the voices in your ear."
surrender,"Mother told me, yes, she told me I'd meet girls like you.. She also told me, ""Stay away, you'll never know what you'll catch."". Just the other day I heard a of soldier falling off some Indonesian junk that's going around.. Mommy's alright, Daddy's alright, they just seem a little weird.. Surrender, surrender, but don't give yourself away, ay, ay, ay.. Father says, ""Your mother's right, she's really up on things."". ""Before we married, Mommy served in the Wacs in the Philippines."". Now, I had heard the Wacs recruited old maids for the war.. But mommy isn't one of those, I've known her all these years.. Mommy's alright, Daddy's alright, they just seem a little weird.. Surrender, surrender, but don't give yourself away, ay, ay, ay.. Whatever happened to all this season's losers of the year?. Ev'ry time I got to thinking, where'd they disappear?. When I woke up, Mom and Dad are rolling on the couch.. Rolling numbers, rock and rolling, got my Kiss records out.. Mommy's alright, Daddy's alright, they just seem a little weird.. Surrender, surrender, but don't give yourself away, ay, ay, ay.. Away.. Away.. Mommy's alright, Daddy's alright, they just seem a little weird.. Surrender, surrender, but don't give yourself away, ay, ay, ay."
"come on, come on (demo)","Oo baby, feelin' so good;. Don't you ruin it tonight, tonight.. It's been so long since I don't know when;. Oo treat me, treat me, treat me right.. Don't ever lose me 'cause you're the one.. Show me you're really mine, you're mine;. Come on, come on.. Well, I know you can do it;. Come on, come on.. Well, there ain't nothin' to it.. Yeah, yeah, yeah, yeah well I know you believe me.. Yeah, yeah yeah, yeah, you can see the real me.. Oo baby, come right here;. You were so lonely but now you're here.. It's been so long since I don't know when;. Oo come on, come on, do it again.. Don't ever lose me 'cause you're the one.. Show me you're really mine, you're mine;. Come on, come on.. Well, I know you can do it;. Come on, come on.. Well, there ain't nothin' to it.. Yeah, yeah, yeah, yeah well I know you believe me.. Yeah, yeah yeah, yeah, you can see the real me.. Oo baby, feelin' so good;. Don't you ruin it tonight, tonight.. It's been so long since I don't know when;. Oo treat me, treat me, treat me right.. Don't ever lose me 'cause you're the one.. Show me you're really mine, you're mine;. Come on, come on.. Well, I know you can do it;. Come on, come on.. Well, there ain't nothin' to it.. Yeah, yeah, yeah, yeah well I know you believe me.. Yeah, yeah yeah, yeah,. You can see the real me, the real me.. Ad-lib. Repeat and fade.."
(i'm my) best friend,"BEST FRIEND. (R. Nielsen, R. Zander, T. Petersson). Mmmm. When the moon came up. And the sun went down. All I could see was a national frown. It was pounded from flesh. And harder than steel. Pretty in pink that's just how I feel. Leave me alone cuz I'm my best friend. If you wanna be with me I'll be there til the end. Til the end of time and time again. Just leave me alone cuz I'm my best friend. Yeah, yeah. Cuz I'm my best friend now. Cuz I'm my best friend now. All I got is might and will. If all I got is might and will. Can't slow down cuz down we'll go. Where I step you don't wanna know. Round round round we'll go. Where I step is where I wanna go. Go go go go. Where I wanna be is where I wanna go. Lofty thoughts high ideals. lofty skirts. Is what appeals. This baby is no Baby Ruth. He was too smart for her. She was so damned cute. I'm sick and tired can't be late. I'm so damn mad I can't keep straight. Time and time and time again. Leave me alone cuz I'm my best friend yeah. Leave me alone cuz I'm my best friend yeah. I'm my best friend yeah. I'm my best friend yeah. I'm my best friend yeah."
3-d,"Look at me, I appear in the night. Look at me, I'm made up of lights. Look at me, I am really a sight. A sight to behold. To hold with your eyes. Look at me, I can move like you. Look at me, I can zoom in on you. Look at me, I can...and scream. I can make you laugh, I can make you scream. 3-D, the more you look. The more you'll see. 3-D, the more you. The closer I'll see you. Look at me, I'm out of control. Look at me. You can look down my throat. Look at me, but can't out just me. I'm mind, I'm matter on the video screen. Look at me, ooh, the reds and greens. Look at me, all the colors so real. Look at me, I'll make you laugh. And I'll make you scream. I'm mind, I'm matter on the video screen. 3-D, the more you look. The more you'll see. 3-D, the more you. The closer I'll see you. I like what I see. I feel good about me. You'll like what you see. You'll like what you see You'll like what you see You'll like what you see You'll like what you see. Well it's in 3-D. 3-D, the more you look. The more you'll see. 3-D, the more you look. The more you'll see. 3-D, the more you look. The more you'll see. 3-D, the more you look. The closer I'll see you."
ain't that a shame,"You made me cry when you said good-bye.. Ain't that a shame...my tears fall like rain. Ain't that a shame...you're the one to blame.. You broke my heart, now we're apart.. Ain't that a shame...my tears fall like rain. Ain't that a shame...you're the one to blame.. Ah, yes you are,. Farewell, good-bye, although I'll cry.. Ain't that a shame...my tears fall like rain. Ain't that a shame...you're the one to blame.. Ah!. You made me cry when you said good-bye.. Ain't that a shame...my tears fall like rain. Ain't that a shame...you're the one to blame.."
all i really want to do,"I'm in the right place just at the wrong time. Oh, what am I gonna do?. She left her name but she left no number. Oh, what am I gonna do?. I'm in the thick of it no one to turn to. Let me explain [what I mean to do]. Coming and going and going and coming. I'm going to be coming the better I'll be gone. (Chorus). All I really wanna do is love you (ooh, ooh). Open up your heart and let me love you (ooh, ooh). I can't help it I can't stop it. I can't keep my heart from saying. All I really want to do is love you (ooh, ooh, ah yeah). I let her in but she couldn't stay well. Oh what am I gonna do?. I said the right thing just at the wrong time. Don't know what I'm gonna do.. Coming and going and going and coming. I'm going to be coming the better I'll be gone. (Chorus). (Chorus repeat to fade)."
