you know my name,If you take a life. Do you know what you'll give?. Odds are you won't like what it Is. When the storm arrives. Would you be seen with me?. By the merciless eyes I've deceived. I've seen angels fall from blinding heights. But you yourself are nothing so divine. Just next in line. (Chorus). Arm yourself because no one else here will save you. The odds will betray you. And I will replace you. You can't deny the prize it may never fulfill you. It longs to kill you. Are you willing to die?. The coldest blood runs through my veins. You know my name. If you come inside. Things will not be the same. When you return to the night. And if you think you've won. You never saw me change. The game that we have been playing. I've seen those diamonds cut through harder men. Then you yourself but if you must pretend. You may meet your end. (Chorus). Try to hide your hand. Forget how to feel (forget how to feel). Life is gone. At just a spin of the wheel (spin of the wheel). (Chorus). )
nothing compares 2 u (feat. toni cornell),"It's been seven hours and fifteen days. Since you took your love away. I go out every night and sleep all day. Since you took your love away. Since you been gone I can do whatever I want. I can see who ever I choose. I can eat my dinner in a fancy restaurant. But nothing, I said nothing can take away these blues. Cause nothing compares. Nothing compares to you. It's been so lonely without you here. Like a bird without a song. Nothing can stop these lonely tears from falling. Tell me, baby, where did I go wrong. I could put my arms around every boy I see. But they only remind me of you. I went to the doctor and guess what it told me. guess what it told me. He said, ""Girl, you better try to have fun. no matter what you do. "". But he's a fool. Cause nothing compares. Nothing compares to you. All the flowers that you planted, mama. In your back yard. All died when you went away. I know that living with you baby was sometimes hard. But I'm willing to give it another try. Cause nothing compares. Nothing compares to you. Nothing compares. Nothing compares to you"
when bad does good,"Standing beside an open grave. You're fate decided, your life erased. Your final hour has come today. Lit by the fire of your temples burning. You were a child and so was I. Now you're a hunter but I am a lion. And I will cut you down like I've done so many times. But sometimes bad can do some good. Sometimes bad can do some good. Sometimes bad can do some good. And I heard you say that flesh sells by the pound. When blood is raining down it cuts a deep river. And I'm diving. Now shine a light down onto the earth. And shake this gold dust out, out of the dirt. No saints beside me and no prayers to guide me. Sometimes bad can do some good. Bad can do some good. Sometimes bad can do some good. (Rain down, heaven is falling). I've chosen a side and I will show no pity. (Rain down, heaven is falling). And spare no lives. For those who try me. (Rain down, heaven is falling). Let it be understood. Sometimes bad can do some good. (Rain down, heaven is falling). Sometimes bad can do some good. (Rain down, heaven is falling). Sometimes bad can do some good"
i am the highway,"Pearls and swine bereft of me. Long and weary my road has been. I was lost in the cities, alone in the hills. No sorrow or pity for leaving, I feel. I am not your rolling wheels, I am the highway. I am not your carpet ride, I am the sky. Friends and liars don't wait for me. 'cause I'll get on all by myself. I put millions of miles under my heels. And still too close to you I feel. I am not your rolling wheels, I am the highway. I am not your carpet ride, I am the sky. I am not your blowing wind, I am the lightning. I am not your autumn moon. I am the night, night. I am not your rolling wheels, I am the highwa. I am not your blowing wind, I am the lightning. I am not your autumn moon. I am night, night, night. Yeah, yeah, yeah, yeah. I am not your carpet ride, I am the sky"
nearly forgot my broken heart,Every time I stare into the sun. Trying to find a reason to go on. All I ever get is burned and blind. Until the sky bleeds the pouring rain. When you came along the time was right. Pulled me like an apple and ripe. Wasn't very long you took a bite. And did me wrong and it serves me right. And I nearly forgot my broken heart. It's taking me miles away. From the memory of how it broke apart. Here we go round again.... again. Every little key unlocks the door. Every little secret has a lie. Try to take a picture of the sun. It won't help you to see the light. Every little word upon your lips. Makes a little cut where blood pours out. Every little drop of blood a kiss. That I won't miss not for anything. And I nearly forgot my broken heart. It's taking me miles away. From the memory of how it broke apart. Here we go round again. Every single feeling tells me. This is leading to a heart. In broken little pieces. And you know I need this. Like a hole in the head. Every single feeling tells me. This is leading to a heart. In broken little pieces. And you know I need this. Like a hole in the head. And I nearly forgot my broken heart. It's taking me miles away. From the memory of how broke apart. Here we go round again. Here we go round again. Here we go round again. Here we go round again
arms around your love,"With his arms around your love. Oh no, here comes the pain that you can't ignore. With his arms around your girl. He'll do all of the things you didn't do before. You had every chance, but you closed the door. Now you're just gonna have to take it. (Cause if you didn't know). She's gonna make you pay for it. (At a price you can't afford). You're just gonna have to take it. With his arms around your love (x3). Oh, yeah. Pretend that you don't mind. But you know everything that you left behind. And it would have been alright. If you'd gave half of the praise that you held inside. You thought she'd hang around for the ride. Now you're just gonna have to take it. (Cause if you didn't know). She's gonna make you pay for it. (At a price you can't afford). You're just gonna have to take it. With his arms around your love (x3). Coming clean feels so dangerous. Just a little bit would have been enough. But you never said all the words caught in your head. As if your heart was dead. Well now its surely bled and broken up. And it would have been alright. If you'd gave half of the praise that you held inside. You thought she'd hang around for the ride. Now you're just gonna have to take it. (Cause if you didn't know). She's gonna make you pay for it. (At a price you can't afford). You're just gonna have to take it. With his arms around your love"
seasons,"Summer nights and long warm days. Are stolen as the old moon falls. My mirror shows another face. Another place to hide it all. Another place to hide it all. And I'm lost, behind. The words I'll never find. And I'm left behind. As seasons roll on by. Sleeping with a full moon blanket. Sand and feathers for my head. Dreams have never been the answer. And dreams have never made my bed. Dreams have never made my bed. And I'm lost, behind. The words I'll never find. And I'm left behind. As the seasons roll on by. When I wanna fly above the storm. But you can't grow feathers in the rain. And the naked floor is cold as hell. This naked floor reminds me. Oh the naked floor reminds me. And I'm lost, behind. Words I'll never find. And I'm left behind. As the seasons roll on by. If I should be short on words. And long on things to say. Could you crawl into my world. And take me worlds away. Should I be beside myself. And never even stay. And I'm lost behind. Words I'll never find. And I'm left behind. As the seasons roll on by"
nothing compares 2 u,"It's been seven hours and fifteen days. Since you took your love away. I go out all night and sleep all day. Since you took your love away. Since you've been gone I can do whatever I want. I can see whomever I choose. I can eat my dinner in a fancy restaurant. But nothing, nothing can take away these blues. 'Cause nothing compares. Nothing compares to you. It's been so lonely without you here. Like a bird without a song. Nothing can stop these lonely tears from falling. Tell me, where did I go wrong?. I could put my arms around. any girl I choose. But they just remind me of you. I went to the doctor and guess what he told me?. He said: Boy, you better try to have fun. No matter what you do. But he's a fool. 'Cause nothing compares. Nothing compares to you. All the flowers that you planted, mama, in your backyard. All died when you went away. I know that living with you, baby, was sometimes hard. But I'm willing to give it another try. 'Cause nothing compares. Nothing compares to you. Nothing compares to you. Nothing compares to you. To you"
billie jean,"She was more like a beauty queen. From a movie scene. I said, 'don't mind. But what do you mean. I am the one. Who will dance on the floor, in the round'. She said, 'I am the one who will dance. On the floor in the round'. She said her name was Billie Jean. As she caused a scene. Then every head turned with eyes. That dreamed of being the one. Who will dance on the floor, in the round. People always told me,. 'Be careful of what you do. And don't go around. Breaking young girls' hearts'. And mother always told me,. 'Be careful of who you love. be careful what you do. 'before the lie becomes the truth'. Billie Jean is not my lover. She's just a girl who says that. I am the one. But the kid is not my son. She says I am the one. But the kid is not my son. For forty days and forty nights. Law was on her side. But who can stand. When she's in demand. Her schemes and plans. 'Cause we danced on the floor, in the round. So take my strong advice. and remember to always think twice. Do think twice. She told my baby. We danced till three. And she looked at me. Then showed a photo. My baby cried. His eyes were like mine. Can we dance on the floor, in the round,yeah. People always told me,. 'Be careful of what you do. don't go around. Breaking young girls' hearts'. But you came and stood right by me. Just a smell of sweet perfume. This happened much too soon. She called me to her room. yeah. Billie Jean is not my lover. She's just a girl who says that. I am the one. But the kid is not my son. She says I am the one. But the kid is not my son. yeah. Billie Jean is not my lover. She's just a girl who says that. I am the one. But the kid is not my son. She says I am the one. But the kid is not my son. So take my strong advice. and remember to always think twice. Do think twice"
you never knew my mind,"I know you feel the way I change. But you can't change the way I feel. Sometimes I'm a stranger to you. One of a kind. And I think someway you'll make it. Though you don't know how to take it. Sometimes you're a stranger to me. One of a kind. There were times of lots of laughter. And you felt you understood. We were carefree, open and honest. Loving easy, kind and true. And I suppose you never doubted. That we were all together fine. You never really knew my mind. You never really knew my mind. My silence holds the secrets. When I answer but don't answer. You did not see me well enough. To recognize the signs. You didn't want to notice. Or know that it was over. I did not see you well enough. To recognize the signs. And there were times of lots of laughter. And you felt you understood. We were carefree, open and honest. Loving easy, kind and true. And I suppose you never doubted. That we were all together fine. Then you saw the changes painfully. And you knew, you never really knew my mind. And I suppose you never doubted. That we were all together fine. Sometimes I'm a stranger to you. And sometimes you're a stranger to me. Sometimes, maybe all the time. You never really knew my mind. I never really knew your mind"
black hole sun,"In my eyes. Indisposed. In disguise. As no one knows. Hides the face. Lies the snake. The sun. In my disgrace. Boiling heat. Summer stanch. 'Neath the black. The sky looks dead. Call my name. Through the dream. And I'll hear you. Scream again. (Chorus). Black hole sun. Won't you come. And wash away the rain. Black hole sun. Won't you come. Won't you come. Won't you come. Stuttering. Cold and damp. Steal the warm wind. Tired friend. Times are gone. For honest men. And sometimes Far too long. For snakes. In my shoes. Walking sleep. And my youth. I pray to keep. Heaven send. Hell away. No one sings. Like you. Anymore. Chorus x2. Won't you come. (Black hole sun, black hole sun) x4. Hang my head. Drown my fear. Till you all just. Disappear. Chorus x3. Won't u come (Black hole sun, Black hole sun) x7"
can't change me,She can do anything at all. About anything she pleases. If I were to change what she thinks is wrong. What could she want with me?. . But wait just one minute here. I can see that she's trying to read me. Suddenly I know. . She's going to change the world. But she can't change me. No she can't change me. . She has the daylight at her command. She gives the night its dreams. She can uncover your darkest fear. And make you forget you feel it. . But wait just one minute more. I can see that she's trying to free me. Suddenly I know. . She's going to change the world. But she can't change me. . Suddenly I can see everything that's wrong with me. But what can I do?. I'm the only thing I really have at all. . But wait just one minute here. I can see that she's trying to need me. Suddenly I know. . She's going to change the world. But she can't change me. No she can't change me.
redemption song,"Old pirates, yes, they rob I;. Sold I to the merchant ships,. Minutes after they took I. From the bottomless pit.. But my hand was made strong. By the hand of the Almighty.. We forward in this generation. Triumphantly.. . Won't you help to sing. These songs of freedom. 'Cause all I ever have:. Redemption songs. Redemption songs. Emancipate yourselves from mental slavery;. None but ourselves can free our minds.. Have no fear for atomic energy,. 'Cause none of them can stop the time. How long shall they kill our prophets,. While we stand outside and look. Some say it's just a part of it:. We've got to fulfill the book.. Won't you help to sing. These songs of freedom. 'Cause all I ever have:. Redemption songs. Redemption songs. Redemption songs. (Guitar break). Emancipate yourselves from mental slavery;. None but ourselves can free our mind.. Wo! Have no fear for atomic energy,. 'Cause none of them-a can-a stop-a-the time. How long shall they kill our prophets,. While we stand aside and look?. Yes, some say it's just a part of it:. We've got to fulfil the book.. Won't you help to sing. These songs of freedom? -. 'Cause all I ever had:. Redemption songs -. All I ever had:. Redemption songs:. These songs of freedom,. Songs of freedom."
the promise,"If I had nothing to my name. But photographs of you. Rescued from the flames. That is all I would ever need. As long as I can read. What's written on your face. The strength that shines. Behind your eyes. The hope and light. That will never die. And one promise you made. One promise that always remains. No matter the price. A promise to survive. Persevere and thrive. As we've always done. And you said. ""The poison in a kiss. Is the lie upon the lips"". Truer words were never shared. When I feel. Like lies are all I hear. I pull my memories near. The one thing they can't take. And one promise you made. One promise that always remains. No matter the price. A promise to survive. Persevere and thrive. As you've always done. The books still open on the table. The bells still ringing in the air. The dreams still clinging to the pillow. The songs still singing in a prayer. Now my soul. Is stretching through the roots. To memories of you. Back through time and space. To carry home. The faces and the names. And photographs of you. Rescued from the flames. And one promise you made. One promise that always remains. No matter the price. A promise to survive. Persevere and thrive. And dare to rise once more. A promise to survive. Persevere and thrive. And fill the world with life. As we've always done"
josephine,Josephine where can you be now?. Again the sun is rising on my troubled heart. Don't deny you know you and I. Are the making of what fate. Just can't pull apart. My sweet Josephine. Won't you come and marry me?. I got every kind of love. That you would ever need. Dying here on bended knees. Sheets of rain. Cold and gray. Run down the page. Just about your name. With just the weight. Of your silent smile. Crashing all around me. While I screamed it out loud. My sweet Josephine. Won't you come and marry me?. I got every kind of love. That you would ever need. Dying here on bended knees. Like a raven in a cage. Blood on my birth. Just won't wash away. Like a stitched together doll. My feet to the flame. As I follow the blame. For someone else's pain. For someone else's pain. Rivers of black ink flood. A tapestry of flesh and blood around my frame. A living shrine just for you of human mind. Golden pen upon your hand. Leave this endless winter behind. My sweet josephine. Won't you come and marry me?. I got every single kind of love. That you would ever need. Dying here on bended knees. Dying here on bended knees. Dying here on bended knees. My Josephine
