wicked game,"The world was on fire and. No one could save me but you. It's strange what desire make foolish people do. I'd never dreamed that I'd meet somebody like you. And I'd never dreamed that I'd lose somebody like you. No, I don't want to fall in love. (This girl is only gonna break your heart). No, I don't want to fall in love. (This girl is only gonna break your heart). With you. What a wicked game you played. To make me feel this way. What a wicked thing to do. To let me dream of you. What a wicked thing to say. You never felt this way. What a wicked thing to do. To make me dream of you. And I don't want to fall in love. (This girl is only gonna break your heart). No, I don't want to fall in love. (This girl is only gonna break your heart). With you. The world was on fire and. No one could save me but you. It's strange what desire will make foolish people do. I'd never dreamed that I'd love somebody like you. and I'd never dreamed that I'd lose somebody like you. No, I don't want to fall in love. (This girl is only gonna break your heart). No, I don't want to fall in love. (This girl is only gonna break your heart). With you. No I.... Nobody loves no one"
can't help falling in love,"Wise men say only fools rush in. but I can't help falling in love with you. Shall I stay would it be a sin. If I can't help falling in love with you. Like a river flows surely to the sea. Darling so it goes some things are meant to be. take my hand, take my whole life too. for I can't help falling in love with you. Like a river flows surely to the sea. Darling so it goes some things are meant to be. take my hand, take my whole life too. for I can't help falling in love with you. for I can't help falling in love with you"
lie to me,"There is a woman, far over the sea.. Standing and waiting, praying for me.. Here I lie sleeping, a girl by my side.. Who am I hurting, each time I lie.. Lie to me, lie. Lie to me, lie.. There is a woman, trying hard to be brave.. The way that I hurt her, has made her afraid.. Things that I'm doing, are breaking her heart.. Still she's pretending, we'll never part.. Lie to me, lie. Lie to me, lie.. I don't care what people may say, I know everybody lies.. I'm not trying to hurt my love, I'm only trying to get by.. ( Guitar Solo ). There is a woman, far over the sea.. Standing and waiting, praying for me.. Here I lie guilty, a girl by my side.. Who am I hurting, each time I lie.. Lie to me, lie. Lie to me, lie. Lie to me, lie. Lie to me, Lie.."
don't leave me on my own,"I've been thinking alot about you,. I'm so lonely here without you. please,. Don't leave me on my own.. I was hoping that you would write me,. or come and see me or just invite. me please,. Don't leave me on my own.. If you come back here, I'll fix the place up,. I really love you, let's not give up. please.. Don't leave me on my own.. I stay up late now cause I've been crying,. I say I'm ok but I'd be lieing. please.. Don't leave me on my own.. ( Guitar Solo ). Please don't leave me all alone.. I've been thinking alot about you,. I'm so lonely here without you. please,. Don't leave me on my own.. Please don't leave me on my own.. Please don't leave me on my own.."
last month of the year,"Tell me when was Jesus born. Last month of the year. Tell me when was Jesus born. Last month of the year. Tell me when was Jesus born. Last month of the year. Yeah, wasn't January, February, March, April or May. June, July, August, September, October, November. Was the 25th day of December. Was the last month of the year. He was born to the Virgin Mary. Last month of the year. He was born to the Virgin Mary. Last month of the year. He was born to the Virgin Mary. Last month of the year. Yeah, wasn't January, February, March, April or May. June, July, August, September, October, November. Was the 25th day of December. Was the last month of the year. He was born in an ox manger. Last month of the year. He was born in an ox manger. Last month of the year. Yeah, wasn't January, February, March, April or May. June, July, August, September, October, November. Was the 25th day of December. It was the last month of the year. Jesus, Jesus, Jesus"
diddley daddy,"Diddley, diddley, diddley, diddley daddy.. Diddley, diddley, diddley, diddley daddy.. Diddley, diddley, diddley, diddley daddy.. Diddley, diddley, diddley, diddley daddy.. I got a baby that's oh so pretty.. I found her out here in this knock dead city.. Somebody kissing my baby last night.. My baby said "" Junior that's all right"".. Diddley, diddley, diddley, diddley daddy.. Diddley, diddley, diddley, diddley daddy.. Diddley, diddley, diddley, diddley daddy.. ( Musical Interlude ). Baby now baby understand.. Jimmy looks good but he's a half a man.. Roy looks cool but he's oh so cold.. And then a big old junker gonna wreck your soul.. Diddley, diddley, diddley, diddley daddy.. Diddley, diddley, diddley, diddley daddy.. Diddley, diddley, diddley, diddley daddy.. Two orphan babies were lying in the bed.. The bigger one talked to Jimmy and said,. ""Love you Jimmy with all of my heart"".. Jimmy woke up and tore the place apart.. Diddley, diddley, diddley, diddley daddy.. Diddley, diddley, diddley, diddley daddy.. Diddley, diddley, diddley, diddley daddy.. ( Guitar Solo ). Baby now baby hear my scene.. I wanna know if you do love me.. I love you baby with all my heart.. Oh please don't ever say we will part.. Diddley, diddley, diddley, diddley daddy.. Diddley, diddley, diddley, diddley daddy.. A-be-by-bick-you-by-go-go-go-yeah. ( Second Solo )."
one day,"Don't tell me that you love me. Or that you'll never leave me. Give me one day in your life. Just put your arms around me. And tell me that you need me. Give me one day in your life. One day is all I ask for. One day to be with you. One day is all I ask for. One more day feeling like I do. Over you. This world could turn against me. But it wouldn't matter baby. Give me one day in your life. Don't tell me that you want me. Or that you're thinking of me. Give me one day in your life. One day is all I ask for. One more day to be with you. One more day is all I ask for. One more day, feel like I do. Over you. If forever scares you baby. We'll take it slow and easy. Give me one day in your life. Just give me one day in your life. One day is all I ask for. One day to be with you. One more day, is all I ask for. One more day, feel like I do. Over you. Give me one day in your life. Give me one day in your life. Give me one day in your life."
5:15,Oh-h-h-h. 5:15 is just a train. 5:24 it leaves the station again. Tell me why. Did she go. 5:15 is just a line. Big Mac train took the girl of mine. Tell me where does she go. Tell me where does she go. What big dreams we had. Now I watch those dreams all fade and die. What big plans we had. Now I watch those trains go rolling by. Rolling by. Rolling by. I'm watching the trains. The trains. O-u-u-u. 5:15 is just a train. 5:24 it leaves the station again. Tell me why did she go. Tell me why did she go. I'm watching the trains. The trains. The trains. The trains. The trains. The trains the trains the trains........ Ou-u-u-u.
7 lonely nights,"Seven lonely days without a word.. Did I do something somehow that you heard?. Well I'll be fine.. You're not even on my mind.. Believe me, I'll be fine.. Seven lonely nights without a friend.. Something tells me this might be the end.. Well I'll be fine.. You're not even on my mind.. Believe me, I'll be fine.. I'll be fine.. You're not even on my mind.. Believe me, I'll be fine.. Believe me, I'll be fine.."
always got tonight,"Here's to good times, baby now it's up to you. Tell me darlin what it is you wanna do. If you want me, you know I could be with you. We always got tonight, always got tonight. You say you're happy that you found somebody new. Now you're leaving, gone for a day or two. Think it over, I can make it up to you. We always got tonight. Ain't no stars up in the sky, I wonder why I feel so blue. Over you. It doesn't matter what you say, I feel this way. Feel like it's true, when I look at you. Take it easy, tell him that you'll telephone. If he calls back, just pretend you're all alone. If you love me, then it is really wrong. We always got tonight, always got tonight. There ain't a cloud up in the sky. I don't know why I feel so blue. Without you. You tell me now you want me too. It doesn't matter what you do. I'm here for you. Ain't no stars up in the sky, now you're gone. Doesn't matter what you do on your own. You told me once that you were mine, you were wrong. I'm alone. Skip the bad times, tell me how it's gonna be. What we do now, really isn't up to me. Let me come by, this much I can guarantee. We always got tonight, always got tonight. Ain't no stars up in the sky, I wonder why I get so blue. Over you. Doesn't matter what you say, I feel this way. Feel like it's true, when I look at you. Doesn't matter what you say, now you're gone. Doesn't matter what you do on your own. I told you once that you were mine, I was wrong. Now you're gone. Always got tonight, we always got tonight baby. Oooooh, yeah."
