my obsession,"If you want me to listen whisper. If you want me to run just walk. Wrap your name in lace and leather. I can hear you. You don't need to talk. Let us make thousand mistakes. Cause we will never learn. You're my obsession. My fetish,my religion. My confusion,my confession. The one I want tonight. You are my obsession. The question and conclusion. You are,you are,you are. My fetish you are. You can kiss me with your torture. Tie me up to golden chains. Leave me beggin undercover. Wrong or right. It's all a role play. Let us make a thousand mistakes. We will never learn. You're my obsession. My fetish, my religion. My confusion, my confession. The one I want tonight. You're my obsession. The question and conclusion. You are, you are, you are. My fetish you are. Come to me tonight. You're my obsession. My fetish, my religion. My confusion, my confession. The one I want tonight. You're my obsession. The question and conclusion. You are, you are, you are. My fetish you are"
je ne regrette rien,We all have our secrets. They're better left unsaid. We all have our issues. That we want to forget. I was getting kicks. Out of my box of tricks. I was playing with her mind. Planting bombs to get inside. But now favorite toy has left. and she said. There's no regrets. Why's love and hate. Always a step ahead. What's left. Caught in betrayal. We failed. Je ne regrette rien. We failed. Je ne regrette rien. It was all so cosy. Her world of lillipinks. Rubbing all my glitter. On my litter to sink in. Washing with the paste. She used for the gaze. I was cutting up her. Edges with disgrace. But now my favorite toy has left. and she said. There's no regrets. Why's love and hate. Always a step ahead. What's left. Caught in betrayal. We failed. Je ne regrette rien. We failed. Je ne regrette rien. I am Jekyll when I'm Hyde. I'm a demon locked inside. I am restless when I sleep. I'm the beauty and the beast. She knew me. Yet she said. There's no regrets. Why's love and hate. Always a step ahead. What's left. Caught in betrayal. We failed. Je ne regrette rien. We failed. Je ne regrette rien. We failed. Je ne regrette rien
angel in disguise,I was betrayed. There is no fate. An open sore. I'm in too deep. I can't believe. Anymore. Will you take what's left of me. Reanimate my trust in fate. Angel in disguise - you save my soul. But you make my heart go blind. My devils rage inside - just can't let go. Cause it feels so right. You make my heart go blind. The city sleeps. In empty streets. No glam of hope - godforsaken. There's no escape. I'm so afraid. Of being cold. Just to cope with society. Reanimate my trust in fate. Angel in disguise - you save my soul. But you make my heart go blind. My devils rage inside - just can't let go. Cause it feels so right. You make my heart go blind. You save my soul. You make my heart go blind. There is no fate. We've been betrayed. Can you calm (ease) my mind?. I'm blind with rage. Reanimate. My trust in fate. Search deep down inside. And heal the pain. Angel in disguise - you save my soul. But you make my heart go blind. My devils rage inside - just can't let go. Cause it feels so right. You make my heart go blind. Angel in disguise - you save my soul. But you make my heart go blind. My devils rage inside - just can't let go. Cause it feels so right. You make my heart go blind you save my soul. You make my heart go blind
i don't believe,"I don't believe in anything. I don't believe in anything. Everyday, everyday. I just dream away, dream away. To another world. Everyday I can see. People all around looking at me. I know what they're thinking:. He is such a lonely rider,. He is such an outsider,. 'Cause in my heart.... I don't believe in anything. Anything if you're not with me. I don't believe in anything. Anything cause you're not with me. I don't believe in anything. Anything if you're not with me. I don't believe in anything. Anything cause you're not with me. Everyday, everyday. I know what they say,what they say. ""You'll be soon forgotten!"". No way, no way. They can cure me cure me,. I'm a mess inside now. There is nothing left to fight for,. Nothing to make it to the right. You're in my heart. I don't believe in anything. Anything if you're not with me. I don't believe in anything. Anything cause you're not with me. I do not believe in anything. I do not believe in anything. Anything cause you're not with me. This is the sound of my remedy. 'Cause I am what I am. You are what you are. This is my heart in a melody. 'Cause you are what you are. I am What I am. I don't believe in anything. Anything if you're not with me. I don't believe in anything. Anything cause you're not with me"
are you crying,See our love is in ruins who's said it would. It's about to vanish whithout a trace now. We've given up the fight both of us hungry. Hungry for life but not for love. Now that we don't stand the gost of a chance. To get back together find romance. IF I had the choice to make you feel better. I'd make it better for all times. Are you crying or is it the rain. Falling down to wash away your tears. Are you crying or is it your pain. I see glistening in your eyes. say you want me to be near. Want those tears to disappear. See our lovelight shining through a cloudy day. Make it go away 'cause it's all pain. Say you want me to come nearer. Just in case I won't you'll be crying. Now that we don't stand the gost of a chance. To get back together find romance. IF I had the choice to make you feel better. I'd make it better for all times. Are you crying or is it the rain. Falling down to wash away your tears. Are your crying or is it your pain. I see glistening in your eyes. say you want me to be near. Want those tears to disappear. Now that we don't stand the gost of a chance. To get back together find romance. IF I had the choice to make you feel better. I'd make it better for all times. Are you crying or is it the rain. Falling down to wash away your tears. Are your crying or is it your pain. I see glistening in your eyes. say you want me to be near. Want those tears to disappear
forever or never,"I don't believe in miracles. I never did. Nothing ever happens here. So sick of it. I-I-I told you. I-I-I need to. Get, get myself. Into something new. I long for somethin' mystical. Hysterical, dark and tantric sexual. (Chorus). I'm not gonna live forever. Said - I'm not gonna live forever. Better make it now or never. E-ever, e-ever. I'm not gonna live forever. Said - I'm not gonna live forever. Gotta make it now or never. Forever or never. I don't believe in fairytales. Too cynical. Everybody stop and stare. I let it go. I-I-I told you. I-I-I need to. Stick, stick, stick out I. Just can't be like you. Send myself to outer space. A better place. Gotta win the human race. (Chorus). I'm not gonna live forever. Said - I'm not gonna live forever. Better make it now or never. E-ever, e-ever. I'm not gonna live forever. Said - I'm not gonna live forever. Gotta make it now or never. Forever or never"
after the rain,Bitter sweet memories. Of a love we had before. Blinded by sanity. What's behind the crimson door?. What happened to my eyes. Incapable of seeing signs. There's just one miracle. That's left of this love. After the rain. I still see heaven crying. After the rain. I still feel no relief. Cause everything we used to be. And used to feel. It all becomes so frightening real. After the rain. Rainbow skies turned to grey. Ever since we lost our smile. Innocence gone astray. Since the day we said goodbye. What happened to our dreams. Aborted in this dried out stream. There's just one miracle. That's left of this love. After the rain. I still see heaven crying. After the rain. I still feel no relief. Cause everything we used to be. And used to feel. It all becomes so frightening real. After the rain. After the rain. I still see heaven crying. After the rain. I still feel no relief. Cause everything we used to be. And used to feel. It all becomes so frightening real. After the rain
american beauty,Like a spider to a fly she sang. I was tangled in her web. I lived to see her smile until I saw the fangs. Was I lost in a mirage or was it in me. American beauty - just an illusion of a girl. American beauty - Spreading her image to the world. I couldn't have tried to fight her to deny her. I'd - A died to lie beside her. Wrong or right she was mine - American beauty. Every whisper drew me closer still. Every breath we seemed to share. I couldn't turn away she moved in for the kill. Did i give in to the bait or lead it to me. American beauty - just an illusion of a girl. American beauty - Spreading her image to the world. I couldn't have tried to fight her to deny her. I'd - A died to lie beside her. Wrong or right she was mine - American beauty. No more the same is she to blame. Or am I responsible because I came. Moth to a flame I surrendered to her pull. I'd - A died to lie beside her. Wrong or right she was mine for a night. American beauty - just an illusion of a girl. American beauty - Spreading her image to the world. American beauty - Still I can feel her in my veins. American beauty - Part of me now forever stained. I couldn't have tried to fight her to deny her. I'd - A died to lie beside her. Wrong or right she was mine - American beauty
angel in disguise,I was betrayed. There is no fate. An open sore. I'm in too deep. I can't believe. Anymore. Will you take what's left of me. Reanimate my trust in fate. Angel in disguise - you save my soul. But you make my heart go blind. My devils rage inside - just can't let go. Cause it feels so right. You make my heart go blind. The city sleeps. In empty streets. No glam of hope - godforsaken. There's no escape. I'm so afraid. Of being cold. Just to cope with society. Reanimate my trust in fate. Angel in disguise - you save my soul. But you make my heart go blind. My devils rage inside - just can't let go. Cause it feels so right. You make my heart go blind. You save my soul. You make my heart go blind. There is no fate. We've been betrayed. Can you calm (ease) my mind?. I'm blind with rage. Reanimate. My trust in fate. Search deep down inside. And heal the pain. Angel in disguise - you save my soul. But you make my heart go blind. My devils rage inside - just can't let go. Cause it feels so right. You make my heart go blind. Angel in disguise - you save my soul. But you make my heart go blind. My devils rage inside - just can't let go. Cause it feels so right. You make my heart go blind you save my soul. You make my heart go blind
are you crying,See our love is in ruins who's said it would. It's about to vanish whithout a trace now. We've given up the fight both of us hungry. Hungry for life but not for love. Now that we don't stand the gost of a chance. To get back together find romance. IF I had the choice to make you feel better. I'd make it better for all times. Are you crying or is it the rain. Falling down to wash away your tears. Are you crying or is it your pain. I see glistening in your eyes. say you want me to be near. Want those tears to disappear. See our lovelight shining through a cloudy day. Make it go away 'cause it's all pain. Say you want me to come nearer. Just in case I won't you'll be crying. Now that we don't stand the gost of a chance. To get back together find romance. IF I had the choice to make you feel better. I'd make it better for all times. Are you crying or is it the rain. Falling down to wash away your tears. Are your crying or is it your pain. I see glistening in your eyes. say you want me to be near. Want those tears to disappear. Now that we don't stand the gost of a chance. To get back together find romance. IF I had the choice to make you feel better. I'd make it better for all times. Are you crying or is it the rain. Falling down to wash away your tears. Are your crying or is it your pain. I see glistening in your eyes. say you want me to be near. Want those tears to disappear
