mr. jones,"Sha la la la la la la..... hmm, uh huh.... I was down at the New Amsterdam. Staring at this yellow-haired girl. Mr. Jones strikes up a conversation. With a black-haired, flamenco dancer. She dances while his father plays, guitar. She's suddenly beautiful. We all want something beautiful. Man I wish I was beautiful. So come dance this silence down through the mornin'. Sha la la la la la la la yeah.. uh huh, yeah.... Cut up, Maria!. Show me some of that Spanish dancin'. Pass me a bottle, Mr. Jones. Believe in me. Help me believe in anything. 'Cause I, wanna be someone who believes. Yeah.... Mr. Jones and me, tell each other fairy tales. And we stare at the beautiful women. ""She's looking at you. Ah, no, no, she's looking at me."". Smiling in the bright lights. Coming through in stereo. When everybody loves you. You can never be lonely. Well, I'm gonna paint my picture. Paint myself in blue and red and black and gray. All of the beautiful colors are very very meaningful. Yeah, well, you know gray is my favorite color. I felt so symbolic yesterday. If I knew Picasso. I would buy myself a gray guitar and play. Mr. Jones and me, look into the future. Yeah, we stare at the beautiful women. ""She's looking at you. I don't think so. She's looking at me."". Standing in the spotlight. I bought myself a gray guitar. When everybody loves me, I will never be lonely. I will never be lonely. Said I'm never gonna be, lonely. I want to be a lion. E-Everybody wants to pass as cats. We all want to be big big stars, yeah. But we got different reasons for that. Believe in me 'cause I don't believe in anything. and I, I want to be someone to believe, to believe, to believe, yeah. Mr. Jones and me stumbling through the barrio. Yeah we stare at the beautiful women. ""She's perfect for you, Man, there's got to be somebody for me."". I want to be Bob Dylan. Mr. Jones wishes he was someone just a little more funky. When everybody loves you, oh, son, that's just about as funky as you can be. Mr. Jones and me staring at the video. When I look at the television. I want to see me staring right back at me. We all wanna be big stars. But we don't know why and we don't know how. But when everybody loves me. I'm wanna be just about as happy as I could be. Mr. Jones and me, we're gonna be big stars."
accidentally in love,"So she said what's the problem baby. What's the problem I don't know. Well maybe I'm in love (love). Think about it every time. I think about it. Can't stop thinking 'bout it. How much longer will it take to cure this. Just to cure it cause I can't ignore it if it's love (love). Makes me wanna turn around. and face me but I don't know nothing 'bout love. ooh. Come on, come on. Turn a little faster. Come on, come on. The world will follow after. Come on, come on. 'cause everybody's after love. So I said I'm a snowball running. Running down into the spring that's coming all this love. Melting under blue skies. Belting out sunlight. Shimmering love. Well baby I surrender. To the strawberry ice cream. Never ever end of all this love. Well I didn't mean to do it. But there's no escaping your love. These lines of lightning. Mean we're never alone,. Never alone, no, no. Come on, Come on. Move a little closer. Come on, Come on. I want to hear you whisper. Come on, Come on. Settle down inside my love. Come on, come on. Jump a little higher. Come on, come on. If you feel a little lighter. Come on, come on. We were once. Upon a time in love. We're accidentally in love. Accidentally in love (x7). Accidentally. I'm in Love, I'm in Love,. I'm in Love, I'm in Love,. I'm in Love, I'm in Love,. Accidentally (X 2). Come on, come on. Spin a little tighter. Come on, come on. And the world's a little brighter. Come on, come on. Just get yourself inside her. Love ...I'm in love"
they paved paradise,"They paved paradise and put up a parkin' lot. With a pink hotel, a boutique, and a swingin' hot spot. Don't it always seem to go. That you don't know what you got till it's gone. They paved paradise and put up a parking lot. They took all the trees, and put em in a tree museum. And they charged the people a dollar and a half to see them. Don't it always seem to go. That you don't know what you got till it's gone. They paved paradise, and put up a parking lot. Hey farmer, farmer, put away your DDT. I don't care about spots on my apples,. LEAVE me the birds and the bees please. Don't it always seem to go. That you don't know what you got till it's gone. They paved paradise and put up a parking lot. Hey now, they paved paradise to put up a parking lot. Why not?. Listen, late last night, heard the screen door slam. And a big yellow taxi took my girl away. Don't it always seem to go. That you don't know what you got till it's gone. They paved paradise and put up a parking lot. Well, don't it always seem to go. That you don't know what you got till it's gone. They paved paradise to put up a parking lot. Well now, they paved paradise. And put up a parking lot. I don't wanna give it. Why you wanna give it. Why you wanna givin it all away. Hey, hey, hey. Now you wanna give it. I should wanna give it. Now you wanna givin it all away. Hey, paved paradise, put up a parking lot. Paved paradise, and put up a parking lot"
big yellow taxi (feat. vanessa carlton),"[Adam Duritz]. They paved paradise. And put up a parking lot. With a pink hotel, a boutique. And a swingin' hot spot. Don't it always seem to go. That you don't know what you got 'til it's gone. They paved paradise. And put up a parking lot. [Vanessa Carlton]. Ooooh, bop bop bop. Ooooh, bop bop bop. [Adam]. They took all the trees. And put em in a tree museum. And they charged the people a dollar and a half to see them. No, no, no. Don't it always seem to go. That you don't know what you got 'til it's gone. They paved paradise. And put up a parking lot. [Vanessa]. Ooooh, bop bop bop. Ooooh, bop bop bop. [Adam]. Hey farmer, farmer. Put away your DDT. I don't care about spots on my apples. Leave me the birds and the bees. Please. Don't it always seem to go. That you don't know what you got 'til it's gone. They paved paradise and put up a parking lot. Hey now, they paved paradise. To put up a parking lot. Why not?. [Vanessa]. Ooooh, bop bop bop. Ooooh, bop bop bop. [Adam]. Listen, late last night, I heard the screen door slam. And a big yellow taxi took my girl away. Don't it always seem to go. That you don't know what you got 'til it's gone. They paved paradise. And put up a parking lot. Well, don't it always seem to go. That you don't know what you got 'til it's gone. They paved paradise. To put up a parking lot. Why not?. They paved paradise. And put up a parking lot. Hey hey hey. Paved paradise. And put up a parking lot. [Vanessa]. Ooooh, bop bop bop. Ooooh, bop bop bop. [Adam, Vanessa]. I don't wanna give it. Why you wanna give it. Why you wanna giving it all away. Hey, hey, hey. Now you wanna give it. I should wanna give it. Now you wanna giving it all away. I don't wanna give it. Why you wanna give it. Why you wanna giving it all away. Hey, hey, hey. Now you wanna give it. I should wanna give it. Cos you giving it all away. Hey, hey, givin it all,. givin it all....away. [Vanessa]. Why do you want me?. why do you want me?. [Adam]. Cos' you're givin it all away. Hey, paved paradise. To put up a parking lot"
round here,"Step out the front door like a ghost. Into the fog where no one notices. The contrast of white on white.. And in between the moon and you. Angels get a better view. Of the crumbling difference between wrong and right.. I walk in the air between the rain,. Through myself and back again.. Where? I don't know. Maria says she's dying.. Through the door, I hear her crying. Why? I don't know. Round here we always stand up straight. Round here something radiates. Maria came from Nashville with a suitcase in her hand. She said she'd like to meet a boy who looks like Elvis. She walks along the edge of where the ocean meets the land. Just like she's walking on a wire in the circus. She parks her car outside of my house and. Takes her clothes off,. Says she's close to understanding Jesus. She knows she's more than just a little misunderstood. She has trouble acting normal when she's nervous. Round here we're carving out our names. Round here we all look the same. Round here we talk just like lions. But we sacrifice like lambs. Round here she's slipping though my hands. Oh, Sleeping children better run like the wind. Out of the lightning dream. Mama's little baby better get herself in. Out of the lightning. She says, ""It's only in my head."". She says, ""Shhh...I know it's only in my head."". But the girl on the car in the parking lot. Says: ""Man, you should try to take a shot. Can't you see my walls are crumbling?"". Then she looks up at the building. And says she's thinking of jumping.. She says she's tired of life;. She must be tired of something.. Round here she's always on my mind. Round here, Hey man, I got lots of time. Round here we're never sent to bed early. And nobody makes us wait. Round here we stay up very very very very late. I... I can't see nothing, nothing. Round here. (Ya) Catch me if I'm falling. (Ya) Catch me if I'm falling. (Will'ya) Catch me if I'm falling down on you. I said I'm under the gun. Round here. Oh man, I said I'm under the gun. Round here. I can't see nothing, nothing. Round here"
colorblind,I am colorblind. Coffee black and egg white. Pull me out from inside. I am ready. I am ready. I am ready. I am taffy stuck and tongue tied. Stutter-shook and uptight. Pull me out from inside. I am ready. I am ready. I am ready. I am fine. I am covered my skin. No one gets to come in. Pull me out from inside. I am folded. And unfolded. And unfolding. I am colorblind. Coffee black and egg white. Pull me out from inside. I am ready. I am ready. I am ready. I am fine
omaha,"Start tearing the old man down. Run past the heather and down to the old road. Start turning the grain into the ground Roll a new leaf over. In the middle of the night,. there's an old man treading around in the gathered rain. Well mister, if you're going to walk on water. Could you drop a line my way?. Omaha Somewhere in middle America. Get right to the heart of matters. It's the heart that matters more. I think you better turn your ticket in. And get your money back at the door. Start threading a needle. Brush past the shuttle that slides through the cold room. Start turning the wool across the wire Roll a new life over. In the middle of the night,. there's an old man threading his toes through a bucket of rain. Hey mister, you don't want to walk on water. you're only going to walk all over me. Omaha Somewhere in middle America. Get right to the heart of the matters. It's the heart that matters more. I think you better turn your ticket in. And get your money back at the door. Start running the banner down. Drop past the color come up through the summer rain. Start turning the girl into the ground Roll a new love over. In the middle of the day,. there's a young man rolling around in the earth and rain. Hey Mister, if you're going to walk on water. You know you're only going to walk all over me.. Omaha Somewhere in middle America. Get right to the heart of matters. It's the heart that matters more. I think you better turn your ticket in. And get your money back at the door."
a long december,"A long December and there`s reason to believe. Maybe this year will be better than the last. I can`t remember the last thing that you said as you were leavin`. Now the days go by so fast. And it`s one more day up in the canyons. And it`s one more night in Hollywood. If you think that I could be forgiven...I wish you would. The smell of hospitals in winter. And the feeling that it`s all a lot of oysters, but no pearls. All at once you look across a crowded room. To see the way that light attaches to a girl. And it`s one more day up in the canyons. And it`s one more night in Hollywood. If you think you might come to California...I think you should. Drove up to Hillside Manor sometime after two a.m.. And talked a little while about the year. I guess the winter makes you laugh a little slower,. Makes you talk a little lower about the things you could not show her. And it`s been a long December and there`s reason to believe. Maybe this year will be better than the last. I can`t remember all the times I tried to tell myself. To hold on to these moments as they pass. And it`s one more day up in the canyon. And it`s one more night in Hollywood. It`s been so long since I`ve seen the ocean...I guess I should"
possibility days,"It was a cold three am at JFK. Guess you stayed cause you wanted to stay. We went from zero to everything. All in a day. and then Kennedy took you away. I thought of a short robe that was keeping you warm. and the moments that make up. your life till you wake up. You sit on a swing in the dark with a girl and. she tells you she wanted to kiss you. and you know?. The worst part of a good day. is hearing yourself say goodbye. to one more possibility day. that goes on. and on. I go west but your weather has changed. You? re just scared, I mistake it for strange. When you want me to leave. then you start to believe I should stay. I gotta get out of L. A. Seems like the short days are over. cause you just don? t sleep in the daylight. so I don? t sit up nights. I lie on my back on the top of a hill. and your body is breaking. the sky is just shaking. And the worst part of a good day. is knowing. it? s slipping away. that one more possibility day?. it is gone?. We were waiting for winter this year. but you came and it never appeared. Me and you we know too many reasons. for people and seasons. that pass like they weren? t even here. and now living in smiles is better, you say. we carry the burdens of all of our days. So I? m scared that you? ll leave. And you? re scared that I? ll stay. it? s an impossibility day. And we only saw half the ballet. I said goodnight. Goodbye. It seemed like a good thing. So you know it? s a good lie. You can run out of choices. and still hear a voice in your head. when you? re lying in bed. And it says that the best part. of a bad day. is knowing it? s ok. the color of everything changes. the sky rearranges it? s shade. and your smile doesn? t fade. into a phone call. and one bad decision we made. And the worst part of a good day. is the one thing you don? t say. and you don? t know how. but you wish there was some way. So you pull down the shades. and you shut out the light. because somehow we mixed up goodbye and goodnight. And the one thing you won? t say. is everyone knows possibility days. ? are impossible. It just feels wrong. So wrong. still you? re gone, long gone"
perfect blue buildings,"Just down the street from your hotel, baby. I stay at home with my disease. And ain't this position familiar, darling. Well, all monkeys do what they see. Help me stay awake, I'm falling.... Down on Virginia and La Loma. Where I got friends who'll care for me. You got an attitude of everything I ever wanted. I got an attitude of need. Help me stay awake, I'm falling.... Asleep in perfect blue buildings. Beside the green apple sea. Gonna get me a little oblivion. Try to keep myself away from me. It's 4:30 A.M. on a Tuesday. It doesn't get much worse than this. In beds in little rooms in buildings in the middle. of these lives which are completely meaningless. Help me stay awake, I'm falling.... Asleep in perfect blue buildings. Beside the green apple sea. Gonna get me a little oblivion. Try to keep myself away from myself and me. I got bones beneath my skin, and mister.... There's a skeleton in every man's house. Beneath the dust and love and sweat that hangs on everybody. There's a dead man trying to get out. Please help me stay awake, I'm falling.... Asleep in perfect blue buildings. Beside the green apple sea. Gonna get me a little oblivion baby. Try to keep myself away from me."
