sweet jane,"Anyone who's ever had a heart. Wouldn't turn around and break it. Anyone who's ever played a part. Wouldn't turn around and break it. Sweet Jane -2x. Ah, sweet, sweet Jane. Waited for Jimmy down in the alley. Waited there for him to come back home. Waited down on the corner. Thinking of ways to get back home. Sweet Jane -2x. Ah, sweet, sweet Jane. Anyone who's ever had a dream. Anyone who's ever played a part. Anyone who's ever been lonely. Anyone who's ever split apart. Sweet Jane -2x. Ah, sweet, sweet Jane. Heavenly blue-eyed roses. Seem to whisper to me. When you smile. Heavenly blue-eyed roses. Seem to whisper to me. When you smile. La, la, la, la.... Sweet Jane."
baby please don't go,"Now, baby, please don't go. Now, baby, please don't go. Now, baby, please don't go back to New Orleans. You know I love you so, you know I love you so. You got me waiting here. You got me waiting here. Before a .... Baby, please don't go. Baby, please don't go. Don't you call my name. Don't you call my name. Well you got me way down here. On a ball and chain. Oh, baby, please don't go. Oh, baby, please don't go. Now, baby, please don't go. Now, baby, please don't go. Now, baby, please don't go back to New Orleans. You know I love you so, you know I love you so. ...no, don't go."
a horse in the country,"(Michael Timmins). The money would be pretty good. if a quart of milk were still a dollar. or even if a quart of milk were still a quart. And the hours, well, I don't mind. how they creep on by like an old love of mine. it's the years that simply disappear that are doing me in. Guess I married too young,. yeah, nineteen was just too young,. but sometimes you meet someone. and your guts just burn. It's not that I don't love him anymore. it's just that when I hear him. coming through that front door. my heart doesn't race like it did once before. But I've got a horse out in the country. I get to see him every second Sunday. He comes when I call him,. yeah, he knows his name. One day I'll saddle up. and the two of us will ride away. This weather I could almost stand. if the sun would shine a little brighter. or even if the sun would shine at all. But lately it just seems to me. that this life has lost its mystery. and these cold fall mornings seem to bite. just a little bit harder. And all my friends have settled down. become their mothers and their fathers. without a sound. Except for Cathy,. she bought a one-way subway ticket. and left us all behind. But I've got a horse out in the country. I get to see him every second Sunday. He comes when I call him,. yeah, he knows his name. One day I'll saddle up. and the two of us will ride away. This town wouldn't be so bad. if a girl could trust her instincts. or even if a girl could trust a boy."
he will call you baby,"He will call you baby. but will he listen when you cry?. He will call you sweetheart. but always seem apart.. He will tear all your fences down,. trample all into the ground.. He will call you baby.. She will call you honey. and leave you twisting in the wind.. She will call you darling,. keep you stunned and wondering.. She will take you to another world. where the winds of confusion swirl.. She will call you honey.. We should call them lucky. as they watch their babies dance.. Or maybe call them crazy. for even thinking they have a chance.. They will carry her as far as they can. then abandon her once again,. they will call her baby.. They will call her baby"
brand new world,"Mouths to feed, shoes to buy. Rent to pay, tears to dry. Brand new world. I can't relate. Let us choose. To not participate. Open up. Let me wander in. Your heart is not. Such a tender thing. Brand new world. I contend. Only love. Will stop the withering. Oh, to lie in wait. As the shadows and the shapes. Spill across the walls. Like a river. Deep. In spate. Four am. Dark reality. Brand new world. And my heart. Is missing"
anniversary song,"Have you ever seen a sight as beautiful. as that of the rain-soaked purple. of the white birch in spring?. Have you ever felt more fresh or wonderful. than on a warm fall night. under a Mackerel sky,. the smell of grapes on the wind?. Well I have known all these things. and the joys that they can bring. And I'll share them all for a cup of coffee. and to wear your ring. Have you ever had the pleasure of watching. a quiet winter's snow slowly gathering. like simple moments adding up?. Have you ever satisfied a gut feeling. to follow a dry dirt road that's beckoning you. to the heart of a shimmering summer's day?. Well I have known all these things. and the joys that they can bring. And I'll share them all for a cup of coffee. and to wear your ring. And I don't know how I survived those days. before I held your hand. Well I never thought that I would be the one. to admit that the moon and the sun. shine so much more brighter when. seen through two pairs of eyes than. when seen through just one. Have you ever seen a sight as beautiful. as a face in a crowd of people. that lights up just for you?. Have you ever felt more fresh or wonderful. as when you wake. by the side of that boy or girl. who has pledged their love to you?. Well I have known all these things. and the joys that they can bring. And now every morning there's a cup of coffee. and I wear your ring."
200 more miles,"Atlanta's a distant memory. Montgomery a recent birth. and Tulsa burns on the desert floor. like a signal fire. I got Willie on the radio. a dozen things on my mind. and number one is fleshing out. these dreams of mine. I've got 200 more miles of rain asphalt in line. before I sleep. But there'll be no warm sheets or welcoming arms. to fall into tonight. In Nashville there is a lighter. in a case for all to see. it speaks of dreams and heartaches. left unsung. And in the corner stands a guitar and. lonesome words scrawled in a drunken hand. I don't travel past, travel hard before. and I'm beginning to understand. That I've got 200 more miles of rain asphalt in line. before I sleep. But there'll be no warm sheets or welcoming arms. to fall into tonight. They say that I am crazy. my life wasting on this road. that time will find my dreams. scared or dead and cold. But I heard there is a light. drawing me to reach an end. and when I reach there, I'll turn back. and you and I can begin again. I've got 200 more miles of rain asphalt in line. before I sleep. But there'll be no warm sheets or welcoming arms. to fall into tonight. I've got 200 more miles of rain asphalt in line. before I sleep. But I wouldn't trade all your golden tomorrows. for one hour of this night. Atlanta's a distant memory. Montgomery a recent birth. and Tulsa burns on the desert floor. like a signal fire."
i'm so lonesome i could cry,Hear the lonesome whippoorwill. His song's too blue to fly. The midnight train is a-winding low. I'm so lonesome I could cry. I've never seen a night so long. When time keeps crawling by. The moon is gone behind the clouds. To hide his face and cry. Have you ever seen a robin weep. When leaves have turned to brown?. Like me he's lost his will to live. I'm so lonesome I could cry. The silence of a falling star. Lights up a purple haze. and as I wonder where you are. I'm so lonesome I could cry.
license to kill,"Man thinks 'cause he rules the earth. He can do with it as he please. And if things don't change soon, he will. Oh, man has invented his doom. First step was touching the moon. Now there's a woman on my block. She just sit there as the night grow still. She say who gonna take away his license to kill. Now, they take him and they teach him. And they groom him for life. And they set him on a path where he's bound to get ill. Then they bury him with stars. Sell his body like they do used cars. Now there's a woman on my block. She just sit there facin' the hill. She say who gonna take away his license to kill. Now, he's hell bent for destruction. He's afraid and confused. And his brain has been mismanaged with great skill. All he believes are his eyes. And his eyes they just tell him lies. But there's a woman on my block. Sitting there in a cold chill. She say who gonna take away his license to kill. May be noisemaker, spirit maker. Heartbreaker, backbreaker. Leave no stone unturned. May be an actor in a plot. That might be all that you got. Till your error you clearly learn. Now he worships at an altar of a stagnant pool. And when he sees his reflection he's fulfilled. Oh, man is opposed to fair play. He wants it all and he wants it his way. Now, there's a woman on my block. She just sit there as the night grow still. She say who gonna take away his license to kill. (instrumental verse)"
close my eyes,"I want to walk away. like Judas from the table.. Turn my back. and walk away.. I want to close my eyes. like that novice at the altar.. Bow my head. and close my eyes.. Sorrow took Love's splintered hands. and waltzed her 'cross a painted floor.. Whispered softly in her ear,. ""let's get outta here"".. I'm going to breathe the air. that my children will be breathing.. Breathe them out. and breathe them in again.. I'm going to close my eyes. And walk away.. Turn my back. bow my head. and close my eyes."
