sunshine of your love,"It's getting near dawn,. When lights close their tired eyes.. I'll soon be with you my love,. To give you my dawn surprise.. I'll be with you darling soon,. I'll be with you when the stars start falling.. I've been waiting so long. To be where I'm going. In the sunshine of your love.. I'm with you my love,. The light's shining through on you.. Yes, I'm with you my love,. It's the morning and just we two.. I'll stay with you darling now,. I'll stay with you till my seas are dried up.. Chorus. Second Verse. I've been waiting so long. I've been waiting so long. I've been waiting so long. To be where I'm going. In the sunshine of your love.."
white room,"In the white room. With black curtains. Near the station.. Blackroof country,. No gold pavements,. Tired starlings.. Silver horses. Ran down moonbeams. In your dark eyes.. Dawnlight smiles. On you leaving,. My contentment.. I'll wait in this place. Where the sun never shines;. Wait in this place. Where the shadows. Run from themselves.. You said no strings. Could secure you. At the station.. Platform ticket,. Restless diesels,. Goodbye windows.. I walked into such. A sad time. At the station.. As I walked out,. Felt my own need. Just beginning.. I'll wait in the queue. When the trains come back;. Lie with you. Where the shadows. Run from themselves.. At the party. She was kindness. In the hard crowd.. Consolation. For the old wound. Now forgotten.. Yellow tigers. Crouched in jungles. In her dark eyes.. She's just dressing,. Goodbye windows,. Tired starlings.. I'll sleep in this place. With the lonely crowd;. Lie in the dark. Where the shadows. Run from themselves."
i feel free,"Feel when I dance with you,. We move like the sea.. You, you're all I want to know.. I feel free, I feel free, I feel free.. I can walk down the street, there's no one there. Though the pavements are one huge crowd.. I can drive down the road; my eyes don't see,. Though my mind wants to cry out loud.. I feel free, I feel free, I feel free.. I can walk down the street, there's no one there. Though the pavements are one huge crowd.. I can drive down the road; my eyes don't see,. Though my mind wants to cry out loud,. Though my mind wants to cry out loud.. Dance floor is like the sea,. Ceiling is the sky.. You're the sun and as you shine on me,. I feel free, I feel free, I feel free."
those were the days,"by Ginger Baker and Mike Taylor. When the city of Atlantis stood serene above the sea,. Long time before our time when the world was free,. Those were the days.. Golden cymbals flying on ocarina sounds,. Before wild Medusa's serpents gave birth to hell. Disguised as heaven.. Those were the days, yes they were, those were the days.. Those were their ways, miracles everywhere are they now?. They're gone.. Those were their ways, yes they were, those were their ways.. Those were the days, yes they were, those were the days.. Tie your painted shoes and dance, blue daylight in your hair,. Overhead a noiseless eagle fans a flame.. Wonder everywhere.. Chorus."
badge,"by Eric Clapton and George Harrison. Thinkin' 'bout the times you drove in my car.. Thinkin' that I might have drove you too far.. And I'm thinkin' 'bout the love that you laid on my table.. I told you not to wander 'round in the dark.. I told you 'bout the swans, that they live in the park.. Then I told you 'bout our kid, now he's married to Mabel.. Yes, I told you that the light goes up and down.. Don't you notice how the wheel goes 'round?. And you better pick yourself up from the ground. Before they bring the curtain down,. Yes, before they bring the curtain down.. Talkin' 'bout a girl that looks quite like you.. She didn't have the time to wait in the queue.. She cried away her life since she fell off the cradle.."
outside woman blues,"If you lose your money, great God, don't lose your mind.. If you lose your money, great God, don't lose your mind.. And if you lose your woman, please don't fool with mine.. I'm gonna buy me a bulldog, watch my lady whilst I sleep.. I'm gonna buy me a bulldog, watch my lady whilst I sleep.. 'Cause women these days, they're so doggone crooked,. That they might make off 'fore day creep.. Well, you can't watch your wife and your outside women, too.. You know you can't watch your wife and your outside womens, too.. Cause when you're out with your women, your wife will be at home,. Cooking your food, doing your dirt, buddy what you trying to do?. You can't watch your wife and your outside womens, too.. You know you can't watch your wife and your outside women, too.. When you're out with your women, your wife will be at home,. Doing a dirt, cooking your food, buddy what you trying to do?."
i'm so glad,"by Skip James. I'm so glad, I'm so glad. I'm glad, I'm glad, I'm glad.. I'm so glad, I'm so glad. I'm glad, I'm glad, I'm glad.. I don't know what to do, I don't know what to do, I don't know what to do.. I'm tired of weeping, I'm tired of moaning, I'm tired of crying for you.. Chorus. I'm tired of weeping, I'm tired of moaning, I'm tired of groaning for you.. I don't know what to do, I don't know what to do, I don't know what to do.. Chorus. Repeat Chorus Five Times."
crossroads,"I went down to the crossroads, fell down on my knees.. I went down to the crossroads, fell down on my knees.. Asked the Lord above for mercy, ""Save me if you please."". I went down to the crossroads, tried to flag a ride.. I went down to the crossroads, tried to flag a ride.. Nobody seemed to know me, everybody passed me by.. I'm going down to Rosedale, take my rider by my side.. I'm going down to Rosedale, take my rider by my side.. You can still barrelhouse, baby, on the riverside.. You can run, you can run, tell my friend-boy Willie Brown.. You can run, you can run, tell my friend-boy Willie Brown.. And I'm standing at the crossroads, believe I'm sinking down.."
sleepy time time,"by Jack Bruce and Janet Godfrey. I'm a sleepy time baby, a sleepy time boy.. Work only maybe, life is a joy.. We'll have a sleepy time time.. We'll have a sleepy time time.. We'll have a sleepy time time.. We'll have a sleepy time time.. Sleepy time time, sleepy time all the time.. Asleep in the daytime, asleep at night.. Life is all playtime; working ain't right.. Chorus. I have my Sunday, that ain't no lie.. But on Monday morning comes my favorite cry.. Chorus."
anyone for tennis,"by Eric Clapton and Martin Sharp. Twice upon a time in the valley of the tears. An auctioneer is bidding for a box of fading years. And the elephants are dancing on the graves of squealing mice.. Anyone for tennis, wouldn't that be nice?. And the ice creams are all melting on the streets of bloody beer. While the beggars stain the pavements with flourescent Christmas cheer. And the Bentley-driving guru is putting up his price.. Anyone for tennis, wouldn't that be nice?. And the prophets in the boutiques give out messages of hope. With jingle bells and fairy tales and blind colliding scopes. And you can tell they're all the same underneath the pretty lies.. Anyone for tennis, wouldn't that be nice?. The yellow Buddhist monk is burning brightly at the zoo. You can bring a bowl of rice and then a glass of water too. And fate is setting up the chessboard while death rolls out the dice.. Anyone for tennis, wouldn't that be nice?."
sweet wine,"by Ginger Baker and Janet Godfrey. Who wants the worry, the hurry of city life.. Money, nothing funny; wasting the best of our life.. Sweet wine, hay making, sunshine day breaking.. We can wait till tomorrow.. Car speed, road calling, bird freed, leaf falling.. We can bide time.. Second Verse. First Verse."
san francisco bay blues,"Got the blues from my baby left me by the san francisco bay,. The ocean liner's gone so far away.. Didn't mean to treat her so bad, she was the best girl i ever have had,. She said goodbye, i can take a cry, i want to lay down and die.. I ain't got a nickel and i ain't got a lousy dime.. She don't come back, think i'm going to lose my mind.. If she ever gets back to stay, it's going to be another brand new day,. Walking with my baby down by the san francisco bay.. Sitting down looking from my back door,. Wondering which way to go,. The woman i'm so crazy about, she don't love me no more.. Think i'll catch me a freight train, 'cause i'm feeling blue,. And ride all the way to the end of the line, thinking only of you.. Meanwhile, in another city,. Just about to go insane,. Thought i heard my baby, lord, the way she used to call my name.. If i ever get her back to stay, it's going to be another brand new day,. Walking with my baby down by the san francisco bay,. Walking with my baby down by the san francisco bay,. Walking with my baby down by the san francisco bay."
world of pain,"by Gail Collins and Felix Pappalardi. Outside my window is a tree.. Outside my window is a tree.. There only for me.. And it stands in the gray of the city,. No time for pity for the tree or me.. There is a world of pain. In the falling rain. Around me.. Is there a reason for today?. Is there a reason for today?. Do you remember?. I can hear all the cries of the city,. No time for pity for a growing tree.. Chorus. First Verse. Chorus."
take it back,"by Jack Bruce and Pete Brown. Take it back, take it back, take that thing right out of here.. Right away, far away, take that thing right out of here.. Don't let them take me to where streams are red.. I want to stay here and sleep in my own bed.. Need all your loving, long blonde hair,. Don't let them take me 'cause I'm easily scared.. Take it back, take it back, take that thing right out of here.. Chorus. I got this great need, the need to stay alive.. Not ashamed of my creed, I've got to survive.. So come on baby, don't go away,. Just let them save me for a rainy day.. Take it back, take it back, take that thing right out of here.. I got this need, the need to stay alive.. Not ashamed of my creed, I've got to survive.. So come on baby, don't go away,. Just let them save me for a rainy day.. Take it back, take it back, take that thing right out of here.. Chorus. I got this thing, I've got to keep it sharp.. Don't go to places where it won't shine in the dark.. So come on baby, don't go away,. Just let them save me for a rainy day.. Take it back, take it back, take that thing right out of here.."
strange brew,"Strange brew killing what's inside of you. She's a witch of trouble in electric blue. In her own mad mind she's in love with you, with you. Now whatcha gonna do?. Strange brew killing what's inside of you. She's some kind of demon dusting in the flue. If you don't watch out it'll stick to you, to you. What kind of fool are you. Strange brew killing what's inside of you. On a boat in the middle of a raging sea. She would make a scene for it all to be ignored. And wouldn't you be bored. Strange brew killing what's inside of you"
n. s. u.,"By Jack Bruce. Driving in my car, smoking my cigar,. The only time I'm happy's when I play my guitar.. Singing in my yacht, what a lot I got,. Happiness is something that just cannot be bought.. I've been in and I'm out, I've been up and down,. I don't want to go until I've been all around.. What's it all about, anyone in doubt,. I don't want to go until I've found it all out."
spoonful,"by Willie Dixon. Could fill spoons full of diamonds,. Could fill spoons full of gold.. Just a little spoon of your precious love. Will satisfy my soul.. Men lies about it.. Some of them cries about it.. Some of them dies about it.. Everything's a-fightin' about the spoonful.. That spoon, that spoon, that spoonful.. That spoon, that spoon, that spoonful.. That spoon, that spoon, that spoonful.. That spoon, that spoon, that spoonful.. Could fill spoons full of coffee,. Could fill spoons full of tea.. Just a little spoon of your precious love;. Is that enough for me?. Chorus. Could fill spoons full of water,. Save them from the desert sands.. But a little spoon of your forty-five. Saved you from another man.. Chorus. . CAT'S SQUIRREL (traditional). (instrumental)."
stormy monday,"They call it stormy monday, yes but tuesday’s just as bad.. They call it stormy monday, yes but tuesday’s just as bad.. Wednesday’s even worse; thursday’s awful sad.. The eagle flies on friday, saturday I go out to play.. The eagle flies on friday, but saturday I go out to play.. Sunday I go to church where I kneel down and pray.. And I say, ""lord have mercy, lord have mercy on me.. Lord have mercy, lord have mercy on me.. Just trying to find my baby, won’t you please send her on back to me."". The eagle flies on friday, on saturday I go out to play.. The eagle flies on friday, on saturday I go out to play.. Sunday I go to church, where I kneel down, lord and I pray.. Then I say, ""lord have mercy, won’t you please have mercy on me.. Lord, oh lord have mercy, yeah, won’t you please, please have mercy on me.. I’m just a-lookin’ for my sweet babe, so won’t you please send him home,. Send him on home to me."""
dreaming,"Dreaming about my love;. You bring me joy and hours of happiness,. More or less.. I dream my life away.. Waiting for you to come;. Changing my life for you to emptyness,. Meaningless.. Minutes just drift by.. I don't care if I get nowhere.. I can just dream and you'll be there.. What else is there to do?. Dreaming about my life;. Where are you now, and when will you. Come to me?. I dream my life away.. Chorus. First Verse. Dreaming, dreaming.."
pressed rat and warthog,"by Ginger Baker and Mike Taylor. Pressed rat and warthog have closed down their shop.. They didn't want to; 'twas all they had got.. Selling atonal apples, amplified heat,. And pressed rat's collection of dog legs and feet.. Sadly they left, telling no one goodbye.. Pressed rat wore red jodhpurs, warthog a striped tie.. Between them, they carried a three-legged sack,. Went straight round the corner and never came back.. Pressed rat and warthog have closed down their shop.. The bad captain madman had told them to stop. Selling atonal apples, amplified heat,. And pressed rat's collection of dog legs and feet.. The bad captain madman had ordered their fate.. He laughed and stomped off with a nautical gate.. The gate turned into a deroga tree. And his pegleg got woodworm and broke into three.. Pressed rat and warthog have closed down their shop.. They didn't want to; 'twas all they had got.. Selling atonal apples, amplified heat,. And pressed rat's collection of dog legs and feet.."
blue condition,"by Ginger Baker. Don't take the wrong direction passing through. Instead of deep reflection of what's true,. For it's a combination of judgments made by you. That cause a deep dejection all the way through.. No relaxation, no conversation, no variation. In a very dark blue, blue condition.. Early rising every day.. You must be enterprising in your way,. For you will hear no laughter, nor see the sun;. Life would be one disaster all the way through.. Chorus. First Verse. Chorus. Chorus."
cat's squirrel,"[Instrumental except for the bridge:]. All right, all right, all right"
tales of brave ulysses,"You thought the leaden winter would bring you down forever,. But you rode upon a steamer to the violence of the sun.. And the colors of the sea blind your eyes with trembling mermaids,. And you touch the distant beaches with tales of brave Ulysses:. How his naked ears were tortured by the sirens sweetly. singing,. For the sparkling waves are calling you to kiss their white laced lips.. And you see a girl's brown body dancing through the turquoise,. And her footprints make you follow where the sky loves the sea.. And when your fingers find her, she drowns you in her body,. Carving deep blue ripples in the tissues of your mind.. The tiny purple fishes run laughing through your fingers,. And you want to take her with you to the hard land of the winter.. Her name is Aphrodite and she rides a crimson shell,. And you know you cannot leave her for you touched the distant sands. With tales of brave Ulysses; how his naked ears were. tortured. By the sirens sweetly singing.. The tiny purple fishes run lauging through your fingers,. And you want to take her with you to the hard land of the winter."
deserted cities of the heart,"Upon this street where time has died.. The golden treat you never tried.. In times of old, in days gone by.. If I could catch your dancing eye.. It was on the way,. On the road to dreams, yeah.. Now my heart's drowned in no love streams, yeah.. The street is cold, its trees are gone.. The story's told the dark has won.. Once we set sail to catch a star.. We had to fail, it was too far.. Chorus. I felt the wind shout like a drum.. You said, ""My friend, love's end has come."". It couldn't last, had to stop.. You drained it all to the last drop.. Chorus. Now my heart's drowned in no love streams, yeah.. On this dark street the sun is black.. The winter life is coming back.. On this dark street it's cold inside.. There's no retreat from time that's died.. It was on the way,. On the road to dreams, yeah.. Now my heart's drowned in no love streams, yeah, yeah, yeah, yeah, yeah, yeah, yeah.. Now my heart's drowned in no love streams, yeah.. Now my heart's drowned in no love."
walk away,"You leave a trail of tears wherever you go.. One of us will hold you, the other one won't.. But I could never share your love or leave it behind.. Break his heart, not mine.. Do you remember tender moments we shared?. How could this true affection vanish into thin air?. He's not worth the trouble, baby; he's just a waste of your time.. Oh, break his heart, not mine.. Don't you walk away,. You know you're gonna miss me.. Don't you walk away, walk away.. You're gonna miss me,. You're gonna miss my love.. So don't you walk away,. Don't you walk away, walk away.. Don't you walk away, walk away.. So I'll be waiting in the backroom, baby, when you kiss him goodbye.. Oh, break his heart not mine, but.... Chorus. Don't you walk away, walk away.. Oh don't you walk away.. I know you're gonna miss my love.. Don't you walk away, walk away.. Don't you walk away.. You're gonna miss my love.. Don't you walk away, walk away."
anyone for tennis,"by Eric Clapton and Martin Sharp. Twice upon a time in the valley of the tears. An auctioneer is bidding for a box of fading years. And the elephants are dancing on the graves of squealing mice.. Anyone for tennis, wouldn't that be nice?. And the ice creams are all melting on the streets of bloody beer. While the beggars stain the pavements with flourescent Christmas cheer. And the Bentley-driving guru is putting up his price.. Anyone for tennis, wouldn't that be nice?. And the prophets in the boutiques give out messages of hope. With jingle bells and fairy tales and blind colliding scopes. And you can tell they're all the same underneath the pretty lies.. Anyone for tennis, wouldn't that be nice?. The yellow Buddhist monk is burning brightly at the zoo. You can bring a bowl of rice and then a glass of water too. And fate is setting up the chessboard while death rolls out the dice.. Anyone for tennis, wouldn't that be nice?."
as you said,"by Jack Bruce and Pete Brown. Let's go down to where it's clean. To see the time that might have been.. The tides have carried off the beach.. As you said,. The sun is out of reach.. Let's go back to where it's clean. To see what year it might have been.. The roads have carried off the smiles.. As you said,. To judge them at the trials.. Let's go back to now that's bad. To see the time we might have had.. The rails have carried off the trains.. As you said,. I'll never come again, again, again, again.."
bad influence,"You use me to get you anything you wanted.. Oh, but I'm a changed man now, baby,. And your other friend can get you what you want now.. If I go through those same things again,. I'll be worse off than I started.. Girl, you're such a bad influence. And you've got ways to make me do what you want.. Girl, you're such a bad influence;. I've got to stay away.. I've been hurt in all of the worst kind of ways,. And it's you pretty baby,. I've just got to stay away from.. I won't go through those same things again;. I'm so glad that we parted.. Chorus. Somebody please, you've got to help me break away.. You know I don't like this lonely feeling.. It wasn't meant to be this way.. I won't go through those same things again;. I'm so glad we parted.. Chorus. You're such a bad influence;. And I have got to stay away.. You're such a bad influence;. I've got to stay away from you, baby.. I've got to stay away."
