undertow,The games we play. The tales we spin. Ain't always the way. Original sin. Would you die for me in the icy sea?. Pry me free from this life I lead. Undertow. Settled in this from so long ago. Here they come to drag me down below. Here they come the undertow. Soldier of fortune. Who broke down doors. Sign of the scorpion or out of law. Would you die for me in the icy sea?. Pry me free from this life I lead. Undertow. Settled in there from so long ago. Here they come to drag me down below. Here they come the undertow. Undertow. Settle in there from so long ago. Here they come to drag me down below. Here they come the undertow
malibu man,I moved from New York. With my boogie board. And bought a big house on the ocean. I stopped being me. I took the shoes off my feet. Just because I took the notion. My hair gave in so my beard came out. Caused quite a face of commotion. It grew past my lips and then it covered my mouth. So no one could read my emotions. Malibu Man. Isn't life great. Got the world in his hands. Malibu Man. Sometimes I get up. But I'm feeling down. I don't have a sister or brother. No family no wife. But I'm still living my life. Just step from a stone to another. I'm a myth of man. I ride the waves when I can. I make the music so people will buy it. I take pride in my ways. And my colossal duvets. I'm just an old fashion retailers riot. Malibu Man. Isn't life great. Got the world in his hands. Malibu Man
king of a one horse town,Everyday is just a little white lie. Telling myself I'm gettin' by. I just stay in this room and cry. The snow it covers up the ground. And I can't hear a single sound. I'd turn off the TV and go for a drive. But I can't see there's any signs of life. Kept a Christmas tree with blinking lights. I coulda made it but I messed around. I'm a loser with a rusty crown. Scared if I jump in the ocean I might drown. King of a One Horse Town. I'm the King of a One Horse Town. And I barely pull my weight around. I thought about leaving but I don't know. Wouldn't even know anywhere to go. Guess I'll stay on desolation row. Go get stoned and hang around. The beat of my drum is the only sound. I would jump into the ocean but I'm scared I'd drown. King of a One Horse Town. I'm a King of a One Horse Town. I'm a King of a One Horse Town. And I barely pull my weight around. I'm a King of a One Horse Town. King of a One Horse Town. I'm a King of a One Horse Town. And I barely pull my weight around
never in my wildest dreams,Never in my wildest dreams. Would I be loving you. Never in my wildest dreams. Would my dreams come true. You're just too good to touch. I can't discuss it much. I get too choked up. Don't wanna make a scene. Never in my wildest dreams. Never in my wildest dreams. Would I roam this land. Sail across the seven seas. I'm a hard luck man. But I know what my purpose is. It ain't no some pilgrimage. Its wherever my baby is. My love supreme. Never in my wildest dreams. Walk in the cold cold wind. Carry my laundry bin. Take my recs for a spin. Watch daytime tv. You're just too good to touch. And I can't discuss it much. I get too choked up. Don't wanna make a scene. Never in my wildest dreams
waiting on a song,I've been thinking. I've been humming. I've been picking. And I've been strumming. Just waiting. Waiting on a song. I've been hitching. I've been thumbing. I can almost hear one coming. I'm just waiting. Waiting on a song. I look down in my pocket. Underneath the bed. I walked under a lamp post. And one hit me on the head. Am I blind or too dumb to see?. All the sounds surrounding me. I'm just waiting. Waiting on a song. You can look up at the stars. Bow your head and count the cars. You'll still be waiting. Waiting on a song. Might be a blue bird or a crow. On a cord between two posts. They're just waiting. Waiting on a song. Songs don't blow on trees. You gotta pick them out the breeze. You fall down on your knees. And pray one comes along. When those railroad gates come down. You gotta stop and turn around. Or you'll be waiting. Waiting on a song. You'll be waiting. Waiting on a song
stand by my girl,There's a man in a blue plaid shirt comin' knocking. I don't know what he's coming for. But I know it's probably isn't gonna hurt anybody. If I don't get up and answer the door. No I believe I stay here on the floor. I'm gonna stand by my girl. Don't think I won't. I'm gonna stand by my girl. Because she'll kill me if I don't. I said she'll kill me if I don't. I never should've messed up. I should've gone ahead and fessed up. I'm gonna look good all dressed up. For my own funeral. I'm sure she'll look beautiful. I'm gonna stand by my girl. Don't think I won't. I'm gonna stand by my girl. Because she'll kill me if I don't. I said she'll kill me if I don't. I love girl with fire in her eyes. It's what I used to say. But now I've come to realize. If I wanna live another day. I can't be living that way. I'm gonna stand by my girl. Don't think I won't. I'm gonna stand by my girl. Because she'll kill me if I don't. I said she'll kill me if I don't
cherrybomb,Wanna find me a flame who wants to burn with me. Not a cherrybomb who wants to turn on me. Is it sweeter than an apple pie?. Or she doesn't care enough to try. Cherry. Cherrybomb. Cherry. Cherrybomb. Took a job at the mill so I could earn for it. Make her pretty and all the heads going to turn for it. As soon as the money went away. My cherry blew up right in my face. Cherry. Cherrybomb. Cherry. Cherrybomb. So if you ever going' climbing in a cherry tree. Remember what a cherry she done to me. I thought our love was strong. But the fuse just wasn't that long. Cherry. Cherrybomb. Cherry. Cherrybomb
show me,"There's nothing you can say that I haven't heard. Cause walkin' still speaks louder than words. All this talkins' been a lot of fun. But if you really wanna get it done. Don't you act so fancy free. Girl come on and show me. Show me. I took a little drive out into the country. I'm feelin' half alive, does she really want me?. I'm twenty miles out of Tupelo. And I don't really wanna let her go. But I can't play make believe. Girl you gotta show me. Show me. My heart is not a toy that anyone should play with. I wanna be a man that you want to stay with. Well if it's yes you gotta let me know. If it's no please let me go. I got this heart here on my sleeve. Girl come on and show me. Show me"
i want some more,You got the candies. that I've been searchin' for. Oh oh oh. I want some more. You got sweet lips. Like I did never taste before. Oh oh oh. I want some more. . Everything you got. Just what I always wanted. Right down to a T. Nothin about you that don't please me. I'm just a kid. in your walk-in candy store. Oh oh oh. I want some more
the prowl,"I see you walking after dark. Trading looks before the mirror. But I'm the only one you need. And I know just where you've been. Oh can't you see the tears I've been crying. I've soaked them up just like a towel. Oh, now I'll be one step behind. Oh girl you got me on the prowl. Oh girl. Oh girl. Oh girl. . I crawl around most every night. And I'm all wrapped up in your smell. I wish someone would understand. But you know I could never tell. I just live on in the dark. If there's no home, there's no fight. Oh now my love for you is strange. Oh girl you got me on the prowl. Oh girl. Oh girl. Oh girl, yeah"
