first date,"First Date, Electricity. When you walk in, You Suck My Circuitry. Back It Up, With Attitude. When People Sweat it out, You Always PLay It Cool. I Think I know You, I'm gonna Bet. That You like superchunk, And Joan Jett. Get your quick fix, In My Car. You Got A sweet Tooth ,And I'm your chocolate bar. And it goes on and on and on and on. on and on and on and on. . And I Say Heyyyyyyyyyy do you kiss on the first date (X 2). Cause I Do, Cause I Do (X 2). New York Doll, On The Catwalk. I like the play it discret, You only wanna shock. Spray Paint your, tight jeans on. And cruise yourself, it don't feel wrong. So Take a chance, Give me a shot. You think I'm Bluffing? I think I'm not. Get on your high hells, give me a heart attack. I got a question, for your sweet asss. And it goes on and on and on and on. On and on and on. And I Say Heyyyyyyyyyyy do you kiss on the first date ( X 2). Cause I do, Do you too? Wanna do it with you. If you do would you do what i do?. Well hello baby you are looking hot tonight!. Can I hold your hand? Thank you. Now this is what were gonna do on our date today, were gonna do all the things the other couples like to do.. Were gonna go to a movie, have some dinner, take a walk, look at the moonlight, Anything you wanna do baby. but i got a question:. Do you kiss on the first date?. Hey let's do it on the first date?. Hey what do you do on the first date?. Hey do you kiss on the first date?. Cause I do, Cause I do, Cause I do , Cause I do"
code of the road,"I live by the code of the road. every single night of my life. Nobody knows a single place I go. city by city, night after night. Been a long time on this lonely road (yeah). Nothing comes easy, but it's worth the fight. If you've seen it once I've seen it twice before (yeah). Little by little, mile after mile. You've been waiting for the soul of your life (yeah). The time is now a'come. No hesitation, no backing down out. So just take it away. I live by the code of the road. every single night of my life. People all around you but you're all alone. City by city, night after night. It's about time I take it nice and slow (yeah). Nothing comes easy, but it's worth the fight. I say it all the time, but then I start to roll (yeah). Little by little, mile after mile. You've been waiting for the soul of your life (yeah). The time is now a'come. No hesitation, no backing down out. So just take it away. I live by the code of the road. every single night of my life. Nobody knows a single place I go. city by city, night after night. Been a long time on this lonely road (yeah). Nothing comes easy, but it's worth the fight. If you've seen it once I've seen it twice before (yeah). Little by little, mile after mile"
samuel sin,My Mama raised a devil child. Now mama's got a good reason to cry. I walk along the old dirt road. Not a lot in my pocket but a pocket of soul. My Papa drove over life. Lived every day on the edge of a knife. Left me and my mom when I was six years old.
i want you,"When she walks out all the boys on the block start to yell out. They open up their mouths but they don't know what they're talking about. She's in little need of someone to hold tonight. But if you make a move I'm willing to bet that she just might. Everytime she looks away you look away too. I know what you're thinking you don't know what to do.... You got to say.... (x2). I want you more than anything (x3). I do I do I do!. Time is wasting opportunity knocks then it's gone. Makes sense to speak from the heart 'cause you can never go wrong. Too many people telling too many lies. Go with what you know when the feeling's inside. I know you can do it if you start thinking ""Yes"". Yes I can, Yes I will, Yes I will pass the test... You got to say.... (x4). I want you more than anything (x3). I do I do I do!. When she walks out all the boys on the block start to yell out. They open up their mouths but they don't know what they're talking about. She's in little need of someone to hold tonight. But if you make a move I'm willing to bet that she just might. Everytime she looks away you look away too. I know what you're thinking you don't know what to do.... You got to say... (x4). I want you more than anything (x3). I do I do I do. I really really do!."
baby hates me,"My favourite situation. Are always sticky kinds. I'll be the first to cast stones. I don't let sleeping dogs lie. I'll sing it from a mountain. Just take me to the top. I'll scream 'til my lungs pop. I'll stand here ‘til I drop.. The feeling, Is Leaving. It's all gone, It's deceiving. If we don't stop put me in a coffin. Cause you and I had absolutely nothing in common. Baby! I know you hate me. And you can't shake me. You make me rock solid, hot and bothered, it don't matter. I can shake you. You used to be so special. Now I'm bored all the time. You think the same of me too. Just say it don't be shy!. The feeling, is leaving. It's all gone, it's deceiving. If we dont stop put me in a coffin. Cause you and I had absolutely nothing in common. -I used to want you-. Baby. -Now I don't want to-. I know you hate me. -Time to start moving on-. But you still crave me. You just amaze me. -I used to want you-. And you can change me. -Now I don't want to-. You make me rock solid,hot and bothered. It dont matter i can shake you. Ohh baby, it's been a long time comin. And it's just the way. It;s gotta be. But I know this is one thing... One thing we won't fight about. And you can put my name on the dotted line. Yeah Baby! I know you hate me. -I used to want you-. But you still crave me. -Now I don't want to-. You just amaze me. -Time has stopped moving on-. And you can't shake me. I know you hate me. -I used to want you-. And you can't shake me. -Now I don't want to-. You make me rock solid, hot and bothered. It don't matter I can shake you"
bounce,"I love your black dress, your red lips, your long legs, your high heels. I love your thigh high boots, your snakeskin one piece suit. Yeah you really get me going when you put it all on. But I like it a little better when you take it all off. Baby C'mon Put it all on. Baby C'mon take it all off. I love your leopard spot bikini and your black kangol. I love it when you hop out of bed and dance to the radio. Yeah you really get me going when you put it all on. But I like it a little better when you take it all off. Baby C'mon put it all on. Baby C'mon take it all off. I love the way you keep me moving every time your standing still. I love the look in your eyes when your licking your lips. Yeah you really get me going when you put it all on. But I like it a little better when you take it all off. Baby C'mon put it all on. Baby C'mon take it all off."
cadillac,I bought a white cadillac. I bought it off my Mom and Dad. They said don't forget the keys son. So you can get it on. I keep the backseat for loving. I like to drive upfront. And when we're making out. I keep your boy in the trunk. I like it when you're licking ice cream. It gets all over the upholstry. Don't like it hard I like it soft. So I can lick it off. And when its midnight. And I'm about to drive by. You got to kiss me on my cheek. Before we say goodbye.
caramel city,"Washington D.C. is pretty but it ain't my city. I need a town here where I can get down. I follow traces of faces of people baby. and when they get it on the world turns brown. In my town you can walk around at night. Go anywhere with anyone you like. Don't like to leave I'd rather hang around. I love it when the world comes to my town. C...A...RA...MEL. The younger you feel the more it feels right. crossover genes in the middle of the night. I thought a little color hurt, but I was wrong baby, dead wrong. So I'm calling all white people, Black people,. Asians, Hispanics, Natives everybody. I'm gonna scream at the top of my lungs. Caramel city is where I come from. C...A...RA...MEL. It don't get better when you run and hide. I like it when the world collide. I wanna do it baby, do it like we do it every night. I'm sick and tired of being friends. I want to melt in pots and make aments. The first kiss means the party is about to begin. Washingto D.C. is pretty.... I need love from everyone around. So I'm calling all white people, Black people....."
city streets,"I've been feeling this too long. When you leave it all goes wrong. The only thing I know is it isn't right. Busy streets have lost their rush. Buildings towered turned to dust. Like everything just disappeared in the night. It's when I walk these city streets I realize the time that just went by. (don't you know). Like an old friend I hardly know now that I've been away for all this time. I was hoping this would pass. But once it's here, it's here to last. I wish it could just all remain the same. I'm a stranger when I'm home. 'Cause all alone is all I know. That's what happens when you go astray. It's when I walk these city streets I realize the time that just went by. (that just went by). Like an old friend I hardly know now that I've been away for all this time. I know I've made my bed. Sad thoughts are in my head. Barely holding back the tears. But when I watch the living dead. Wake up and break their bread. I know it's not for me. It's when I walk these city streets I realize the time that just went by. (don't you know). Like an old friend I hardly know now that I've been away for all this time. Oohhh oohhh oooohhh. Ooooohhh oooohhh oooohhh. You're on your own/ you have to hold/ onto what you/ feel's rightly yours. Don't let anyone tell you it ain't worth the time. (repeat)"
code of the road,"I live by the code of the road. every single night of my life. Nobody knows a single place I go. city by city, night after night. Been a long time on this lonely road (yeah). Nothing comes easy, but it's worth the fight. If you've seen it once I've seen it twice before (yeah). Little by little, mile after mile. You've been waiting for the soul of your life (yeah). The time is now a'come. No hesitation, no backing down out. So just take it away. I live by the code of the road. every single night of my life. People all around you but you're all alone. City by city, night after night. It's about time I take it nice and slow (yeah). Nothing comes easy, but it's worth the fight. I say it all the time, but then I start to roll (yeah). Little by little, mile after mile. You've been waiting for the soul of your life (yeah). The time is now a'come. No hesitation, no backing down out. So just take it away. I live by the code of the road. every single night of my life. Nobody knows a single place I go. city by city, night after night. Been a long time on this lonely road (yeah). Nothing comes easy, but it's worth the fight. If you've seen it once I've seen it twice before (yeah). Little by little, mile after mile"
