damn'lie,"Thinking' and talking' asking a question why people die?. Nobody tell me and omissions says what can I do?. Because of this shit this world is sinking and sinking on gray mire. and the money support ignorance, alienation while damn' lie.. Damn' lie is a knife fixed in your back.. Damn' lie stupid what can you do?. Damn' lie less conscience more money.. Damn' lie a race got fucked!. The stronger get money while destroying your people. everybody like soap operas on TV.. Your son is getting high. with drugs and this people. support disease. and damn' lie.. Damn' lie your mind is deep in the dark. and your people now are fucking getting poor.. Damn' lie the stupid of this guys don't see any limit. I think they are blind destroying themselves!. Give me a reason. why this global situation. the money is eating all until your brain.. Why people. don't open their eyes. to see this muthafucka. damn' lie."
fight for conscience,"If you think that is all OK around you around the world you should. better open a book and study some real history.. But your mind smells like mud, your brain in your knees, the bad politician you voted last year is fucking your life now you can’t say anything you gave him power.. Conscience is a virtue that everybody could have but the establishment don’t want they prefer empty brains is a easiest to command and lie everybody must fight for conscience.. Those false culture vehicled by TV and demagogic ideas are always in the top in benefit of the great minority cuz you can’t fucking stay against and in a minute the government put you in the wall with. the police that you’ll give it away.. How can this world became a machine of brain wash a racial, etnical disturbs. Sometimes is hard to understand that half of world don’t know how to read and the rest is"
just skate,"A new sk8 session now you’ll face it, this will be nice and more. than you. need. No rules, no limits, style in your tricks it’s just. skateboard, go for it.. My life is my skateboard, my style is my skateboard. Skate is. over my god,. mom and dad, they don’t understand me and say move your ass.. It’s. discrimination inside in their head I think of my skateboard and. go ahead.. Walking in the streets With nothing to do. I only see this fucking passion. If you wanna skate it. You got to have the feeling. Show me your feeling"
lost soul,"Why it have to be like that. my world is lost and I. can't find it myself.. Patience is gone from me right now. and there's nobody. else.. My soul is dead inside of me and there's no other way. I can be,. the tension is complete and I can't turn.. I guess that my soul will burn.. I guess that my soul will run.. My life is desperate and I can't control.. No working by myself I think I lost my soul.. The confusion of a man is like that be fucked up. again, when you think is all OK your soul is gone deep. away. All the scares in my face are results of. disgrace. When I try to make a goal I just can't find. I lost my soul."
shark atack,"Here we are, another awesome sunny day. Warm water, intense ocean blues. I got my board and started swimming out from the shore. But something bit me and took away my feet. Shark attack!Shark attack!. Shark attack!Shark attack!. Shark attack!Shark attack!. Olinda shark attack!. Let the man get what he deserves!"
shark attack,"Here we are, another awesome sunny day. Warm water, intense ocean blues. I got my board and started swimming out from the shore. But something bit me and took away my feet. Shark attack!Shark attack!. Shark attack!Shark attack!. Shark attack!Shark attack!. Olinda shark attack!. Let the man get what he deserves!. . . . . by Anderson Fernando (pedroealfa)"
social agression,"It’s so hard to live nowadays politicians all in fake and shit all around there’s. no reason to live now they spit in your face and you cant make any move the. solution of this possession now is social aggression now a social aggression. social aggression there is no solution I don’t care about what you think now,. fuck you all .Now I know there I’m fucked up again walking in this fucking. street with shit in my brain I don’t care about your reflection the reason of my. life is social aggression."
the party,"The Party - Dead Fish. Come on everybody let’s join the party they’re killing. another brother, so let’s go, maybe they’ll let us see!. How fascinating scene where everything come out. in a distorted way.. Come on let’s go let’s watch a new sacrifice,. they manipulate, i know what is better for me yeah,. they don’t killed our bro. it’s just a movie scenery!. now I’m fascinate, come on join us and celebrate. the new order (that you) now imposed. so now we just a little bit concerned! or just cry for a few?. While they’re killing million and we can only see one or two.. What’s on TV? Sometimes we do the same!. Cause we have messias who only says the truth. and we don’t wanna hear the voice of pervert youth. all these children need’s a dosage of reality in our institution. to learn not speak nosence about our good system. our community is tired of been defied by this dirty punks.. (they manipulate... now I’m fascinate...) is there any answer. for what they are doing we can’t also assume but sometimes"
the ugly face of pain,The ugly face of pain has stucked me again. I find myself bleeding. I found myself crying. My slashed soul drop tears. It all fuck of fear. Won't is my believe destroying beliefs. Sorrow loneliness oppression. Why that's the question. I just wanna be free. And give the old bad things. That keeping happening to me. Until my dreams come true. Will turn me to another nightmare. And nobody really cares. I feel the ugly face of pain. But after there's no gain. Just another tortuous day. I wish I couldn't have another way. My face is ugly and sad. My body is weak and dead. Every time hard find back. When I think on my past. I have all my own living in hell. Inside of my heart are the devils. Look at myself and see a sick old tree
third world friendship,"What’s your conception what you call a friend. sometimes is hard to know it is real or it’s a dream.. And i used to have this guys who were here in my mind. but for money shit they must left the friendship away. they used to be angry together. we use to scream and fight. now can you tell me what’s right. they used to be my friend. we used to smile and fight. now can you show me what’s right i thought i wasted. time but now i know you guys will be with me.. The only thing to fight is for position. and if you don’t society will eat you. these guys, you know, are gone ’cuz they don’t want this fucking’ shit.. And now they clean the white feet in a first world nation.. They used to be my friend. we used to smile and fight. and i don’t know what’s goin’ on!. I thought i wasted time. I don’t know I just tried. but now I know you guys will be with me.. bnfx_at_hotmail_dot_com"
