smoke on the water,"We all came out to Montreaux. On the Lake Geneva shoreline. To make records with a mobile. We didn't have much time. Frank Zappa and the Mothers. Were at the best place around. But some stupid with a flare gun. Burned the place to the ground. Smoke on the water, fire in the sky. Smoke on the water. They burned down the gambling house. It died with an awful sound. Funky Claude was running in and out. Pulling kids out the ground. When it all was over. We had to find another place. But Swiss time was running out. It seemed that we would lose the race. Smoke on the water, fire in the sky. Smoke on the water. We ended up at the Grand Hotel. It was empty, cold and bare. But with the Rolling truck Stones thing just outside. Making our music there. With a few red lights and a few old beds. We made a place to sweat. No matter what we get out of this. I know, I know we'll never forget. Smoke on the water, fire in the sky. Smoke on the water"
perfect strangers,"Can you remember remember my name. As I flow through your life. A thousand oceans I have flown. And cold, cold spirits of ice. All my life. I am the echo of your past. I am returning the echo of a point in time. Distant faces shine. A thousand warriors I have known. And laughing as the spirits appear. All your life. Shadows of another day. And if you hear me talking on the wind. You've got to understand. We must remain. Perfect Strangers. I know I must remain inside this silent well of sorrow. A strand of silver hanging through the sky. Touching more than you see. The voice of ages in your mind. Is aching with the dead of the night. Precious life your tears are lost in falling rain. And if you hear me talking on the wind. You've got to understand. We must remain. Perfect Strangers"
highway star,Nobody´s gonna take my car. I'm gonna race it to the ground. Nobody gonna beat my car. It's gonna break the speed of sound. Oooh it's a killing machine. It's got everything. Like a driving power. Big fat tires and everything. I love it. And I need it. I bleed it. Yeah it's a wild hurricane. Alright hold tight. I'm a highway star. Nobody gonna take my girl. I'm gonna keep her to the end. Nobody gonna have my girl. She stays close on every bend. Oooh she's a killing machine. She's got everything. Like a moving mouth. Body control and everything. I love her. I need her. I seed her. Yeah She turns me on. Alright hold on tight. I'm a highway star. Nobody gonna take my head. I got speed inside my brain. Nobody gonna steal my head. Now that I'm on the road again. Oooh I'm in heaven again. I've got everything. Like a moving ground. An open road and everything. I love it. I need it. I seed it. Eight cylinders all mine. Alright hold tight. I'm a highway star. Nobody gonna take my car. I'm gonna race it to the ground. Nobody gonna beat my car. It's gonna break the speed of sound. Oooh it's a killing machine. It's got everything. Like a driving power. Big fat tires and everything. I love it. And I need it. I bleed it. Yeah it's a wild hurricane. Alright hold on tight. I'm a highway star. I'm a highway star. I'm a highway star
child in time,"Sweet child in time you'll see the line. The line that's drawn between the good and the bad. See the blind man shooting at the world. Bullets flying taking toll. If you've been bad, Lord I bet you have. And you've been hit by flying lead. You'd better close your eyes and bow your head. And wait for the ricochet"
black night,"Black night is not right,. I don't feel so bright,. I don't care to sit tight.. Maybe I'll find on the way down the line. that I'm free, free to be me.. Black night is a long way from home.. I don't need a dark tree,. I don't want a rough sea,. I can't feel, I can't see.. Maybe I'll find on the way down the line. that I'm free, free to be me.. Black night is a long way from home.. Black night, black night,. I don't need black night,. I can't see dark night.. Maybe I'll find on the way down the line. that I'm free, free to be me.. Black night is a long way from home."
love conquers all,Feels like the end. When you're closer to losing your dreams. Than losing a friend. Flying blind. I'm shooting into the dark. Who will I find. Oh girl. And if it takes me a lifetime. I swear I'll tear down every wall. Love conquers all. On my way. Tomorrow I rise with the sun. Soon I'll be gone. Words can't say. How the memories of feelings of love. They linger on. Oh girl. And if it takes me forever. I know it's worth every teardrop that falls. Love conquers all. Somewhere there's a place in your heart. Where the wounds never heal. Well you're not alone. That's just how I feel. Love conquers all. This one will last a lifetime. And if love conquers all. This one will last forever
hush,"I got a certan little girl she's on my mind. No doubt about it she looks so fine. She's the best girl that I ever had. Sometimes she's gonna make me feel so bad. Hush, hush. Thought I heard her calling my name now. Hush, hush. She broke my heart but I love her just the same now. Hush, hush. Thought I heard her calling my name now. Hush, hush. I need your love and I'm not to blame now. Love, love. They got it early in the morning. Love, love. They got it late in the evening. Love, love. Well, I want that needing. Love, love. Oh, I gotta get ahead of it. She's got a love like quicksand. Only took one touch of her hand. Blow my mind and I'm in so deep. That I can't eat and I can't sleep. Listen. Hush, hush. Thought I heard her calling my name now. Hush, hush. She took my heart but I love her just the same now. Hush, hush. Thought I heard her calling my name now. Hush, hush. I need your love and I'm not to blame now. Love, love. They got it early in the morning. Love, love. They got it late in the evening. Love, love. Well, I want that needing. Love, love. Oh, I gotta get ahead of it"
sail away,"If you're driftin' on an empty ocean. with no wind to fill your sail,. the future, your horizon,. it's like searchin' for the Holy Grail.. You feel there's no tomorrow. as you look into the water below.. It's only your reflection. and you still ain't got no place to go.. Time will show,. when, I don't know.. Sail away tomorrow,. sailin' far away.. To find it steal or borrow.. I'll be there someday yea-yea-yeah yea-ye-yeah.. Oh, woman, I keep returnin. to sing the same old song.. The story's been told, now I'm gettin' old.. Tell me,where do I belong?. Feel like I'm goin' to surrender,. nard times I've had enough.. If I could find a place to hide my face,. I believe, I could get back up.. Time will show,. when, I don't know.. Sail away tomorrow,. sailin' far away.. To find it steal or borrow.. But I'll be there someday yea-yea-yeah yea-yea-yea-yeah.. Sail away tomorrow,. sailin' far away.. To find it steal or borrow.. But I'll be there someday yea-yea-yeah yea-yea-yea-yeah.. Sail away tomorrow,. sailin' far away.. To find it steal or borrow.. But I'll be there someday yeah yeah yeah yea-yea-yeah yeah yeah yeah.. - Ritchie Blackmore & David Coverdale."
burn,"The sky is red, I don't understand,. past midnight I still see the land.. People are sayin' the woman is damned,. she makes you burn with a wave of her hand.. The city's a blaze, the town's on fire.. The woman's flames are reaching higher.. We were fools, we called her liar.. All I hear is ""Burn!"". I didn't believe she was devil's sperm.. She said, ""Curse you all, you'll never learn!. When I leave there's no return."". The people laughed till she said, ""Burn!"". Warning came, no one cared.. Earth was shakin', we stood and stared.. When it came no one was spared.. Still I hear ""Burn!"". You know we had no time,. we could not even try.. You know we had no time.. You know we had no time,. we could not even try.. You know we had no time.. The sky is red, I don't understand,. past midnight I still see the land.. People are sayin' the woman is damned,. she makes you burn with a wave of her hand.. Warning came, no one cared.. Earth was shakin, we stood and stared.. When it came no one was spared.. Still I hear ""Burn!""."
strange kind of woman,"There once was a woman. A strange kind of woman. The kind that gets written down in history. Her name was Nancy. Her face was nothing fancy. She left a trail of happiness and misery. I loved her. Everybody loved her. She loved everyone and gave them good return. I tried to take her. I even tried to break her. She said I ain't for takin' won't you ever learn. I want you I need you I gotta be near you. I spent my money as I took my turn. I want you I need you I gotta be near you. Ooh I got a strange kind of woman. She looked like a raver. But I could never please her. On Wednesday mornings boy you can't go far. I couldn't get her. But things got better--she said. Saturday nights from now on baby you're my star. I want you I need you I gotta be near you. I spent my money as I took my turn. I want you I need you I gotta be near you. Ooh I got a strange kind of woman. Ooh, ooh, ooh, ooh. Ooh my soul, I love you. I want you I need you I gotta be near you. I spent my money as I took my turn. I want you I need you I gotta be near you. Ooh I got a strange kind of woman. She finally said she loved me. I wed her in a hurry. No more callers and I glowed with pride. I'm dreaming. I feel like screaming. I won my woman just before she died. I want you I need you I gotta be near you. I spent my money as I took my turn. I want you I need you I gotta be near you. Ooh I had a strange kind of woman"
