death in midsummer,"Come on down from that cloud. And cast your fears aside. You're all here and there. And there's nothing inside. May God's will be done. In these poisoned hills. And let the devil be cast out on his jail. Hey!. There was a voice that called me. There was a light that burned me. Come on and let's be sure. Let's not pave the way. Your friends have died. And their lives, they just fade away. Some worked the hills. Some worked in factories. Worked their lives away. And in time, you will see your own life fade away. There was no time to go back. There was no time to go back. Come on!. They were in hills. They were in factories. They are in graves now. They were in debt to themselves. And what is it made of now?. I go around and feel how it fades. I walk around and I see what's fading. Walk around and you'll see how it fades. Walk around and you'll see what's faded"
he would have laughed,"Only bored as I get older. Find the ways to (cult). Cult of time. Only bored as I get older. Find new ways to spend my time. I'm a gold digging man. Find my money, find my land. I'm a gold digging man. I won't rest 'til I buy your land. Sweetness cums suffering. In sweetness comes suffering. I won't rest till I can't breathe. I can't breathe with you looking at me. I get bored as I get older. Can you help me figure this out?. Come on, dream on:. ""I lived on a table - I don't know where to go. I know my friends would. . I know where my friends are now. I lived on a farm, yeah. I never lived on a farm. Where did my friends go? Where did my friends go?"". What do you do when you're sleeping?. Where did you go when you said:. ""I don't need nobody on my bond"". Where do your friends go?. Where do they see you?. What did you want to be?. Ahh shut the hell. (shutyourmouth)"
breaker,Christ. Or credit. What's the price?. What's the edit?. I'm alive. I don't credit. The source. I just drive. And then the fog rolls in. And then they're blind. My enemies. They're just trying. Trying to kill me. Breaking the waves. Again and though I try. The ocean is strong. I cannot stem the tide. Breaking the waves. Again and though I try. I can't seem to stem. The tide and though I try. I try. Try me ¿two touch?. I've got the time. And it's been too long. Since I've been. Driving all night. On the back roads winding. Under the stars. That are slowly dying. Oh no. Breaking the waves. Again and though I try. The ocean is strong. I cannot stem the tide. Breaking the waves. Again and though I try. I can't seem to stem. The tide and though I try. I try. Jack-knifed. On the side-street crossing. I'm still alive. And that's something. And when I die. There will be nothing to say. Except I tried. Not to waste another day. Trying to stem the tide
agoraphobia,"Come for me. You cover me. Come for me. Comfort me. Come for me. Cover me. Comfort me. Comfort me. I had a dream no longer to be free. I want only to see four walls made of concrete. 6 by 6 enclosed. Soon we're on video oh oh oh. Feed me twice a day. I want to fade away, away. Come for me. Cover me. Come for me. Comfort me. Come for me. Cover me. Come for me. Comfort me. And after some time i know i would go blind. But seeing only binds the vision to the eye. I lose my voice, i know. But i've nothing left to say. (nothing left to pray). No echo in this place"
activa,Wasted our lives. We wasted our time. I trickled out. Creek would run dry. Steam would rise. I tried. I tried. I tried. I tried....
agoraphobia,"Come for me. You cover me. Come for me. Comfort me. Come for me. Cover me. Comfort me. Comfort me. I had a dream no longer to be free. I want only to see four walls made of concrete. 6 by 6 enclosed. Soon we're on video oh oh oh. Feed me twice a day. I want to fade away, away. Come for me. Cover me. Come for me. Comfort me. Come for me. Cover me. Come for me. Comfort me. And after some time i know i would go blind. But seeing only binds the vision to the eye. I lose my voice, i know. But i've nothing left to say. (nothing left to pray). No echo in this place"
back to the middle,"Back to the middle. This is where love has left me. It's an endless cycle. Please don't take it away from me. And look at me. My hair is falling out now. You consumed my boy (?). You left me doubting. Back to the middle. Everyone knows your name now. It's all accidental. Your love is such a sick, sick game. How could he?. The basic way you used me. Why does it have to be so good?. . Back in the middle. Take me where I can see some stars. Take me to your captain. Like you promised so many times. You and me. You broke free. You broke me. And you left me thrown to pieces"
backspace century,Send my regards to those who suffer endlessly.. Send my regards to those who suffer hopelessly.
basement scene,Dream. A little dream. All about the basement scene.. I don't want to wake up no. If you've seen. The light turn gold. Come out tonight. And we'll get stoned. I don't want to get old no. Dream. A little dream. About your friends. And their endings. Now I wanna wake up. I wanna wake up now. It could be the death of me. Knowing that my friends. Will not remember me. I wanna get old. In the bluffs they know my name. In the bluffs they know
blue agent,"When your range is off. When you call that complete. Your finished task was a burden. I'll give you that to concede. If you wear a mask. If you wear a badge. If you're lost in the curtains of time. You'll be erased. Sleep tight, gold night. Protect my brain. I was bright, I was right. All the time. If you ever need to talk. I won't be around. If you ever need to fight for life. I'll make no sound. I completed your task. It was much too tough. Your burdens now were twice removed. It must be rough. I use my golden light to find a way. Your bones they were always, they were always in my way. The fire finds a way to completely erase. I followed you out. You threw up and you complained. And I bide my time, and I hide my glory away. In the basement room where you used to kneel and pray. If you need a friend now. Better look some place else. You burned this bridge long ago. Here's to your health. I'm a blue light, I'm a crippled coward. Shining out in the night. The sky is clearer now that I'm filled with fright"
