moana,Somehow calm as she walks on stage. Her entire empire becomes your taste.... Your taste...show me...come!. Let me know what you're like...let me.... Know what you're like.... What's your taste?. I bet she carves your heart when she walks onstage. Her empire slowly becomes your place.... Your place...show me...come!. Let me know what you're like...let me.... Know what you're like.. In your place...your place... (place). Somehow calm as she walks offstage. An entire empire recall your face.... Your face...show me...come!. Let me know what you're like...let me.... Know what you're like.... Your face...your face.... (hopelessly devoted).
minerva,"I get all...numb. When she sings it's over. Such a strange numb. And it brings my knees to the earth. And God bless you all. For the song you saved us.... You're the same...numb. When you sing it's over. Such a strange numb. It could bring back peace to the earth. So God bless you all. For the song you saved us...all.... For the hearts you break, everytime you moan.... I get all...numb. We're the same numb. And it brings our knees to the earth. So God bless you all. For the song you saved us..all.... For the hearts you break, everytime you moan. And God bless you all on the earth..."
be quiet and drive (far away),"This town don't feel mine. Fast to get away. Far. I dressed you in her clothes. Now drive me. Far away, away, away. It feels good to know you're all mine. So drive me. Far away, away, away. Far. Away. I don't care where just far. Away. I don't care where just far. Away. I don't care where just far. Away. I don't care"
good morning beautiful,"One of these days you'll break me of many things.. Some cold white day, but you're crazy if you think I would leave you this way.... You should wake up (wake up) before the wrath comes. Me and you could take off (take off) before the wrath comes...soon. And one of these days I pray it will be sometime soon.. On a day like today, you'd be crazy not to want me to teach you the way.... You should wake up (wake up) before the wrath comes. Me and you could take off (take off) before the wrath comes...please. Well I know what you're like. I've read it on the walls. You're too tired, you choose heaven over the earth and me but come on please.... You should wake up (wake up) before the wrath comes. Me and you could take off (take off) before the wrath comes.... Well maybe you should take off. Yeah you should take off (take off).."
change (in the house of flies),I watched you change. Into a fly. I looked away. You were on fire. I watched a change in you. It's like you never had wings. And you feel so alive. I've watched you change. I took you home. Set you on the glass. I pulled off your wings. Then I laughed. I watched a change in you. It's like you never had wings. Now you feel so alive. I watched you change. It's like you never had wings.... Annhh-ahah (6x). I look at the cross. And I look away. Give you the gun. Blow me away*. I watched a change in you. It's like you never had wings. Now you feel so alive. I've watched you change. And you feel alive. You feel alive (2x). I've watched you change. It's like you never had wings.... Annhh-ahah (6x). You change (3x)
sex tape,"Floating on the water ever changing. Picture hours out from that. Into with all our dreams. The ocean takes me into watch you shaking. Watch you weigh your powers. Tempt with hours of pleasure. Take me one more time. Take me one more wave. Take me for one last ride. I'm out of my head. Tonight, tonight. Tonight, tonight.. ah. The sound of the waves collide. The sound of the waves collide. The sound of the waves collide. Tonight. Cruising through the city after hours. With me fusing all our powers. Heres to all our. Take me one more time. Take me one more wave. Take me for one last ride. I'm out of my head. Tonight, tonight. Tonight, tonight...ah. The sound of the waves collide. The sound of the waves collide. The sound of the waves collide. Tonight"
my own summer (shove it),"Hey you big star. Tell me when it's over (cloud). Hey you big mood. Guide me to shelter. Cause I'm through. When the two. Hits the six. And it's summer (cloud). Come (shove it, shove it, shove it). Shove (shove it, shove it, shove it). The sun (shove it, shove it, shove it). Aside (shove it aside). I think God is moving it's tongue. There's no crowds in the street. And no sun. In my own summer. The shade is a tool. A device, a savior. See I try and look up. To the sky but my eyes burn. Come (shove it, shove it, shove it). Shove (shove it, shove it, shove it). The sun (shove it, shove it, shove it). Aside (shove it aside) repeat. I think God is moving it's tongue. There's no crowd in the street. And no sun. In my own summer. Come (shove it, shove it, shove it). Shove (shove it, shove it, shove it). The sun (shove it, shove it, shove it). Aside (shove it aside)."
digital bath,You move like I want to. To see like your eyes do. We are downstairs where. No one can see. New life breakaway. Tonight I feel like more. Tonight I. You make the water warm. You taste foreign. And I know you can see. The cord breakaway. Cause tonight I feel like more. Tonight I feel like more. Feel like more. You breathed. Then you stopped. I breathed then dried you off. And tonight. I feel like more. Tonight
diamond eyes,"To the edge. Til we all, get off. I will take, you away, with me. Once and for all. Time will see us realign. Diamonds rain across the sky. Shower me into the same. Realm. Calculate, our embrace, hold on. (come with me now). Run away, outer space, with me. Once and for all. Time will see us realign. Diamonds rain across the sky. Shower me into the same. Realm. Time will see us realign. Diamonds rain across the sky. I will lead us to the same. Realm. Get set!. When the coffin shakes. And the needle breaks. Come run away with me, come on you'll see. Once and for all. Time will see us realign. Diamonds rain across the sky. Shower me into the same. Realm. Time will lead us to the same. Realm. I will lead us to the same. Realm"
passenger,"Here I lay. Still and breathless. Just like always. Still I want some more. Mirrors sideways. Who cares what's behind. Just like always. Still your passenger. The chrome buttons, buckles on leather surfaces. These and other lucky witnesses. Now to calm me. This time won't you please.... Drive faster!. Roll the window down. This cool night air is curious. Let the whole world look in. Who cares who sees anything?. I'm your passenger. I'm your passenger. Drop...these down. Then...and put them on me. Nice...cool seats there. to cushion your knees. Now to calm me. Take me around again. Don't pull over. This time won't you please. Drive faster!!!. Roll the window down. This cool night air is curious. Let the whole world look in. Who cares who sees what tonight?. Roll these misty windows. Down to catch my breath and then. Go and go and don't just. Drive me home then back again!. Here I lay. Just like always. Don't let me. Go... (9x). Take me to the end...."
