i am a stone,"It's hard to say. That I'm back. On a straight line. You see my path. Is in fact, just a fall line. It's in my blood, it's in my lungs. And it won't die. I fight these words, I bite my tongue, so I don't lie.. Though it's me to blame. There is no more shame in me, in me.... I just feel the same. Immune to all this pain. & the scars don't write a song for me at all. Im am a stone, unaffected. Rain hell down onto me. Flesh and bone, unaffected. Your foll I will not be. Im am a stone, unaffected. Rain hell down onto me. Flesh and bone, unaffected. Your foll I will not be. I try to see & believe. In the short side. Accept the burn of a vein. And a half life. And how you rest your faith in these.. For a lifetime. That hallow lie agains my hope. That I won't buy. Though it's me to blame. There is no more shame in me, in me.... I just feel the same. Immune to all you say. And the scars don't write a song for me at all. No your tears won't light a path for me to crawl. Im am a stone, unaffected. Rain hell down onto me. Flesh and bone, unaffected. Your foll I will not be. Im am a stone, unaffected. Rain hell down onto me. Flesh and bone, unaffected. Your foll I will not be. The waters rise above my eyes. I will breathe it and go out with the tide. And when you think this is the end. You will find me there where I have always been. (im am a stone, unaffected. Rain hell down onto me. Flesh and bone, unaffected. Your foll I will not be. Im am a stone, unaffected. Rain hell down onto me. Flesh & bone, unaffected. Your foll I will not be. Im am a stone, unaffected. Rain hell down onto me. Flesh & bone, unaffected. Your foll I will not be. I am a stone.... I am a stone.. -. By: | xths."
deteriorate,"Time has had it's way with me.. My broken tired hands can`t build a. Thing.. The wires that have held me still. Embedded now in flesh to find my will.. The idle of my days is won,. The empty I have fed has made me numb,. Despite what you will find in me.. The failures of my past just swirl beneath.. I need a heart that carries on through the pain. When the walls start collapsing again. Give me a soul that never ceases to follow,. Despite the infection within. Our careless feet leaving trails. Neverminding the fragile dirt we all end in.. Our careless feet leaving trails. Neverminding the fragile dirt we all end in.. This is where I find my fall. The cares that held me alive don`t work at all.. And every step away from here is closer to the plague. I hold so dear.. I need a heart that carries on through the pain,. When the walls start collapsing again. Give me a soul that never ceases to follow. Despite the infection within. Our careless feet leaving trails. Neverminding the fragile dirt we all end in.. Our careless feet leaving trails. Neverminding the fragile dirt we all end in.. Awaiting my end. Breathing in the day that finds me new.. Redemption begins bleeding out the flaws. In place of you.. Awaiting my end. Breathing in the day that finds me new.. Redemption begins. Redemption begins.. Our careless feet leaving trails. Neverminding the fragile dirt we all end in.. Our careless feet leaving trails. Neverminding the fragile dirt we all end in."
undying,"Ever since the day that I was made I’ve been deciding the end. And I was made of wood and stone that won’t diminish or bend. So when the heavy hand of death is here to take me away. I’ll be the solid grip of time, forever holding my stay. Nobody ever made a force that took a beating like me. I call the earth and every scum to come and try to fight me. Cus when I made the choice to live beyond the dirt that we tread. I felt the curse of mortal limit fall before it was said. (Pre-chorus:). When this season ends.... (Chorus:). One final heart-break. And blinding lights will guide our way. Free us our blind state. They will call us by our name. Undying. Tearing through these days I find the tolerance to strive and push on. I know what lies beyond this life for me is already won. No one can take away the blood that covers over my fall. Without the blood of perfect life I know I’m nothing at all. So now I reign forever hallowed in eternity’s hand. No man can shake me from the everlasting ground that I stand. (Pre-chorus). (Chorus). We are the ones who will still remain when all is laid to waste. We are the ones who, when angels cry, will see them face to face. We are the ones. (Chorus)"
what is left,"I saw you through my window. I let you crawl inside. Your face became my shadow. Your voice became my guide. What is left?. I take what I can get, and black out all the rest. What is left?. Some words that I forget, and more I regret. I came here alone. I thought you'd gone. I left you in bones at the end of the road. I came here alone. The long way home. I left you in bones at the end of the road. I'm trying to evade you. I'm dying to be done. One solemn night I'll take you down the barrel of my gun. What is left?. I take what I can get, and black out all the rest. What is left?. Some words that I forget, and more I regret. I came here alone. I thought you'd gone. I left you in bones at the end of the road. I came here alone. The long way home. I left you in bones at the end of the road. [x3]"
one thousand apologies,"There you stood in disbelief,. trying all you could to see through these lies. And every word that I could brethe,. would find you more inclined to leave, but I tried. And knowing what I've done to you,. with every thought you suffer through. My heart as black as evil can. And everything I could have been,. erased by what I wanted then. I couldn't think a lesser man. (Pre-chorus:). All the delicate ways. That I deepened our graves. My apology pales. (Chorus:). Oh, the pain in your eyes. My regrets have never known such sorrow. Oh, the shame that you hide. Resolutions are the same tomorrow. So now I reap what I have sewn, and any rapture I had shown has bled dry. And I walked the streets alone, accepting the pain I'd never known, as you died. Then I hurt myself to see it too, to feel the knife put in you. My heart as broken as my ways. I never should've let it pass, this fall was never meant to last. The reason's gone and damage stays. (Pre-chorus). (Chorus). (Pre-chorus). (Chorus)"
resistance,"Conviction was your shelter. Boarded up, rejected, left behind. To lower life where aimless spirits die. Suffer your indifference. Tie that troubled stone around your neck. Exalt your fall and hear your mother's cry. Colder now. Thank your hopeful solitude it's colder now. Throw your blackened heart into. Resistance. (you had reason in your hands and you walked away). Resistance. (your time will not outlive your debt to pay). Resistance. (you had reason in your hands and you walked away). Resistance. Defiance on this day. This plague is not your savior. Turn the barrel's eyes upon this strife. The truth, it will reveal that fading line. Colder now. Thank your hopeful solitude it's colder now. Throw your blackened heart into. Resistance. (you had reason in your hands and you walked away). Resistance. (your time will not outlive your debt to pay). Resistance. (you had reason in your hands and you walked away). Resistance. Defiance on this day. There is a kingdom beyond your eyes. Whole of redemption, defining will. The path of self is wrought with fatal lies. Send them back to hell. Resistance. (you had reason in your hands and you walked away). Resistance. (your time will not outlive your debt to pay). Resistance. (you had reason in your hands and you walked away). Resistance. Defiance on this day. Send them back to hell"
the science of lies,"Bow down- before the god of cash. The philosophy of modern man is leaking fast. No foundation for the fram by which you set your mind. Just a legacy for the feeble to find. Desperation breeding faith unto a pitiful lie. ""Give us your money and we'll open up your gullible eyes"". No redemption, not a reason, but a symbol of why. This digression of surrender is the science of lies. (Chorus:). Believe the sacred blasphemy. They feed. That hollow voice inside your head. Recieve the fleeting fallacy. They breathe. Trace every step from where you were led. Look back and tell yourself what they said. (Now flee). And now you feel it pulling you down. How can you buy into a faith that hasn't permanent ground?. Give me blood-soacked, sacrificial worth. Not the artificial product of a fraudulent birth. Give me selfless, consecrated reprise. Not a worthless contribution to the science of lies. (Chorus). Feel it pulling down. (Chorus)"
as we wept,"I will stand and fight to justify you.. You have bled and died to justify me.. Force me down into hate.. Your freedom will stop when I can't breath.. I'm taking the path that i don't need.. I'm taking the place so it won't bleed.. Broken out and turned away.. Burned to the ground and change the face.. Bled to death and turned to gray.. Resurrect again to say.. I made my promise, and now i've fallen.. Through broken pieces i set you.. I will stand and fight to justify you.. You have bled and died to justify me.. Let me see it all die in front of myself so i can't lie.. A hollow design for the new side.. Exterior death for the old side.. This is the end of the last time.. Bury the old and say the name.. break the mold and new remain.. Resurrect again to say.. I made my promise, and now i've fallen.. through broken pieces i see you.. I will stand and fight to justify you.. You have bled and died to justify me.. A lifeless body, a broken soul.. I fall to zero, I've lost control.. I've lost control, I will stand and fight to justify you.. You have bled and died to justify me.."
my heartstrings come undone,"It's buried deep with in the past, I hope it doesn't last. It's something I already chase, I already chase. I try to give it all away, but it's never gonna fade. It's something I don't wanna face, I don't wanna face. I know you feel it's all the same, But I promise that'll change. It's something I already chase, I already chase. You know I'm trying to believe that you're never gonna leave. It's something I don't wanna face, I don't wanna face. There's nothing left! The fear is gone!. When my heartstrings come undone. I will wait for you, pray for you. Before I make my final run. I will stay with you, decay with you. I know I'm not the perfect one, This pain has just begun. It's something I already chase, I already chase. You bring me to a better path, It's everything I asked. It's something I don't wanna face, I don't wanna face. There's nothing left! The fear is gone!. There's nothing left! The fear is gone!. And when my heartstrings come undone. I will wait for you, pray for you. Before I make my final run. I will stay with you, decay with you. If you fade out without me, you'll know all about me. If you fade out without me, you'll know all.... And when my heartstrings come undone. I will wait for you, pray for you. Before I make my final run. I will stay with you, decay with you. And when my heartstrings come undone. I will wait for you, pray for you. Before I make my final run. I will stay with you, decay with you"
a broken upper hand,"Trapped behind my state of mind, I took your words and now I'm blind.. And everything you've given just kills me.. Your words swarm me through my soul like locusts.. Eating away at any glimpse of focus.. Their eyes flaming red like pain.. Filling the void once righteous and bloodstained.. But words can't kill the light inside me that tears me from the hate that binds me.. I feel it crawling up my spine.. But i'll cut it off before it reaches the bloodline.. You'll never fade me out, you'll never turn me off.. You'll never reach the end, you'll never hear enough.. You're half-grasp can't exterminate my stand.. You can't rule with a broken upper hand.. A fragment of what's been left behind.. Trapped behind my state of mind, I took your words and now I'm blind.. And everything you've given just kills me.. Your face brings out the hate that rots me.. The face of everyday that haunts me.. I can't pull away my blank stare.. A thousand times should prove I don't care.. But hands can't steal the light that makes me.. Or bring me to the fate that breaks me I feel it crawling up my spine.. But i'll cut it off before it reaches the bloodline.. You'll never fade me out, you'll never turn me off.. You'll never reach the end, you'll never hear enough.. You're the half-grasp can't exterminate my stand.. You can't rule with a broken upper hand.. A fragment of what's been left behind.. Trapped behind my state of mind, I took your words and now I'm blind.. And everything you've given just kills me.."
