sultans of swing,"You get a shiver in the dark. It's raining in the park but meantime. South of the river you stop and you hold everything. A band is blowing Dixie double four time. You feel alright when you hear that music ring. Well now, you step inside. but you don't see too many faces. Coming in out of the rain to hear the jazz go down. Competition in other places. But the horns be blowing that sound. Way on downsouth way on downsouth london town. You check out guitar George he knows all the chords. Mind he's strictly rhythm. He doesn't want to make it cry or sing. And an old guitar is all he can afford. When he gets up under lights to play his thing. And Harry doesn't mind if he doesn't make the scene. He's got a daytime job he's doing alright. He can play honky tonk like anything. Saving it up for friday night. With the sultans... with the sultans of swing. And a crowd of young boys. They're fooling around in the corner. Drunk and dressed in their best brown baggies. And their platform soles. They don't give a damn about any trumpet playing band. It ain't what they call rock and roll. And the sultans... yea the sultans played creole... creole. Then the man he steps right up to the microphone. And says at last just as the time bell rings. 'goodnight, now it's time to go home'. And he makes it fast with one more thing. 'we are the sultans... we are the sultans of swing'"
walk of life,"Here comes Johnny singing oldies, goldies. Be-Bop-A-Lula, Baby What I Say. Here comes Johnny singing I Gotta Woman. Down in the tunnels, trying to make it pay. He got the action, he got the motion. Oh yeah, the boy can play. Dedication devotion. Turning all the night time into the day. He do the song about the sweet lovin' woman. He do the song about the knife. And he do the walk, he do the walk of life. Yeah, he do the walk of life. Here comes Johnny goin' tell you the story. Hand me down my walkin' shoes. Here come Johnny with the power and the glory. Backbeat, the talkin' blues. He got the action, he got the motion. Yeah, the boy can play. Dedication devotion. Turning all the night time into the day. He do the song about the sweet lovin' woman. He do the song about the knife. And he do the walk, he do the walk of life. Yeah, he do the walk of life. Here comes Johnny singing oldies, goldies. Be-Bop-A-Lula, Baby What I Say. Here comes Johnny singing I Gotta Woman. Down in the tunnels, trying to make it pay. He got the action, he got the motion. Oh yeah, the boy can play. Dedication devotion. Turning all the night time into the day. And after all the violence and double talk. There's just a song in all the trouble and the strife. You do the walk, you do the walk of life. Hm, you do the walk of life"
money for nothing,"Now look at them yo-yo's that's the way you do it. You play the guitar on the MTV. That ain't workin' that's the way you do it. Money for nothin' and chicks for free. Now that ain't workin' that's the way you do it. Lemme tell ya them guys ain't dumb. Maybe get a blister on your little finger. Maybe get a blister on your thumb. We gotta install microwave ovens. Custom kitchen deliveries. We gotta move these refrigerators. We gotta move these colour TV's. See the little faggot with the earring and the makeup. Yeah buddy that's his own hair. That little faggot got his own jet airplane. That little faggot he's a millionaire. We gotta install microwave ovens. Custom kitchen deliveries. We gotta move these refrigerators. We gotta move these colour TV's. I shoulda learned to play the guitar. I shoulda learned to play them drums. Look at that mama, she got it stickin' in the camera. Man we could have some fun. And he's up there, what's that? Hawaiian noises?. Bangin' on the bongoes like a chimpanzee. That ain't workin' that's the way you do it. Get your money for nothin' get your chicks for free. We gotta install microwave ovens. Custom kitchen deliveries. We gotta move these refrigerators. We gotta move these colour TV's, Lord. Now that ain't workin' that's the way you do it. You play the guitar on the MTV. That ain't workin' that's the way you do it. Money for nothin' and your chicks for free. Money for nothin' and chicks for free"
so far away,"Now here I am again in this mean old town. And you're so far away from me. Now where are you when the Sun goes down?. You're so far away from me. You're so far away from me. So far I just can't see. You're so far away from me (2x). Alright. I'm tired of being in love and being all alone. When you're so far away from me. I'm tired of making out on the telephone. 'Cos you're so far away from me. You're so far away from me. So far I just can't see. You're so far away from me (2x). Alright. And I get so tired when I have to explain. That you're so far away from me. See you've been in the Sun and I've been in the rain. And you're so far away from me. You're so far away from me. So far I just can't see. You're so far away from me (2x). Take it down. So far away. You're so far away from me. You're so far. Oh, it's so far away from me. Yeah, it's so far away from me. So far away from me. You're so far. And you're so far away from me. So far away from me. You're so far. So far away from me. You're so far away from me. So far away from me. So far away. You're so far. So far away from me. Yeah, yeah. So far away from me. You're so far. Alright. You're so far. And it's so far away from me"
tunnel of love,"Getting crazy on the waltzers. But it's the life that i choose. Sing about the sixblade sing about the switchback. And a torture tattoo. And i been riding on a ghost train. Where the cars they scream and slam. And i don't know where i'll be tonight. But i'd always tell you where i am. In a screaming ring of faces. I seen her standing in the light. She had a ticket for the races. Just like me she was a victim of the night. I put a hand upon the lever. Said: ""let it rock and let it roll"". I had the one arm bandit fever. There was an arrow through my heart and my soul. And the big wheel keep on turning. Neon burning up above. And i'm just high on the world. Come on and take a low ride with me girl. On the tunnel of love. It's just the danger. When you're riding at your own risk. She said: ""you are the perfect stranger"". She said: ""baby let's keep it like this"". It's just a cake walk. Twisting baby step right up and say:. ""Hey mister give me two,. Give me two cos any two can play"". And the big wheel keep on turning. Neon burning up above. And i'm just high on the world. Come on and take a low ride with me girl. On the tunnel of love. Well it's been money for muscle,. Another whirligig. Money for muscle and. Another girl i dig. Another hustle. Just to make it big. And rockaway rockaway. And girl it looks so pretty to me,. Just like it always did. Like the spanish city to me,. When we were kids. Oh girl it looks so pretty to me,. Just like it always did. Like the spanish city to me,. When we were kids. She took off a silver locket. She said: ""remember me by this"". She put her hand in my pocket,. I got a keepsake and a kiss. And in the roar of the dust and diesel. I stood and watched her walk away. I could have caught up with her easy enough. But something must have made me stay. And the big wheel keep on turning. Neon burning up above. And i'm just high on the world. Come on and take a low ride with me girl. On the tunnel of love. And now i'm searching through these carousels. And the carnival arcades. searching everywhere. From steeplechase to palisades. in any shooting gallery. Where promises are made. To rockaway rockaway. from cullercoats and whitely bay. Out to rockaway. And girl it looks so pretty to me,. Like it always did. Like the spanish city to me,. when we were kids. And girl it looks so pretty to me,. Like it always did. Like the spanish city to me,. when we were kids."
brothers in arms,These mist covered mountains. Are a home now for me. But my home is the lowlands. And always will be. Some day you'll return to. Your valleys and your farms. And you'll no longer burn. To be brothers in arms. Through these fields of destruction. Baptism of fire. I've witnessed your suffering. As the battles raged higher. And though they did hurt me so bad. In the fear and alarm. You did not desert me. My brothers in arms. There's so many different worlds. So many different suns. And we have just one world. But we live in different ones. Now the sun's gone to hell. And the moon's riding high. Let me bid you farewell. Every man has to die. But it's written in the starlight. And every line on your palm. We're fools to make war. On our brothers in arms
kingdom come,"I tell you what!. They don't mess with me, I'm a wild man, son. I got me my very own anti tank gun. I got a jack rabbit with it, guess he was a mean one. Yeah, I've always been a sportsman. Now, there wasn't much left when I got to him. Them big old shells didn't just go through him. Just lumps of fur and that was it. Guess you could say he sure took a hit, alright. Yeah, you want to see my fire power, see my collection. Cause that's my thing, man, perfection. Now I'm talking power in the barrel of a gun. I'll blow anything I want to Kingdom Come. Ba ba boom. Ba ba ba ba bomb. And I'll blow anything I want. To Kingdom Come. Yeah, all you got to do is squeeze on the trigger. And a little bitty human get a whole lot bigger. Cause there's a time for talking and a time to shoot them down. And this mama-jama don't pussy foot around, alright. Yeah, let them laugh, let them say we're strange. Me and my buddies on the rifle range. But you won't be laughing when it hits the fan. You're going to want to be a survivor, man. Yeah, you got to see my fire power, see my collection. Cause that's my thing, man, perfection. Now, I'm talking power in the barrel of a gun. I'll blow anything I want to Kingdom Come. Ba ba boom. Ba ba ba ba bomb. And I'll blow anything I want. To Kingdom Come. Ba ba ba ba boom. I say we ought to drop the bomb. Yes, and I'll blow anything I want. To Kingdom Come."
your latest trick,"All the late night bargains have been struck. Between the southern beaus and their belles. And prehistoric garbage trucks. Have the city to themselves. Echoes and roars of dinosaurs. They're all doing the monster mash. And most of the taxis, most of the whores. Are only taking calls for cash. I don't know how it happened. It all took place so quick. But all I can do is hand it to you. And your latest trick. My door was standing open. Security was laid back and lax. But it was only my heart got broken. You must have had a pass key made out of wax. You played robbery with insolence. And I played the blues on twelve bars. down on Lover's Lane. And you never did have the intellegence to use. The twelve keys hanging off my chain. I don't know how it happened. It all took place so quick. But all I can do is hand it to you. And your latest trick. Now it's past last call for alcohol. Last drinker has been here and gone. The landlord finally paid us off. Seven tenners made us put away them horns. And we're standing outside of this wonderland. Looking so bereaved and so bereft. Like a Bowery bum when he finally understands. The bottle's empty and there's nothing left. I don't know how it happened. It was faster than the eye could flick. But all I can do is hand it to you. And your latest trick"
romeo and juliet,"A love struck Romeo, sings the streets a serenade,. Laying everybody low, with a love song that he made. Finds a street light, steps out of the shade. Says something like, 'You and me babe, how about it?'. Juliet says, 'Hey it's Romeo, you nearly gave me a heart attack'. He's underneath the window, she's singing, 'Hey la, my boyfriend's back. You shouldn't come around here, singing up to people like that'. Anyway, what you gonna do about it?. Juliet, the dice was loaded from the start,. And I bet, then you exploded into my heart,. And I forget, I forget, the movie song. When you gonna realize, it was just that the time was wrong, Juliet?. Come up on different streets, they both were streets of shame,. Both dirty, both mean, yes, and the dream was just the same,. And I dreamed your dream for you, and now your dream is real. How can you look at me as if I was just another one of your deals?. When you can fall for chains of silver, you can fall for chains of gold. You can fall for pretty strangers and the promises they hold. You promised me everything, you promised me thick and thin, yeah. Now you just say, 'Oh Romeo, yeah, you know I used to have a scene with him. Juliet, when we made love you used to cry. You said I love you like the stars above, I'll love you till I die. There's a place for us, you know the movie song. When you gonna realize, it was just that the time was wrong, Juliet?. I can't do the talks, like they talk on the TV. And I can't do a love song, like the way it's meant to be. I can't do everything, but I'll do anything for you. I can't do anything 'cept be in love with you. And all I do is miss you and the way we used to be. All I do is keep the beat, and bad company. And all I do is kiss you, through the bars of a rhyme. Juliet I'd do the stars with you, anytime. Ah Juliet, when we made love you used to cry. You said I love you like the stars above, I'll love you till I die. There's a place for us, you know the movie song. When you gonna realize, it was just that the time was wrong, Juliet?. And a love struck Romeo, sings the streets a serenade,. Laying everybody low, with a love song that he made. Finds a convenient street light, steps out of the shade. Says something like, 'You and me babe, how about it?'. 'You and me babe, how about it?'"
why worry,"Baby I see this world has made you sad. Some people can be bad. The things they do, the things they say. But baby I'll wipe away those bitter tears. I'll chase away those restless fears. That turn your blue skies into grey. Why worry, there should be laughter after pain. There should be sunshine after rain. These things have always been the same. So why worry now. Baby when I get down I turn to you. And you make sense of what I do. I know it isn't hard to say. But baby just when this world seems mean and cold. Our love comes shining red and gold. And all the rest is by the way. Why worry, there should be laughter after pain. There should be sunshine after rain. These things have always been the same. So why worry now"
