gin and milk,"I think to myself on uncertain terms. I put gin in my milk. To kill all the germs. As I pray for the day. The light will return. And I pray for myself. But I never learn. No I never learn. See I really like you. But I'm nothing like you. I try really hard. But dont get so far. You get my respect. But we dont connect. We’re in it together. So I love you forever. I love you forever. And so it.... No one gives a fuck about the values I would die for. Not the basic civil servant, the rudimentary crack whore. No one gives two fucks about the values I would kill for. Give them something to die for. Give me something to die for. You wont really see me. I live in old movies. Come die from your sin. So they wont come in. Satisfying the cities. The cracks in the floor. Thought I knew what the blag was. But now im not sure. What do I know anymore. And no one gives a fuck about the values I would die for. Not the basic civil servant, the rudimentary crack whore. No one gives two fucks about the values I would kill for. Give them something to die for. give me something to die for. Still I'm into myself. On uncertain terms. I put gin in my milk. It kills all the germs. As I pray for the day. That light will return. And I pray for myself. But I never learn. No I'll never learn. No one gives a fuck about the values I would die for. Not the basic civil servant, the rudimentary crack whore. No one gives two fucks about the values I would kill for. Give me something to die for. Give me something to die for. No one too concerned. About the things that I would cry for. I've been trying all my life. Until theres nothing left to try for. No ones too concerned. About the things that I would live for. Give me something to try for. Give me something to try for"
b.u.r.m.a,"I know that youre out there. Born ready, but on the decline. To keep you from my thoughts. When we first broke the line. Do you remember like I remember?. Lost pursuits of excellence. The glory of the crowd. Lives of imperialists. Leave me with aching wrists. So no wonder you frown when you’re two world wars down. So when the dark times come well I will song you a good time song. Im pretending that it’s ending but it kills me to act so strong. Just to gaze in your eyes, makes all the difference to me.. Just be ready my angel. Be ready when I call. I’ve been re reading letters. They were moving warm but bitter and I cried right through them all. Oooh ooooh. The days go so slow. Ooooh oooh. We’ll never get to heaven with the artillery in tow. So when the dark times come, it might warm your heart to know. That I went to the crossroads but the devil never showed. They can stick their war, Im leaving now. Makes all the difference to me. I’m hoping if you know where I am. Send your heart in a telegram. I’m praying that you know where I am. Be upstairs ready my angel. Be ready when I call. And then my angel I’ll be ready too and I will catch you when you fall. Do you remember like I remember. all the dirty things you said?. Do you remember like I remember. Or was it all in my head?. So when the dark times come well I will song you a good time song. Im pretending that it’s ending but it kills me to act so strong. To gaze in your eyes makes all the difference to me. . So. Whos got the clap. Who’s got the clap. Give yourself a clap now"
bang bang you're dead,"I knew all along. That I was right at the start. About the seeds of the weeds. That grew in your heart. Self satisfaction for the factions. Who formed to tear us apart. Oh I gave you the Midas touch. As you turned round to scratch out my heart. Oh what did you expect?. Oh tell me what did you expect?. To lay it on my head?. So is it all upon my head?. Bang bang you're dead!. Oh I'm so easily lead. Bang, bang, you're de-e-ead!. Put all those rumours to bed. Bang, bang you're dead. I knew all along. But I was loathed to believe. There was nothing but spite. Fury and lies in the words that you weave. Bring our illusion to a conclusion. With all our unsold dreams. Put it to bed, kick it in the head. Oh won't they just let it be. Bang bang you're dead!. Oh I'm so easily lead. Bang, bang, you're de-e-ead!. Put all those rumours to bed. Bang, bang you're dead. Bang bang bang bang you're dead"
best face,"Shock after shock from the snake she bites. Happy hour downtown ladies night. With your townie boys who make your brethren fight. Night after night after night after night go. Come on sweetheart come on sweetheart oh. It's an eye for any eye 'neath the hurricane sky. How will you find me a lover in time. With your muscle vest clad lads who nearly fight. Close off your senses and turn out the light. Turn out the lights. She had the best face in the place. She had the lip gloss and the grace. There's really nothing in the script she said. You can have what you want. Heed this sound advice. No don't you tell me any lies. Look into these eyes, they see right through. Well, the skit's the same but the face is new oh-oh. All the crying tarts who step on broken hearts are all you get. The drinks go on and the beat's resounding. The drinks go on and the beat's still sounding. Come on darling, come on darling, come on sweetheart oh. You look pretty, pretty fit. For a pedestrian pounding. This nightclub's still shit,. But be wary of the gypsy boy you're mounting. She had the best face in the place. She had the lip gloss and the grace. There's really nothing in the script she said. You can have what you want. Heed this sound advice. No don't you tell me any lies. Look into these eyes, they see right through. Well, the skit's the same but the face is new oh-oh. The best that's what you'll get before. The walk of shame tomorrow. And the beat goes on the beat goes on. Your monkey lot. They tumble around. You dance your fucking swan song. You dance your fucking swan song. You dance your fucking swan song. To a blundering oracle. So here's to your future. And your awful wedded wife. She had the best face in the place. She had the lip gloss and the grace. There's really nothing in the script she said. You can have what you want. Heed this sound advice. No don't you tell me any lies. Look into these eyes, they see right through. Well, the skit's the same but the face is new oh-oh"
blood on my shoes,"You look smart but that's not enough,. You need a course in attitude,. Nobody's fussed(?). You can spend all your days planning what to buy. Than the signs all spin around,. You'll pay your debts in time. You wanna shake, shake, shake to fit in all that much. There seems to be holes in everything,. These cold hands touch, and we'll take, take, take. and swallow the whole way down, we may fall forever. But we won't fall down.... Cuz' we go la la la la la la whoaaa. And it's on. There's blood on my shoes (nobody knows). Because of you (where did you go?). Where did you go? (nobody knows). Where did you go?. You're pretty, so pretty,. So long as somebody loves you, leave us alone,. All the rich, get richer, but still they cry,. They say the city is after us,. But we don't know why.. Profound is the debt, the debt you owe. You owe it to sorrow, to sorrow you owe. For one downmanship is all you've ever known. You go to clamour(?) for the glamour, it's never your own. So long.... There's blood on my shoes (nobody knows). Because of you (where did you go?). Where did you go? (nobody knows). Where did you go?. With our cockeyed wistful(?) vision our obliviance. Through all the hell we raised,. Maybe is how it should stay,. When we don't feel change or pain, or ache or lust. You go to reach for the sedative, but is never enough. for a fake, fake spirit and a masquerade. We have so many colors, but still we dwell in the shade,. I play the pugilist, the apathist in so many ways. Is always tomorrow or never, forever on a day.... So long.... There's blood on my shoes (nobody knows). Because of you (where did you go?). Where did you go? (nobody knows). Where did you go?"
blood thirsty bastards,"The world seems out of touch now. I don’t get out so much. I don’t feel the same. In these bones anymore. My heels are all worn down. My loyalties are torn. I’m finding different paths now. I never saw before. And it hurts less every day. The paths lead me away. Lead me away from those. Blood Thirsty Bastards. Making plans for no one. But themselves. In this world of disaster. I just need someone. For myself. All the sycophants and vampires. Well I packed them off to hell. Oh I’ve been up for days now. I hope no one can tell. I do my bit oh yes. To cleanse my hands from lies. Im feeding up the zombies. Hatched from their own eyes. And from these eyes. The weary eyes-cum shadows. Of a very different man. Blood thirsty bastards making plans for no one. but their own. I got to be my own master. get away from these braggards, tricksters, foolish clones. Oh look at how they laugh at you now. What did you do to make this bad become true. For heavens sake. such a silly mistake. You’re a legend in your mind. But a rumour in your room. They all followed me down here. To an alleys dirty end. Oh I had nothing to give them. I just thought they were my friends. Doesnt matter now. I’m angry anyhow. So its the best way I can deal with. Blood thirsty bastards. making plans for no one. But their kind. Only now do I see it. I know I don’t need it, no. I pay them no mind. Blood thirsty bastards making plans for no one. But themselves. In this world of disaster. I just need someone"
buzzards and crows,We could throw ourselves in a road. But receive no comfort from street lights. Why not come in for a jamens and escape life?. We're idle in the mean time. Aristocrats and architects with broken dreams. Well I say the dead sea is dying. You say you're going underground for a while. Well we all need to be recognised for something. Not sure if the devil's eyes are blue. Work and days of underpaid still hold the key. I see this place from my window. It goes on the corner like the rest. There are the buzzards and the crows. Making eyes of a sea. Self obesessed. Now if commandment 11 is don't get caught. Then 12 must be don't ever tell. Then ask yourself do you believe you'll go to hell?. [My mate went to the crossroads to see the devil]. He never showed and if he says that I believe. I hear the place from my window. Call me like a lighthouse to the sea. There swarm the buzzards and the crows. Swirling wide talking wise and there's me. You and I hanging around. Lads who've got childish names. Scissors we cut it out. Shining before by the waves. I need to be recognised. 'Cause we could be self-assured. We could be happy indoors. I know this place from my window. I trip out and fall to the ground down below. Hoods up for the buzzards and the crows. Who believe in the void of themselves. Still believe in the void of themselves. And all the trees and animals of mountains green
chinese dogs,"Anthony: “Well it took you seven years just to learn my name. And I know it's all the drugs that are to blame. S-s-s-shame.”. carl: “well it took me seven years to forget your name. All the booze all the drugs and the hanging around are part of the game. S-s-s-shame. Oh..”. anthony: “What would it take for me to be your man.”. Carl: “What would it take for me to be your man.”. Anthony: “What would it take for you to understand.”. Carl: “What would it take for you to understand.”. Anthony: “The world has gone cold”. Carl: “Oh, filthy old Marys (??) and their chinese dogs. Soho is a no good home(?) if you know what I know.”. Together: ""You know what I know!"". Anthony: ""A million common people wanna tear your head off just to show your bones to the night."". Together: ""Tonight, cause you're satisfied."". Carl: ""Oh-oh-oh."". Anthony: “What would it take for me to be your man”. Carl: “What would it take for me to be your man”. Anthony: “What would it take for you to understand”. Carl: “What would it take for you to understand”. Anthony: “Has the world gone cold?..."". Carl: ""So if the shirt don't fit you"". Didz: ""It don't fucking fit you!"". Carl: “What would it take to make you understand”. Anthony: “What would it take for you to understand”. Carl: “What would it take for me to be your man”. Anthony: “What would it take for me to understand”. Carl: ""What would it take to make you understand"". Anthony: ""Has the world gone cold?"""
come closer,"Hails to the chancers. As boredom kills like cancer. We need dreams. For the romancers. And I'm looking to you. Well, the life's so lonely. I need my one and only. If you know love. Come on and show me. Now, I'm looking to you. Well, come closer, come closer. Come closer, come closer, come closer. My resistance is low. Come closer, come closer. Come closer, come closer, come closer. I'm not letting you go. Had love and I set it free. But it never came back to me. Now the skies have gone ugly. From Bolton to Rugby. As I'm looking for you. Oh come closer, come closer. Come closer, come closer, come closer. My resistance is low. Don't pay mind to them. You're most beautiful when you don't bother. So just let it go. Hit the piper, I'll feed the rat. And I won't mind, I won't mind. Smash the campus and burn the maps. I guess we'll be fine. You loved and you are able. Shall we write that on your grave. Come closer, come closer. Come closer, come closer, come closer. My resistance is low. Don't pay mind to them. You're most beautiful when you don't bother. So just let it go. by fill ;)"
deadwood,"You got the world boy. This all you make it?. You had the choice lad. You wouldnt take it. The oldest charm. Only the best for you. And the years of my life,. Some they were so good,. But now and again I feel. I was a coward. Are the holes in my soul. In tatters for all these tears. Well you dont see it that way. Away, away. We’ll have it today. The dancing ones they really mean it. But something boy,. somethings gonna change. A way, a way. Youve got it they say. How do they know. When theyve never seen it?. And what will you do. When they forget your name?. Well you’ll up and get another one. Don’t give me that face. I know when I should live in disgrace. Not dig up the deadwood. I knew this place was never the place for me. And of the years that rolled by. Yeah some were so good. But now I know that. You were the coward. The holes in your soul. In tatters for all these years. But you cant see it that way. A way, a way. Well have it today. The dancing ones they really mean it. And mark my words. Something’s gonna change. A way, a way. Youve got it they say. But how do they know. When theyve never seen it?. And what will you do. When they forget your name?. Well you’ll up and get another one. A way, a way. We’ll have it today. The dancing ones they really mean it. But something boy. somethings gonna change. A way, a way. Youve got it today. But how do they know. When theyve never seen it?. And what will you do. When they forget your name?. Well you’ll up and get another one"
