the sound of silence,"Hello darkness, my old friend. I've come to talk with you again. Because a vision softly creeping. Left its seeds while I was sleeping. And the vision that was planted in my brain. Still remains within the sound of silence. In restless dreams I walked alone. Narrow streets of cobblestone. 'Neath the halo of a street lamp. I turned my collar to the cold and damp. When my eyes were stabbed. By the flash of a neon light. That split the night. And touched the sound of silence. And in the naked light I saw. Ten thousand people, maybe more. People talking without speaking. People hearing without listening. People writing songs. That voices never share. And no one dare. Disturb the sound of silence. ""Fools"" said I, ""you do not know. Silence like a cancer grows. Hear my words that I might teach you. Take my arms that I might reach you"". But my words like silent raindrops fell. And echoed in the wells of silence. And the people bowed and prayed. To the neon God they made. And the sign flashed out its warning. And the words that it was forming. And the sign said. ""The words of the prophets. Are written on the subway walls. And tenement halls"". And whispered in the sound of silence"
a reason to fight,"The image in your eyes. Reflecting the pain that has taken you. I hear it in your voice, so ridden with shame. From what's ailing you. I won't give up, so don't give in. You've fallen down, but you can rise again. So don't give up. When the demon that's inside you is ready to begin. And it feels like it's a battle that you will never win. When you're aching for the fire and begging for your sin. When there's nothing left inside, there's still a reason to fight. Lost in your world of lies. I find it so hard to believe in you. Can it be real this time?. Or just a part of this game that we're playing through. I won't give up, so don't give in. You've fallen down, but you will rise again. I won't give up. When the demon that's inside you is ready to begin. And it feels like it's a battle that you will never win. When you're aching for the fire and begging for your sin. When there's nothing left inside, there's still a reason to fight. Don't let it take your soul. Look at me, take control. When knowing to fight this war. This is nothing worth dying for. Are you ready to begin?. This is a battle that we are gonna win. When you're aching for the fire and begging for your sin. When there's nothing left inside, there's still a reason. When the demon that's inside you is ready to begin. And it feels like it's a battle that you will never win. When you're aching for the fire and begging for your sin. When there's nothing left inside, there's still a reason to fight. I'll be your reason to fight. Give you a reason to fight"
stricken,"You walk on like a woman in suffering. Won't even bother now, to tell me why. You come alone, letting all of us savor the moment. Leaving me broken, another time. You come on like a blood staind hurricane. Leave me alone, let me be this time. You carry on like a holy man pushing redemption. I don't want to mention, the reason I know. That I am stricken and can't let you go. When the heart is cold, there's no hope, and we know. That I am crippled by all that you've done. Into the abyss, will I run?. You don't know what your power has done to me. I want to know if I'll heal inside. I can't go on, with a holocaust about to happen. Seeing you laughing, another time. You'll never know how your face has haunted me. My very soul has to bleed this time. Another hole in the wall of my inner defenses. Leaving me breathless, the reason I know. That I am stricken and can't let you go. When the heart is cold, there's no hope, and we know. That I am crippled by all that you've done. Into the abyss, will I run?. Into the abyss, will I run?. You walk on like a woman in suffering. Won't even bother now, to tell me why. You come alone, letting all of us savor the moment. Leaving me broken, another time. You come on like a blood staind hurricane. Leave me alone, let me be this time. You carry on like a holy man pushing redemption. I don't want to mention, the reason I know. That I am stricken and can't let you go. When the heart is cold, there's no hope, and we know. That I am crippled by all that you've done. Into the abyss, will I run. Into the abyss, will I run. I can't let you go. Yes I am stricken and can't let you go"
down with the sickness,"(can you feel that?). (oh, shit). O-WA-A-A-A(x2). O-O(x3). Drowning deep in my sea of loathing, Broken your servant I kneel. (will you give it to me?). It seems what's left of my Human side is slowly changing in me. (will you give it to me?). Looking at my own reflection, When suddenly it changes, Violently it changes. Oh, no. There is no turning back now, you've woken up the demon in me.. **Chorus**. Get up, come on get down with the sickness!. Get up, come on get down with the sickness!. Get up, come on get down with the sickness!. Open up your hate and let it flow into me.. Get up, come on get down with the sickness!. You mamma get up, come on get down with the sickness!. You Fucka get up, come on get down with the sickness!. Maddness is the gift that has been given to me.. I can see inside you, the sickness is rising, don't try to deny what you feel.. (will you give it to me?). It seems that all that was good has died and is decaying in me.. (will you give it to me?). It seems you're having some trouble, in dealing with these changes, living with these changes.. Oh, no. The world is a scary place now that you've woken up the demon in me.. Get up, come on get down with the sickness!. Get up, come on get down with the sickness!. Get up, come on get down with the sickness!. Open up your hate and let it flow into me.. Get up, come on get down with the sickness!. You mamma get up, come on get down with the sickness!. You Fucka get up, come on get down with the sickness!. Maddness is the gift that has been given to me.. And when I dream,. And when I dream,. And when I dream,. AND WHEN I DREAM!. No mommy don't do it again, don't do it again, I'll be a good boy. I'll be a good boy, I promise. No mommy don't hit me, OW, why did you have to hit me like that mommy?. Don't do it you're hurting me O-HOW. Why do you have to be such a bitch.. Why don't you why don't you fuck off and die!. Why can't you just fuck off and die!. Why can't you just leave here and die!. Never stick your hand in my face again, bitch.. FUCK YOU!!!. I don't need this shit!. You stupid, sadistic, abusive, fucking whore.. Would you like to see how it feels mommy?. Here it comes get ready to DIE!. O-WA-A-A-A. Get up, come on get down with the sickness!. Get up, come on get down with the sickness!. Get up, come on get down with the sickness!. Open up your hate and let it flow into me.. Get up, come on get down with the sickness!. You mamma get up, come on get down with the sickness!. You Fucka get up, come on get down with the sickness!. Maddness has now come over me!"
the light,"Like an unsung melody. The truth is waiting there for you to find it. It's not a blight but a remedy. A clear reminder of how it began. Deep inside your memory. You turned away as you struggled to find it. You heard their call as you walked away. A voice of calm but within the silence. And though it seemed an eternity. You waited, hoping it would call out again. With the shadow beckoning. Then your fears seemed to keep you blinded. You held your guard as you walked away. When you think all is forsaken. Listen to me now (all's not forsaken). You need never feel broken again. Sometimes darkness. Can show you the light. An unforgivable tragedy. The answer isn't where you think you'd find it. Prepare yourself for a reckoning. From when your world seems to crumble again. Don't be afraid, don't turn away. You're the one who can redefine it. Don't let hope become a memory. Let the shadow permeate your mind, then. Reveal the thoughts that were tucked away. So that the door can be opened again. Within your darkest memories. Lies the answer if you dare to find it. Don't let hope become a memory. When you think all is forsaken. Listen to me now (all's not forsaken). You need never feel broken again. Sometimes darkness. Can show you the light. Sickening, weakening. Don't let another zombie pariah consume your soul. You need strengthening, toughening. It takes a bit of dark to rekindle the fire burning in you. Ignite the fire within you. When you think all is forsaken. Listen to me now (all's not forsaken). You need never feel broken again. Sometimes darkness. Can show you the light. Don't ignore. Listen to me now. You need never feel broken again. Sometimes darkness. Can show you the light"
indestructible,"Another mission. The powers have called me away. Another time. To carry the colors again. My motivation. An oath I've sworn to defend. To win the honor. Of coming back home again. No explanation. Will matter after we begin. Unlock the dark destroyer that's buried within. My true vocation. And now my unfortunate friend. You will discover. A war you're unable to win. I'll have you know. That I've become. Indestructible. Determination that is incorruptible. From the other side. A terror to behold. Annihilation will be unavoidable. Every broken enemy will know. That their opponent had to be invincible. Take a last look around while you're alive. I'm an indestructible master of war. Another reason. Another cause for me to fight. Another fuse uncovered. Now, for me to light. My dedication. To all that I've sworn to protect. I carry out my orders. With not a regret. My declaration. Embedded deep under my skin. A permanent reminder. Of how it began. No hesitation. When I am commanding to strike. You need to know. That you're in for the fight of your life. You will be shown. How I've become. Indestructible. Determination that is incorruptible. From the other side. A terror to behold. Annihilation will be unavoidable. Every broken enemy will know. That their opponent had to be invincible. Take a last look around while you're alive. I'm an indestructible master of war. I'm. Indestructible. Determination that is incorruptible. From the other side. A terror to behold. Annihilation will be unavoidable. Every broken enemy will know. That their opponent had to be invincible. Take a last look around while you're alive. I am indestructible (indestructible). Indestructible. Determination that is incorruptible. From the other side. A terror to behold. Annihilation will be unavoidable. Every broken enemy will know. That their opponent had to be invincible. Take a last look around while you're alive. I'm an indestructible master of war"
are you ready?,"Get up, get up. Well, are you ready now. For the revolution. For too long your power has been taken away. It's been taken away. Does your heart feel heavy now. Savor the solution. Take those mental shackles off and throw them away. You've got to get them out of your mind. Don't you let their vision leave you blind. Moving steady now. It's a revelation. For so long your focus has been taken away. Now you're breaking away. They may think they know you, but. Here's an education. No, they can't control you. Once you've broken away. They're done patrolling your mind. When they're searching for you, they will find. A force they aren't ready for. They aren't ready for you to be strong. They aren't ready for you to prove them wrong. They aren't ready for you to be turned into someone. Who cannot be preyed upon. That's enough already now. You don't want to take it. All your reservations have been taken away. They've been taken away. So you think you're ready now. For the revolution. Yeah, they can't control you. Once you've broken away. You've got to get them out of your mind. When they stand before you they will find. A force they aren't ready for. They aren't ready for you to be strong. They aren't ready for you to prove them wrong. They aren't ready for you to turned into someone. Who cannot be preyed upon. (Are you ready). When they stand before us they will find. A cause they aren't ready for. They aren't ready for you us to be strong. They aren't ready for you us to prove them wrong. They aren't ready for you. Let me know you're ready to be turned. into someone people who cannot be preyed upon. We cannot be preyed upon. (Get up). Are you ready?"
immortalized,"This is war time, this is our time. We won't be denied. Feed the fire that is raging inside. This is go time, this is show time. We will fight 'til their wills are broken. This is game time, an insane time. Let the madness fly. Show them strength that just can't be defied. Find the power to devour. Let the beast inside now be woken. In this world only the strong will survive. Hear the roar and you will know you're alive. Feel the energy build in your soul 'cause it's time. Oh, in the calm before the storm. Another legend will be born. Another battle will be won. We will rise. Oh, so heed the call of confrontation. Today we feed on domination. Secure a legacy that will never die. Be immortalized. Raw emotion, pure devotion. They will testify. And our memory will endure for all time. Never hiding, no dividing. Let them witness us move as one now. Show no mercy, let the world see. We're invincible. Show them nothing is beyond our control. Take it higher, our desire. Will determine what we've become now. Are you ready for the test of your life?. See the fear bleeding right through their eyes. Feel the energy build in your soul 'cause it's time. Oh, in the calm before the storm. Another legend will be born. Another battle will be won. We will rise. Oh, so heed the call of confrontation. Today we feed on domination. Secure a legacy that will never die. Be immortalized. Feel it, take no prisoners now. Take it, there it is standing in front of us. Hear it, our deliverance now. Own it, give 'em an image of us that will. Last for all time. Oh, in the calm before the storm. Another legend will be born. Another battle will be won. We will rise. Oh, so heed the call of confrontation. Today we feed on domination. Secure a legacy that will never die. Be immortalized"
the night,"What has come over me. What madness taken hold of my heart. To run away, the only answer. Pulling me away. To fall upon the night. The source of my recovery. Sweet shadow taking hold of the light. Another day has been devoured. Calling me away, begging the question. Why. For saving me from all they've taken. Letting my armor fall again. Giving me the strength to face them. Feeling it taking over now. On a path to take it all away. There can be no better way of knowing. [Chorus]. In a world beyond controlling. Are you going to deny the savior. In front of your eyes. Stare into the night. Power beyond containing. Are you going to remain a slave for. The rest of your life. Give into the night. This self discovery. Redemption taking hold of my mind. A serenade of haunting voices. Calling me away. To feast upon the night. The source of my Felicity. Dark maiden taking hold of my hand. Lead me away from hibernation. Strong and unafraid. Never a question why. For saving me from all they've taken. Letting my armor fall again. Giving me the strength to face them. Feeling it taking over now. I'm about to take it away. There can be no better way of knowing. [Chorus]. In a world beyond controlling. Are you going to deny the savior. In front of your eyes. Stare into the night. Power beyond containing. Are you going to remain a slave for. The rest of your life. Give into the night. [Guitar Solo]. Give in to the night. [Chorus]. In a world beyond controlling. Are you going to deny the savior. In front of your eyes. Stare into the night. Power beyond containing. Are you going to remain a slave for. The rest of your life. Give into the night. Night [x3]. Give into the Night. Night [x3]. Give into the Night [x2]"
asylum,"Release me. No remnants were ever found of it. Feeling the hot bile. With every fake smile. Though no evidence was ever found. It never went away completely. I tried hide from the unholy sound of it. Another day gone, another night's dawn. Dark forces pull me underground. They never went away completely. How can I feel this empty?. I will not recover this time. This loneliness is killing me. Will I ever know peace of mind again?. I don't believe it, I can't achieve it. I think it all is just another sign. It never went away completely. Terror is coursing in me. (Terror inside of me - keeps a diligent watch on eveything...). Dreading the final moment when I have to dream. (Keeps a feeble hold of my belief - just waiting for a moment when I...). And feel you die. In asylum, I live a lie. Don't you know I'm in love with you. And I wasn't ready. For asylum, relive a lie. To let go. Now it's dragging me into your grave. Your asylum, forget the lie. Overcome by the feeling that. I won't get to join you in time. And the loneliness is killing me. Death's images are all around again. They're right behind me. They're gonna find me. Judgment from the immortal sin. That had enveloped me completely. I know I'll never know a peaceful night again. Afraid they'll hear me, they don't fear me. Punishment from the immoral crime. The debt was never paid completely. Terror is coursing in me. (Terror inside of me - keeps a diligent watch on eveything...). Dreading the final moment when I have to dream. (Keeps a feeble hold of my belief - just waiting for a moment when I...). And feel you die. In asylum, I live a lie. Don't you know I'm in love with you. And I wasn't ready. For asylum, relive a lie. To let go. Now it's dragging me into your grave. Your asylum, forget the lie. Overcome by the feeling that. I won't get to join you in time. And the loneliness is killing me. In the end there will be no suffering (more suffering). In the end you will find out everything (not anything). In the end you may question your belief (what belief?). In the end you will realize finally how you were deceived. This has gone on too long, no more demonic dreams. Destroyer come tonight because the memory is killing me. In asylum, I live a lie. I let go now it's dragging me into your grave. For asylum, relive the lie. Overcome by the feeling that. I won't get to join you in time (not a chance). This world is not fulfilling me. Don't need to live an asylum, I live a lie. Don't want to live an asylum, I live a lie. Don't need to live an asylum, I live a lie"
