funnel king,Wake up Monday nothing new. Weekend has caught up with you. Lie in bed hold your head. Pray to god you ain't dead. Alarm clock rings out like a bell. Start this day a living hell. Take a breath and what's that smell?. Well it smells like shit... but you can't tell. Just like you - always there. Just like you - never care. Just like you - head's in a sling. Just like you - the Funnel King. Puke it out think its gone. But you're in for a marathon. Lips are blue eyes are gone. Grab the rim and just hold on. This is like a weekly thing. 'Cause you are the Funnel King. OK now but you ain't done.... Just wait until next Monday comes. Knock knock knockin' at your door. Never ever gonna drink that filthy beer no more.
...in the doghouse,"You don't have to be the person actin' like the fool. About time you learned you somethin', so go to school. You never knew you had the answer but that's a lie. Livin' by your intuition and that ain't right. Face first. In the doghouse. Face first. Would not could not should not, but you did. Don't even try to cross me you snot nosed kid. This fight ain't half way over, you soft skin clown. That ill pill you're selling just wont wash down. I see what you do to others, and what you've done. I can't help but think and wonder when my time will come. So when you go for yours, you better knock me out. You come back to my neighborhood and I'll bust your crown."
all night,"You work like a dog 5 days a week. It sounds bleak. And you feel it's never gonna end. I recommend. That you chill for a sec. Take a deep breath. And think about the weekend. Where you are going to. What you gonna do. You spend 5 days dying. Now live it up for 2. I'm talkin' friday, saturday. Nothin' really matter day. Take it to the limit and recover on sunday!. Paycheck cashed, no responsibility. Free to lose your mind and enjoy the insanity. Time to be lazy. Time to get crazy. Monday morning comes it'll all be hazy. What I say?. No price to pay. From a pawn to a player. And an all night sprayer. Going hard you're the man. Give yourself a big hand. Made it through the week. Now it's off to the promise land. Come on, come on everybody. Let's get together and party. Let's start this party right. Gonna lose your minds tonight. Looking all around the world. Calling all my dogs and girls. If you feel it sing along. Gonna party all night. Now it's time to shine. Let them see how it's done. You need to show the people. What it means to have fun. Get up on the table. If you're willing and able. Prove to everybody that you're mentally unstable. No room for that here. Leave your problems at the door. Let your hair down. Get out on the dancefloor. Nobody staring. Ain't nobody caring. Can't hear anyway. Cause the music is blaring. Now the party's rockin'. And there ain't no stoppin'. And to keep it jumpin'. We need the music pumpin'. Let's get this party started. We'll let you get retarted. We only want to play. So where my dogs at?. Where my girls at?. C'mon, c'mon everybody!"
always the same,"Always the same and that's a shame.. The only change is the name of the game.. I know it sucks, cause times are tuff. and it's ruff but you gotta keep your head up.. What do you want?. I want a shot to follow my dreams, they're all I got.. What do you need?. I need a chance to go for it all cause I got plans.. What do you got?. I got nothing but fire burning inside for all I desire.. What do you see?. All I see is walls obstacles in my way they're gonna fall.. How do you feel?. It's all wrong but if it's not kill me I'm getting strong.. Where do you go?. On that I must decide exhibiting a sense of self.. What is the deal?. Just playing with time, learning alot, trying to get mine.. What do you know?. I don't know why it hurts, but if it's really worth something it takes hard work.."
big wheel,"Yeah it's a big world out there. and most of it is water.. So you better learn how to swim real good. or you should know how to fly this is motion. taking too long, like a bad song, fly to hong kong,. high as the sky without the bong.. Never the less the level of stress was endless,. I felt pressed in the cabin cass business.. I remember what it took to get us here,. the mad years we performed just for the beer.. Now we hover undercover in the atmosphere.. Intergalatic players, true pioneers.. Big wheel, spinnin around,. breaking thru cities and rippin thru town.. Get down time to flip that frown,. keep your body moving from your feet to the crown.. This is the J to the O H to the N C and then I'm on.. I spy like James Bond. N to the OR. I'll put you in the ER,. fumming like a cigar, screaming like a marshall.. Electric guitar starp me in there, a true circle, the perfect square.. Hot like flares, danger, beware you must prepare.. Only strategic affairs turn boys to millionairs.. We got to keep moving/forever staying in motion.. Papa never gave me tools to the trade, yo, I'm tryinta make the grade.. Suckas think I got it made. I won't trade or give aid.. You'll be played like arcades, follow the big wheel wherever it takes,. you nothing, but the truth. You must pursue in the endeavor.. Just remember to yourself be true explore the world.. It's a treasure if you only knew."
buggin',"Maybe I fly too much. Maybe you're high too much. I don't know, but I know. That I'm buggin'. Maybe I think too much. Think maybe you're out of touch. I don't know, but I know. That I'm buggin'. On and on and on it goes. Where it stops nobody knows. Round and round and round again. It feels like this will never end. Maybe I bitch too much. Shut the fzzuck up. I don't know, but I know. That I'm bugging. Maybe I smoke too much. Please put out that butt. I don't know, but I know. That I'm bugging. I'm buggin'."
bulletproof,"Check check one two on the boom shot. Here's the one on the gun in the street spot. Little boyz in the hood far from L A.. Got the heat on the street. Now they're ready to play. Got the look of a crook. Now they got the prop. Gassed up head full of lead. Might even drop a cop. Or not, who knows, it could go any way. But fun with a gun the games children play. Why did someone have to be the victim. Of a stupid game you shouldn't be playing. Don't you know that guns aren't for children. I tried to tell you but you didn't listen. The second verse skit is on the hearse tip. Young fingers on triggers and bodies gonna get hit. Lick fe shot's that go bang in the night. Just that quick you know he lost his life. Such a shame that the game. Had to end like that. Body dies mama cries. When the hammer cracks. I know you didn't mean it. The damage is done. It's what you get. Playing with gun, son. Bulletproof - it's a shame. Bulletproof - and you know the game. One mistake, a lifetime of pain. Hell your cell yourself to blame. Bulletproof - no you ain't. Bulletproof - and nobody is. A gun ain't a toy, toys are for kids. Click-clack-pop-pow l."
cannonball,"Seperate but one. Is how we exist. Like fingers and thumbs. Together a fist. Ready to strike. In daylight or night. For our right to party. We gonna fight. We want to play. So get in the way. You'll be destroyed. It's your hell to pay. Cannonball - gonna tell you who you are messin' with. Cannonball - original skate party clique. Cannonball - blowing spots like a terrorists. Cannonball. Rolling together. Watch out you better. Protect your home. Defend your scene. Mess with the dogs. You get the teeth. New jack vikings. The hijacking team. Cannonball - now I'll tell you who you are messin' with. Cannonball - original skate party clique. Cannonball - blowing spots like a terrorists. Cannonball - we be the skate punk anarchists. Fired at you like a cannonball. We're a wild tribe filled by alcohol. Go of the roof with a cannonball. Emptying your pools. We gonna skate the walls. Oh oh oh cannonball. We came, we saw - conquered it all. Broke down the walls go cannonball"
dog eat dog,"The rush I get when I'm makin' a break yeah. It's that cracked out, whacked out look on your face man.. Nothing like a ragamuffin making a handplant. While I'm pushing all the buttons of a ruthless villian.... Oh yeah, Oh no. Bip.. Oh no. Switch.. Got 'em now it's a damn good feelin'. Oh yeah.. So ya think I'd give up that easy? Oh no.... Oh so long with the pain right hear man. Oh shit you can't take it.. This one goes to the brothas that I'm feelin'. Oh yeah.. Cash and carry in the Dog Eat Dog system,. Me, myself, I and I was a victim.. Playin' games the rules are suit to fit them. They're getting rich on a tip that's abusive.... 'Cause he kills two friends, and he kills two friends, and so on, and so on... Bip. Oh yeah, Oh no. Switch. Got 'em now it's a damn good feelin'. Oh yeah.. So ya think I'd give up that easy? Oh no.... All this time with the pain in my mind. Oh shit you can't take it.. This one goes to the Northern Valley Skate Posse. Oh yeah.. It's a Dog Eat Dog world. Dog Eat Dog.. Got 'em now it's a damn good feelin'. Oh yeah.. So ya think I'd give up that easy? Oh no.... All this time with the quarrel in my mind. Oh shit you can't take it.. This one goes to the 076 crew. Oh yeah.. It's a Dog Eat Dog world. Dog Eat Dog."
expect the unexpected,"Now you never know when it's your time. It's always there in the back of your mind. Read it in the paper see it on TV. Never think it could happen to me. Accidents occur we don't know why. Just look what happened to Princess Di. One car crashed and the whole world cried. No time to say goodbye. Won't see your future in a crystal ball. Your psychic friends can't help you at all. Can't buy time at a shopping mall. The writing's on the wall. Struck by lighting, fall in a well. It sounds far fetched but you never can tell. When you're swimming with sharks that you can't repell. No one can hear you yell.... You never know where. You won't know how. When you least expect it. Expect the unexpected. Boom! What a terrible sound. Planes go up, and crash back down. You never thought when you left the ground. That you would not be found. Took a big chance when you made that bet. Laid it on the line now you're starting to sweat. This is one day you'll never forget. Cash in your pockets and no regrets. Fly in the sky, or sail in a boat. It don't matter which way you go. Titanic, don't panic,. There's other ways to cross the Atlantic. Don't be surprised by what you hear. Things aren't always as they appear. The unexpected ain't nothing to fear. The truth is always clear."
