getting away with it,"I've been walking in the rain just to get wet on purpose. I've been forcing myself not to forget just to feel worse. I've been getting away with it all my life(getting away). CHORUS. However I look it's clear to see that. I love you more than you love me. I hate that mirror, it makes me feel so worthless. I'm an original sinner but when I'm with you I couldn't care less. I've been getting away with it all my life. Getting away with it all my life. I thought I gave up falling in love a long long time ago. I guess I like it, but I can't tell you,. You shouldn't really know, and it's been true. All my life, yes it's been true all my life. I've been talking to myself just to suggest that I'm selfish. (getting ahead). I've been trying to impress that more is less. and I'm repressed ( I should do what he said). CHORUS. Getting away with it...."
get the message,"I've always thought of you as my brick wall. Built like an angel, six feet tall. Six feet tall. And when you go away, I start to weep. You're too expensive girl to keep. Isn't it sweet?. I don't know where to begin, living in sin. How can we talk? Look where you've been. I've counted the nights of living in sin. How can we talk? Look where we've been. Take my independent point of view. I've loosened my wallet, thanks to you. Don't do me any favors. Hark, the herald angels sting. Please repair my broken wing. Why won't you look at me? I live and breathe. (We can make it all the time, to live or die). Blame it on appearance. It might seem. A shame that we're. Not you or me. ."
i feel alright,"I can feel the undertow. Of a force that I don't know. Reaching deep into the night. It just makes me feel alright. And sometimes when I'm alone. When I need to speak to you. I call you up when you're at home. To exchange a point of view. It just makes me feel alright. It just makes me feel alright. It just makes me feel alright. It just makes me feel alright. . The things I see I can't describe. A blind emotion I can't hide. Are you aware of my existence. Do you view me with indifference. I'm walking 'round within a circle. I'm falling down before the hurdle. At the end of every season. The wrong place without a reason. . In the strangest kind of way. I don't want to let you down. But I hear it every day. I'm the angry man in town. And I don't know what to do. No, I don't know what to do. If it's love that makes you ill. I can take that bitter pill. . And it makes me feel alright. And it makes me feel alright. It just makes me feel alright. It just makes me feel alright. . The things I see I can't describe. A blind emotion I can't hide. Are you aware of my existence. Do you view me with indifference. I'm walking 'round within a circle. I'm falling down before the hurdle. At the end of every season. The wrong place without a reason. . Translated by Stephen Fontenot. ."
a new religion,it's early but I'm leaving. a new dawn and a new religion. help me and I will try. lend me the hand of (life?). show me that I can fly. just stand there by my side. how many words are written. you can read but you don't listen. it's there in front of you. take a look it's quite a view. oh how could I know. reaping the seed that can't be sown. It happens all the time. but not when you're around. why do some people shine. while others search the ground. it's like walking in the snow. it's happening right now. it's got to be somehow. hello stranger you're the reason. that I live and that I keep on breathing. sing me a lullaby. don't let this baby cry. I'm lost inside my mind. fresh water pure will clean me. renew the force within me. just something I must do. I would leave the world to you. .
all that i need,"you're all that I need. you remind me of me. you come from my soul. you're part of my tree. I don't know what I'm saying. cuz I'm so out of touch. I don't mind if we stay in. cuz I love you so much. They got it all wrong. cuz they don't understand. Just words in this song. and it comes from my head. and I find myself flying. at the edge of the world. we both need each other. like a boy needs a girl. and they got it all wrong. what does it cost to shut your mouth. let's pack our bags and we'll both head south. I'm feeling strange. I've lost my sight. you're out of range. but it's alright. . I'm so busy praying. I was down on my knees. I didn't know what I was saying. I just wanted to please. I was thrown out of jail. for behaving to well. I was given my freedom. I was robbed of my reason. They got it all wrong. What does it cost to shut your mouth. let's pack our bags and we'll both head south. I'm feeling strange,. I've lost my sight. you're out of range,."
breakdown,"I'm gonna leave you baby so far behind cause you're upset and twisted and you're out of your mind and you know i don't love you and we're wasting our time come on give me a reason help me make up my mind. There are cold days in this winter but it's not my design i'm a victim of your misfortune in a terminal decline breakdown, breakdown, breakdown, breakdown, breakdown, breakdown, breakdown, breakdown,. I'm gonna leave you baby so far behind cause you're fucked up and twisted and you're out of your mind and you know. I don't love you and we're wasting our time come on give me a reason help me make up my mind i don't know what lies in the future i don't know how long it will last you could lose yourself in the task. My heart is on fire but its burning low i can't get much higher there's no where to go breakdown breakdown, breakdown, breakdown, breakdown, breakdown, breakdown, breakdown, breakdown, breakdown, breakdown, breakdown, breakdown, breakdown, breakdown, breakdown repeat to fade."
can't find my way home,Come down from your throne leave your body alone somebody must change you are the reason i've been waiting for so long somebody holds the key well. I'm near the end and i just ain't got no time and i'm wasted and. I can't find my way home come down on your own and leave your body alone somebody must change you are the reason that. I've been waiting so long somebody holds the key well i'm near the end and i just ain't got no time and i'm wasted and i can't find my way home can't find my way home can't find my way home can't find my way home well i'm near the end and i just ain't got no time and i'm wasted and i can't find my way home can't find my way home can't find my way home can't find my way home.
dark angel,You don't want me but I don't care. I'm independent when there's no one there. I'm not a substitute and it's wearing thin. Why can't you see that I won't give in. There's a rumor how can it be true. The way that people talk it's as if they knew. And though I try I hope you understand. If I'm alone with you it could get out of hand. *Please don't make me wait. In front of you. Love comes too late. (We're) In a spin. Confused within. It must be fate. Love comes too late. I believe it was meant to be. But when you threw me out I guess it made me see. It would be a drag from my point of view. That's the kind of thing that I'd expect from you. What can I do I'll never be the same. Another day without would drive me insane. It's a real life drama that I can't work out. Don't think about it let me take you out. (*Repeat 2 times). It must be fate. Love comes too late. Comes too late. Comes too late. Comes too late. Comes too late. Comes too late.
disappointed,"Now, my head is spinning. At the back of my mind, I think I'm winning. I was somebody falling for one who was not. Somebody tired of dreaming. Now its already dawning that this time I've got. Someone who won't leave me feeling.... Disappointed, once more. Disillusioned, encore. I think I love you, for sure. So you're not disappointing at all. Disenchanted, once more. Disillusioned, encore. I think I love you, for sure. So you're not disappointing at all. Listen, as you call my name. Just one syllable said, then spoken once again. From the sound of your voice, the promise you make. You're somebody I can believe in. Someone who won't leave me feeling.... Disappointed, once more. Disillusioned, encore. I think I love you, for sure. So you're not disappointing at all. Disenchanted, once more. Disillusioned, encore. I think I love you, for sure. So you're not disappointing at all. At the back of my head, I believe what you said. Dream.... Disappointed, once more. Disillusioned, encore. I think I love you, for sure. So you're not disappointing at all. Disenchanted, once more. Disillusioned, encore. I think I love you, for sure. So you're not disappointing at all. Disappointed...."
feel every beat,"Have you ever been a victim in a violent fight. When you know it's not true and you know it's not right. Got not one ounce, inch of control. You got lust for blood runnin' in your soul. You know if every person upon this earth. Became the image of the mother in a violent birth. We could sow the seed, toss up the sand. And heal this brutal beat-up land. If there's a place to be why don't you come with me. Listen to your father, listen to your brother. Take every chance that comes, maybe you'll find someone. We don't need to argue, we just need each other. There's a mirror on the table, if you feel you could use it. Don't be ashamed, go ahead just do it. Protect your cranium, let it explode. Put your faith in the mother lode. Now if all this seems to be eccentric. Be aware be sure I meant it. The tunnel of love has got no end."
