my way,"And now the end is near. And so I face the final curtain. My friend, I'll say it clear. I'll state my case of which I'm certain. I've lived a life that's full. I've traveled each and every highway. And more, much more than this. I did it my way. Regrets, I've had a few. But then again, too few to mention. I did what I had to do. And saw it through without exemption. I planned each charted course. Each careful step along the byway. Oh, and more, much more than this. I did it my way. Yes, there were times, I'm sure you knew. When I bit off more than I could chew. But through it all when there was doubt. I ate it up and spit it out. I faced it all and I stood tall. And did it my way. I've loved, I've laughed and cried. I've had my fails, my share of losing. And now as tears subside. I find it all so amusing. To think I did all that. And may I say, not in a shy way. Oh, no, no not me. I did it my way. For what is a man, what has he got. If not himself, then he has not. To say the words he truly feels. And not the words from one who kneels. The record shows I took the blows. And did it my way. The record shows I took the blows. And did it my way"
can't help falling in love,"Wise men say, only fools rush in. But I can't help, falling in love with you. Shall I stay? Would it be a sin. If I can't help, falling in love with you?. Like a river flows, surely to the sea. Darling, so it goes somethings are meant to be. Take my hand, take my whole life too. For I can't help, Falling in love with you. Like a river flows, surely to the sea. Darling so it goes, somethings are meant to be. Take my hand, take my whole life too. For I can't help falling in love with you. For I can't help falling in love with you"
suspicious minds,"We're caught in a trap. I can't walk out. Because I love you too much baby. Why can't you see. What you're doing to me. When you don't believe a word I say?. We can't go on together. With suspicious minds. And we can't build our dreams. On suspicious minds. So, if an old friend I know. Drops by to say hello. Would I still see suspicion in your eyes?. Here we go again. Asking where I've been. You can't see these tears are real. I'm crying. We can't go on together. With suspicious minds. And we can't build our dreams. On suspicious minds. Oh let our love survive. Or dry the tears from your eyes. Let's not let a good thing die. When honey, you know. I've never lied to you. (we can't go on together). We can't go on together. With suspicious minds. And we can't build our dreams. On suspicious minds. We're caught in a trap. I can't walk out. Because I love you too much baby. Why can't you see. What you're doing to me. When you don't believe a word I say?. We're caught in a trap. I can't walk out. Because I love you too much baby"
always on my mind,"Maybe I didn't treat you,. Quite as good as I should have.. Maybe I didn't love you,. Quite as often as I could have.. Little things I should have said and done,. I just never took the time.. You were always on my mind.. You were always on my mind.. Maybe I didn't hold you,. All those lonely, lonely times.. And I guess I never told you,. I'm so happy that you're mine.. If I made you feel second best,. Girl I'm so sorry, I was blind.. You were always on my mind.. You were always on my mind.. Tell me.. Tell me that your sweet love hasn't died.. Give me.. Give me one more chance to keep you satisfied.. Satisfied.. Little things I should have said and done,. I just never took the time.. You were always on my mind.. You were always on my mind.. You were always on my mind.. You were always on my mind"
love me tender,"Love me tender, love me sweet,. Never let me go.. You have made my life complete,. And I love you so.. Love me tender, love me true,. All my dreams fulfill.. For my darlin' I love you,. And I always will.. Love me tender, love me long,. Take me to your heart.. For it's there that I belong,. And we'll never part.. Love me tender, love me true,. All my dreams fulfill.. For my darlin' I love you,. And I always will.. Love me tender, love me dear,. Tell me you are mine.. I'll be yours through all the years,. Till the end of time.. Love me tender, love me true,. All my dreams fulfill.. For my darlin' I love you,. And I always will."
suspicion,"Ev'rytime you kiss me. I’m still not certain that you love me. Ev'ry time you hold me. I’m still not certain that you care. Though you keep on saying. you really, really, really love me. do you speak the same words. To someone else when I’m not there. Suspicion torments my heart. Suspicion keeps us apart. Suspicion why torture me. Ev'rytime you call me. and tell me we should meet tomorrow. I can't help but think that. you're meeting someone else tonight. Why should our romance just. keep on causing me such sorrow?. Why am I so doubtful. whenever you're out of sight?. Darling, if you love me,. I beg you wait a little longer. Wait until I drive all. these foolish fears out of my mind. How I hope and pray that. our love will keep on growing stronger. Maybe I’m suspicious. 'cause true love is so hard to find."
bridge over troubled water,"When you're weary, feeling small. When tears are in your eyes I will dry them all. I'm on your side, oh, When times get rough. And friends just can't be found. Like a bridge over troubled water,. I will lay me down,. Oh, like a bridge over troubled water. I will lay me down. When you're down and out, when you're on the street. When evening falls so hard, I will comfort you. I'll take your part oh! when darkness falls and pain is all around. Yes, like a bridge over troubled water. I will lay me down. Oh, like a bridge over troubled water. I will lay me down. Sailing on, silver girl, sailing on by. Your time has come to shine. All your dreams are on their way. See how they shine. Oh, if you need a friend,. I'm sailing right behind. Yes, like a bridge over troubled water. I, I will ease your mind. Like a bridge over troubled water. I will ease your mind"
amazing grace,"Amazing grace, oh how sweet the sound. That saved a wreck like me. I once was lost, though now I'm found. I was blind, but now I see. When we've been there ten thousand years. Bright shining as the sun. We've no less days to sing God's praise. Then when, when we first begun. Through many dangers, toils and snares,. I have already come. It's grace that brought me safe thus far,. and grace will lead me home.. Amazing grace, oh how sweet the sound. To save a wreck like me. I once was lost, but now I'm found. I was blind, but now I see"
jailhouse rock,"The warden threw a party in the county jail.. The prison band was there and they began to wail.. The band was jumpin' and the joint began to swing.. You should've heard those knocked out jailbirds sing.. Let's rock, everybody, let's rock.. Everybody in the whole cell block. Was dancin' to the jailhouse rock.. Spider murphy played the tenor saxophone,. Little joe was blowin' on the slide trombone.. The drummer boy from illinois went crash, boom, bang,. The whole rhythm section was the purple gang.. Let's rock, everybody, let's rock.. Everybody in the whole cell block. Was dancin' to the jailhouse rock.. Number forty-seven said to number three:. ""you're the cutest jailbird I ever did see.. I sure would be delighted with your company,. Come on and do the jailhouse rock with me."". Let's rock, everybody, let's rock.. Everybody in the whole cell block. Was dancin' to the jailhouse rock.. The sad sack was a sittin' on a block of stone. Way over in the corner weepin' all alone.. The warden said, ""hey, buddy, don't you be no square.. If you can't find a partner. Use a wooden chair."". Let's rock, everybody, let's rock.. Everybody in the whole cell block. Was dancin' to the jailhouse rock.. Shifty henry said to bugs, ""for heaven's sake,. No one's lookin', now's our chance to make a break."". Bugsy turned to shifty and he said, ""nix nix,. I wanna stick around a while and get my kicks."". Let's rock, everybody, let's rock.. Everybody in the whole cell block. Was dancin' to the jailhouse rock."
unchained melody,"Oh, my love, my darling. I've hungered for your touch. A long lonely time. And time goes by, so slowly. And time can do so much. Are you, still mine?. I need your love. I need your love. God, spread your love to me. Lonely rivers. Flow to the sea, to the sea. To the open arms of the sea. Lonely rivers cry. Wait for me, wait for me. I'm coming home. Wait for me. My love, my darling. I've hungered for your kiss. Oh lonely, Lonely time. I need your love. I need your love"
kiss me quick,"Kiss me quick, while we still have this feeling. Hold me close and never let me go. 'Cause tomorrows can be so uncertain. Love can fly and leave just hurting. Kiss me quick because I love you so. Kiss me quick and make my heart go crazy. Sigh that sigh and whisper oh so low. Tell me that tonight will last forever. Say that you will leave me never. Kiss me quick because I love you so. Let the band keep playing while we are swaying. Let's keep on praying that we'll never stop. Kiss me quick I just can't stand this waiting. 'Cause your lips are lips I long to know. For that kiss will open heaven's door. And we'll stay there forever more. Kiss me quick because I love you so"
