hotel california,"On a dark desert highway, cool wind in my hair. Warm smell of colitas, rising up through the air. Up ahead in the distance, I saw a shimmering light. My head grew heavy and my sight grew dim. I had to stop for the night. There she stood in the doorway;. I heard the mission bell. And I was thinking to myself,. 'This could be Heaven or this could be Hell'. Then she lit up a candle and she showed me the way. There were voices down the corridor,. I thought I heard them say.... Welcome to the Hotel California. Such a lovely place. Such a lovely face. Plenty of room at the Hotel California. Any time of year, you can find it here. Her mind is Tiffany-twisted, she got the Mercedes-Benz. She got a lot of pretty, pretty boys, that she calls friends. How they dance in the courtyard, sweet summer sweat.. Some dance to remember, some dance to forget. So I called up the Captain,. 'Please bring me my wine'. He said, 'We haven't had that spirit here since nineteen sixty. nine'. And still those voices are calling from far away,. Wake you up in the middle of the night. Just to hear them say.... Welcome to the Hotel California. Such a lovely place. Such a lovely face. They livin' it up at the Hotel California. What a nice surprise, bring your alibis. Mirrors on the ceiling,. The pink champagne on ice. And she said 'We are all just prisoners here, of our own device'. And in the master's chambers,. They gathered for the feast. The stab it with their steely knives,. But they just can't kill the beast. Last thing I remember, I was. Running for the door. I had to find the passage back. To the place I was before. 'Relax,' said the night man,. We are programmed to receive.. You can checkout any time you like,. but you can never leave!"
i want to break free,"I want to break free. I want to break free. I want to break free from your lies. You're so self satisfied I don't need you. I've got to break free. God knows, God knows I want to break free.. I've fallen in love. I've fallen in love for the first time. And this time I know it's for real. I've fallen in love, yeah. God knows, God knows I've fallen in love.. It's strange but it's true. I can't get over the way you love me like you do. But I have to be sure. When I walk out that door. Oh how I want to be free, baby. Oh how I want to be free,. Oh how I want to break free.. But life still goes on. I can't get used to, living without, living without,. Living without you by my side. I don't want to live alone, hey. God knows, got to make it on my own. So baby can't you see. I've got to break free.. I've got to break free. I want to break free, yeah. I want, I want, I want, I want to break free."
emotion,"Its over and done,. But the heartache lives on inside. And who is the one you're clinging to,. instead of me tonight. And where are you now?. Now that I need you. Tears on my pillow. Wherever you go. I'll cry me a river. That leads to your ocean. You'll never see me fall apart. In the words of a broken heart. It's just emotion that's taken me over. Tied up in sorrow, lost in my soul. But if you don't come back, come home to me darling. You know that there'll be nobody left in this world to hold me tight. Nobody left in this world to kiss goodnight. Goodnight. Goodnight. I'm there at your side, a part of all the things you are. But you've got a part of someone else. You've gotta find your shining star. And where are you now?. Now that I need you. Tears on my pillow. Wherever you go. I'll cry me a river. That leads to your ocean. You'll never see me fall apart. In the words of a broken heart. It's just emotion that's taken me over. Tied up in sorrow, lost in my soul. But if you don't come back, come home to me darling. You know that there'll be nobody left in this world to hold me tight. Nobody left in this world to kiss goodnight. Goodnight. Goodnight"
horse with no name,"On the first part of the journey. I was looking at all the life. There were plants and birds and rocks and things. There was sand and hills and rings. The first thing I met was a fly with a buzz. And the sky with no clouds. The heat was hot and the ground was dry. But the air was full of sound. I've been through the desert on a horse with no name. It felt good to be out of the rain. In the desert you can remember your name. 'Cause there ain't no one for to give you no pain. La, la .... After two days in the desert sun. My skin began to turn red. After three days in the desert fun. I was looking at a river bed. And the story it told of a river that flowed. Made me sad to think it was dead. You see I've been through the desert on a horse with no name. It felt good to be out of the rain. In the desert you can remember your name. 'Cause there ain't no one for to give you no pain. La, la .... After nine days I let the horse run free. 'Cause the desert had turned to sea. There were plants and birds and rocks and things. there was sand and hills and rings. The ocean is a desert with it's life underground. And a perfect disguise above. Under the cities lies a heart made of ground. But the humans will give no love. You see I've been through the desert on a horse with no name. It felt good to be out of the rain. In the desert you can remember your name. 'Cause there ain't no one for to give you no pain. La, la ..."
glory of love,Tonight it's very clear. 'Cause we're both lying here. There's so many things I wanna say. I will always love you. I would never leave you alone. Sometimes I just forget. Say things I might regret. It breaks my heart to see you crying. I don't wanna lose you. I could never make it alone. I am a man who will fight for your honor. I'll be the hero you're dreaming of. We'll live forever. Knowing together. That we did it all for the glory of love. You keep me standing tall. You help me through it all. I'm always strong when you're beside me. I have always needed you. I could never make it alone. I am the man who will fight for your honor. I'll be the hero. You've been dreaming of. We'll live forever. Knowing together that we did it all. For the glory of love. It's like a knight in shining armor. From a long time ago. Just in time I will save the day. Take you to my castle far away. I am the man who will fight for your honor. I'll be the hero that you are dreaming of. We're gonna live forever. Knowing together. That we did it all for the glory of love. We'll live forever. Knowing together. That we did it all for the glory of love. We did it all for love
have you ever seen the rain?,"Someone told me long ago. There's a calm before the storm. I know. It's been coming for some time. When it's over, so they say. It'll rain a sunny day. I know. Shinin' down like water. I wanna know. Have you ever seen the rain?. I wanna know. Have you ever seen the rain. Comin' down on a sunny day?. Yesterday and days before. Sun is cold and rain is hot. I know. Been that way for all my time. 'Til forever, on it goes. Through the circle, fast and slow. I know. It can't stop, I wonder. I wanna know. Have you ever seen the rain?. I wanna know. Have you ever seen the rain. Comin' down on a sunny day?. Yeah!. I wanna know. Have you ever seen the rain?. I wanna know. Have you ever seen the rain. Comin' down on a sunny day?"
wish you were here,"So, so you think you can tell. Heaven from Hell. Blue skies from pain. Can you tell a green field. From a cold steel rail?. A smile from a veil?. Do you think you can tell?. did they get you to trade. Your heroes for ghosts?. Hot ashes for trees?. hot air for a cool breeze?. Cold comfort for change?. did you exchange. A walk on part in the war. For a lead role in a cage?. How I wish. How I wish you were here. We're just two lost souls. Swimming in a fish bowl. Year after year. Running over the same old ground. What have we found?. The same old fears. Wish you were here"
forever young,"Let's dance in style. let's dance for a while.. Heaven can wait. We're only watching the skies. Hoping for the best but expecting the worst.. Are you going to drop the bomb or not?. Let us die young or let us live forever. We don't have the power but we never say never.. Sitting in a sandpit. life is a short trip. The music is for the sad men.. Can you imagine when this race is won?. Turn our golden faces into the sun. Praising our leaders. we're getting in tune.. The music is played by the madmen.. Forever young. I want to be forever young.. Do you really want to live forever. forever - and ever?. Forever young. I want to be forever young.. Do you really want to live forever. forever, forever young.. Some are like water. some are like the heat. Some are a melody and some are the beat.. Sooner or later. they all will be gone.. Why don't they stay young?. It's so hard to get old without a cause. I don't want to perish like a fading horse.. Youth's like diamonds in the sun and diamonds are forever.. So many adventures couldn't happen today.. So many songs we forgot to play.. So many dreams swinging out of the blue - we'll let them come true.. Forever young. I want to be forever young.. Do you really want to live forever. forever - and ever?. Forever young. I want to be forever young.. Do you really want to live forever. forever, forever young.. Forever young. I want to be forever young.. Do you really want to live forever. forever - and ever?. Forever young. I want to be forever young.. Do you really want to live forever. forever, forever young."
every breath you take,"Every breath you take. Every move you make. Every bond you break. Every step you take. I'll be watching you. Every single day. Every word you say. Every game you play. Every night you stay. I'll be watching you. O can't you see. You belong to me. How my poor heart aches. With every step you take. Every move you make. Every vow you break. Every smile you fake. Every claim you stake. I'll be watching you. Since you've gone I been lost without a trace. I dream at night I can only see your face. I look around but it's you I can't replace. I feel so cold and I long for your embrace. I keep crying baby, baby, please. O can't you see. You belong to me. How my poor heart aches. With every step you take. Every move you make. Every vow you break. Every smile you fake. Every claim you stake. I'll be watching you. Every move you make. Every step you take. I'll be watching you"
the logical song,"When I was young. It seemed that life was so wonderful. A miracle, oh it was beautiful, magical. And all the birds in the trees. Well they'd be singing so happily. Oh joyfully, oh playfully watching me. But then they sent me away. To teach me how to be sensible. Logical, oh responsible, practical. And they showed me a world. Where I could be so dependable. Oh clinical, oh intellectual, cynical. There are times when all the world's asleep. The questions run too deep. For such a simple man. Won't you please, please tell me what we've learned. I know it sounds absurd. Please tell me who I am. Now watch what you say. Or they'll be calling you a radical. A liberal, oh fanatical, criminal. Oh won't you sign up your name. We'd like to feel you're. Acceptable, respectable, oh presentable, a vegetable. At night when all the world's asleep. The questions run soo deep. For such a simple man. Won't you please, please tell me what we've learned. I know it sounds absurd. Please tell me who I am, who I am, who I am, who I am"
