memory,"Midnight, Not a sound from the pavement. Has the moon lost her memory?. She is smiling alone. In the lamplight. The withered leaves collect at my feet. And the wind begins to moan. Memory, All alone in the moonlight. I can smile at the old days. Life was beautiful then. I remember. The time I knew what happiness is. Let the memory live again. Every street lamp. Seems to beat. A fatalistic warning. Someone mutters. And a street lamp gutters. And soon it will be morning. Daylight, I must wait for the sunrise. I must think of a new life. And I mustn't give in. When the dawn comes. Tonight will be a memory too. And a new day will begin. Burnt out ends of smoky days. The stale cold smell of morning. The street lamp dies. Another night is over. Another day is dawning. Touch me, It's so easy to leave me. All alone with the memory. Of my days in the sun. If you touch me. You'll understand what happiness is. Look a new day has begun..."
cry for the moon,Follow your common sense. You cannot hide yourself. behind a fairytale forever and ever. Only by revealing the whole truth can we disclose. The soul of this sick bulwark forever and ever. Forever and ever. Indoctrinated minds so very often. contain sick thoughts. And commit most of the evil they preach against. Don't try to convince me with messages from God. You accuse us of sins committed by yourselves. It's easy to condemn without looking in the mirror. Behind the scenes opens reality. Eternal silence cries out for justice. Forgiveness is not for sale. Nor is the will to forget. Follow your common sense. You cannot hide yourself. behind a fairytale forever and ever. Only by revealing the whole truth can we disclose. The soul of this sick bulwark forever and ever. Forever and ever. Virginity has been stolen at very young ages. And the extinguisher loses it's immunity. Morbid abuse of power in the garden of Eden. Where the apple gets a youthful face. Eternal silence cries out for justice. Forgiveness is not for sale. Nor is the will to forget. Follow your common sense. You cannot hide yourself. behind a fairytale forever and ever. Only by revealing the whole truth can we disclose. The soul of this sick bulwark forever and ever. Forever and ever. Eternal silence cries out for justice. Forgiveness is not for sale. Nor is the will to forget. You can't go on hiding yourself. Behind old fashioned fairytales. And keep washing your hands in innocence
the phantom agony,"I. IMPASSE OF THOUGHTS. I can't see you. I can't hear you. Do you still exist?. I can't feel you, I can't touch you,. Do you exist?. The Phantom Agony. I can't taste you, I can't think of you,. Do we exist at all?. II. BETWEEN HOPE AND DESPAIR. The future doesn't pass. And the past won't overtake the present. All that remains is an obsolete illusion. We are afraid of all the things that could not be. A phantom agony. Do we dream at night. Or do we share the same old fantasy?. I am a silhouette of the person wandering in my dreams. We are afraid of all the things that could not be. A phantom agony. Tears of unprecedented beauty. Reveal the truth of existence. We're all sadists. The age-old development of consciousness. Drives us away from the essence of life. We meditate too much,. so that our instincts will fade away. They fade away. What's the point of life. And what's the meaning if we all die in the end?. Does it make sense to learn or do we forget everything?. We are afraid of all the things that could not be. A phantom agony. Tears of unprecedented beauty. Reveal the truth of existence. We're all pessimists. The age-old development of consciousness. Drives us away from the essence of life. We meditate too much,. so that our instincts will fade away. They fade away. Teach me how to see and free the disbelief in me. What we get is what we see, the Phantom Agony.... A te spiritus noster devoratur et nostra anima capitur. III. NEVERMORE. The lucidity of my mind has been revealed in new dreams. I am able to travel where my heart goes. In search of self-realisation. This is the way to escape from our agitation. And develop ourselves. Use your illusion and enter my dream..."
sensorium,"Chance doesn't exist. But the path of life is not totally so predestined. And time and chronology show us how all should be. In the ways of existence. To find out why we are here. Being consciousness is a torment. The more we learn is the less we get. No one surveys the whole, focus on things so small. But life's objective is to make it meaningful. Only searching for this. That which doesn't exist. Although our ability to relativize remains unclear. Being consciousness is a torment. The more we learn is the less we get. Every answer contains a new quest. A quest to non existence, a journey with no end. I'm not afraid to die. I'm afraid to be alive without being aware of it. I'm so afraid to, I couldn't stand to. Waste all my energy on things. that do not matter anymore. Our future has already been written by us alone. But we don't grasp the meaning. of our programmed course of life. We only fear what comes. And smell death every day. Our future has already been wasted by us alone. And we just let it happen and do not worry at all. Our future has already been written by us alone. But we don't grasp the meaning. of our programmed course of life. We only fear what comes. And smell death every day. Search for the answers that lie beyond. Being consciousness is a torment. The more we learn is the less we get. Every answer contains a new quest. A quest to non existence, a journey with no end"
a phantasmic parade,Playing a million pictures in my mind. That travel at the speed of light. Been living in a world turned inside out. Diving through a sea that is profound. Gracing the code above and tasting life. The will options deciphered signs. Believing worlds below that crushed mankind. Breaking ground within the great design. Do not try to defy creation. See the world through the looking glass. Within reach is a fading horizon. Deep down the flames grow. You may find you're hallucinating. If reality is defied. I can sense the eclipse is rising. Showing the blood red moon. This time your mind. Will find a virtual phantasmic parade. It is a choice that is my own to make. A free will to risk a leap of faith. Is it my outcome that I will survive?. Finding out my life has been a lie. Do not try to defy creation. See the world through the looking glass. Within reach is a fading horizon. Deep down the flames grow. You may find you're hallucinating. If reality is defied. I can sense the eclipse is rising. Showing the blood red moon. This time your mind. Will find a virtual phantasmic parade. Make believers. Your divine machinery. Not believing. This will seal the deal. Seize the liar. Selling hollow prophecies. Burn the hounds alive. You can watch the world bow down to you. Do not try to defy creation. See the world through the looking glass. Within reach is a fading horizon. Deep down the flames grow. You may find you're hallucinating. If reality is defied. I can sense the eclipse is rising. Showing the blood red moon. This time your mind. Will find a virtual phantasmic parade. Do not try to defy creation. See the world through the looking glass. I live to not let go. You may find you're hallucinating. If reality is defied. Behold the vertigo. I won't let go. This time your mind. Will find a virtual phantasmic parade. Abandon fear give in before. Your mind can never escape
blank infinity,"Trying to keep myself afloat upon this stream. But a thought is pulling me down. Pulling me all the way. We are wandering towards a blank infinity. and extinguishing will now be the only way. to diminish your sins. This vortex can't be filled up again. A hole in space and time. Do you cry to the heaven's high. when you're confined here?. You do not ever wonder. why these leaden tears will never dry?. They'll leave behind so many shadows in my mind. High in the sky, all the clouds are passing by. Wait for this storm, wait for the rain,. and wait for the tears to fall down on me. We are wandering towards a blank infinity. and extinguishing will now be the only way. to diminish your sins. This vortex can't be filled up again. A hole in space and time. Do you cry to the heaven's high. when you're confined here?. Do you not ever wonder. why these leaden tears will never dry?. They'll leave behind so many shadows. Living in me, living in all the memories in my life. You wonder why. These tears never dry. Time forced into life (Do you wonder why). Living in my mind. Can we even find a way in this labyrinth without end?. Labyrinth has no end. Which turn should I take?. Left or right?. Should I stay?. Should I be the one?. Do you cry to the heaven's high. when you're confined here?. You do not ever wonder. why these leaden tears will never dry?. They'll leave behind so many shadows. This substance in time forced into life. but still exists because it's here. Living in me, living in all the memories in my life. Lost inside blank infinity"
storm the sorrow,"Along the way I find myself. To be confined within me. No place for any other's mind. To interfere. To grasp the meaning of it all. To overcome my limits. And dance away from any void and empty tasks. Just tell me why. Just tell me how. I can survive this time. Believe yourself and look away. From all that's right within you. Leave all your worries at the door. And drift away. I've tried to peer into the core. But could not storm the sorrow. My hollow heart has bled me dry, left me to stray. Another time. Without a trace. Condemn me now. Send me to hell. For I'm already failing. Intertwine the lines. that swim beneath the dark. Realize the pain we live in. Demonize the need we reel in. No. In my memories. I'll dig deep enough to know. Centuries of dreams unending. Another me that yielded tears. When someone had betrayed. No time should ever go to waste. It's not that complicated. You're free to live your life at ease. No more restrain. No heed for shadows on your way. That try to steal your laughter. Your light will drive them all away. Be confident. Will I refrain?. Can I repent?. Will you be there?. Erase the page. For I'm alone and ailing. Intertwine the lines. that swim beneath the dark. Realize the pain we live in. Demonize the need we reel in. No. In my memories. I'll dig deep enough to know. Centuries of dreams unending. Another me that yielded tears. When someone had betrayed. So. This is my life. And it can't break me down. Go. I will decide. Who can come in. And heal my disease. Burn it. In flames. Kill it. And main. Why can't you see that you need to be freed. Intertwine the lines beneath the dark. Every bit of pain we're feeling. Every other solemn life. No. In the memories you will find somehow. There used to be a dream unending. No more need to be alone. Intertwine the lines. that swim beneath the dark. Realize the pain we live in. Demonize the need we reel in. No. In my memories. I'll dig deep enough to know. Centuries of dreams unending. Another me that yielded tears. When someone had betrayed"
never enough,"Can't you hear me screaming once again?. Voices you can't hear. Because you are consumed and incontent. With everlasting greed. Don't you see me on my hands and knees?. Begging and bleeding. You're smiling as you bite the hand that feeds. But will you never see?. Always wanting what your eyes can't see. - needing what your arms can't reach. Thinking you are in need,. Always hearing what your ears can't hear. - feeling what your hands can't touch. Thinking you're incomplete. It was, never enough that I gave to you. All of the horror that you've put me through. Now can't I make up my mind this time?. This is where I will draw the line. Sacrificed my life to be with you. Why did you leave me?. There's nothing more from me you can consume. Cause you are incomplete. Always wanting what your eyes can't see. - needing what your arms can't reach. Thinking you are in need,. Always hearing what your ears can't hear. - feeling what your hands can't touch. Thinking you're incomplete. It was, never enough that I gave to you. All of the horror that you've put me through. Now can't I make up my mind this time?. This is where I will draw the line. Everlasting need. Would you please?. Answer me and. Make me complete. Everlasting greed. Would you please?. Set me free. Fulfil all my needs and make me complete. It was, never enough that I gave to you. All of the horror that you've put me through. Now can't I make up my mind this time?. This is where I will draw the line. Never again will I be with you. No promise eternal carrying us through. I finally made up my mind this time. This is the end, I've drawn the line. Never enough to devour your greed"
feint,"The very brightest candle of all has been extinguished. Smothered by those who could not bear to face reality. Every beat of your heart tore the lies all apart. Made foundations quiver. Every wave in the lake caused the porcelain to break. And I shiver.... The leftover tallow just doesn't contain. all the right answers. Under a sea of dust lies a vast wealth of wisdom. As untuched snow turns red. Innocence dies. Every beat of your heart tore the lies all apart. Made foundations quiver. Every wave in the lake caused the porcelain to break. And I shiver.... This black page in history is not colourfast,. will stain the next. All what remains is just a feint of what was meant to be. This black page in history is not colourfast,. will stain the next. And nothing seems in life,. in dreams like what was meant to be. Every beat of your heart tore the lies all apart. Made foundations quiver. Every wave in the lake caused the porcelain to break. And I shiver..."
solitary ground,"Living at different places. Evading into various spaces. My compass has broken, I'm losing the way. An ongoing madness has led me astray. My past breaths down my neck. And it seems now that all I can do is. Go back to beginnings when all lay ahead. A fading illusion now plagues me instead. In me there's still a place that fullfills me. A sanctity here that I call home, I run to. When winter descends. If I try, can I find solid ground?. I follow illusive paths. Oh, it seems they've been written in stone. And a door to a new life is closing so fast. Burning the bridges will not bring me back. In me there's still a place that fulfils me. A sanctity here that I call home, I run to. When winter descends. If I try, can I find solid ground?. In me there's still a place that fullfills me. A sanctity here that I call home, I run to. When winter descends. If I try, can I find solid ground?. I know that in me there's still a place that fullfills me. A sanctity here that I call home, I run to. When winter descendes. If I try, can I find solid ground. Or am I just wasting time?"
