one for the money,"Everybody in the world are you with me. It's to late to try to run, we run the city. It's my time, it's your time. Every time it's don't give a fuck time. It's go time, it's show time. Sing it with me everybody lets go. Cos it's one, it's one one for the money. Two, it's two gots to much for show. It's three, three get ready, are you ready motherfuckers?. Are you ready? let's go!. Cause it's one, it's one one for the money. Two, it's two gots to much for show. It's three, three get ready, are you ready motherfuckers?. Are you ready? let's go!. Let me see you start a war, start a riot. When there's nothing left to burn hear the silence. Hate me, you can't escape me and you. Ain't ever gonna change me. I can't stand it, I've fucking had it, I'm about to blow. Cause it's one, it's one one for the money. Two, it's two gots to much for show. It's three, three get ready, are you ready motherfuckers?. Are you ready? let's go!. Cos it's one, it's one one for the money. Two, it's two gots to much for show. It's three, three get ready, are you ready motherfuckers?. Are you ready? let's go!. Are you ready? let's go!. Cause it's one, it's one one for the money. Two, it's two gots to much for show. It's three, three get ready, are you ready motherfuckers?. Are you ready? let's go!. Cos it's one, it's one one for the money. Two, it's two gots to much for show. It's three, three get ready, are you ready motherfuckers?. Are you ready? let's go!. Are you ready? let's go. Are you ready? let's go"
situations,"Situations are irrelevant now. She loves the way that I tease,. I love the way that she breathes. I touched her ooh, she touched my ahhh, it was the craziest thing.. I love the girls who hate to love because they're just like me. A. certain girl she took my hand and ran it up her thigh. She licked. her lips and pulled my hair, I fall in love for a night. She can't behave I'm not just a slave, don’t worry I'll be gone when. the morning comes.. Darling what is going on?. Honestly that never happened lying is your favorite passion.. Leave me, go where you belong. Hired heels and lipstick napkins dying is your latest fashion.. The frustration it's a regular thing. I hate the ones who love to hate because they're just like me.. A certain girl she took her hand and put in my lap. It's way too full she said once you have me you'll always come back.. She can't behave I'm not just a slave, don’t worry I'll be gone when. the morning comes.. Darling what is going on?. Honestly that never happened lying is your favorite passion. Leave me, go where you belong. Hired heels and lipstick napkins dying is your latest fashion.. I know you love to insist and all it takes is a kiss and you just. love to hate me.. You know you love all the lies so don’t act surprised that I just. love to hate you.. I kissed your lips you pulled my hair it was the craziest thing. I. Love the girls who love to hate. (Breathing). (Whoa) Darling what is going on?. Honestly that never happened. Lying is your favorite passion. Leave me, go where you belong. Hired heels and lipstick napkins, dying is your latest fashion. Darling (Leave Me) what is going on?. Honestly that never happened. Lying is your favorite passion. Leave me (Darling) go where you belong. Hired heels and lipstick napkins, dying is your favorite passion"
something,"So now you're running. It's hard to see clearly. When I make you angry. You're stuck in the past. And now you're screaming. So can you forgive me. I've treated you badly. But I'm still here. Sometimes I wonder. Why I'm still waiting. Sometimes I'm shaking. That's how you make me. Sometimes I question why I'm still here. Sometimes I think I'm going crazy. Can you help me understand?. And now you wish that you meant something. And now you wish that you meant something to somebody else. And now you wish that you met someone. And now you wish that you meant something to somebody else. Something to somebody else. Something to somebody else. You look at me through clouded eyes. I know you see through my lies. See the sky, see the stars. All of this could be ours. Out of sight, out of mind. We've been through this a thousand times. Turn your back and then you make me feel so crazy. Can you help me understand?. And now you wish that you meant something. And now you wish that you meant something to somebody else. And now you wish that you met someone. And now you wish that you meant something to somebody else. You know I would wait for ever. Yes I would wait (I would wait). You know I would wait forever. Yes I would wait. And now you wish that you meant something. And now you wish that you meant. Something to somebody else. And now you wish that you met someone. And now you wish that you meant something to somebody else. And I'm the one that should mean something. But still you wish that you meant something to somebody else. Something to somebody else. Something to somebody else"
ashley,"Shadows fall on yesterday,. it's like time just slips away.. I'm nothing, when darkness follows me.. The dawn, it never shows it's head.. I'm left dying here instead with nothing,. a lock without a key.. Like the brightest star you shine through.. Ashley, baby, you make me feel so alive.. I've got purpose once again.. Yeah, yeah.. Ashley, baby, you make me feel so alive.. I've got purpose once again.. Yeah, yeah.. (I've got purpose once again.). If looks could kill you'd be the one,. that takes my world and makes me numb.. I'm nothing, without you I can't breathe.. (I can't breathe.). And as the sunlight burns the sky,. I see through my obsessive eyes.. I'm nothing, without you I can't see.. Like the brightest star you shine through.. Ashley, baby, you make me feel so alive.. I've got purpose once again.. Yeah, yeah.. Ashley, baby, you make me feel so alive.. I've got purpose once again.. Yeah, yeah.. Yeah, yeah.. You're the strength I need to fight,. You're the reason I still try.. I'm the moth and you're the light.. Use these wings so I can fly,. I can fly.. Ashley, baby, you make me feel so alive.. I've got purpose once again.. Yeah, yeah.. Ashley, baby, you make me feel so alive.. I've got purpose once again.. Yeah, yeah.. Ashley, baby, you make me feel so alive.. I've got purpose once again.. Yeah, yeah.. Yeah, yeah.. I've got purpose once again.. I've got purpose once again.. by bihvaca"
my apocalypse,There's a place that I've found. As far as I can see. This place lies within. The depths of my dreams. In a garden surrounded. By fire and trees. Through the smoke a silhouette I can barely see. There's a man with an axe. Standing in the rain. Looked me straight in my eye. This is what he had to say. Never fall asleep. You won't wake up. Destroy the guillotine. Before he does. I walk with shadows. (You have to find a better way). I walk with shadows. (The questions I will never say). Hiding from the gallows. (They keep me safe and sound). So I walk in shadows. (The ways of burning down this house). End transmission. The satellites are down. I need an earthquake. To shake this pity. Off the ground. Just don't trust these liars at the door. (You have to find a better way). Kill the ones that have these answers for. (The questions I will never say). All the vibrant colors I see. And the shades that fill the grey. Pain!. The Pain!. Hiding from the gallows. (You have to find a better way). I walk with shadows. (The questions I will never say). Hiding from the gallows. (They keep me safe and sound). So I walk in shadows. (The ways of burning down this house)
picture perfect,"You lived your life like you were on fire. But how can I dance, when your soul just lifted me. Higher and higher and higher. (Unclear) image of your love. Your memory, our history (why did you have to go?). I give up my eyes, to see you one last time. And I'd give all my fingertips to touch you. And I could paint you picture perfect. Even if I were blinded. You have to die for me to see how to live. (For me to see how, for me to see how oh, for me to see how, for me to see how oh). I live my life hiding in shadows but now I can see. Cuz your soul is lifting me. Higher and higher and higher. It bleeds, I can't breathe, need you here with me. Close my eyes I can feel you close (why did you have to go?). I give up my eyes, to see you one last time. And I'd give all my fingertips to touch you. And I could paint you picture perfect. Even if I were blinded. You have to die for, me to see how to live. Angels fall, it's not your fault. Time goes on without you. Goodbye old friend, we'll meet again. Life goes on without you. (Why did you have to go?). I give up my eyes, to see you one last time. And I'd give all my fingertips to touch you. And I could paint you picture perfect. Even if I were blinded. You have to die for me to see how to live. (For me to see how, for me to see how oh, for me to see how, for me to see how oh). (For me to see how, for me to see how to live. For me to see how, for me to see how, oh). . |. |. |"
you are so beautiful,"I could've found a better way. You know i never should have stayed. I could've done the things i believed were wrong. Now you're saying that its late. It doesnt matter what i say. You know you're just another one of my mistakes. You are so beautiful, You are the kind of girl. that has the chemicals that makes me fall in love. Beautiful, you are the kinda girl, that has the chemicals. That makes me fall in love. So now i'm feeling like a slave. I'm locked away inside this grave. And i'm hoping for a way i can be saved. You know that there will come a day. when i just have to say, you;re just another one of my mistakes. You are so beautiful, You are the kind of girl. that has the chemicals that makes me fall in love. Beautiful, you are the kinda girl, that has the chemicals. That makes me fall in love. Fall in love. You know i felt a strong regret. You lied about, You lied about. You lie to me, lie to me. You are so beautiful, You are the kind of girl. that has the chemicals that makes me fall in love. Difficult, so very difficult. You are the kinda girl, that makes me fall in love, fall in love. by: Guh!"
this war is ours (the guillotine part ii),"We have to find a better way. Out of this tragedy. As the battle rages on. Blood Stains the ground we´re on. My ears hear only screams. Brave soldiers are dying. One Spartan stands alone. And Shouts. This War is Ours. This War is Ours. Yes, I will see you through the smoke and flames. On the frontlines of war. (We have to find a better way). And I will stand my ground until the end. Till we conquer them all. (we have to find a better way). Oh. Through the fire and the flames. A sea of dead drives me insane. We march the fight into the cold. This is as far as it will go. The battle ends on the top here. This is where we conquer them. On blackout armed with you swords. This war is ours, yeah. This war is ours. Yes, I will see you through the smoke and flames. On the frontlines of war. (We have to find a better way). And I will stand my ground until the end till we conquer them all. (we have to find a better way). Till we conquer them all. Oh. Yes, I will need you through the smoke and flames. On the frontlines of war. And I will stand my ground until the end till we conquer them all. We will conquer them all. We will conquer them all. We will conquer them all. Oh. This war is ours. Yeah. This war is ours. Yes, I will see you through the smoke and flames. On the frontlines of war. And I will stand my ground until the end. Till we conquer them all. Oh. So I will fight my battle till I fall. And I conquer them all. Till we conquer them all. Oh. Go. Yeah. This is war. War (7x). This is war. Pedro *o*"
broken heart,"I'm letting go. Cause I can't take this anymore. Since you broke my heart in two. I've been a little crazy lately. I've been out of my head. I remember every word you ever said. And oh I, I never thought you would betray me. A whole lotta regret. I cannot believe we're coming to an end. And now you got me feeling so damn low. I'm letting go. Cause I can't take this anymore. Since you broke my heart in two. And now I know. That you don't love me anymore. So take my broken heart with you. I've been a little lonely lately. I can't sleep in this bed. I remember every night we ever spent. And oh I'm hearing every word you told me. It's stuck in my head. All your promises were broken in the end. And now you got me feeling so damn low. I'm letting go. Cause I can't take this anymore. Since you broke my heart in two. And now I know. That you don't love me anymore. So take my broken heart with you. We could've been something. But now you got me feeling. Down, down, down. Down, down, down. We could've been something. But now you got me feeling. Down, down, down. Down, down, down. I'm letting go. Cause I can't take this anymore. Since you broke my heart in two. And now I know. That you don't love me anymore. So take my broken heart with you. I'm letting go. Cause I can't take this anymore. Since you broke my heart in two. And now I know. That you don't love me anymore. So take my broken heart with you"
reverse this curse,"A withered past and a blurry future,. My hearts on an auction,. It goes out to the highest bid.. I live to fast, and I know I will lose her,. But there is an option, to die is to live in her head.. So I'll hang on, never let go.. I dug this pain into my chest.. [Chorus:]. Instead,. One last chance to reverse this curse,. You stole my heart but I had it first.. And now I see you've got something to prove,. And nothing to lose, so let me tell you the truth.. A deadly wish but it should've come sooner,. A corpse in a funeral that I would never attend.. There is a light on in the back of this house,. But you're not around, to die is to live in her head.. So I'll hang on, never let go.. I dug this pain into my chest.. [Chorus:]. Instead,. One last chance to reverse this curse,. You stole my heart but I had it first.. And now I see you've got something to prove,. And nothing to lose so let me tell you the truth.. So, this goes, out to, the ones that fall in love,. And to, the girl, that filled my heart.. Last night I had the weirdest dream,. That you and I drove up the darkest streets,. Passing through these city lights,. Closure for the kiss that died.. One last chance to reverse this curse,. You stole my heart but I had it first,. And now I see you've got something to prove,. And nothing to lose so let me tell you the truth. [x2]. So, this goes, out to, the ones that fall in love.. An to, the girl, that filled, my, heart."
