more than words,"Saying I love you. Is not the words I want to hear from you. It's not that I want you. Not to say, but if you only knew. How easy it would be to show me how you feel. More than words is all you have to do to make it real. Then you wouldn't have to say that you love me. Cause I'd already know. What would you do if my heart was torn in two?. More than words to show you feel. That your love for me is real. What would you say if I took those words away?. Then you couldn't make things new. Just by saying I love you. La di da, la di da. More than words. La di da, la di da. Now that I've tried to talk to you and make you understand. All you have to do is close your eyes and just reach out your hands. And touch me, hold me close, don't ever let me go. More than words is all I ever needed you to show. Then you wouldn't have to say that you love me. Cause I'd already know. What would you do if my heart was torn in two?. More than words to show you feel. That your love for me is real. What would you say if I took those words away?. Then you couldn't make things new. Just by saying I love you"
love of my life,Love of my life you've hurt me. You've broken my heart and now you leave me. Love of my life can't you see. Bring it back bring it back. Don't take it away from me. Because you don't know. What it means to me. Love of my life don't leave me. You've taken my love you now desert me. Love of my life can't you see. Bring it back bring it back. Don't take it away from me. Because you don't know. What it means to me. You will remember. When this is blown over. And everything's all by the way. When I grow older. I will be there at your side to remind you. How I still love you I still love you. Back hurry back. Please bring it back home to me. Because you don't know. What it means to me. Love of my life. Love of my life. Yeah
hole hearted,Ooh yeah wooh. Hey hey hey hey hey yeah. Life's ambition occupy my time. Priorities confuse the mind. Happiness one step behind. This inner peace I've yet to find. Rivers flow into the sea. Yet even the sea is not so full of me. If I'm not blind why can't I see. That a circle can't fit where a square should be. Chorus. There's a hole in my heart. That can only be filled by you. And this hole in my heart. Can't be filled with the things I do. Hole hearted (x2). This heart of stone is where I hide. These feet of clay kept warm inside. Day by day less satisfied. Not fade away before I die. There's a hole in my heart. That can only be filled by you. Should have known from the start. I'd fall short with the things I do. Hole hearted (x6). Yeah
pornograffitti,"Sex!. Sex on the brain. Pumped in my veins. Flowing from my head to my feet. Sex on TV. Rotation heavy. You and I are what we eat. Sex when I'm all alone. It calls me on the phone. Can't stop this ringing in my ear. Sex in excess. Filling all our senses. Keep saying there's nothing to fear. Can't you read the writing on the wall. Can't you seee the rising and the fall. All I see is pornograffitti. All I hear pornograffitti. See no, hear no. All I speak pornograffitti. All I fear pornograffitti. Speak no evil. Sex in 3D. No evil eyes see. Too much of it and you'll go blind. Sex education. Misinformation. Kiss me where the sun don't shine. Sex it surrounds me. Pornograffiti. It's all so constitutional. Sex is literate. Read all about it. But censor where you all can go. Can't you read the writing on the wall. Can't you see the rising and the fall. All I see is pornograffitti. All I hear pornograffitti. See no, hear no. All I speak pornograffitti. All I fear pornograffitti. Speak no evil. Sex sells"
don't leave me alone,"Now's not the time to say goodbye. And I'm not the kind to question why. Well I don't feel very well, and it's getting cold as hell. It won't be the same, can't you tell?. Don't leave me alone. Don't leave me on my own. I'm so afraid. Why can't you stay?. Just don't leave me alone. How long will my song be wrong?. Doing the things I should have known. Only to reap what I have sown. Jesus, please. Don't leave me alone. Don't leave me on my own. I'm on my knees. Forgive me please. Just don't leave me alone. How long will my song be wrong?. (Keyboard solo). Don't leave me alone. Don't leave me on my own. I'm so afraid. Why can't you stay?. Just don't leave, don't leave... me alone. How long will my song... be... wrong?."
little girls,"It's not fair what they put me through. Please tell me what am I supposed to do. Why do I get myself in this situation. There must be some logical. Answers why I rob the cradle. Can this be love or just infatuation. Little girl come out and play. I got some candy for my baby. It's your sweet sixteenth birthday celebration. Thank heaven for Little girls who. grow up in a most peculiar way. You might think she's too young for me. (Little Girls). You know I always say you're as young as you feel. (As you feel). Yeah, I might be crazy 'cause I like them so young. (Little Girls). But with little girls the best is yet to come come. (Yet to come). Some they say I'm too old for her. Old enough to be her father. Incestual blood is thicker than water. Do what's right not morally wrong. Flesh and blood can only be so strong. And it's my god not yours I'll have to answer. ."
last hour,"As stories go,. this one's been told. Another heart broken,. left out in the cold. With one variation,. the difference this time,. this one is mine,. Since you've been gone. you've stolen my heart. As for the rest of me. I've fallen apart. in my desperation. My only prayer. handle with care. Cos I don't know. what to do. Wasting my time,. wandering through. Wondering why. what's it all worth. My last hour on earth. My last hour. So in the end. you were the one. Something so right. could never be wrong. Without hesitation. I'll tell you the truth. I'm still waiting for you. Cos I don't know. what to do. Wasting my time,. wandering through. Wondering why. what's it all worth. My last hour on earth. My last hour. Cos I don't know. what to do. Wasting my time,. wandering through. Wondering why. what's it all worth. It's worth everything. Yeah my everything is you. It's worth everything. Yeah my everything is you. It's worth everything. Yeah my everything"
rest in peace,"Let's talk of peace,. Sounds so cliche. A novelty, catch phrase of the day. Middle, index,. Sign of the time. Just as complex,. As water to.... Someone said give peace a chance. And, that's all that we're saying. While we're sitting on the fence. Pretending,. Our hearts are in the right place. But, your face. Shows a trace of,. Hypocrisy,. Don't tread on me,. Now you can see. MAKE LOVE NOT WAR, SOUNDS SO ABSURD, TO ME. WE CAN'T AFFORD TO SAY THESE WORDS, LIGHTLY. OR ELSE OUR WORLD, WILL TRULY, REST IN PEACE. Let's not pretend,. to justify. Rather amend,. Where treasures lie. Straight through the heart,. Peace can be found. That's where you start,. Not all around. Someone said give peace a chance. And, that's all that we're saying. While we're sitting on the fence. Pretending,. Our hearts are in the right place. But, your face. Shows a trace of,. Hypocrisy,. Don't tread on me, boy. Now you can see."
learn to love,"Don't want to fall in love. Don't want to fall in love again. And you don't know where I've been. Don't want to fall in love again. I will not fall,. Is it a matter of love,. or a matter of pride?. Can't stop. a broken heart from bleeding. Don't make it harder. than it has to be. Nothing worth love is ever easy. Love is never easy. So if you want my love tell me now. And if you need my love I'll show you how. Just open up your heart and let me love you. Learn to love again, learn to love again. Better to love and lose. than never ever love at all?. So tell me something new,. tell me why do fools fall?. Tell me why, yeah why do they fall?. Ain't a matter of love,. it's a matter of pride. Can't stop a broken heart from bleeding. Don't make it harder than it has to be. Nothing worth love is ever easy. Love is never easy. So if you want my love tell me now. And if you need my love I'll show you how. Just open up your heart and let me love you. Learn to love again, learn to love again. I should have known it all along. I should have know that i. Can't stop a broken heart from bleeding. Don't make it harder than it has to be. Nothing worth love is ever easy. Love is never easy. So if you want my love tell me now. And if you need my love I'll show you how. Just open up your heart and let me love you. Learn to love again, learn to love again. So if you want my love no need to ask. And if you need my love forget the past. Just open up your heart and let me love you. Learn to love again, learn how to love again"
big boys don't cry,"Whoever said that big boys don't cry. You say you never shed a tear. Well, listen that's a lie. We're all defenseless. When it comes to pain. I said boys and girls alike yeah,. We're all the same. It's my party. I'll cry if I want to. Big boys don't cry. As if nothing seems to matter. Big boys don't cry. Then why do I. Big boys don't cry. Because nothing in this world. Ever matters. Big boys don't cry. Hey, I'm not ashamed. To say a tear. Is in my eye. Because another tear. Will take its place. Before I die."
