true colors,"Make up your mind. Attention, fiend, get away from here (don't want you here). Don't bother these eyes are already set on another. Attention fiend always trying to be seen. You'll never get in my head. I'll never let you win. Show your true colors make sure they're bright. We wouldn't want to miss out this time. Attention, fiend, get away from here (don't want you here). Don't bother these eyes are already set on another. Attention, fiend, always so dry and thirsty. You'll never prey on me I'll burn you to the ground. Taking the time to change up the scene. Get up and use your mind. Taking the time to get up and see. Get up and live your life. Make up your mind. Show your true colors now. Let them shine. The limelight shines and it's all eyes on you. Soak it in soak it in. Now let the games begin. Attention fiend why won't you let me be. You'll never prey on me I'll burn you. To the ground. Taking the time to change up the scene. Get up and use your mind. Taking the time to get up and see. Get up and live your life. Make up your mind. Show your true colors now. Let them shine (x2). Wake up, face the light. We're running out of time (x3). Now look at what you. You have done. Now look at what you. You've become"
ryan,"Was that last drink a trigger of a gun. Fall asleep cold. Well I guess life is never any fun. With no one to hold.. Will you be there in the morning?. Will you be there in the morning?. Did you think alcohol would patch you up. Ease all the pain. Well I guess we'll never know, we'll never know. What could have been today.. Will you be there in the morning?. We told you it's worth the fight. Will you be there in the morning?. Will you be there in the morning?. We told you it's worth the fight. We told you it's worth the fight. Catch your breath, you're only 21. You won't be there in the morning. Catch your breath, you're not the only one.. Catch your breath, you're only 21. You won't be there in the morning. You're not the only one.. Will you be there in the morning?. (Will you be there in the morning?). Will you be there in the morning?. I told you it's worth the fight.. Will you be there in the morning?. (Will you be there in the morning?). I told you it's worth the fight. I told you it's worth the fight.. by: @itamarafaria"
young blood spills tonight,"Sip my blood till there's no blood left to spill. From my neck embraced by a concealed grip I welcomed. in my arms. Bruised by your love. Burned by your kiss. Is this true love?. Bruised by your love. Burned by your kiss. Young blood spills tonight. This time the victim is you. Poison lips, the ones you kiss. I swear my love for you is true. Young blood spills. Now there I sing my deadly lullaby. Bruised by your love. Burned by your kiss. Is this true love?. Bruised by your love. Burned by your kiss. Is this true love?. Now here I sing my deadly lullabyu. Now here I sing to hypnotize your body. Now here I sing my deadly lullaby. Now here I sing to hypnotize your body. We bled that night till drained. You drank me dry i did the same. We bleed this night till drained. This cold. We bled that night till drained. You drank me dry i did the same. We bleed this night till drained. This cold night"
ticking bombs,I used to stay away. I used to stay away from you. Such a funny thing. The liars in us do.. I used to stray away. I used to stray away from truth. I cling to confliction. Like the battered and confused.. You're a guilty pleasure. You're a guilty pleasure.. Hearts knocking like a ticking bomb. Like a ticking bomb. Hearts knocking like a ticking bomb.. I used to tell myself. That I would never change a thing. Now I'm someone else. And I can't remember me. And now I know you well. I know you well enough to say. What they call love. Is just another twisted game.. You're a guilty pleasure. You're a guilty pleasure.. Hearts knocking like a ticking bomb. Like a ticking bomb. Hearts knocking like a ticking bomb. Like a ticking bomb.. Hearts knocking like a ticking bomb. Like a ticking bomb. Hearts knocking like a ticking bomb. Like a ticking bomb.. (You're a guilty pleasure). Hearts knocking like a ticking bomb. Like a ticking bomb. (You're a guilty pleasure). Hearts knocking like a ticking bomb. Like a ticking bomb.. I used to stay away. I used to stay away from you. Such a funny thing. The liars in us do.. . bny: @itamarafaria
this love that leaves so fast,"Choking on your fear, you no longer see so clearly. (x3). (This love that never lasts, love that fools so easily, is anger deep inside, its anger deep inside of me. Its empty words that ring, these empty words don’t mean a thing. This love that leaves so fast is love that comes so easily.). This love that comes so fast is love that fools so easily. (x4). Black out, memories of you.. I'll take, slowly I shall take.. I will. I’ll slice you open.. Take back my love.. Revenge is running through my body, (This love that you breathe). So fast racing against my heart beat, (This love that you breathe). Escaping letting my tensions free, (This love that you breathe). Scent of your blood, smells so sweet. (This love that you breathe). Your lungs will swell till your choking on your fear.. Your lungs will swell till your choking…. Trade me, my love for this heart I prey upon.. Trade me, my love for this heart I prey upon.. Black out, the memories of you.. I'll take all, life from you.. I'll slice you open, so you feel the pain.. Steal back my love from you.. Steal back my love from you.. This love you breathe."
beauty through broken glass,"Glass hailed from the sky tonight. I couldn't hide to save my life.. Standing drenched from open wounds.. You took my hand, and pulled me through.. (Chorus). I want to give you everything. I'll give you my all because you gave me. You gave me your lips. A gentle kiss. That lead us into cure my pain. Listen to all this glass shatter.. I'd peirced my ears and made them bleed.. Now sounds so beautiful. Cause you're beatiful.. You're beautiful.. Chorus"
forget,"Your words gunning into me. Got into me like bullets. Your words are breaking me up. They break me up til nothing's left. Let's pull myself together now. And I know how to break the tension. Listen to me yelling now. I'm shouting now, so pay attention. Swimming inside me. Words I wish I could forget. You're not another. Memory I could forget. Forget. Your thoughts caught in a cycle. Caught inside you like a web. You're not trying the way. I tried for you, now nothing's left. I pull myself together now. And I know how to break the tension. Listen to me yelling now. I'm shouting now, so pay attention. Swimming inside me. Words I wish I could forget. You're not another. Memory I could forget. Forget. Your words are breaking me up. Your words are breaking me up. Stabbing through me like bullets. They break me up til there's nothing left. Pull myself together now. Pull myself together now. Pull myself together now. And I know how to break the tension. Swimming inside me. Words I wish I could forget. You're not another. Memory I could forget. Forget. Nothing gained, save me now. Nobody knows, nobody knows. Caught in a cycle. Nothing can save me now. Save me now"
a sketch in black and white,The sounds of sirens are flooding the streets tonight. Yet we are all still willing to commit the crimes. Should we expect no consequence (No consequence). Maybe all lies will pass the test (Will pass the test). Eyes closed hands tied (Behind our backs we try). To cover up (Our deepest sacred lies). But we both know we are the suspects of the crime. and running won't solve our problems this time. Your hands are shaking as they're holding onto mine. A sense of hesitation's hidden in your eyes. I've seen the sketch in black and white (In black and white). I've seen the face you've tried to hide (You've tried to hide). Behind the doors under the sheets but you are guilty just like me. and none of us are innocent a cycle of Russian Roulette. Eyes closed hands tied (Behind our backs we try). To cover up (Our deepest sacred lies). But we both know we are the suspects of the crime. and running won't solve our problems this time. Pull up a seat next to me. and lets face the jury. our only chance to come clean. so what's it going to be?. I've seen the sketch in black and white. I've seen the face you've tried to hide. Eyes closed hands tied (Behind our backs we try). To cover up (Our deepest sacred lies). But we both know we are the suspects of the crime. and running won't solve our problems this time. I've seen the sketch in black and white. I've seen the face you've tried to hide. Behind the doors under the sheets. But you are guilty just like me. Should we expect no consequence. Maybe all lies will pass the test. And none of us are innocent. A cycle of Russian Roulette
all you ever knew,"So blessed am I that you cut me out. Your life is in nothing but shambles now. Through thick and thin. I was there holding your hand. If one thing is certain. Nothing goes according to plan. And now I must ask. How could you?. All along the way, all along the way. As you kept failing I kept fighting. All you ever knew, all you ever knew. Is breaking like a wave as the sunlight fades.. You play the forsaken. Defined by a thin line. But before my time, you'll find yourself mistaken. For someone who had a shred of heart.. I am the one, I am the one. You'll never know until the day I'm gone.. All along the way, all along the way. As you kept failing I kept fighting. All you ever knew, all you ever knew. Is breaking like a wave as the sunlight fades.. And the riptide takes you. We lost you at sea.. All you ever knew, all you ever knew. Is breaking like a wave as the sunlight fades.. You should have known you can't fight fate. You should have known you can't fight fate. You should have known you can't fight fate. Make no mistake, I swear. You'll face your last day. I'll take you out and carry out your fate. I'll take you out and carry out your fate. I am the one, I am the one. You'll never know until the day I'm gone. I am the one, I am the one. You'll never know until the day I'm gone. All along the way, all along the way. As you kept failing I kept fighting. All you ever knew, all you ever knew. Is breaking like a wave as the sunlight fades.. And the riptide takes you. We lost you at sea.. All you ever knew, all you ever knew. Is breaking like a wave as the sunlight fades."
beauty through broken glass,"Glass hailed from the sky tonight. I couldn't hide to save my life.. Standing drenched from open wounds.. You took my hand, and pulled me through.. (Chorus). I want to give you everything. I'll give you my all because you gave me. You gave me your lips. A gentle kiss. That lead us into cure my pain. Listen to all this glass shatter.. I'd peirced my ears and made them bleed.. Now sounds so beautiful. Cause you're beatiful.. You're beautiful.. Chorus"
