easy,"I know it sounds funny but I just can't stand the pain. Girl I'm leaving you tomorrow. Seems to me girl you know I've done all I can. You see I beg, stole, and I borrowed. Yeah!. That's why I'm easy. I'm easy like Sunday morning. That's why I'm easy. I'm easy like Sunday morning. I wanna be high. So high. I wanna be free to know the things I do are right. I wanna be free. Just me. Oh baby!. Ooh that's why I'm easy. I'm easy like Sunday morning. That's why I'm easy. I'm easy like Sunday morning. I wanna be high. So high. I wanna be free to know the things I do are right. I wanna be free. Just me. Oh baby!. That's why I'm easy. I'm easy like Sunday morning. It's why I'm easy. I'm easy like Sunday morning"
epic,"Can you feel it, see it, hear it today?. If you can't, then it doesn't matter anyway. You will never understand it cuz it happens too fast. And it feels so good, it's like walking on glass. It's so cool, it's so hip, it's alright. It's so groovy, it's outta sight. You can touch it, smell it, taste it so sweet. But it makes no difference cuz it knocks you off your feet. You want it all but you can't have it. It's cryin', bleedin', lying on the floor. So you lay down on it and you do it some more. You've got to share it, so you dare it. Then you bare it and you tear it. You want it all but you can't have it. It's in your face but you can't grab it. It's alive, afraid, a lie, a sin. It's magic, it's tragic, it's a loss, it's a win. It's dark, it's moist, it's a bitter pain. It's sad it happened and it's a shame. You want it all but you can't have it. It's in your face but you can't grab it. What is it?. It's it. What is it?...."
falling to pieces,"Back and forth, I sway with the wind. Resolution slips away again. Right through my fingers, back into my heart. Where it's out of reach and it's in the dark. Sometimes I think I'm blind. Or I may be just paralyzed. Because the plot thickens every day. And the pieces of my puzzle keep crumblin' away. But I know, there's a picture beneath. Indecision clouds my vision. No one listens.... Because I'm somewhere in between. My love and my agony. You see, I'm somewhere in between. My life is falling to pieces. Somebody put me together. Layin' face down on the ground. My fingers in my ears to block the sound. My eyes shut tight to avoid the sight. Anticipating the end, losing the will to fight. Droplets of ""yes"" and ""no"". In an ocean of ""maybe"". From the bottom, it looks like a steep incline. From the top, another downhill slope of mine. But I know, the equilibrium's there. Indecision clouds my vision. No one listens. Because I'm somewhere in between. My love and my agony. You see, I'm somewhere in between. My life is falling to pieces. Somebody put me together."
edge of the world,"Come here, my love. I'll tell you a secret. Come closer, now. I want you to believe it. I'll tell you all the things. You want to hear. Don't worry, baby. There's nothing to fear. Hey, little girl. Would you like some candy?. Look into my eyes. I've seen it all. Hand in hand. Together we fall. We'll sing and dance. And we'll find romance. And we'll stroll to the edge of the world. Come sit right down. Lay your head on my shoulder. It's not the point. That I'm forty years older. You can trust me. I'm no criminal. But I'd kill my mother. To be with you. We'll sing and dance. And we'll find romance. And we'll stroll to the edge of the world. Give me a smile. Let me see those pearlies. I'll do anything. For the little girlies...."
a small victory,"A hierarchy. Spread out on the nightstand. The spirit of team. Salvation is another chance. A sore loser. Yelling with my mouth shut. A cracking portrait. The fondling of trophies. The null of losing. Can you afford that luxury?. A sore winner. But i'll just keep my mouth shut. It shouldn't bother me, no, it shouldn't, no, no. It shouldn't bother me, no, it shouldn't,. But it does. The small victories. The cankers and medallions. The little nothings. They keep me thinking that someday. I might beat you. But i'll just keep my mouth shut. It shouldn't bother me, no, it shouldn't, no, no. It shouldn't bother me, no, it shouldn't,. But it does. If I speak at one constant volume. At one constant pitch. At one consonant rhythm. Right into your ear,. You still won't hear. You still won't hear. You still won't hear. You still won't hear. You still won't hear. You still won't hear. You still won't hear"
evidence,"If you want to open the hole. Just put your head down and go. Step beside the piece of circumstance. Got to wash away the taste of evidence. Wash it away. Evidence, evidence, evidence. Got a taste of evidence. I didn't feel a thing. It didn't mean a thing. Look in the eye and testify. I didn't feel a thing. Anything you say. We know you're guilty. Hands above your head. And you won't even feel me. You won't feel me. I didn't feel a thing. It didn't mean a thing. Look in the eye and testify. I didn't feel a thing. Evidence, evidence, evidence. Got a taste of evidence. I didn't feel a thing. It didn't mean a thing. Look in the eye and testify. I didn't feel a thing. I didn't feel a thing. It didn't mean a thing. Look in the eye and testify. I didn't feel a thing. . By Vlad Drac"
from out of nowhere,"Tossed into my mind, stirring the calm. You splash me with beauty and pull me down. Cause you come from out of nowhere. My glance turns to a stare. Obsession rules me-I'm yours from the start. I know you see me-Our eyes interlock. Cause you come from out of nowhere. My glance turns to a stare. One minute here and one minute there. Don't know if I'll laugh or cry. One minute here and one minute there. And then you wave good-bye.... Sifting to the bottom, every day for two. All energy funnels, all becomes you. Cause you come from out of nowhere. My glance turns to a stare. One minute here and one minute there. Don't know if I'll laugh or cry. One minute here and one minute there. And it hurts inside. One minute here and one minute there. And then you wave good-bye...."
midlife crisis,"Verse 1:. Go on and wring my neck. Like when a rag gets wet. A little discipline. For my pet genius. My head is like a lettuce. Go on and dig your thumbs in. I cannot stop giving. I'm thirty-something. Bridge:. Sense of security. Like pockets jingling. Midlife crisis. Suck ingenuity. Down through the family tree. Hook:. You're perfect, yes, it's true. But without me you're only you (only you). Your menstruating heart. It ain't bleeding enough for two. It's a midlife crisis.. It's a midlife crisis... Verse 2:. What an inheritance. The salt and the kleenex. Morbid self attention. Bending my pinky back. A little discipline. A donor by habit. A little discipline. Rent an opinion. Bridge 2:. Sense of security. Holding blunt instrument. Midlife Crisis. I'm a perfectionist. And perfect is a skinned knee. Hook:. You're perfect, yes, it's true. But without me you're only you. Your menstruating heart. It ain't bleeding enough for two. It's a midlife crisis................ It's a midlife crisis.... It's a midlife crisis.... Hook:. You're perfect, yes, it's true. But without me you're only you. Your menstruating heart. It ain't bleeding enough for two. It's a midlife crisis..............."
the real thing,"I know the feeling. It is the real thing. The essence of the truth. The perfect moment. That golden moment. I know you feel it too. I know the feeling. It is the real thing. You can't refuse the embrace.... It's like the pattern below the skin. You gotta reach out and pull it all in. And you feel like you're too close. So you swallow another dose. The pinnacle of happiness. Filling up your soul. You don't think you can take any more. You never wanna let go. To touch the roots of experience. The most basic ingredients. To see the unseen glitter of life. And feel the dirt, grief, anger and strife. Cherish the certainly of now. It kills you a bit at a time. Cradle the inspiration. It will leave you writhing on the floor.... This is so unreal, what I feel. This nourishment, life is bent. Into a shape I can hold. A twist of fate, all my own. Just grit your teeth, make no sound. Take a step away and look around. Just clench your fist and close your eyes. Look deep inside, hypnotize. The whisper is but a shout. That's what it is all about. Yes, the ecstasy, you can pray. You will never let it slip away. Like the sacred song that someone sings through you. Like the flesh so warm that the thorn sticks into. Like the dream you know one day will come to life. Try to hold on just a little longer, stronger. It's the jewel of victory. The chasm of misery. And once you have bitten the core. You will always know the flavor. The split second of divinity. You drink up the sky. All of heaven is in your arms. You know the reason why. It's right there, all by itself. And what you are, there is nothing else. You're growing a life within a life. The lips of wonder kiss you inside. And when it's over the feeling remains. It all comes down to this. The smoke clears, I see what it is. That made me feel this way.... This is so unreal, what I feel. Flood, sell your soul, feel the blood. Pump through your veins, can't explain. The element that's everything. Just clench your fist and close your eyes. Look deep inside, hypnotize. Yes, the ecstasy, you can pray. You will never let it slip away. Like the echoes of your childhood laughter, ever after. Like the first time love urged you to take it's guidance, in silence. Like your heartbeat when you realize you're dying, but you're trying. Like the way you cry for a happy ending, ending...."
we care a lot,"(We care a lot). (We care a lot). (We care a lot) about disasters, fires, floods and killer bees. about the NASA shuttle falling in the sea. (We care a lot) about starvation and the food that Live Aid bought. (We care a lot) about disease, baby Rock, Hudson, rock, yeah!. Woow. Woah a woah a oh. Oh, it's a dirty job but someone's gotta do it. Oh, it's a dirty job but someone's gotta do it. We care a lot. (We care a lot). (We care a lot) about the gamblers and the pushers and the geeks. (We care a lot) about the smack and crack and whack that hits the street. (We care a lot) about the welfare of all the boys and girls. (We care a lot) about you people cause we're out to save the world. (YEAH). Woow, Wooow. Oh, it's a dirty job but someone's gotta do it. Woah a woah a oh. Oh, it's a dirty job but someone's gotta do it. Said, it's a dirty job but someone's gotta do it. Oh, it's a dirty job but someone's gotta do it. Oh, it's a dirty job but someone's gotta do it. Woah a woah a oh. Oh, it's a dirty job but someone's gotta do it. Oh, it's a dirty job but someone's gotta do it. Said, it's a dirty job but someone's gotta do it. (We care a lot) about the army navy air force and marines. (We care a lot) about the M.Y.S.F.N.L.A.P.D. (We care a lot) about you people. (We care a lot) about your guns. (We care a lot) about the wars you're fighting gee that looks like fun. (We care a lot) about the Garbage Pail Kids, they never lie. (We care a lot) about Transformers cause there's more than meets the eye. (We care a lot) about the little things, the bigger things we top. (We care a lot) about you people yeah you bet we care a lot. YEAH!. (Woah a woah a oh). Said, it's a dirty job but someone's gotta do it. Oh, it's a dirty job but someone's gotta do it. (Woah a woah a oh). Said, it's a dirty job but someone's gotta do it. Oh, it's a dirty job but someone's gotta do it. Said, it's a dirty job but someone's gotta do it. Oh, it's a dirty job but someone's gotta do it. Oh, it's a dirty job but someone's gotta do it. Oh, it's a dirty job but someone's gotta do it. Oh, it's a dirty song but someone's gotta sing it now"
