centuries,"Some legends are told. Some turn to dust or to gold. But you will remember me. Remember me for centuries. And just one mistake. It's all it will take. We'll go down in history. Remember me for centuries. Hey, hey, hey. Remember me for centuries. Mummified my teenage dreams. No, it's nothing wrong with me. The kids are all wrong, the story's all off. Heavy metal broke my heart. Come on, come on, and let me in. Bruises on your thighs like my fingerprints. And this is for tonight. The darkness that you felt. I never meant for you to fix yourself. Some legends are told. Some turn to dust or to gold. But you will remember me. Remember me, for centuries. And just one mistake. It's all it will take. We'll go down in history. Remember me for centuries. Hey, hey, hey. Remember me for centuries. And I can't stop until the whole world knows my name. Cause I was only born inside my dreams. Until you die for me. As long as there's a light, my shadow's over you. Cause I am the opposite of amnesia. And you're a cherry blossom. You're about to bloom. You look so pretty, but you're gone so soon. Some legends are told. Some turn to dust or to gold. But you will remember me. Remember me, for centuries. And just one mistake. It's all it will take. We'll go down in history. Remember me for centuries. Hey, hey, hey. Remember me for centuries. We've been here forever. And here's the frozen proof. I could scream forever. We are the poisoned youth. Some legends are told. Some turn to dust or to gold. But you will remember me. Remember me, for centuries. And just one mistake. It's all it will take. We'll go down in history. Remember me for centuries. Hey, hey, hey. We'll go down in history. Remember me for centuries"
immortals,"They say we are what we are. But we don't have to be. I'm bad behavior but I do it in the best way. I'll be the watcher of the eternal flame. I'll be the guard dog of all your fever dreams. I am the sand in the bottom half of the hourglass. I try to picture me without you but I can't. 'Cause we could be immortals. Immortals. Just not for long, for long. And live with me forever now. Pull the blackout curtains down. Just not for long, for long. We could be immo... immortals. Immo... immortals. Immo... immortals. Immo... immortals. Sometimes the only payoff for having any faith. Is when it's tested again and again everyday. I'm still comparing your past to my future. It might be your wound, but they're my sutures. I am the sand in the bottom half of the hourglass. I try to picture me without you but I can't. 'Cause we could be immortals. Immortals. Just not for long, for long. And live with me forever now. Pull the blackout curtains down. Just not for long, for long. We could be immo... immortals. Immo... immortals. Immortals. And live with me forever now. Pull the blackout curtains down. We could be immortals. Immortals. Just not for long, for long. We could be immo... immortals. Immo... immortals. Immo... immortals. Immo... immortals. Immortals"
thanks for the memories,"I'm gonna make you bend and break. (It sent you to me without wings). Say a prayer, but let the good times roll. In case God doesn't show. (Let the good times roll, let the good time roll). And I want these words to make things right. But it's the wrongs that make the words come to life. ""Who does he think he is? "". If that's the worst you've got. Better put your fingers back to the keys. One night and one more time. Thanks for the memories. Even though they weren't so great. He tastes like you, only sweeter. One night, yeah, and one more time. Thanks for the memories. Thanks for the memories. See, he tastes like you, only sweeter. Been looking forward to the future. But my eyesight is going bad. And this crystal ball. It's always cloudy, except for, except for. When you look into the past, look into the past. One night stand. One night stand-off. One night and one more time. Thanks for the memories. Even though they weren't so great. He tastes like you, only sweeter. One night, yeah, and one more time. Thanks for the memories. Thanks for the memories. See, he tastes like you, only sweeter. They say I only think. In the form of crunching numbers. In hotel rooms. Collecting page six lovers. Get me out of my mind. Get you of those clothes. I'm a liner away. From getting you into the mood. One night and one more time. Thanks for the memories. Even though they weren't so great. He tastes like you only sweeter. One night yeah, and one more time. Thanks for the memories. Thanks for the memories. See, he tastes like you only sweeter. One night and one more time. Thanks for the memories. Even though they weren't so great. He tastes like you only sweeter. One night yeah, and one more time. Thanks for the memories. Thanks for the memories. See, he tastes like you only sweeter"
i don't care,"Say my name, and his in the same breath. I dare you to say they taste the same. Let the leaves fall off in the summer. And let December glow in flames. Brace myself and let go. Start it over again in Mexico. These friends, they don't love you. They just love the hotel suites, now. I don't care what you think. As long as it's about me. The best of us can find happiness. In misery. I don't care what you think. As long as it's about me. The best of us can find happiness. In misery. Oh, take a chance, let your body get a tolerance. I'm not a chance, but a heat wave in your pants. Pull a breath, light another cigarette. Palms up, I'm trading ‘em (trading ‘em). I'm the oracle in my chest. Let the guitar scream like a fascist. Sweat it out, shut your mouth. Free love on the streets, but. In the alley and I ain't that cheap, now. I don't care what you think. As long as it's about me. The best of us can find happiness. In misery. I don't care what you think. As long as it's about me. The best of us can find happiness. In misery. I don't care just what you think. As long as it's about me, you said-a. I don't care just what you think. As long as it's about me, you said-a. I don't care (I don't care). You said I don't care (I don't care). Said I don't care. I don't care. I don't care (I don't care) , I said-a. I don't care. I don't care (I don't care) , I said-a. I don't care. I don't care what you think. As long as it's about me. The best of us can find happiness. In misery. I don't care what you think. As long as it's about me. The best of us can find happiness. In misery. I don't care what you think. As long as it's about me. The best of us can find happiness. In misery"
"sugar, we're going down","Am I more than you bargained for yet. I've been dying to tell you. Anything you want to hear. Cause that's just who I am this week. Lie in the grass, next to the mausoleum. I'm just a notch in your bedpost. But you're just a line in a song. (A notch in your bedpost. But you're just a line in a song). Drop a heart, break a name. We're always sleeping in. And we sleeping for the wrong team. We're going down, down in an earlier round. And sugar, we're going down swinging. I'll be your number one with a bullet. A loaded God complex, cock it and pull it. We're going down, down in an earlier round. And sugar, we're going down swinging. I'll be your number one with a bullet. A loaded God complex, cock it and pull it. Is this more than you bargained for yet. Oh don't mind me. I'm watching you two from the closet. Wishing to be the friction in your jeans. Isn't it messed up how I'm just dying to be him. I'm just a notch in your bedpost. But you're just a line in a song. I'm just a notch in your bedpost. But you're just a line in a song. Drop a heart, break a name. We're always sleeping in. And we sleeping for the wrong team. We're going down, down in an earlier round. And sugar, we're going down swinging. I'll be your number one with a bullet. A loaded God complex, cock it and pull it. We're going down, down in an earlier round. And sugar, we're going down swinging. I'll be your number one with a bullet. A loaded God complex, cock it and pull it. Down, down in an earlier round. And sugar, we're going down swinging. I'll be your number one with a bullet. A loaded God complex, cock it and pull it. We're going down, down in an earlier round. And sugar, we're going down swinging. I'll be your number one with a bullet. A loaded God complex, cock it and pull it. We're going down, down (down, down). Down, down (down, down). We're going down, down (down, down). Loaded God complex, cock it and pull it. We're going down, down in an earlier round. And sugar, we're going down swinging. I'll be your number one with a bullet. A loaded God complex, cock it and pull it"
"dance, dance","She says she's no good with words but I'm worse. Barely stuttered out. ""A joke of a romantic, "" or stuck to my tongue. Weighed down with words too overdramatic. Tonight it's ""it can't get much worse"". Vs. ""no one should ever feel like... "". I'm two quarters and a heart down. And I don't want to forget how your voice sounds. These words are all I have so I write them. So you need them just to get by. Dance, dance. We're falling apart to half time. Dance, dance. And these are the lives you love to lead. Dance, this is the way they'd love. If they knew how misery loved me. You always fold just before you're found out. Drink up its last call. Last resort. But only the first mistake. I'm two quarters and a heart down. And I don't want to forget how your voice sounds. These words are all I have so I write them. So you need them just to get by. Why don't you show me the little bit of spine. You've been saving for his mattress, love. Dance, dance. We're falling apart to half time. Dance, dance. And these are the lives you love to lead. Dance, this is the way they'd love. If they knew how misery loved me. Why don't you show me the little bit of spine. You've been saving for his mattress. I only want sympathy in the form of you crawling into bed with me. Dance, dance. We're falling apart to half-time. Dance, dance. And these are the lives you love to lead. Dance, this is the way they'd love. Dance, this is the way they'd love. Dance, this is the way they'd love. If they knew how misery loved me. Dance, dance. Dance, dance. Dance, dance. Dance, dance"
my songs know what you did in the dark (light em up),"Woah woah woah woah. Woah woah woah woah. Be careful making wishes in the dark. Can't be sure when they've hit their mark. Besides in the meantime. I'm just dreaming of tearing you apart. I'm in the details with the devil. So now the world can never get me on my level. I just got to get you out of the cage. I'm a young lover's rage. Gonna need a spark to ignite. My songs know what you did in the dark. So light them up, up, up, light them up, up, up. Light them up, up, up, I'm on fire. So light them up, up, up, light them up, up, up. Light them up, up, up, I'm on fire. Woah woah woah woah. In the dark, dark. Woah woah woah woah. In the dark, dark. All the writers keep writing what they write. Somewhere another pretty vein just dies. I've got the scars from tomorrow and I wish you could see. That you're the antidote to everything except for me. A constellation of tears on your lashes. Burn everything you love. Then burn the ashes. In the end everything collides. My childhood spat back out the monster that you see. My songs know what you did in the dark. So light them up, up, up, light them up, up, up. Light them up, up, up, I'm on fire. So light them up, up, up, light them up, up, up. Light them up, up, up, I'm on fire. Woah woah woah woah. In the dark, dark. Woah woah woah woah. In the dark, dark. My songs know what you did in the dark. My songs know what you did in the dark. So light them up, up, up, light them up, up, up. Light them up, up, up, I'm on fire. So light them up, up, up, light them up, up, up. Light them up, up, up, I'm on fire. Woah woah woah woah. In the dark, dark. Woah woah woah woah. In the dark, dark. Woah woah woah woah"
irresistible (feat. demi lovato),"Coming in unannounced,. Drag my nails on the tile. I just follow your scent,. You can just follow my smile. All of your flaws are aligned. With this mood of mine. Cutting me to the bone,. Nothing left to leave behind. You ought to keep me concealed. Just like I was a weapon. I didn't come for a fight. But I will fight til the ending. This one might be a battle,. Might not turn out okay. You know you look so Seattle. But you feel so La. Hey, hey, hey, hey. Hey, hey, hey, hey. And I love the way you hurt me. It's irresistible, whoa, whoa, oh, yeah. Whoa, whoa, oh, yeah. I love the way, I love the way. I love the way you hurt me, baby. I love the way, I love the way. I love the way you hurt me, baby. I'm gonna get you to burst. Just like you were a bubble. Frame me up on your wall. Just to keep me out of trouble. Like a moth getting trapped. In the light by fixation. Truly free, love it baby,. I'm talking no inflation. Too many war wounds and not enough wars. Too few rounds in the ring. And not enough settled scores. Too many sharks, not enough blood in the waves. You know I give my love a f-f-four letter name. Hey, hey, hey, hey. Hey, hey, hey, hey. And I love the way you hurt me. It's irresistible, whoa, whoa, oh, yeah. Whoa, whoa, oh, yeah. I love the way, I love the way. I love the way you hurt me, baby. I love the way, I love the way. I love the way you hurt me, baby. You're second hand smoke, second hand smoke. I breathe you in, but honey. I don't know what you're doing to me. Mon chéri but the truth. catches up with us eventually. Try to say live, live and let live. But I'm no good, good at lip service. Except when they're yours, mi amor. I'm coming for you and I'm making war. And I still love the way I hurt you. It's irresistible, whoa, whoa, oh, yeah. Whoa, whoa, oh, yeah. I love the way, I love the way. I love the way you hurt me, baby. I love the way, I love the way. I love the way you hurt me, baby"
city in a garden,"Take me home. Take me home. And the streetlights light, light up. To take me home. I love you Chicago. You make me feel so summer fling. You know that I know that I owe you everything. I love you Chicago. Feel the sorrow, hit the bottle. Feel the rush. I'm having no tomorrow. She said you gotta' find yourself something. worth holding onto (onto). You charged me up, charged, charged me up. I was something they forgot to label ""fragile"". Now I'm stuck. And you know too much, know, know too much. You're the one true thing. You're the one. Take me home. Take me home. And the streetlights light, light up. To take me home. I love you Chicago. You make me feel so summer fling. You know that I know (I know). That I owe you everything. I love you Chicago. And I'm just living out of a suitcase. Watch me now, watch me as I drive away. I'm supposed to leave you at the end of the season. but I'll stay (I'll stay). I'll stay (I'll stay). You charged me up, charged, charged me up. I was something they forgot to label ""fragile"". Now I'm stuck. And you know too much, know, know too much. You're the one true thing. You're the one. Take me home. Take me home. And the streetlights light, light up. To take me home. I love you Chicago. You make me feel so summer fling. You know that I know (I know). That I owe you everything (Everything). Take me home. Take me home. And the streetlights light, light up. To take me home. I love you Chicago. You make me feel so summer fling (feel so summer fling). You know that I know (I know, I know, I know…). That I owe you everything. I love you Chicago"
the last of the real ones,"I was just an only child of the universe. And then I found you. And then I found you. You are the sun and I am just the planets. Spinning around you. Spinning around you. You were too good to be true. Gold plated. But what's inside you. But what's inside you. I know this whole damn city thinks it needs you. But not as much as I do. As much as I do, yeah. 'Cause you're the last of a dying breed. Write our names in the wet concrete. I wonder if your therapist knows everything about me. I'm here in search of your glory. There's been a million before me. That ultra-kind of love. You never walk away from. You're just the last of the real ones. You're just the last of the real ones. You're just the last of the real ones. (You're just the last of the real ones). You're just the last of the real ones. (You're just the last of the real ones). You're just the last of the real ones. I am a collapsing star with tunnel vision. But only for you. But only for you. My head is stripped just like a screw. that's been tightened too many times. When I think of you. When I think of you. I will shield you from the waves. If they find you. I will protect you. I will protect you. Just tell me, tell me, tell me. I, I am the only one. Even if it's not true. Even if it's not true, yeah. 'Cause you're the last of a dying breed. Write our names in the wet concrete. I wonder if your therapist knows everything about me. I'm here in search of your glory. There's been a million before me. That ultra-kind of love. You never walk away from. You're just the last of the real ones. You're just the last of the real ones. You're just the last of the real ones. (You're just the last of the real ones). You're just the last of the real ones. (You're just the last of the real ones). You're just the last of the real ones. I'm here at the beginning of the end. Oh, the end of infinity with you. I'm here at the beginning of the end. Oh, the end of infinity with you. I'm done with having dreams. The thing that I believe. Oh, you drain all the fear from me. I'm done with having dreams. The thing that I believe. You drain the fear from me. 'Cause you're the last of a dying breed. Write our names in the wet concrete. I wonder if your therapist knows everything about me. I'm here in search of your glory. There's been a million before me. That ultra-kind of love. You never walk away from. You're just the last of the real ones. You're just the last of the real ones. You're just the last of the real ones. (You're just the last of the real ones). You're just the last of the real ones. (You're just the last of the real ones). You're just the last of the real ones"
