last kiss,"Look the sun is rising I can taste the end.. Wake up my sleepwalkers it's time for you to scatter.. The kiss of death, fresh on his lips. the enemy brings his best.. Yes I will submit I'll bend before you now.. Hit me again I know who I am.. Hit me again the power is mine.. Hit me again my blood's not my own.. Where are your nails now?. Salty sweat stings my wounds. burning with the heat of your hate.. Wounded for your transgressions I lift up the weight.. I carry death to the altar. and I sacrifice myself"
unbreakable,"Where are the people that accuse me?. The ones who beat me down and bruise me. They hide, just out of sight. Can't face me in the light. They will return, but I'll be stronger. God, I want to dream again. Take me where I've never been. I want to go there. This time I'm not scared. Now I am unbreakable. It's unmistakable. No one can touch me. Nothing can stop me. Sometimes it's hard to just keep going. But faith is moving without knowing. Can I trust what I can't see. to reach my destiny?. I want to take control, but I know better. God, I want to dream again. Take me where I've never been. I want to go there. This time I'm not scared. Now I am unbreakable. It's unmistakable. No one can touch me. Nothing can stop me. Forget the fear, it's just a crutch. That tries to hold you back until your dreams are dust. All you need to do is just try. (Try, try, try). God, I want to dream again. Take me where I've never been. I want to go there. This time I'm not scared. Now I am unbreakable. It's unmistakable. No one can touch me. Nothing can stop me. God, I want to dream again. Take me where I've never been. I want to go there. This time I'm not scared. Now I am unbreakable. It's unmistakable. No one can touch me. Nothing can stop me"
i've got the power,"Burning bright, that's what I was born to do. Never quit, I know I won't ever lose. Straight to the top. You are watching me go. You cannot stop me. I'm about to blow. I've got the power inside. The power to fight. The power to be the light. I've got the power within. The power to win. The power to go for it. I've got the power"
for those who wait,"Another day another waiting game. A little different but it's still the same. I am here but where's the one I'm longing for. I'm having troubles feeling all alone. When my heart find a home. I want to hope but sometimes I just don't know. I know I'm not the only one. (Chorus). So you sing a lullaby. To the lonely hearts tonight. Let it set Your heart on fire. Let it set You free. When you're fighting to believe in a love that you. can't see. Just know there is a purpose. For those who wait. I want to open up my eyes. I know that I'm in need is time. I'm growing stronger every single day. God, I'm gonna lead them to You now. Letting go all of my fear and doubt. I can't do this on my own so I'll give You control. I know I'm not the only one. (Chorus). So you sing a lullaby. To the lonely hearts tonight. Let it set Your heart on fire. Let it set You free. When you're fighting to believe in a love that you. can't see. Just know there is a purpose. For those who wait. The pressure makes us stronger. The struggle makes us hunger. The hard lessons make the difference. The pressure makes us stronger. The struggle makes us hunger. The hard lessons make the difference. And the difference makes it worth it. (Chrous). So you sing a lullaby. To the lonely hearts tonight. Let it set Your heart on fire. Let it set You free. When you're fighting to believe in a love that you. can't see. Just know there is a purpose. For those who wait. Set your heart on fire. This is for those who wait"
forever,"Sometimes I feel so cold. Like I'm waiting. Around all by myself. Loneliness gets so old. I'm in the lost and found. Sitting on the shelf. Been stuck for way too long. But I hear Your voice. You're who I'm counting on. Oh, tell me You're here. That You. Will watch over me forever. Oh, take hold of my heart. Show me. You'll love me forever. I know that You can tell. When I start. To let my hope fade away. I need to catch myself. Open my ears to hear. You calling my name. Been fighting way too long. But I hear Your voice. You had me all along. When I'm starting to drown. You jump in to save me. When my world's upside down. Your hands. They shake me and wake me"
all i need to be,"Hoping with each new day. I'm moving forward, I push the fear away. And I let go. ‘Cause I’m so through with barely hanging on. Leaving what’s in the past behind. I come closer to crossing over the line. And I won’t stop. Until I get what I’ve been fighting for. You’ve said it all before. Tell me again that I am strong. Tell me again that I won't fall. I need You here to fix me where I’m wrong. Take me beyond what I can see. Break me, make me believe. You have made me all I need to be. Knowing all that I can do is be open when You start to. move. In my heart. And now my God, I finally hear Your voice. You’ve said it all before. Who I am is all I’ve got. And I can’t be who I am not anymore. (I am strong, make me believe). You have made me all I need to be. (I am strong, make me believe, make me believe)"
stay close,"I wanna know you. There's so much at stake. Can't face the melodies. They bend me until I break. Hiding from the past. But its eating me alive. Can't block it out when it's comin' from inside. Every turn leads me to a new dead end. Lost again. I'm screaming your name. Come close come close. And call my name. How can you turn your back on me when you know my pain. Stay close stay close. Light up the night. Save me from the part of me that's begging to die. Precious denial. A stone to break my back. The chains I carry won't cut me any slack. Imprisoned by fear with no room for my heart. My only hope. Only you can heal the scar. Every turn leads me to a new dead end. Lost again. I'm screaming your name. (chorus). Stay by my side. If you leave me I will die. Stay by my side. If you leave me I will die. Stay by my side. If you hold me, I will fly. If you hold me I will fly. Will you hold me. (chorus). Come close come close. (come close). How can you turn your back on me when you know my pain. (when you know my pain). Stay close stay close. Light up the night. Save me from the part of me that's begging to die"
keep fighting,"I wish I could feel it all for you. If I could, I woud take back all that you've been through. And I would find a safer place for you to run. When you've come undone. I wish I could take the pain away. If I could I would paint for you a brand new day. But for now, you've gotta hold on through the night. I know we'll survive. Oh, no, I'm never gonna let it go. I'll keep fighting, I'll keep fighting. Oh, no, I'm never gonna let it go. I'll keep fighting, I'll keep fighting. Nothing's gonna bring us down. Nothing's gonna take us out. Nothing's gonna stop us now. Nothing's gonna stop us now. I swear, this storm is nothing more than noise. And I won't let it push you past the breaking point. We'll stand, together we will hold our ground. I'm not backing down. Cause I, I'll never lose my faith in you. And I won't forget the things you've brought me through. You're the one, the one who'll never leave my side. Till the day we die. Go ahead and don't be afraid. The fire inside you can't be contained"
reflections,"In the mirror is where I find you,. longing to be free.. If only you could find truth,. who you want to be.. When I look into your eyes,. is it me you really see?. Or is it cloudy through your lies,. can I still be free?. Chorus: Open your eyes,. I see right through them.. Half-truths and lies,. Is all its ever been.. You justify,. But I'm tired of the truth.. That you don't think I know.. Sharp words find their way smooth,. slippery off your tongue.. They pour like oil from you,. but they burn in your lungs.. They never see it coming,. your sword beneath your cloak.. That darkness that you're bringing,. to the hearts that you've broke."
you decide,"Fiction and reality collide. Faceless and so busted up inside. You've been searching, you've been crying out,. Will you be destroyed by all your doubt?. You decide. (Who will you run to). Wrong or right. (there is no reason). For you to hide. Only love can change your life. You decide. God is calling out to you again. Let Him pull you, let Him take you in. From the fear that swallows up you life. Will you stay the same or will you fight?. You decide. (Who will you run to). Wrong or right. (there is no reason). For you to hide. Only love can change your life. Only love can change your life. Every day you hold on to your lonely broken heart. It's tearing you apart. God is calling out to you just let healing star. Will you open up and let Him in?. You decide. (Who will you run to). Wrong or right. (there is no reason). For you to hide. Only love can change your life. You decide. You decide"
