ain't that a lot of love,"Oh, the desert couldn't hold all the love that I have in my heart for you. If I could spread it out across the sea you know my love is coming on up. Ain't that a lot of love for two hearts to have and hold. Ain't that a lot of love for two hearts to have and hold. If the cooks in the kitchen had a touch as hot as yours they wouldn't need a fire. Ain't no word I can say just will describe your fine looks and your loving desire. Ain't that a lot of love for two hearts to have and hold. Ain't that a lot of love for two hearts to have and hold. If the bees only knew how sweet your love was they would pack up their honeycomb. If the birds ever heard how sweet your voice was they would pack up their song. Ain't that a lot of love for two hearts to have and hold. Ain't that a lot of love for two hearts to have and hold. You know the desert couldn't hold all the love that I have in my heart for you. If I could spread it across the sea you know my love is coming on up. Ain't that a lot of love for two hearts to have and hold. Ain't that a lot of love for two hearts to have and hold. Ain't that a lot of love for two hearts to have and hold"
ain't that a lot of love,"Oh, the desert couldn't hold all the love that I have in my heart for you. If I could spread it out across the sea you know my love is coming on up. Ain't that a lot of love for two hearts to have and hold. Ain't that a lot of love for two hearts to have and hold. If the cooks in the kitchen had a touch as hot as yours they wouldn't need a fire. Ain't no word I can say just will describe your fine looks and your loving desire. Ain't that a lot of love for two hearts to have and hold. Ain't that a lot of love for two hearts to have and hold. If the bees only knew how sweet your love was they would pack up their honeycomb. If the birds ever heard how sweet your voice was they would pack up their song. Ain't that a lot of love for two hearts to have and hold. Ain't that a lot of love for two hearts to have and hold. You know the desert couldn't hold all the love that I have in my heart for you. If I could spread it across the sea you know my love is coming on up. Ain't that a lot of love for two hearts to have and hold. Ain't that a lot of love for two hearts to have and hold. Ain't that a lot of love for two hearts to have and hold"
bony moronie,"Well, I gotta girl named Bonie Moronie. She's as skinny as a stick of macaroni. Oh you ought to see her rock and roll. With her blue jeans on. Well, she's not very fat,. Just skin and bones. I love her, she loves me,. Oh how happy now we can be. Making love underneath the apple tree. Well, I told here mama and her papa too. Just exactly what I'm gonna do. Yeah, I'm gonna marry Bonie on a night in June. Rock and roll by the light of the silvery moon. I love her, she loves me,. Oh how happy now we can be. Making love underneath the apple tree, yeah. She's my one and only. She's my hearts desire. She's a little humdinger. She's a real live wire. Oh, everybody looks. When my baby walks by. But they're not in love. They're just catching the eye. I love her, she loves me,. Oh how happy now we can be. Making love underneath the apple tree"
break my mnd,"Baby, oh, baby. Tell the man at the ticket stand. That you've changed your mind. Let me run on out and tell the cab. To keep his meter flying. 'Cause if you say goodbye to me, babe. You're gonna break my mind. Break my mind, break my mind. No, I just can't stand to hear them big jet engines whine. Break my mind, break my mind. If you leave you're gonna leave a babalin' fool behind. Baby, oh, baby. Let me take your suitcase. Off the scales in time. Tell the man that you've suddenly developed. A thing about flyin'. 'Cause if you say goodbye to me, babe. You know you're gonna break my mind"
can't you hear me calling,"Drivin' in my car down to the corner bar. I'm gonnna get real drunk. And crazy before I'm through. And when I've had my fill and you know I will. Baby then I'll get my message home to you. Can't you hear me calling. Can't you hear me calling. Oh it seems as though. I've wasted too much time. Can't you hear me calling. Can't you hear me calling. Lord I'm about to lose my mind. I pulled back into town before the sun went down. I spent twenty-four hours behind the old jail door. And the judge said, ""Son, I know you've had your fun. But I better not catch you have-not anymore"". Can't you hear me calling. Can't you feel me falling. Oh, things that I've gone through. That make you mine. Can't you hear me calling. Can't you feel me falling. Lord I'm about to lose my mind"
christine's tune (a.k.a. devil in disguise),She's a devil in disguise you can see it in her eyes. She's telling dirty lies she's a devil in disguise in disguise. Now a woman like that all she does is hate you. She doesn't know what makes a man a man. She'll talk about the times that she's been with you. She'll speak your HREF to everyone she can. She's a devil in disguise you can see it in her eyes. She's telling dirty lies she's a devil in disguise in disguise. Unhappiness has been her close companion. Her world is full of jealousy and doubt. It gets her off to see a person crying. She's just the kind that you can't do without. She's a devil in disguise you can see it in her eyes. She's telling dirty lies she's a devil in disguise in disguise. Her number always turns up in your pocket. Whenever you are looking for a dime. It's all right to call her but I'll bet you. The moon is full and your just wasting time
close up to the honky tonkies,"She's in some honky tonk tonight I know. Running where the music's loud and the lights are low. In a crowded bar she likes to hang around. And as long as there's a honky tonk, she'll never settle down. So close up the honky tonks lock all the doors. Don't let the one I love go there any more. Close up the honky tonks throw away the key. Then maybe the one I love will come back to me. I wish I had the power to turn back the time. And live again the hours when she was all mine. Cause it hurts to see her running with that crowd downtown. And as long as there's a honky tonk she'll never settle down. So close up the honky tonks lock all the doors. Don't let the one I love go there any more. Close up the honky tonks throw away the key. Then maybe the one I love will come back to me. Then maybe the one I love will come back to me"
"cody, cody","Cody, Cody I hear you say. I hear your voice calling me away. I'm not afraid to think of what I might find. I will be yours, will you be mine. We've all been young, we've all been old. We've all been sheltered from the cold. Come to my side and say what I think. I already know. I'm going away don't you want to go. SOLO. I remember the face that Harvey drew. It was of a man. That my eyes saw thru. Come by my side before the evening is gone. And see where else this body's flown"
colorado,Hey Colorado it was not so long ago. I left your mountain to try life on the road. Now I'm finished with that race it was much too fast a pace. And I think I know my place Colorado I wanna come home. There was a woman but I left her far behind. I could have loved her if I only had the time. But I stopped along the way just long enough to say. Lord I'd really really like to stay. But my lady knows I've got to go. I was too young to know what I've done. I made my plans but I was wrong yes I was wrong. Hey Colorado is it too late to change my mind. I've done some thinking and I'm trying hard to find. The way to come back home. Oh I've been so very long alone. Won't you take care of your own Colorado I think I'm coming home
dark end of the street,"At the dark end of the street. That's where we'll always meet. Hiding in shadows. Where we don't belong. Living in darkness. To hide our wrong. You and me. At the dark end of the street. You and me. . . I know that time's gonna take its toll. We'll have to pay for the love that we stole. Cause it's a sin and we know that we're wrong. Oh, but our love keeps coming on strong. You and me. At the dark end of the street. You and me. . . They're gonna find us. They're gonna find us. They're gonna find us someday. We'll steal away. To the dark end of the street. You and me. . . If you take a walk downtown. And find some time to look around. If you should see me, and I walk on by. Oh, darling, please don't cry. Tonight we'll meet. At the dark end of the street. You and me. You and me. You and me"
do right woman,"Take me to heart and I'll always love you. And nobody else could make me do wrong. Take me for granted, and I'll tag along. Makes willpower weak, and temptation's strong. . . A woman's only human. This you must understand. She's not just a plaything. She expects love just like a man. . . So if you want a do right all day woman. You gotta be a do right all night man. . . They say that it's a man's world. But you can't prove that by me. So as long as we're together, baby. You better show some respect for me. . . So if you want a do right all day woman. You gotta be a do right all night man. You gotta be a do right all night man. You gotta be a do right all night man"
do you know how it feels to be lonesome,"Do you know how it feels to be lonesome. When there's just no one left that really cares. Did you ever try to smile at some people. And all they ever seem to do is stare. . . And you remember how it feels to be cold again. When the happiness of love has gone away. And you never want to go out on the street again. And you only seem to live from day to day. . . Do you know how it feels to be lonesome. When there's just no one left who really cares. Did you ever try to smile at some people. Yes, and all they ever seem to do is stare. Yes, and all they ever seem to do is stare"
don't fight it,"There you sit all by yourself. Everybody's dancin'. They can't a-help themselves. The groove is much too strong. They can't hold out long. So get up, don't fight it. You've got to (feel it, feel it). You'd better get on up. And get the groove. You know what, baby?. I like the way you move. You do the thing like. You ought to be, all right. So don't fight it, oh baby (feel it, feel it). The way you jerk,. The way you do the twine. You're too much, baby. I'd like to make you mine. And after the dance. I'm gonna take you home. So don't fight it, baby. You've got to (feel it, feel it). Don't fight it (feel it, feel it). You've got to (feel it, feel it)"
don't let your deal go down,"Well, I've been all around this whole wide world. I've been down to sunny Alabam'. And my mama she done told me son. Never let your deal go down. Oh, honey don't let your deal go down. Never let your deal go down. Oh, honey don't let your deal go down. 'Til your last gold dollar's gone. Well, last time I seen that gal of mine. She was standing in the door. She said honey I'll be a long time gone. You'll never see your gal no more. Oh, honey don't let your deal go down. Never let your deal go down. Oh, honey don't let your deal go down. 'Til your last gold dollar's gone. Well, I'm going down these railroad tracks. I'm gonna take my rocking chair. If these doggone blues don't leave my mind. I'm gonna run away from here. Oh, honey don't let your deal go down. Never let your deal go down. Oh, honey don't let your deal hang down. 'Til your last gold dollar's gone"
down in the churchyard,"There is a man, a tall man, follows no one. Out in a storm can he stay warm. From all the things that he's done. Oh the city lights are such pretty lights. Can't he move on, tell him it's alright. Sing your song and say that it's alright. Say it's alright. There is a man, a crippled man, is he soldier. Can his new wife live out her life. The way he told her. Oh see her pride, I see it burning bright. Be a scream and say that's it's alright. Shake your fist and tell him it's alright. Say it's alright. Where you have been is not a sin, it's where you're going. Hurt anyone by what you've done. and it starts showing. Although you can't complain about the wind and the rain. you gather down in the churchyard just the same. You want everyone to wash away the stain. It's very claim"
farther along,Father along we'll know all about it. Farther along we'll understand why. Cheer up my brother live in the sunshine. We'll understand it all by and by. When we see Jesus coming in glory. When he comes from his home in the sky. Then we shall meet him in that bright mansion. We'll understand it all by and by. SOLO. Father along we'll know all about it. Farther along we'll understand why. Cheer up my brother live in the sunshine. We'll understand it all by and by. We'll understand it all by and by
