best of you,"I've got another confession to make. I'm your fool. Everyone's got their chains to break. Holdin' you. Were you born to resist or be abused?. Is someone getting the best, the best, the best, the best of you?. Is someone getting the best, the best, the best, the best of you?. Are you gone and onto someone new?. I need somewhere to hang my head. Without your noose. You gave me something that I didn't have. But had no use. I was too weak to give in. Too strong to lose. My heart is under arrest again. But I break loose. My head is giving me life or death. But I can't choose. I swear I'll never give in. I refuse. Is someone getting the best, the best, the best, the best of you?. Is someone getting the best, the best, the best, the best of you?. Has someone taken your faith?. It's real, the pain you feel. You trust, you must. Confess. Is someone getting the best, the best, the best, the best of you?. Has someone taken your faith?. It's real, the pain you feel. The life, the love. You die to heal. The hope that starts. The broken hearts. You trust, you must. Confess. Is someone getting the best, the best, the best, the best of you?. Is someone getting the best, the best, the best, the best of you?. I've got another confession, my friend. I'm no fool. I'm getting tired of starting again. Somewhere new. Were you born to resist or be abused?. I swear I'll never give in. I refuse. Is someone getting the best, the best, the best, the best of you?. Is someone getting the best, the best, the best, the best of you?. Has someone taken your faith?. It's real, the pain you feel. You trust, you must. Confess. Is someone getting the best, the best, the best, the best of you?"
everlong,"Hello, I've waited here for you... Everlong.. Tonight, I throw myself into,. And out of the red, out of her head she sang.. Come down and waste away with me, down with me.... Slow how, you wanted it to be,. I'm over my head, out of her head she sang.. And I wonder when I sing along with you,. If everything could ever feel this real forever.. If anything could ever be this good again,. The only thing I'll ever ask of you.. You gotta promise not to stop when I say when.. She sang:. Breathe out, so I can breathe you in,. Hold you in, and now, I know you've always been there. Out of your head, out of my head I sang.. And I wonder when I sing along with you,. If everything could ever feel this real forever,. If anything could ever be this good again.. The only thing I'll ever ask of you,. You gotta promise not to stop when I say when.. She sang:. And I wonder.... If everything could ever feel this real forever,. If anything could ever be this good again.. The only thing I'll ever ask of you,. You gotta promise not to stop when I say when."
times like these,"I, I'm a one way motorway. I'm a road that drives away. And follows you back home. I, I am a streetlight shining. I'm a white light blinding bright. Burning off and on. It's times like these you learn to live again. It's times like these you give and give again. It's times like these you learn to love again. It's times like these time and time again. I, I am a new day rising. I'm a brand new sky. To hang the stars upon tonight. I, I'm a little divided. Do I stay or run away. And leave it all behind?. It's times like these you learn to live again. It's times like these you give and give again. It's times like these you learn to love again. It's times like these time and time again"
learn to fly,"Run and tell all of the angels. This could take all night. Think I need a devil to help me get things right. Hook me up a new revolution. Cause this one is a lie. We sat around laughing and watched the last one die. I'm looking to the sky to save me. Looking for a sign of life. Looking for something to help me burn out bright. I'm looking for complication. Looking cause I'm tired of trying. Make my way back home when I learn to fly high. I think I'm done nursing the patience. It can wait one night. I'd give it all away if you give me one last try. We live happily ever trapped if you just save my life. Run and tell the angels that everything is alright.. I'm looking to the sky to save me. Looking for a sign of life. Looking for something to help me burn out bright. I'm looking for a complication. Looking cause I'm tired of trying. Make my way back home when I learn to fly high. Make my way back home when I learn to. Fly along with me, I can't quite make it alone. Try and make this life my own. Fly along with me, I cant quite make it alone. Try to make this life my own. I'm looking to the sky to save me. Looking for a sign of life. Looking for something to help me burn out bright. I'm looking for a complication. Looking cause I'm tired of trying. Make my way back home when I learn to. I'm looking to the sky to save me. Looking for a sign of life. Looking for something to help me burn out bright. I'm looking for a complication. Looking cause I'm tired of trying. Make my way back home when I learn to fly high. Make my way back home when I learn to fly. Make my way back home when I learn to, learn to, learn to..."
walk,"A million miles away. Your signal in the distance. To whom it may concern. I think I lost my way. Getting good at starting over. Everytime that I return. I'm learning to walk again. I believe I've waited long enough. Where do I begin?. I'm learning to talk again. Can't you see I've waited long enough. Where do I begin?. Do you remember the days. We built these paper mountains and sat and watched them burn. I think I found my place. Can't you feel it growing stronger. Little conquerors. I'm learning to walk again. I believe I've waited long enough. Where do I begin?. I'm learning to talk again. I believe I've waited long enough. Where do I begin?. Now. For the very first time. Don't you pay no mind. Set me free again. You keep alive a moment at a time. But still inside a whisper to a riot. To sacrifice but knowing to survive. The first to climb another state of mind. I'm on my knees, I'm praying for a sign. Forever, whenever, I never wanna die. I never wanna die, I never wanna die. I'm on my knees, I never wanna die. I'm dancing on my grave, I'm running through the fire. Forever, whenever, I never wanna die. I never wanna leave, I'll never say goodbye. Forever, whenever, forever, whenever. I'm learning to walk again. I believe I've waited long enough. Where do I begin?. I'm learning to talk again. Can't you see I've waited long enough. Where do I begin?. I'm learning to walk again. I believe I've waited long enough. I'm learning to talk again. Can't you see I've waited long enough?"
the pretender,"Keep you in the dark. You know they all pretend. Keep you in the dark. And so it all began. Send in your skeletons. Sing as their bones go marching in...again. They need you buried deep. The secrets that you keep are ever ready. Are you ready?. I'm finished making sense. Done pleading ignorance. That whole...defense. Spinning infinity, boy. The wheel is spinning me. It's never-ending, never-ending. Same old story. What if I say I'm not like the others?. What if I say I'm not just another one of your plays?. You're the pretender. What if I say I will never surrender?. What if I say I'm not like the others?. What if I say I'm not just another one of your plays?. You're the pretender. What if I say that I'll never surrender?. In time our soul untold. I'm just another soul for sale... oh, well. The page is out of print. We are not permanent. We're temporary, temporary. Same old story. What if I say I'm not like the others?. What if I say I'm not just another one of your plays?. You're the pretender. What if I say that I'll never surrender?. What if I say I'm not like the others?. What if I say I'm not just another one of your plays?. You're the pretender. What if I say I will never surrender?. I'm the voice inside your head. You refuse to hear. I'm the face that you have to face. Mirrored in your stare. I'm what's left, I'm what's right. I'm the enemy. I'm the hand that will take you down. Bring you to your knees. So who are you?. Yeah, who are you?. Yeah, who are you?. Yeah, who are you?. Keep you in the dark. You know they all pretend. What if I say I'm not like the others?. What if I say I'm not just another one of your plays?. You're the pretender. What if I say that I'll never surrender?. What if I say I'm not like the others?. What if I say I'm not just another one of your plays?. You're the pretender. What if I say that I'll never surrender?. What if I say I'm not like the others?. (Keep you in the dark). What if I say I'm not just another one of your plays?. (You know they all... pretend). You're the pretender. What if I say I will never surrender?. What if I say I'm not like the others?. (Keep you in the dark). What if I say I'm not just another one of your plays?. (You know they all... pretend). You're the pretender. What if I say I will never surrender?. So who are you?. Yeah, who are you?. Yeah, who are you?"
all my life,"All my life I've been searching for something. Something never comes, never leads to nothing. Nothing satisfies, but I'm getting close. Closer to the prize at the end of the rope. All night long I dream of the day. When it comes around, and it's taken away. Leaves me with the feeling that I feel the most. Feeling it come to life when I see your ghost. Calm down, don't you resist. You've such a delicate wrist. And if I give it a twist. Something to hold when I lose my grip. Will I find something in there,. to give me just what I need. another reason to bleed. One by one, hidden up my sleeve. One by one, hidden up my sleeve. [2x]. Hey, don't let it go to waste. I love it but, I hate that taste. Weight, keeping me down. Will I find a believer. Another one who believes. Another one to deceive. Over and over, down on my knees. If I get any closer,. And if you open up wide. And if you let me inside. On and on, I've got nothing to hide. On and on, I've got nothing to hide. [2x]. Hey, don't let it go to waste. I love it but, I hate that taste. Weight, keeping me down. All my life I've been searching for something. Something never comes, never leads to nothing. Nothing satisfies, but I'm getting close. Closer to the prize at the end of the rope. All night long I dream of the day. When it comes around, and it's taken away. Leaves me with the feeling that I feel the most. Feel it come to life when I see your ghost. Then done, done, on to the next one. Done, done, and I'm on to the next one. Done, done, and I'm on to the next one. Done, done, and I'm on to the next one. Done, done, and I'm on to the next one. Done, done, and I'm on to the next one. Done, done, and I'm on to the next one. Done, I'm done, and I'm on to the next. [2x]. Done, done, and I'm on the next one. Done, I'm done, and I'm on to the next. [2x]. Hey, don't let it go to waste. I love it but, I hate that taste. Weight, keeping me down. Done, done on the next one done,. I'm done, and I'm on to the next"
these days,"One of these days. The ground will drop out from beneath your feet. One of these days. Your heart will stop and play its final beat. One of these days. The clocks will stop and time won't mean a thing. One of these days. Their bombs will drop and silence everything. But it's alright. Yes, it's alright. I said it's alright. Easy for you to say. Your heart has never been broken. Your pride has never been stolen. Not yet, not yet. One of these days. I bet your heart'll be broken. I bet your pride'll be stolen. I'll bet, I'll bet, I'll bet, I'll bet. One of these days. One of these days. One of these days. Your eyes will close and pain will disappear. One of these days. You will forget to hope and learn to fear. But it's alright. Yes, it's alright. I said it's alright. Easy for you to say. Your heart has never been broken. Your pride has never been stolen. Not yet, not yet. One of these days. I bet your heart'll be broken. I bet your pride'll be stolen. I'll bet, I'll bet, I'll bet, I'll bet. One of these days. One of these days. But it's alright. Yes, it's alright. I said it's alright. Yes, it's alright. Don't say it's alright. Don't say it's alright. Don't say it's alright. One of these days. Your heart will stop and play it's final beat. But it's alright. Easy for you to say. Your heart has never been broken. Your pride has never been stolen. Not yet, not yet. One of these days. I bet your heart will be broken. I bet your pride will be stolen. I'll bet, I'll bet, I'll bet, I'll bet. One of these days. One of these days. One of these days"
the sky is a neighborhood,The sky is a neighborhood. So keep it down. The heart is a storybook. A star burned out. The sky is a neighborhood. Don't make a sound. Lights coming up ahead. Don't look now. The sky is a neighborhood. The sky is a neighborhood. Don't look now. Oh my dear heaven is a Big Bang now. Gotta get to sleep somehow. Bangin' on the ceiling. Bangin' on the ceiling. Keep it down. Oh my dearh eaven is a Big Bang now. Gotta get to sleep somehow. Bangin' on the ceiling. Bangin' on the ceiling. Keep it down. Mind is a battlefield. All hope is gone. Trouble to the right and left. Whose side you're on?. Thoughts like a minefield. I'm a ticking bomb. Maybe you should watch your step. Don't get lost. The sky is a neighborhood. The sky is a neighborhood. Don't get lost. Oh my dear heaven is a Big Bang now. Gotta get to sleep somehow. Bangin' on the ceiling. Bangin' on the ceiling. Keep it down. Oh my dear heaven is a Big Bang now. Gotta get to sleep somehow. Bangin' on the ceiling. Bangin' on the ceiling. Keep it down. The sky is a neighborhood. The heart is a storybook. A star burned out. Something coming up ahead. Don't look now. Oh my dear heaven is a Big Bang now. Gotta get to sleep somehow. Bangin' on the ceiling. Bangin' on the ceiling. Keep it down. Oh my dear heaven is a Big Bang now. Gotta get to sleep somehow. Bangin' on the ceiling. Bangin' on the ceiling. Keep it down. (The sky is a neighborhood). Oh my dear heaven is a Big Bang now. Gotta get to sleep somehow. (The sky is a neighborhood). Bangin' on the ceiling. Bangin' on the ceiling. Keep it down. The sky is a neighborhood
my hero,"Too alarming now to talk about. Take your pictures down and shake it out. Truth or consequence, say it out loud. Use that evidence, race it around. There goes my hero. Watch him as he goes. There goes my hero. He's ordinary. Don't the best of them bleed it out. While the rest of them peter out. Truth or consequence, say it out loud. Use that evidence, race it around. There goes my hero. Watch him as he goes. There goes my hero. He's ordinary. Kudos my hero leaving all the best. You know my hero, the one that's on. There goes my hero. Watch him as he goes. There goes my hero. He's ordinary"
