one kiss,"I used to know a girl. A girl I love to hate. She stole me with her words. And kept me with her face. And the nights we spent together. Were a dark embrace. With her I'd spend forever. But she'd never wait. I used to know a girl. A girl who changed my ways. I believed every word. That fell from her pale face. And the nights we spent together. Turned to darkened days. With her I'd spend forever. But she'd never wait. I know I should've walked away. But how could I. Every time I hear her say. One kiss and we'll live forever and always. One kiss and I'll never leave. If one kiss will always keep you here with me. Then I'll lean in, close my eyes and just believe. I used to know a girl. A girl I tried to save. She wore her broken wings. With an angel's grace. And the nights we spent together. Set the sky in flames. With her I'd spend forever. But she'd never wait. I know I should've turned away. But how could I forget all you promised me?. One kiss and we'll live forever and always. One kiss and I'll never leave. If one kiss will always keep you here with me. Then I'll lean in, close my eyes and just believe. You promised me forever. You promised me the world. I'll never live, love or trust again. Because you promised? me. You promised. One kiss and we'll live forever. One kiss and I'll never leave. You said you'd never leave!. One kiss and we'll live forever and always. One kiss and I'll never leave. If one kiss will always keep you here with me. Then I'll lean in, close my eyes and just believe. Then I'll lean in, close my eyes and just believe. I used to know a girl. A girl I love to"
follow my voice,Hope can seem so hard to find. When all around is falling. And theres never enough light. To see your way out. But in the darkest times. You find out what youre made of. And I swear theres more to you than you know. I dont want to be the voice of a generation. I just want to be a voice for you. Alone we may be lost but together we stand tall. Follow my voice. Let me carry you away. I can see youre broken. But were all the same. (were all the same). Follow my voice. And let me carry you away. I can see youre lost and alone. So let this song guide you. Alone we may be lost but together we stand tall. Scars can be so hard to hide. When all around is flawless. But where weve been makes us who we are. But in the darkest times. You find out what youre made of. And I swear theres more to you than you know. Alone we may be lost but together we stand tall. Follow my voice. Let me carry you away. I can see youre broken. But were all the same. (were all the same). Follow my voice. And let me carry you away. I can see youre lost and alone. So let this song guide you. Alone we may be lost but together we stand tall. Ill let you know. I was like you too. Now every night. I take the stage. I do it for you. So you can let out all the hate. And all the rage inside. Life may never seem right. But well always have tonight. Alone we may be lost but together we stand tall. Alone we may be lost but together we stand tall. Follow my voice. Let me carry you away. I can see youre broken. But were all the same. (were all the same). Follow my voice. And let me carry you away. I can see youre lost and alone. So let this song guide you. Alone we may be lost but together we stand tall
2182,"Tonight is the night we become great. The stars will show us the way. Tonight is the night we become great. The stars are what gave us away. All hands on deck this is urgent. This struggle has just begun. The ocean air chills to the bones. The sea offers no mercy. It's so much harder to breathe. When every breath screams your name. The waves they pull me underneath. Not every wave is the same. Death can't reach me if I believe. If I, yes I believe. Now take a breath and fall asleep. Tonight is the night we become great. The stars are what gave us away. We're going down. We've done all that we can. We are buried beneath the waves. I can now only blame myself. What more could I ask. Do you believe your faults. Can be forgiven. Did you live your life. Based on regret. Inhale the salt. That surrounds you. I'm silently screaming. While I am underneath. Now fall asleep. It's so much harder to breathe. When every breath screams your name. The waves they pull me underneath. Not every wave is the same. Death can't reach me if I believe. If I, yes I believe. Now take a breath and fall asleep"
backstabber,Let's get this straight. You're reaching out for me. After all the times you watched me bleed. Now you expect me to put my hand out for you. I'll never stop. I'll never quit. You deserve everything you're about to get. You're out of second chances. You're out of time. There's are no exits left so you can burn in your own fire. Watch your back. After all the ones you stabbed. You know you're bound to make some enemies like me. It's to late for apologies. You may never regret what you've done. Buy you're going to regret me. I'll set you straight. Do you think this is a game. After all the times you walked on me. How can you expect me to have sympathy. Is it so hard to understand. After all the lives you ruined. Some might want revenge. So go on keep smiling. We'll see who has the laugh last. Watch your back. After all the ones you stabbed. You know you're bound to make some enemies like me. It's to late for apologies. You may never regret what you've done. Buy you're going to regret me. I told you this wasn't a game. This is your judgement day. It's me you have to face. I'll never stop. I'll never quit. You deserve everything you're going to get
crosses,"Nothing matters. (Nothing matters). Nothing matters, but the voice inside. Nothing matters. Nothing matters. Nothing matters, in the great divide. Go!. It stars with a spark. But all ends the same. Give it up. Go down in flames. And once you know it's already too late. Open up the flood gates. You wanna trust my words. Heal my hurt and feel my pain. But if you knew the reasons, I run. They'd be the reasons, you'd never stay. Nothing matters. (Nothing matters). Nothing matters, but the voice inside. Nothing matters. Nothing matters. Nothing matters, in the great divide. Maybe, one day my scars will fade. I am my cross to bear. (I am my cross to bear). No, I don't want to shelter you. From everything that I've been through. So will you, will you. Let me be your cross to bear. I know you wanna believe. That there's still some hope. Some hope for me. But if there's any left it's buried underneath. The surface (surface). We dig. Till we find a cure. Or there's nothing left, we dig. And pray to God what we see will forget, dig. Till we find a cure for my emptiness. We dig. Till there's nothing left (there's nothing left). Maybe, one day my scars will fade. I am my cross to bear. (I am my cross to bear). No, I don't want to shelter you. From everything that I've been through. So will you, will you. Let me be your cross to bear. Nothing matters. But the voice inside. Nothing matters. When you're dead inside. Am I worth your grave. Cause that's what you're digging. Can't you see. Maybe, one day my scars will fade. I am my cross to bear. (I am my cross to bear). No, I don't want to shelter you. From everything that I've been through. So will you, will you. Let me be your cross to bear"
demons,"Why does it seem the songs about hating myself. Are the ones the kids look up to. Well you're in luck because I'm in hell. 'Cause it's not art if it's not dark. And shows the ugly truth. I write all of these songs for me. But the contract I signed sees things differently. But what if I'm not strong enough to be. The broken bastard that I am. And the hero that they need. Do you believe we all have demons?. Do you believe we all have secrets?. Time can feel like flame. But even stars burn out someday. So do you see the stars?. They shine for no one. Between the years of hiding my darkness underneath. And the quest for finding my identity. I can't sleep. Without the bottle to drown my anxiety. I can't sleep. And this insomni-addiction is killing me. Don't look up to me. 'Cause I can only look down on myself. And so would you, if only you ever really knew the real me. I tried to keep my burdens at bay. But a bend's about to break. Because my mouth's grown tired. Of the all the lies and smiles it fakes. But what if I'm not strong enough to be. The damaged desolate I am, and the hero that they need. Do you believe we all have demons?. Do you believe we all have secrets?. Time can feel like flame. But even stars burn out someday. So do you see the stars?. There's a hole at the bottom only I can see. Where my heart once was where it used to be. And now the choir sings. There's a hole at the bottom, time gave to me. Where a darkness grows and the light's fading. And now the choir sings, ""come home to the fire"". Come home to the fire (beg and burn). Do you believe we all have demons?. Do you believe we all have secrets?. Time can feel like flame. But even stars burn out someday. So do you see the stars?. They shine for no one"
drowning for now,"In this water's no reflection. I brace myself for what I see. Now the calm breaks around me and I'm standing face to face. As a bright light surrounds me with a cold embrace. I'll try and break the grasp of the storm raging within. You're drowning. Don't you pretend (that you're not shaking). That this isn't real. Don't you regret (your reflection is fading). The eyes that made you feel. And right before it hits the shore. My struggle begins. My limbs grow weak as I'm treading, defending. My lungs are filling, I've lost the feeling, I'm descending. My eyes swell shut and I can see through memories. Gently fading just release me, please release me. You're drowning. Don't you pretend (that you're not shaking). That this isn't real. Don't you regret (your reflection is fading). The eyes that made you feel. Now above me falling. Cold sweat runs down my face. My finger tips go numb. As I hold onto this place. So I close my eyes. And I collapse to my knees. It all comes over me. As the wind blows through the trees. In this water's no reflection. So I brace myself. And I cannot pretend. That these eyes they made you feel. Now I know what is real. And I know why I'm shaking. I'm alone in this struggle. In this world that I'm making. Don't you pretend. That this isn't real. Don't you pretend (that your not shaking). That this isn't real. Don't you regret (your reflection is fading). The eyes that made you feel. Now I'm letting go and I'm coming home"
favorite liar,"Time is not on our side. I'll be leaving town tonight. But there's a seat next to me if you want it. If you don't take my hand. Then I won't see you again. My oh my you're my favorite liar. And time and time, girl, I can't deny it. It's too late (I've heard this before). I can't wait (but remember you're my). My oh my you're my favorite liar. Time is not on our side. I'll be leaving town tonight. But there's a way to keep me here if you want it. If you don't take my hand. Then I won't see you again. My oh my you're my favorite liar. And time and time, girl, I can't deny it. It's too late (I've heard this before). I can't wait (but remember you're my). My oh my you're my favorite liar. My oh my you're my favorite liar. You're my favorite, my oh my you're my favorite liar. My oh my you're my favorite liar. My oh my you're my favorite liar. My oh my you're my favorite liar. You're my favorite liar. My oh my you're my favorite liar. And time and time, girl, I can't deny it. It's too late (I've heard this before). I can't wait (but remember you're my). My oh my you're my favorite liar. And time and time, girl, I can't deny it. It's too late (I've heard this before). I can't wait (but remember you're my). My oh my you're my favorite liar. Don't speak you've said enough"
follow my voice,Hope can seem so hard to find. When all around is falling. And theres never enough light. To see your way out. But in the darkest times. You find out what youre made of. And I swear theres more to you than you know. I dont want to be the voice of a generation. I just want to be a voice for you. Alone we may be lost but together we stand tall. Follow my voice. Let me carry you away. I can see youre broken. But were all the same. (were all the same). Follow my voice. And let me carry you away. I can see youre lost and alone. So let this song guide you. Alone we may be lost but together we stand tall. Scars can be so hard to hide. When all around is flawless. But where weve been makes us who we are. But in the darkest times. You find out what youre made of. And I swear theres more to you than you know. Alone we may be lost but together we stand tall. Follow my voice. Let me carry you away. I can see youre broken. But were all the same. (were all the same). Follow my voice. And let me carry you away. I can see youre lost and alone. So let this song guide you. Alone we may be lost but together we stand tall. Ill let you know. I was like you too. Now every night. I take the stage. I do it for you. So you can let out all the hate. And all the rage inside. Life may never seem right. But well always have tonight. Alone we may be lost but together we stand tall. Alone we may be lost but together we stand tall. Follow my voice. Let me carry you away. I can see youre broken. But were all the same. (were all the same). Follow my voice. And let me carry you away. I can see youre lost and alone. So let this song guide you. Alone we may be lost but together we stand tall
hands so red on a face so pale,"So slow the snow it falls tonight. We are not innocent. I watch as beauty comes to life. Be still embrace the moment. When all I see has turned to white. We are not innocent. Time takes its time with us tonight. Just breathe. Bleed, like you mean it now. The tracks lead me to where you lay. In absence of light. Tainted snow shines in the night. Your bloodshed silhouette looks (you look lovely). Standing in your place I feel nothing. Can I feel your touch tonight, cold as ice. Come on baby, get your broken heart beatin'. Come on baby get your broken heart beatin'. And over the horizon is where your last words echoed. So I ask you to say it again say it again say it. Can you hold me close tonight im cold as ice. Come on baby get your broken heart beatin'. Come on baby get your broken heart beatin'. And I dont want to say goodbye tonight. Come on baby get your empty lungs breathing. Come on baby get your empty lungs. And over the horizon is where you gave your last breath. So I ask you to breathe again breathe. Take a deep breath honey. Dont let this be our last goodbye. Dont let this be our last. Your the silence that ill hear forever"
