how can i go on,How can I go on?. How can I go on this way.... When all the salt is taken from the sea. I stand dethroned. I'm naked and I bleed. But when your finger points so savagely. Is anybody there to believe in me?. To hear my plea and take care of me?. How can I go on. From day to day. Who can make me strong in every way. Where can I be safe. Where can I belong. In this great big world of sadness. How can I forget. Those beautiful dreams that we shared. They're lost and they're no where to be found. How can I go on?. Sometimes I start to tremble in the dark. I cannot see. When people frighten me. I try to hide myself so far from the crowd. Is anybody there to comfort me. Precious Lord... Hear my plea and take care of me. How can I go on. From day to day. Who can make me strong in every way. Where can I be safe. Where can I belong. In this great big world of sadness. How can I forget. Those beautiful dreams that we shared. They're lost and no where to be found. How can I go on?
love of my life,"Love of my life, you've hurt me. You've broken my heart and now you leave me. Love of my life, can't you see?. Bring it back, bring it back,. Don't take it away from me. Because you don't know what it means to me.... Love of my life don't leave me. You've stolen my love and now desert me. Love of my life, can't you see?. Bring it back, bring it back,. Don't take it away from me. Because you don't know what it means to me.... You'll remember when this is blown over,. And everything's all by the way. When I grow older,. I will be there at your side to remind you. How I still love you, I still love you.... Oh, hurry back, hurry back. Don't take it away from me. Because you don't know what it means to me. Love of my life,. Love of my life.... Uhhh... yeah...."
i was born to love you,"An amazing feeling coming through.... I was born to love you with every single beat of my heart. Yes, I was born to take care of you. Every single day of my life. You are the one for me, I am the man for you. You were made for me, you're my ecstasy. If I was given every opportunity, I'd kill for your love. So take a chance with me, let me romance with you. I'm caught in a dream and my dreams come true. It's so hard to believe this is happening to me. An amazing feeling coming through. I was born to love you with every single beat of my heart. Yes, I was born to take care of you. Every single day of my life. I wanna love you, I love every little thing about you. I wanna love you love you love you. (Born) to love you (born) to love you yes (born) I was born to love you. (Born) to love you (born) to love you every single day of my life. I was born to take care of you, every single day of my life. Every single day of my life. I was born to love you with every single beat of my heart. Yeah I was born to take care of you honey,. Every single day of my life"
mother love,"Words and music by Brian May and Freddie Mercury. I don't want to sleep with you. I don't need the passion too. I don't want a stormy affair. To make me feel my life is heading somewhere. All I want is the comfort and care. Just to know that my woman gives me sweet -. Mother Love. I've walked too long in this lonely lane. I've had enough of this same old game. I'm a man of the world and the say that I'm strong. But me heart is heavy, and my hope is gone. Out in the city, in the cold world outside. I don't want pity, just a safe place to hide. Mama please, let me back inside. I don't want to make no waves. But you can give me all the love that I crave. I can't take it if you see me cry. I long for peace before I die. All I want is to know that you're there. You're gonna give me all that sweet -. Mother Love. Me body's aching, but I can't sleep. My dreams are all the company I keep. Got such a feeling as the sun goes down. I'm coming home to my sweet -. Mother Love"
barcelona,Barcelona! Barcelona!. Uuuhhh. Barcelona! Barcelona!. Viva!. I had this perfect dream. Un suenyo me envolvió. This dream was me and you. Tal vez estás aquí. I want all the world to see. Un instinto me guiaba. A miracle sensation. My guide and inspiration. Now my dream is slowly coming true. Wind is a gentle breeze. El me habló ti. The bells are ringing out. El canto vuela. They're calling us together. Guiding us forever. Wish my dream would never go away. Barcelona!. It was the first time that we met. Barcelona!. How can I forget. The moment that you stepped in the room. You took my breath away. Barcelona!. La música vibró. Barcelona!. Y ella nos unió. if god is willing. We will meet again. Someday. Let the songs begin. Déjalo nacer. Let the music play. Ahhhhhhh.... Make the voices sing. Nace un gran amor. Start the celebration. Ven a mi. And cry!. Grita!. Come alive. Viva!. And shake the foundations from the skies. Shaking all our lives. Barcelona!. Such a beautiful horizon. Barcelona!. Like a jewel in the sun. Por ti seré gaviota de tu bella mar. Barcelona!. Suenan las campanas. Barcelona!. Abre tus puertas al mundo. If god is willing. If god is willing. If god is willing. Friends to the end. Viva!. OOooohh. Barcelona!!!
living on my own,"Sometimes I feel I'm gonna break down and cry. Nowhere to go, nothing to do with my time. I get lonely, so lonely, living on my own.. Sometimes I feel I'm always walking too fast. And everything is coming down on me, down on me, I go crazy. Oh so crazy - living on my own.. Dee do de de, dee do de de. I don't have no time for no monkeybusiness. Dee do de de, dee do de de. I get so lonely, lonely, lonely, lonely, yeah. Got to be some good times ahead. Sometimes I feel nobody gives me no warning. Find my head is always up in the clouds in a dreamworld. It's not easy - living on my own, my own, my own. Dee do de de, dee do de de. I don't have no time for no monkeybusiness. Dee do de de, dee do de de. I get so lonely, lonely, lonely, lonely, yeah. Got to be some good times ahead. repeat chorus"
the great pretender,"Oh yes, I'm the great pretender. Pretending I'm doing well. My need is such. I pretend too much. I'm lonely but no one can tell. Oh yes, I'm the great pretender. Adrift in a world of my own. I play the game but to my real shame. You've left me to dream all alone. Too real is this feeling of make-believe. Too real when I feel what my heart can't conceal. Oh yes, I'm the great pretender. Just laughing and gay like a clown. I seem to be what I'm not you see. I'm wearing my heart like a crown. Pretending that you're still around. Too real when i feel what my heart can't conceal. Oh yes, I'm the great pretender. Just laughing and gay like a clown. I seem to be what I'm not you see. I'm wearing my heart like a crown. Pretending that you're.... Pretending that you're still around"
we will rock you,"Buddy you're a boy make a big noise. Playin' in the street gonna be a big man some day. You got mud on your face. You big disgrace. Kicking your can all over the place. Singing. We will, we will rock you. We will, we will rock you. Buddy you're a young man hard man. Shouting in the street gonna take on the world some day. You got blood on your face. You big disgrace. Waving your banner all over the place. We will, we will rock you. Sing it. We will, we will rock you. Buddy you're an old man poor man. Pleading with your eyes gonna make. You some peace some day. You got mud on your face. Big disgrace. Somebody better put you back into your place. We will, we will rock you. Sing it. We will, we will rock you. Everybody. We will, we will rock you. We will, we will rock you. Alright"
love me like there's no tomorrow,"You had to kill the conversation. You always had the upper hand. Got caught in love and stepped in sinking sand. You had to go and ruin all our plans. Packed your bags and you're leaving home. Got a one-way ticket and you're all set to go. But we have one more day together, so. Love me like there's no tomorrow. Hold me in your arms, tell me you mean it. This is our last goodbye and very soon it will be over. But today just love me like there's no tomorrow. I guess we drift alone in separate ways. I don't have all that far to go. God knows I learnt to play the lonely man. I've never felt so low in all my life. We were born to be just losers. So I guess there's a limit on how far we go. But we only have one more day together so. Love me like there's no tomorrow. Hold me in your arms, tell me you mean it. This is our last goodbye and very soon it will be over. But today just love me like there's no tomorrow. Tomorrow god knows just where I'll be. Tomorrow who knows just what's in store for me. Anything can happen but we only have one more day together,. yeah. Just one more day forever, so. Love me like there's no tomorrow. Hold me in your arms, tell me you mean it. This is our last goodbye and very soon it will be over. But today just love me like there's no tomorrow"
somebody to love,Somebody To Love. Each morning I get up I die a little. Can barely stand on my feet. (Take a look at yourself)Take a look in the mirror and cry. Lord what you're doing to me. I have to spend all my years in believing you. But I just can't get no relief Lord. Somebody (somebody) ooh somebody (somebody). Can anybody find me somebody to love?. I work hard (he works hard) everyday of my life. I work till I ache my bones. At the end (at the end of the day). I take home my hard earned pay all on my own. I get down (down) on my knees (knees). And I start to pray (praise the Lord). 'Til the tears run down from my eyes. Lord somebody (somebody) ooh somebody (please). Can anybody find me somebody to love?. (He wants help). Every day - I try and I try and I try -. But everybody wants to put me down. They say I'm goin' crazy. They say I got a lot of water in my brain. Got no common sense. I got nobody left to believe. Yeah - yeah yeah yeah. Ooh. Somebody (somebody). Can anybody find me somebody to love?. (Anybody find me someone to love). Got no feel I got no rhythm. I just keep losing my beat (you just keep losing and losing). I'm OK I'm alright (he's alright). I ain't gonna face no defeat. I just gotta get out of this prison cell. Some day I'm gonna be free Lord. Find me somebody to love find me somebody to love. Find me somebody to love find me somebody to love. Find me somebody to love find me somebody to love. Find me somebody to love find me somebody to love. Find me somebody to love find me somebody to love. Somebody somebody somebody somebody somebody. Find me somebody find me somebody to love. Can anybody find me somebody to love. Find me somebody to love. Find me somebody to love. Find me somebody to love. Find me find me find me. Find me somebody to love. Somebody to love. Find me somebody to love...
in my defence,In my defence what is there to say. All the mistakes we made must be faced today. It's not easy now knowing where to start. While the world we love tears itself apart. I'm just a singer with a song. How can I try to right the wrong. For just a singer with a melody. I'm caught in between. With a fading dream. In my defence what is there to say. We destroy the love - it's our way. We never listen enough never face the truth. Then like a passing song. Love is here and then it's gone. I'm just a singer with a song. How can I try to right the wrong. For just a singer with a melody. I'm caught in between. With a fading dream. I'm just a singer with a song. How can I try to right the wrong. I'm just a singer with a melody. I'm caught in between with a fading dream. Caught in between with a fading dream. Caught in between with a fading dream. Oh what on earth. Oh what on earth. How do I try. Do we live or die. Oh help me God. Please help me
let's turn it on,"Let's turn it on, and get everybody thinking, thinking, thinking. Let's turn it on, everybody song and dancing, dancing, dancing. Let's turn it on, all the people got to get the right impression. Turn it on, turn it on, turn it on. Why don't we turn it on and let's stop everybody fighting. Let's get it on, let's get everybody jumping. Let's get it on, and get everbody stamping,. Let's get it on, all the people got to get the right impression. Let's get it on, turn it on. And let's get everybody dancing. Let's turn it on, yeah. Nobody is giving it up, yeah, yeah,. Everybody is living it up, yeah. Everybody is living it up, et's turn it on,. Yeah nobody is giving up. Everybody is living it up, yeah. Everybody is living it up. Let's turn it on, turn it on, yeah. Dancing, dancing, dancing, dancing. Let's turn it on, and get the everybody swinging,. Let's turn it on, get the right into that lovely feeling. Let's turn it on, yeah, come on all you people get togheter. Turn it on, turn it on, and let's get everybody dancing. Turn it on and get everybody happy. Let's turn it on, let's make everybody happy. Let's turn it on, come on all you people, all you happy people togheter. Turn it on, yeah, turn it on, turn it on. Let's make everybody crazy!"
one year of love,Just one year of love. Is better than a lifetime alone. One sentimental moment in your arms. Is like a shooting star right through my heart. It's always a rainy day without you. I'm a prisoner of love inside you -. I'm falling apart all around you - yeah. My heart cries out to your heart. I'm lonely but you can save me. My hand reaches out for your hand. I'm cold but you light the fire in me. My lips search for your lips. I'm hungry for your touch. There's so much left unspoken. And all I can do is surrender. To the moment just surrender. And no one ever told me that love would hurt so much. (Oooh yes it hurts). And pain is so close to pleasure. And all I can do is surrender to your love. Just surrender to your love. Just one year of love. Is better than a lifetime alone. One sentimental moment in your arms. Is like a shooting star right through my heart. It's always a rainy day without you. I'm a prisoner of love inside you. I'm falling apart all around you. And all I can do is surrender
the show must go on,"Empty spaces - what are we living for. Abandoned places - I guess we know the score. On and on, does anybody know what we are looking for.... Another hero, another mindless crime. Behind the curtain, in the pantomime. Hold the line, does anybody want to take it anymore. The show must go on. The show must go on, yeah. Inside my heart is breaking. My make - up may be flaking. But my smile still stays on. Whatever happens, I'll leave it all to chance. Another heartache, another failed romance. On and on, does anybody know what we are living for ?. I guess I'm learning (I'm learning learning learning). I must be warmer now. I'll soon be turning (turning turning turning). Round the corner now. Outside the dawn is breaking. But inside in the dark I'm aching to be free. The show must go on. The show must go on, yeah yeah. Ooh, inside my heart is breaking. My make - up may be flaking. But my smile still stays on. Yeah yeah, whoa wo oh oh. My soul is painted like the wings of butterflies. Fairytales of yesterday will grow but never die. I can fly - my friends. The show must go on (go on, go on, go on) yeah yeah. The show must go on (go on, go on, go on). I'll face it with a grin. I'm never giving in. On - with the show. Ooh, I'll top the bill, I'll overkill. I have to find the will to carry on. On with the show. On with the show. The show - the show must go on. Go on, go on, go on, go on, go on. Go on, go on, go on, go on, go on. Go on, go on, go on, go on, go on. Go on, go on, go on, go on, go on. Go on, go on"
