good riddance (time of your life),Another turning point. A fork stuck in the road. Time grabs you by the wrist. Directs you where to go. So make the best of this test. And don't ask why. It's not a question. But a lesson learned in time. It's something unpredictable. But in the end is right. I hope you had the time of your life. So take the photographs. And still frames in your mind. Hang it on a shelf. Of good health and good time. Tattoos of memories. And dead skin on trial. For what it's worth. It was worth all the while. It's something unpredictable. But in the end is right. I hope you had the time of your life. It's something unpredictable. But in the end is right. I hope you had the time of your life. It's something unpredictable. But in the end is right. I hope you had the time of your life
boulevard of broken dreams,"I walk a lonely road. The only one that I have ever known. Don't know where it goes. But it's home to me and I walk alone. I walk this empty street. On the boulevard of broken dreams. Where the city sleeps. And I'm the only one and I walk alone. I walk alone I walk alone. I walk alone I walk a..... {Chorus}. My shadow's the only one that walks beside me. My shallow heart is the only thing that's beating. Sometimes I wish someone out there will find me. Till then I walk alone. ah - ah - ah - ah - ah - ah -aaah - ah - ah -ah -ah. . I'm walking down the line. That divides me somewhere in my mind. On the border line of the edge. And where I walk alone. Read between the lines. What's fucked up and everything's alright. Check my vital signs to know I'm still alive. And I walk alone. I walk alone I walk alone. I walk alone I walk a.... {Chorus}. My shadow's the only one that walks beside me. My shallow heart is the only thing that's beating. Sometimes I wish someone out there will find me. Till then I walk alone. ah - ah - ah - ah - ah - ah -aaah - ah - ah -ah -ah. I walk alone, I walk a.... I walk this empty street. On the Boulevard of broken dreams. When the city sleeps. And I'm the only one and I walk a.... {Chorus}. My shadow's the only one that walks beside me. My shallow heart is the only thing that's beating. Sometimes I wish someone out there will find me. Till then I walk alone"
wake me up when september ends,Summer has come and passed. The innocent can never last. Wake me up when September ends. Like my father's come to pass. Seven years has gone so fast. Wake me up when September ends. Here comes the rain again. Falling from the stars. Drenched in my pain again. Becoming who we are. As my memory rests. But never forgets what I lost. Wake me up when September ends. Summer has come and passed. The innocent can never last. Wake me up when September ends. Ring out the bells again. Like we did when spring began. Wake me up when september ends. Here comes the rain again. Falling from the stars. Drenched in my pain again. Becoming who we are. As my memory rests. But never forgets what I lost. Wake me up when september ends. Summer has come and passed. The innocent can never last. Wake me up when September ends. Like my father's come to pass. Twenty years has gone so fast. Wake me up when September ends. Wake me up when September ends. Wake me up when September ends
21 guns,"Do you know What's worth fighting for,. When It's not worth dying for?. Does it take your breath away. And you feel yourself suffocating?. Does the pain weight out the pride?. And you look for a place to hide?. Did someone break your heart inside?. You're in ruins. One, 21 guns. Lay down your arms. Give up the fight. One, 21 guns. Throw up your arms. Into the sky. You and I. When you're at the end of the road. And you lost all sense of control. And your thoughts have taken their toll. When your mind breaks the spirit of your soul. Your faith walks on broken glass. And the hangover doesn't pass. Nothing's ever built to last. You're in ruins. One, 21 guns. Lay down your arms. Give up the fight. One, 21 guns. Throw up your arms. Into the sky. You and I. Did you try to live on your own?. When you burned down the house and home?. Did you stand too close to the fire?. Like a liar looking for forgiveness from a stone. When it's time to live and let die. And you can't get another try. Something inside this heart has died. You're in ruins. One, 21 guns. Lay down your arms. Give up the fight. One, 21 guns. Throw up your arms. Into the sky. One, 21 guns. Lay down your arms. Give up the fight. One, 21 guns. Throw up your arms. Into the sky. You and I"
holiday,"Hear the sound of the falling rain. Coming down like an Armageddon flame (HEY!). The shame, the ones who died without a name. Hear the dogs howling out of key. To a hymn called ""Faith and Misery"" (Hey!). And bleed, the company lost the war today. I beg to dream and differ from the hollow lies. This is the dawning of the rest of our lives. On holiday. Hear the drum pounding out of time. Another protestor has crossed the line (HEY!). To find, the money's on the other side. Can I get another Amen (AMEN!). There's a flag wrapped around a score of men (HEY!). A gag, A plastic bag on a monument. I beg to dream and differ from the hollow lies. This is the dawning of the rest of our lives. On holiday. The representative from California has the floor. Zieg Heil to the president gasman. Bombs away is your punishment. Pulverize the Eiffel towers. Who criticize your government. Bang bang goes the broken glass. Kill all the fags that don't agree. Trials by fire, setting fire. Is not a way that's meant for me. Just cause...(hey, hey). Just cause, because we're outlaws YEAH!. I beg to dream and differ from the hollow lies. This is the dawning of the rest of our lives. I beg to dream and differ from the hollow lies. This is the dawning of the rest of our lives. This is our lives on holiday"
basket case,Do you have the time. To listen to me whine. About nothing and everything all at once. I am one of those. Melodramatic fools. Neurotic to the bone. No doubt about it. Sometimes I give myself the creeps. Sometimes my mind plays tricks on me. It all keeps adding up. I think I'm cracking up. Am I just paranoid?. Am I just stoned?. I went to a shrink. To analyze my dreams. She says it's lack of sex that's bringing me down. I went to a whore. She said my life's a bore. Just quit my whining cause it's bringing her down. Sometimes I give myself the creeps. Sometimes my mind plays tricks on me. It all keeps adding up. I think I'm cracking up. Am I just paranoid?. Am I just stoned?. Grasping to control. So I better hold on. Sometimes I give myself the creeps. Sometimes my mind plays tricks on me. It all keeps adding up. I think I'm cracking up. Am I just paranoid?. Am I just stoned?
american idiot,Don't wanna be an American Idiot. Don't want a nation under the new media. Can you hear the sound of hysteria?. The subliminal mind Fuck America. Welcome to a new kind of tension. All across the alienation. Where everything isn't meant to be ok. Television dreams of tomorrow. We're not the ones meant to follow. For that's enough to argue. Maybe I am the faggot America. I'm not a part of a redneck agenda. Now everybody do the propaganda. And sing along to the age of paranoia. Welcome to a new kind of tension. All across the alienation. Where everything isn't meant to be ok. Television dreams of tomorrow. We're not the ones meant to follow. For that's enough to argue. Don't wanna be an American Idiot. One nation controlled by the media. Information age of hysteria. Is going out to Idiot America. Welcome to a new kind of tension. All across the alienation. Where everything isn't meant to be ok. Television dreams of tomorrow. We're not the ones meant to follow. For that's enough to argue.
green day,"A small cloud has fallen the white mist hits the ground. My lungs comfort me with joy. Vegging on one detail the rest just crowds around. My eyes itch of burning red. Picture sounds. Of moving insects so surreal. Lay around. Looks like I found something new. Laying in my bed, I think I'm in left field. I picture someone, I think it's you. You're standing so damn close my body begins to swell. Why does 1 and 1 make 2?. Picture sounds. Of moving insects so surreal. Lay around. Looks like I found something new. Laying in my bed, I think I'm in left field. I picture someone, I think it's you. You're standing so damn close my body begins to swell. Why does 1 and 1 make 2?. Picture sounds. Of moving insects so surreal. Lay around. Looks like I found something new"
jesus of suburbia,"[Part I]. I'm the son of rage and love. The Jesus of suburbia. From the bible of none of the above. On a steady diet of. Soda pop and Ritalin. No one ever died for my sins in hell. As far as I can tell. At least the ones I got away with. And there's nothing wrong with me. This is how I'm supposed to be. In the land of make believe. That don't believe in me. Get my television fix. sitting on my crucifix. A living room on my private womb. While the moms and brads are away. To fall in love and fall in debt. To alcohol and cigarettes. And mary jane. To keep me insane. Doing someone else's cocaine. And there's nothing wrong with me. This is how I'm supposed to be. In the land of make believe. That don't believe in me. . [Part Ii: City Of The Damned]. At the center of the Earth. In the parking lot. Of the 7-11 where I was taught. The motto was just a lie. It says home is where your heart is. But what a shame. Cause everyone's heart. Doesn't beat the same. It's beating out of time. City of the dead. At the end of another lost highway. Signs misleading to nowhere. city of the damned. Lost children with dirty faces today. No one really seems to care. I read the graffiti. In the bathroom stall. Like the holy scriptures of a shopping mall. And so it seemed to confess. It didn't say much. But it only confirmed that. The center of the earth. Is the end of the world. And I could really care less. City of the dead. At the end of another lost highway. Signs misleading to nowhere. city of the damned. Lost children with dirty faces today. Noone really seems to care. Hey!. . [Part Iii: I Don't Care]. I don't care if you don't. I don't care if you don't. I don't care if you don't care X5. I don't care. Everyone's so full of shit. Born and raised by hypocrits. Hearts recycled but never saved. From the cradle to the grave. We are the kids of war and peace. From Anaheim to the Middle East. We are the stories and disciples of. The Jesus of suburbia. Land of make believe. And it don't believe in me. Land of make believe. And I don't believe. And I don't care!. I don't care!. . [Part Iv: Dearly Beloved]. Dearly beloved are you listening?. I can't remember a word. that you were saying. Are we demented or am I disturbed?. The space that's in between insane and insecure.. Oh therapy, can you please fill the void?. Am I retarded or am I just overjoyed?. Nobody's perfect and I stand accused. For lack of a better word,. and that's my best excuse.. . [Part V: Tales Of Another Broken Home]. To live and not to breathe. Is to die in tragedy. To run, to run away. To find what you believe. And I leave behind. This hurricane of fucking lies. I lost my faith to this. This town that don't exist. So I run. I run away. The light of masochist. And I leave behind. This hurricane of fucking lies. And I walked this line. A million and one fucking times. But not this time. I don't feel any shame. I won't apologize. When there ain't nowhere you can go. Running away from pain. When you've been victimized. Tales from another broken home. You're leaving.... You're leaving.... You're leaving.... Ah! You're leaving home..."
she,She. She screams in silence. A sullen riot penetrating through her mind. Waiting for a sign. To smash the silence with the brick of self-control. Are you locked up in a world. That's been planned out for you. Are you feeling like a social tool without a use. Scream at me until my ears bleed. I'm taking heed just for you. She. She's figured out. All her doubts were someone else's point of view. Waking up this time. To smash the silence with the brick of self-control. Are you locked up in a world. That's been planned out for you. Are you feeling like a social tool without a use. Scream at me until my ears bleed. I'm taking heed just for you. Are you locked up in a world. That's been planned out for you. Are you feeling like a social tool without a use. Scream at me until my ears bleed. I'm taking heed just for you
