highway tune,"No stoppin' at the red light girl. Cause I wanmna get you said now. No goin' at the green light girl. Cause I wanna be with you now. You are my special. You are my special. You are my midnight, midnight yeah. So sweet. So fine. So nice. Oh my. My my. My my. Oh. No stoppin' on the highway girl. Cause I wanna burn my gas. There's one girl that I know. I'm never gonna pass. She is my special. She is my special. She is my midnight, midnight yeah. So sweet. So fine. So nice. Oh my. My my. My my. Ooh. Oh yeah. So sweet. So fine. So nice. Oh my. My my. My my. Oh sugar"
black smoke rising,"Did you know there was a tower. Where they look out to the land. To see the people quickly passing by. This is for their own desire. As they spit down to the earth. To feel the power pouring in their veins. Woh ho ho ho ho yeah yeah. Woh ho ho ho ho yeah yeah. And the black smoke rises. From the fires we've been told. It's the new age crisis. And we will stand up in the cold. Stand up in the cold. Many people are dividing. And a world apart with just one heart. Is bound to keel and fade away. None of us will be deciding. And the fate of man is in the hands. Of he who stands and heeds the call. Woh ho ho ho ho yeah yeah. Woh ho ho ho ho yeah yeah. And the black smoke rises. From the fires we've been told. It's the new age crisis. And we will stand up in the cold. Stand up in the cold. Oh oh. Oh oh. We won't stand alone, we will stand up in the cold. We won't stand alone, we will stand up in the cold. We won't stand alone, we will stand up in the cold. Yeah. And the black smoke rises. From the fires we've been told. It's the new age crisis. And we will stand up in the cold. And the black smoke rises. From the fires we've been told. It's the new age crisis. And we will stand up in the cold. Stand up in the cold"
safari song,Ah yeah. Oh lady when ya come on down. Won't ya come on down. I said to my town. Oh mama when ya come on down. Won't ya come on down. I said to my home. Oo lady won't you move my way. Can't ya move my way. I'm getting hazy. Oh mama when you give your lovin'. When you give your love. You drive me crazy. Ah mama what you gonna do. With all that love in your heart. Ah mama what you gonna say. About that love in your heart. Oh mama when you walk this way. Why don't you give some lovin'. Oo mama what you gonna do. With all that lovin' in your heart. See mama gotta feel your everything. Feel your everything. I really wanna know. See mama when you shine you're shinin' bright. Give you're given right. I really want our love to grow. See mama when your heart is in its place. See that smilin' face. It's all I wanna do. See mama every time that you are near. It's when your gonna fear. You're never gonna come back home. Ah mama what you gonna do. With all that love in your heart. Ah mama what you gonna say. About that love in your heart. Oh mama when you walk this way. Why don't you give some lovin'. Oo mama what you gonna do. With all that lovin' in your heart. Do you remember what I said. When I got down on my knees. Gotta get your lovin' baby. Lovin's all I need. Don't make me beg now baby. Don't make me bleed. I gave you all a man could give. And you still walked out on me. Ah mama what you gonna do. With all that love in your heart. Ah mama what you gonna say. About that love in your heart. Oh mama when you walk this way. Why don't you give some lovin'. Oo mama what you gonna do. With all that lovin' in your heart. Your heart. Your heart. Your heart. Your heart. Lovin'. Burnin. Fire. Aw yeah
you're the one,"Babe, ain't no denyin. That I've got you in my head. Girl, I'd be flyin. If you stood yourself and said. You're the one I want. You're the one I need. You're the one I have. So come on back to me. Girl, you're so young and pretty. But you're evil, you wouldn't know. Darling, ain't that a pity. Well I almost lost my mind. You're the one I want. You're the one I need. You're the one I have. So come on back to me. See, where we've been. That you'll hold my hand and stay awhile. You're the one I want. You're the one I need. You're the one I have. So come on back to me. Come on baby"
edge of darkness,"Every day's a new day. Every way's a new way. On the edge of darkness. Finding out what it means to love. And to think we've found the time. All my brothers we stand. For the peace of the land. Is there meaning. I've got love in my heart. For an army apart. I am bleeding. All my brothers we stand. For the peace of the land. Is there meaning. I've got love in my heart. For an army apart. I am bleeding. Always searching for love. Always searching for light. What the world is made of. When I'm thinking it's right. And to think we've found the time. All my brothers we stand. For the peace of the land. Is there meaning. I've got love in my heart. For army apart. I'm bleeding. All my brothers we stand. For the peace of the land. Is there meaning. I've got love in my heart. For army apart. I'm bleeding. Yeah, yeah. Yeah, yeah. Yeah, yeah. I've got love in my heart. For army apart. I am bleeding. All my brothers we stand. For the peace of the land. Is there meaning. I've got love in my heart. For army apart. I am bleeding. Yeah, I am bleeding. All my brothers we stand. For the peace of the land. All my brothers we stand. For the peace of the land. I am bleeding"
flower power,"She is a lady, comes from all around. She's many places, but she's homeward bound. And now she walks kinda funny. I think she knows. Day by day by day. Our love grows. She's a lantern in the night. She's outta sight. Ma ma ma ma ma ma ma ma ma ma ma ma. Ma ma ma ma ma ma ma ma ma ma ma ma. Ma ma ma. Hey. It turns to night, fire light. Star shines in her eye. Makes me feel like I'm alive. She's outta sight, yeah. Aw yeah. She's alright, she's alright, she's alright. She's outta sight, outta sight. Electric gold our love with tender care. Hills of satin grass and maidens fair. Now she rides through the night. On a silver storm. Sword in hand. Our fate's torn. She's a sparrow of the dawn. Our love is born. Ma ma ma ma ma ma ma ma ma ma ma ma. Ma ma ma ma ma ma ma ma ma ma ma ma. Ma ma ma. Hey. Turn to night, fire light. Star shines in her eye. Makes me feel like I'm alive. She's outta sight, yeah. Aw yeah. She's alright, she's alright, she's alright. She's outta sight, outta sight. Yeah. Ooh yeah ooh yeah ooh yeah. As the days pass by my mind. Are the wrong, the right. You are my sunshine. And as the night begins to die. We are the morning birds that sing against the sky"
when the curtain falls,"Well, you feel pretty and I love you so. You know I'm your biggest fan. I saw your picture and it's the best. The finest in the land. Camera lights and action. And words you know so well. You're in and out of fashion. In Hollywood of hell. When the curtain falls. Walk the hollow halls babe. Once a valley doll. Now you're not at all. No. Well I love you in that movie show. Can I have your autograph. It's so funny you have such charm. And whole thing made me laugh. Obetral and cocktails. You're counting all your rings. They all said they loved you. (Didn't they darlin'). Well they've taken all your things. When the curtain falls. Walk the hollow halls babe. Once a valley doll. Now you're not at all. No. Well listen darlin. It's been real swell. What can I say. You've got it all. You're a one woman show. But I'm not gonna' lie. You could use a little work. Well at your age. What've you got baby. When the curtain falls. Walk the hollow halls babe. Once a valley doll. Now you're not at all. Goodbye baby, goodbye"
talk on the street,Oh mama you lie in ruin. Can't you see what you've done. Well I've been there before. What's this war that you won. Oh mama you walk this way. And I'm crying inside. Well I've been there before. And you know that it's time. And everybody's talking. But you never let them know. Yes I can hear them talking. Everyone knows. That's there's talking on the streets. Remember the days. When there's no one to defeat. Follow me down. To the mountain of the sun. Forgetting the end. As your new life has begun. Look mama the light is low. And the darkness near. Yes everyone is looking for me and you. And the night's what you fear. Walk someone they follow us. And you're all undone. Yes everyone is looking for me and you. And the war has begun. And everybody's talking. But you never let 'em know. Yes I can hear them talking. Everyone knows. That's there's talking on the streets. Remember the days. When there's no one to defeat. Follow me down. To the mountain of the sun. Forgetting the end. As your new life has begun. And everybody's talking. And you never let them know. Yes I can hear them talking. And you never let them know
a change is gonna come,"I was born by the river in a little tent. And just like the river baby I've been running ever since. It's been a long, a long time coming. And I know a change is gonna come. It's been too hard living, but I'm afraid to die. 'Cause I don't know what's up there baby beyond the sky. It's been a long, a long time coming. And I know a change is gonna come. Then I go down to my brother. And I say: Brother, help me please. But he winds up knockin' me back down. On my knees. There been times that I thought I couldn't last for long. But now I think I'm able to carry on. It's been a long, a long time coming. And I know a change is gonna come, oh yes it will. It's been a long, a long time coming. And I know a change is gonna come, oh yes it will. Well, it's been a long, a long time coming. And I know a change is gonna come, change. I know it, I know it, I know, I know, I know. A change is gonna come"
age of man,"In an age of darkness light appears. And it wards away the ancient fears. March to the anthem of the heart. To a brand new day, a brand new start. To wonder lands of ice and snow. In the desert heat where nothing grows. A tree of life in rain and sun. To reach the sky it's just begun. And as we came into the clear. To find ourselves where we are here. Who is the wiser to help us steer. And will we know when the end is near. Beauty lives in every soul. The more you love the more you know. They pass the torch and it still burns. Once children then it's now our turn. And as we came into the clear. To find ourselves where we are here. Who is the wiser to help us steer. And will we know when the end is near. And as we came into the clear. To find ourselves where we are here. Who is the wiser to help us steer. And will we know when the end is near"
