alone,"I hear the ticking of the clock. I'm lying here the room's pitch dark. I wonder where you are tonight. No answer on the telephone. And the night goes by so very slow. Oh I hope that it won't end though. Alone. Chorus:. Till now I always got by on my own. I never really cared until I met you. And now it chills me to the bone. How do I get you alone. How do I get you alone. You don't know how long I have wanted. To touch your lips and hold you tight. You don't know how long I have waited. And I was gonna tell you tonight. But the secret is still my own. And my love for you is still unknown. Alone. Chorus. Till now I always got by on my own. I never really cared until I met you. And now it chills me to the bone. How do I get you alone. How do I get you alone. How do I get you alone. How do I get you alone. Alone, alone"
barracuda,"So, this ain't the end - I saw you again today. I had to turn my heart away. You smile like the sun - kisses for everyone. And tails - it never fails!. You lying so low in the weeds. I bet you gonna ambush me. You'd have me down, down, down, down on my knees. Now, wouldn't you, Barracuda? Oh-oh-ohh. Back over time we were all trying for free. You met the porpoise in me, uh huh. No right no wrong, selling a song -. A name whisper game.. And if the real thing don't do the trick. You better make up something quick. You’re gonna burn, burn, burn, burn, burn into the wick. Ooh, Barracuda! Oh-oh-ohh…yeah. ""Sell me, sell you,"" the porpoise said. Dive down deep down save my head. You...I think that you got the blues, too.. All that night and all the next, swam without looking back. Made out for western pools - silly, silly fools!. The real thing don't do the trick, no. You better make up something quick. You’re gonna burn, burn, burn, burn, burn into the wick. Ohhh, Barra…barracuda! Yeah"
these dreams,Spare a little candle. Save some light for me. Figures up ahead. Moving in the trees. White skin in linen. Perfume on my wrist. And the full moon that hangs over. These dreams in the mist. Darkness on the edge. Shadows where I stand. I search for the time. On a watch with no hands. I want to see you clearly. Come closer than this. But all I remember. Are the dreams in the mist. These dreams go on when I close my eyes. Every second of the night I live another life. These dreams that sleep when it's cold outside. Every moment I'm awake the further I'm away. Is it cloak n dagger. Could it be spring or fall. I walk without a cut. Through a stained glass wall. Weaker in my eyesight. The candle in my grip. And words that have no form. Are falling from my lips. These dreams go on when I close my eyes. Every second of the night I live another life. These dreams that sleep when it's cold outside. Every moment I'm awake the further I'm away. There's something out there. I can't resist. I need to hide away from the pain. There's something out there. I can't resist. The sweetest song is silence. That I've ever heard. Funny how your feet. In dreams never touch the earth. In a wood full of princes. Freedom is a kiss. But the prince hides his face. From dreams in the mist. These dreams go on when I close my eyes. Every second of the night I live another life. These dreams that sleep when it's cold outside. Every moment I'm awake the further I'm away. These dreams go on when I close my eyes. Every second of the night I live another life. These dreams that sleep when it's cold outside. Every moment I'm awake the further I'm away.
if looks could kill,"Caught you in the act. Can't put up with that. Messing where you shouldn't be. I wanna hear you say you're sorry. 'Cause nobody takes advantage of me. You're missing the mark. Shooting in the dark. I'm pulling the wool from my eyes. Baby don't you push me further. It's gonna hurt if it happens twice. If looks could kill. You'd be lying on the floor. You'd be begging me please, please. Baby don't hurt me no more. If looks could kill. You'd be reeling from the pain. And you'd never lie again. If looks could kill. You're living on the edge. Hanging by a thread. I'm watching every move you make. You don't want to see me anger. So don't you make another mistake. Love is on the line. I ain't about to be kind. That's a promise and a thread. If I was you, I'd really cool it. Or risk a night you'll never forget. If looks could kill. You'd be lying on the floor. You'd be begging me please, please. Darling don't hurt me no more. If looks could kill. You'd be reeling from the pain. And you'd never lie again. If looks could kill. I was a fool to believe in you. A sucker for every line. I'm a little less blind. Than I was before. I can see right through your design. If looks could kill. You'd be lying on the floor. You'd be begging me please, please. Baby don't hurt me no more. If looks could kill. You'd be reeling from the pain. And you'd never lie again. If looks could kill. If looks could kill. You'd be lying on the floor. You'd be begging me please, please. Baby don't hurt me no more. If looks could kill. You'd be reeling from the pain. And you'd never lie again. If looks could kill. If looks could kill"
what about love?,I've been lonely. I've been waiting for you. I'm pretending. And that's all I can do. The love I'm sending. Ain't making it. Through to your heart. You've been hiding. Never letting it show. Always trying. To keep it under control. You got it down and you're well. On the way to the top. But there's something that you forgot. What about love?. Don't you want someone. To care about you?. What about love?. Don't let it slip away. What about love?. I only want to share it with you. You might need it someday. I can't tell you. What you're feeling inside. I can't sell you. What you don't want to buy. Something's missing. And you got to look back on your life. You know something. Here just ain't right. What about love?. Don't you want someone. To care about you?. What about love?. Don't let it slip away. What about love?. I only want to share it with you. You might need it someday
straight on,"Quite some time, I been sittin' it out. Didn't take no chances. I was a pris'ner of doubt.. I knocked down the wailin' wall. Ain't no sin. Got the feel of fortune; deal me in. Comin' straight on for you. You made my mind.. Now I'm stronger. Now I'm comin' through. Straight on, straight on for you. Straight on for you.. Now I know I got to play my hand. What the winner don't know, a gambler understands. My heart keeps playin' it through. with you, my friend. I'll take my chances on you again and again...again.. Comin' straight on for you. You made my mind. Now I'm stronger. Now I'm comin' through. Straight on, straight on for you. Straight on for you. Repeat."
all i wanna do is make love to you,"It was a rainy night when he came into sight. Standing by the road, no umbrella, no coat. So I pulled up along side and I offered him a ride. He accepted with a smile so we drove for a while. I didn't ask him his name, this lonely boy in the rain. Fate tell me it's right. is this love at first sight. Please don't make it wrong, just stay for the night. All I wanna do is make love to you. Say you will you want me too. All I wanna do is make love to you. I've got lovin' arms to hold on to. So we found this hotel. it was a place I knew well. We made magic that night. Oh, he did everything right. He brought the woman out of me, so many times, easily. And in the morning when he woke. all I left him was a note. I told him I am the flower you are the seed. We walked in the garden we planted a tree. Don't try to find me, please don't you dare. Just live in my memory, you'll always be there. All I wanna do is make love to you. One night of love was all we knew. All I wanna do is make love to you. I've got lovin' arms to hold on to. Oh, ooh, we made love. Love like strangers. All night long. We made love. Then it happened one day, we came round the same way. You can imagine his surprise. when he saw his own eyes. I said please, please understand. I'm in love with another man. And what he couldn't give me. Ohh, oh, oh was the one little thing that you can. All I wanna do is make love to you. One night of love was all we knew. All I want to do is make love to you. Come on, say you will, you want me too. All I wanna do is make love to you. One night of love was all we knew. All I want to do is make love to you. Say you will baby, you want me too. All night long. All I wanna do. All I wanna do. All I wanna do. All I wanna do. All I wanna do is make love to you. One night of love was all we knew"
the road home,"On the road home,got the radio on. And allthe miles are running by. Like so many songs, you and I, on the road home. Thoughtless in our travelin', lovers in our soul. oh, oh, the highway runs so clear. oh, oh, the river from there to here. I'll tell you a story from the heart and from the. bone. And I will tell you everything on, oh. On the road home, in the early spring. Locked up in my silence, alone with everything. But no, no, oh, you said no, no, no, no. And if you find the words won't come. Just you stand and sing. And oh, oh, the highway runs so clear. Oh, oh, the river from there to here. You know I love singin' it, the [Incomprehensible]. And now we' ve put the same on the road. On the road home, yeah, goin' home. On the road home, we see the yellow moon rise. And I feel what you are feelin' 'coz you see it with. your eyes. You see sweet romance, your sweet love song. Standin' in that moonlight, two hearts can't be wrong. Oh, oh, la la la la, oh, oh, la la la la. Oh, oh, la la la la la la la la, la la. On the road home, I'm goin' home. Yeah, goin' home, on the road home. On the road home"
almost paradise,"I thought that dreams belonged to other men. 'Cause each time I got close, they'd fall apart again. I feel my heart a-beating in secrecy. I face the nights alone, oh how could I have known?. In all my life I only needed you. Oh, almost paradise. We're knocking on heaven's door. Almost paradise. How could we ask for more?. I swear that I could see forever in your eyes,. Paradise. It seems that perfect love's so hard to find. I'd almost given up, you must have read my mind. And all these dreams I save for a rainy day. They're finally coming true, I'll share them all with you. 'Cause now we hold the future in our hands. Oh, almost paradise. We're knocking on heaven's door. Almost paradise. How could we ask for more?. I swear that I could see forever in your eyes,. Paradise. And in your arms salvation's not so far away. It's getting closer, closer every day. Almost paradise. We're knocking on heaven's door. Almost paradise. How could we ask for more?. I swear that I could see forever in your eyes,. Paradise. Paradise."
i want you so bad,"When the wind blows through your hair. I want you so bad, want you so bad. I see your smile boy everywhere. I want you so bad, want you so bad. I never thought this could happen to me. If I've fallen over you. Would it be so bad, would it be so bad. Every night's an eternity. I want you so bad, want you so bad. I never thought this could happen to me. I want you so bad, bad. When the wind blows through your hair. I want you so bad, want you so bad. Oh I wonder if you're aware. I want you so bad. I wonder if you care. I never thought this would happen to me. I want you so bad, bad. I want you so bad. I want you so bad. I want you so bad."
will you be there (in the morning),"I'm lying beside you just thinking about us. Too tired to go to sleep and too much in love. I know I'm crazy but I can't close my eyes. I'm scared you won't be there in the morning when I rise. Will you be there?. Who do you dream about are you alone in your sleep. To who will you reach out?. Oh, let it be me. Oh baby, you're my obsession, my addiction, my drug. Don't want to be without you when I wake up. Will you be there in the morning,. will you be there when I want you?. Will you be there when I wake up,. Oh I need you to be there in the morning. Will you be there?. Well, you're so close to me but I feel so alone. The more I touch you the more I want. Don't know what to do about me loving you but. I pray to God that you feel it too. You're my obsession, my addiction, my drug,. so let the candle grow into a great fire of love. Will you be there in the morning,. will you be there when I want you?. Will you be there when I wake up?. I need you to be there in the morning!. I wanna love you forever,. Don't want a love that's now or never. Can't you see you got me down on the floor.. I want more MORE!. Will you be there in the morning,. will you be there when I want you?. Will you be there when I wake up?. Will you be there in the morning?. Will you be there?"
sweet darlin',Sweet darlin'. You saved me. I'm hummin'. From the lovin'. You gave me. You went so far. Where my feelings are. Breathing heaven fire. Sweet darlin'. I know you. You stopped running. You knew I had something. To show you. The fever tamed. Like an angel came. Made music of my name. Sweet darlin'. Early that morning we knew I had to fly. Engines were screaming and still I was asking myself why. High on the wind I was feeling my sweet darlin' cry. My heart was breaking. I closed my eyes. Darlin'. Can you hear me. We can't be wrong. The night's song. Pulls you near me. Time just falls. Distance small. I feel you all.
magazine,"Up in the little room, looking down, everybody's passing time. Princess dressed in wool, dreaming eyes, whispering her rhymes. ""Rain play my song today, no one wants to know me anyway"". Perfect lover where are you?. I can't wait much more for you to come true. Shining prince inside my head,. Live inside a palace underneath my bed. And everybody knows who they are in a velvet garden of rhinestone stars. Shine down on me satin queen, overlords of insane scenes. They go dancing cross the pages of the magazine. Typewriter steel and gray, work away, everybody's going home. Over across town, caught in a crowd, still living alone. Little room for her out of the rain. A little something for the pain. Lady-in-waiting potentially for the lord of the rock 'n roll aristocracy. Dreaming in photographs at night, love's like sand held in your hand so tight. And everybody know who they are in a velvet garden of rhinestone stars. Shine down on me satin queen, overlords of insane scenes. They go dancing cross the pages of the magazine. Everyday's like the day before. Come in tired and lock the door. Paint your space with magic hands. Shining slick and dandy. Shining slick and dandy. Smile at your fans. ""C'mon pretty boy sing for us take me"". Take me over the edge. I know you're good enough. And everybody knows who they are in a velvet garden of rhinestone stars. Shine down on me satin queen, overlords of insane scenes."
all eyes,"Hey hot shot boy. Hand on your hip. You're wasting your time. Giving me lip. When you look at me. It melts my legs. And wraps me around your fingertips. You don't have to say a word. To get a hold of me. Take me, shake me. Burning gravity baby. Look at me, look at me. You're all eyes - all eyes. Touching me in the night. You're all eyes - and those eyes. Are tearing me up inside. We go walking you and I. If some woman turns your eye. I pull you back in my direction. To keep you by my side. You don't have to go anywhere. To get where you should be. You don't have to look around. Just you look at me. Look at me. Look at me. You're all eyes - all eyes. Touching me in the night. You're all eyes - and those eyes. Are tearing me up inside - 4x"
crazy on you,"We may still have time. We might still get by. Every time I think about it I want to cry. With the bombs and the devils. And the kids keep coming. Nowhere to breathe easy...no time to be young. But I tell myself that I'm doing alright. There's nothing left to do tonight but go crazy on you. My love is the evening breeze touching your skin. The gentle sweet singing of leaves in the wind. The whisper that calls, after you in the night. And kisses your ear in the early light. You don't need to wonder, you're doing fine. And my love, the pleasure's mine. Let me go crazy on you. Wild man's world is crying in pain. what you gonna do when everyone is insane. so afraid of wanting, so afraid of you. what you gonna do....ahhhhhhhhhh. crazy on you, crazy on you, let me go crazy crazy on you. I was a willow last night in my dream. I bent down over a clear running stream. I sang you the song that I heard up above. And you keep me alive with your sweet, flowing love."
never,"Whoa whoa whoa whoa.. Whoa whoa whoa whoa.. Hey baby I'm talkin to you. Stop yourself and listen. Some things you can never ever do. Even if you try, yeah. You're banging your head again. Cause somebody won't let you in. One chance, one love, your chance to let me know. . We can't go on just running away. If we stay any longer we will surely Never get away.. Whoa, anything you want we can make it happen. Stand up and turn around Never let them shoot us down. Never!. Never!. Never!. Never run away.. Hey baby you know it's true, why you bother lying. When you know that, that you want it to. Don't you dare deny me. Now walk those legs right over here. Give me what I'm dying for.. One chance, one love, hold me now never let me go.. . Hey baby I'm talkin to you. Stop yourself and listen. Some things you can never ever do. Even if you try yeah. You're banging your head again. Cause somebody won't let you in.. One chance, one love. Hold me down, never let me go. (Chorus). Never! (No never). Never! (No). We cant go on.. Never!. We can't go on.. Never!. Whoa"
lost angel,As it was before shall it ever ever be. Hear it on the crying wind. Hear it weeping on the sea. Through the winter valley wild and through the darkest night. Here comes the evil news of the coming fight. So love bring your birds bring your feathers of peace. All through the storm let the tides release. Love bring your birds bring your feathers of peace. All through the storm let the tides release. Come on down Lost Angel find us now. From the clouds above right down to the ground. Lost Angel come on down. Stardust yeah yeah we are and the willow is pushed to bend. Too much too much of man. And stardust we will be again. Oh love bring your birds bring your feathers of peace. All through the storm let the tides release. Love bring your birds bring your feathers of peace. All through the storm let the tides release
perfect stranger,"Stranger are you waiting. For someone to come down and love you in time. Stranger you're debating. Can you get the words in your head. And you're heart to rhyme. Feel like a perfect stranger. You been gone so long. It's come down to feeling. And you're feeling wrong. I know how you want to, you're a hero. Under the stars you are wild. Well, come on, I want you I'm telling you. You're only a stranger a little while. Feel like a perfect stranger, you been gone so long. But you still know how to make it baby. You got to make it strong. It just got too heavy to carry. It all came down. But you're still alive, you're still seething. Just in time, you found your time. And your timimg is perfect stranger. What it gets down to, you, you, it's you baby. Only you. Only you. Your timing is perfect stranger. You been gone too long. But it's your time to make baby."
(beat by) jealousy,"Who was with you - where you been?. Baby it can't be this again. I can't cool it 'cos I can't win it with you. Words like punches - things we said. Under the belt and in the head. Down for the count in a cold cold bed. Beat by jealousy. Jealousy - jealousy. Stanglehold - love can't breathe. Let me be - set me free. Jealousy. You won't hear what I imply. What you say - I won't buy. You deny but you lie. Jealousy. Jealousy - jealousy. Stanglehold - love can't breathe. Let me be - set me free. Jealousy. Down suspicious - torn in doubt. Dirty vicious - knock me out. Danger, danger - stakes are high. Hook the blow between the eyes. Every round - we lose more ground. Jealousy. Jealousy - jealousy. Stanglehold - love can't breathe. Let me be - set me free."
(love me like music) i'll be your song,These have been quiet days. when was the last time I wanted to sing. last few dying days hanging on - what will they bring?. Even you and me. we keep coming apart. and it's a wrong thing. We goota look right at each other and say it. turn on the radio and play it. and fall in love again. Can you feel the light shine. You now this song's yours and mine. ain't it good to know you've got a place to go. where the melody's fine. Sometimes I'm not so strong. and even now I could be wrong. but if you love me like music. I'll be your song. Lately the day's been grey. and time's been hard. man up in town putting everybody down. watch him play his card. when you get free come on home to me. I'm gonna lay it down. We got love - we've got to feel it and show it. make each other really know it. and fall in love again. we've got to be friends.
(up on) cherry blossom road,"Up on Cherry Blossom Road.. Now the summer's come and gone.. Feel September coming on.. You're still burning on my skin, Lord. I want those sweet rain drops to begin.. Cool this fever and keep me home.. Up on cherry blossom road.. You're as means as I am good.. And I'd stop coming if I could.. You laugh at all my schoolgirl fears. And you tell me when you want me little girl.. I'll be here, I trade my body for my soul.. Up on cherry blossom road.. So blow cool wind.. Take me back to his door.. He'll take me in.. I walk away a woman (walk away). I walk away a woman (walk away). Walk away, walk away, walk away.. In my virgin bed alone.. Like a hostage to the phone.. I know that he ain't far away.. And I know that Lord.. He don't feel this kind of pain.. I hate him and I want him.. So, up on cherry blossom road.. So, blow cool wind.. Take me back to his door.. He'll take me in.. I walk away a woman (walk away). I walk away a woman (walk away). Walk away, Walk away, Walk away."
all eyes,"Hey hot shot boy. Hand on your hip. You're wasting your time. Giving me lip. When you look at me. It melts my legs. And wraps me around your fingertips. You don't have to say a word. To get a hold of me. Take me, shake me. Burning gravity baby. Look at me, look at me. You're all eyes - all eyes. Touching me in the night. You're all eyes - and those eyes. Are tearing me up inside. We go walking you and I. If some woman turns your eye. I pull you back in my direction. To keep you by my side. You don't have to go anywhere. To get where you should be. You don't have to look around. Just you look at me. Look at me. Look at me. You're all eyes - all eyes. Touching me in the night. You're all eyes - and those eyes. Are tearing me up inside - 4x"
all i wanna do is make love to you,"It was a rainy night when he came into sight. Standing by the road, no umbrella, no coat. So I pulled up along side and I offered him a ride. He accepted with a smile so we drove for a while. I didn't ask him his name, this lonely boy in the rain. Fate tell me it's right. is this love at first sight. Please don't make it wrong, just stay for the night. All I wanna do is make love to you. Say you will you want me too. All I wanna do is make love to you. I've got lovin' arms to hold on to. So we found this hotel. it was a place I knew well. We made magic that night. Oh, he did everything right. He brought the woman out of me, so many times, easily. And in the morning when he woke. all I left him was a note. I told him I am the flower you are the seed. We walked in the garden we planted a tree. Don't try to find me, please don't you dare. Just live in my memory, you'll always be there. All I wanna do is make love to you. One night of love was all we knew. All I wanna do is make love to you. I've got lovin' arms to hold on to. Oh, ooh, we made love. Love like strangers. All night long. We made love. Then it happened one day, we came round the same way. You can imagine his surprise. when he saw his own eyes. I said please, please understand. I'm in love with another man. And what he couldn't give me. Ohh, oh, oh was the one little thing that you can. All I wanna do is make love to you. One night of love was all we knew. All I want to do is make love to you. Come on, say you will, you want me too. All I wanna do is make love to you. One night of love was all we knew. All I want to do is make love to you. Say you will baby, you want me too. All night long. All I wanna do. All I wanna do. All I wanna do. All I wanna do. All I wanna do is make love to you. One night of love was all we knew"
allies,"In troubled times. It's hard to get straight answers. Between the lines. That border wrong or right. The homeland cries. It struggles with confusion. But this feelin' still remains. Like shelter from the rain. We live of faith. In the hands of those who guide us. And tear the page. On the fear we left behind. We set the pace. For every born survivor. Don't turn the other way. When I need to hear you say. Allies with our backs against the wall. I will answer when you call. And take on the odds. For what we believe is true. Allies in a world of too much choice. I only need your voice. To tell me you care. I'll be anywhere for you, allies. We search our hearts. To justify the reason. And draw the line. To meet somewhere halfway. If faith is blind. Through darkness it will guide us. 'Cause the spirit still remains. With the keepers of the flame. Allies with our backs against the wall. I will answer when you call. And take on the odds. For what we believe is true. Allies in a world of too much choice. I only need your voice. To tell me you care. I'll be anywhere for you, allies. Allies with our backs against the wall. I will answer when you call. And take on the odds. For what we believe is true. Allies in a world of too much choice. I only need your voice. To tell me you care"
almost paradise,"I thought that dreams belonged to other men. 'Cause each time I got close, they'd fall apart again. I feel my heart a-beating in secrecy. I face the nights alone, oh how could I have known?. In all my life I only needed you. Oh, almost paradise. We're knocking on heaven's door. Almost paradise. How could we ask for more?. I swear that I could see forever in your eyes,. Paradise. It seems that perfect love's so hard to find. I'd almost given up, you must have read my mind. And all these dreams I save for a rainy day. They're finally coming true, I'll share them all with you. 'Cause now we hold the future in our hands. Oh, almost paradise. We're knocking on heaven's door. Almost paradise. How could we ask for more?. I swear that I could see forever in your eyes,. Paradise. And in your arms salvation's not so far away. It's getting closer, closer every day. Almost paradise. We're knocking on heaven's door. Almost paradise. How could we ask for more?. I swear that I could see forever in your eyes,. Paradise. Paradise."
alone,"I hear the ticking of the clock. I'm lying here the room's pitch dark. I wonder where you are tonight. No answer on the telephone. And the night goes by so very slow. Oh I hope that it won't end though. Alone. Chorus:. Till now I always got by on my own. I never really cared until I met you. And now it chills me to the bone. How do I get you alone. How do I get you alone. You don't know how long I have wanted. To touch your lips and hold you tight. You don't know how long I have waited. And I was gonna tell you tonight. But the secret is still my own. And my love for you is still unknown. Alone. Chorus. Till now I always got by on my own. I never really cared until I met you. And now it chills me to the bone. How do I get you alone. How do I get you alone. How do I get you alone. How do I get you alone. Alone, alone"
ambush,You're distant honey - Mr. Cool. You lock up your feelings - nobody's fool. You're facing the world. With your fist clenched tight. Tough guy - tough guy facing the fight. Don't forget to remember. She's coming up in back. Even you surrender. Surrender to her sweet attack. Ambush - ambush come from behind. Ambush - ambush capture your mind. Ambush - ambush I'm in disguise. Ambush - ambush take you by surprise. When you don't expect it. That's when she appear. Whisper your fancy - licking your ear. Put her arms around you - give a little squeeze. One little taste bring you to your knees. The way she touch - is almost too much. When she lay - lay that claim. You beg - begging her name. Ambush - ambush come from behind. Ambush - ambush capture your mind. Ambush - ambush I'm in disguise. Ambush - ambush take you by surprise. I'm telling you right up front. You're the prisoner. She do what she want. Ambush - ambush come from behind. Ambush - ambush capture your mind. Ambush - ambush I'm in disguise. Ambush - ambush take you by surprise. Ambush - ambush I'm in disguise.
america,"My daddy told me about the old glory days. But I made up my mind about Daddy's ways. We followed King to Atlanta and got the slaves all free. And the ladies come out from behind the fans of gentry. America. America. How you've broken free. America. America. Was your destiny. I was at Daddy's bedside the night that he went. He whispered real sad ""the south won't rise again"". They've all gone to Chicago to lose the slow accent. Leaving me behind wondering where we went. America. America. Are you losing your mind. America. America."
