how you love me now,"You were talking to her. But messing with me. It's finally clear. You're blurring the lines. Are you disturbed?. Oh, now you care. Why do you race through my red lights?. Can't understand I'll slow it down for you. Tell me how can you sleep?. How can you breathe?. Baby tell me how. How you love me now. Tell me how can you sleep?. How can you breathe?. I hate when you say. How you love me now. Save Save it for her I'm not gonna hear. Your reasons and ?please-just-take-me-backs?. We never were right. Don't waste your breath. You crashed and you're on your own tonight. Can't understand I'll slow it down for you. Tell me how can you sleep?. How can you breathe?. Baby tell me how. How you love me now. Tell me how can you sleep?. How can you breathe?. I hate when you say. How you love me now. Lights out I found out. My falling star Goodbye. The sun rises here. There's no more you and I. Tell me how can you sleep?. How can you breathe?. Baby tell me how. How you love me now. Tell me how can you sleep?. How can you breathe?. I hate when you say. How you love me now. How you love me now. How you love me now"
wish you were here,"Oh-Oh-Oh Oh. Oh-Oh-Oh Oh. Here's my heart and a postcard, darling. Just one step from the edge. Sink below and it's so hard, darling. You're next to me in my head. But it's too late, too late to call. Are you out there?. Too late, too much to say. Wish you were here, wish you well. If you only share this hell. But you leave and stay. Don't love, don't leave. I wish you,I wish you were here. I wish you,I wish you were here. Oh-Oh-Oh Oh. Oh-Oh-Oh Oh. Here's my hollywood ending calling. Every day fades to black. Sick and tired of pretending, darling. That you'll ever come back. But it's too late, too late to call. Are you out there?. Too late, too much to say. Wish you were here, wish you well. If you only share this hell. But you leave and stay. Don't love, don't leave. I wish you,I wish you were here. I wish you,I wish you were here. Tell me something,. Talk me down, down, oh yeah. I'm broken, I'm frozen up. Wish you were here, wish you well. If you only share this hell. But you leave and stay. Don't love, don't leave. Wish you were here, wish you well. If you only share this hell. But you leave and stay. Don't love, don't leave. I wish you, I wish you were here. I wish you, I wish you were here. Oh-Oh-Oh Oh. Oh-Oh-Oh Oh"
6 months,"You're the direction I follow. To get home. When I feel like I can't go on. You tell me to go. And it's like I can't feel a thing. Without you around. And don't mind me if I get weak in the knees. Cause you have that effect on me. You do. Everything you say. Everytime we kiss I can't think straight. But I'm ok. And I can't think of anybody else. Who I hate to miss as much as I hate missing you. Months are going strong now, and all goodbye. Unconditional, unoriginal, always by my side. Meant to be together, meant for no one but each other. You love me, I love you harder, so. Everything you say. Everytime we kiss I can't think straight. But I'm ok. And I can't think of anybody else. Who I hate to miss as much as I hate missing you. So please, give me your hand. So please, give me your lesson on how to steal. Steal a heart, as fast as you stole mine. As you stole mine. Everything you say. Everytime we kiss I can't think straight. But I'm ok. And I can't think of anybody else. Who I hate to miss as much as I hate missing you. So please, give me your hand. So please, just take my hand. (retirada da comunidade do Hey Monday)"
candles,"The power lines went out. And I am all alone. But I don't really care at all. Not answering my phone. All the games you played. The promises you made. Couldn't finish what you started. Only darkness still remains. Lost sight. Couldn't see. When it was you and me. Blow the candles out. Looks like a solo tonight. I'm beginning to see the light. Blow the candles out. Looks like a solo tonight. But I think I'll be alright. Been black and blue before. There's no need to explain. I am not the jaded kind. Playback's such a waste. You're invisible. Invisible to me. My wish is coming true. Erase the memory of your face. Lost sight. Couldn't see. When it was you and me. Blow the candles out. Looks like a solo tonight. I'm beginning to see the light. Blow the candles out. Looks like a solo tonight. But I think I'll be alright. One day you will wake up. With nothing but ""your sorries"". And someday you will get back. Everything you gave me. Blow the candles out. Looks like a solo tonight. I'm beginning to see the light. Blow the candles out. Looks like a solo tonight. But I think I'll be alright"
josey,"The drinks are flowing, just like the river. Then she keeps going. The whole night ends with a blur. She's got no limit. She thinks she's so tough. Can't walk a straight line. At the end of the night she's rough. Her dress whispers reckless. That night starts now as she slips on her necklace. Josey, don't you worry. It's just a phase you're going through. Some day you'll know just what to do. Josey, it's alright. Slap the hand that just keeps pouring. It doesn't matter, just do something. She's ready to roll, tonight is different. She'll start it off slow to keep herself in check. Oh no, oh no: it's two for one. She starts the show. And now from this moment on, she's done. Her dress whispers reckless. That night starts now as she slips on her necklace. Josey, don't you worry. It's just a phase you're going through. Some day you'll know just what to do. Josey, it's alright. Slap the hand that just keeps pouring. It doesn't matter, just do something. The party is tonight and she thinks they're playing her song. The party is tonight and it's playing all night long. Josey, don't you worry. It's just a phase you're going through. Some day you'll know just what to do. Josey, it's alright. Slap the hand that just keeps pouring. It doesn't matter, just do something."
i don't wanna dance,"(Oh oh oh oh whoa). Take me home.... You, you hit me with a break. And now you're back for more. Your song's the same. Leave me with all the blame. I don't have time for another game. I don't wanna dance. So don't you ask me, babe. I don't wanna dance. You blew your chance. To rock my night away. I want some fun. But you're so, not the one. I don't wanna dance. So let it go. You'll never take me home. Take me home.... Take me home.... Talk to me without a sound. 'Cause you were such a tool. Who's sorry now?. You, you're shaking on the floor. Watch me walking out the door. I don't wanna dance. So don't you ask me, babe. I don't wanna dance. You blew your chance. To rock my night away. I want some fun. But you're so, not the one. I don't wanna dance. So let it go. You'll never take me home. Take me home.... Take me home.... Don't tell the DJ to hit rewind. Tonight, there's no you and me. Don't play that record. Don't waste... your time. You, you threw it all away. I don't wanna dance. So don't you ask me, babe. I don't wanna dance. You blew your chance. To rock my night away. I want some fun. But you're so not the one. I don't wanna dance. So let it go. You'll never take me home. Take me home.... (I don't wanna dance, I don't wanna dance, bust a. move or clap my hands). Take me home.... (I don't wanna dance, I don't wanna dance, bust a. move or clap my hands). Take me home.... (I don't wanna dance, I don't wanna dance, bust a. move or clap my hands). Take me home.... (Take me home...)"
6 months,"You're the direction I follow. To get home. When I feel like I can't go on. You tell me to go. And it's like I can't feel a thing. Without you around. And don't mind me if I get weak in the knees. Cause you have that effect on me. You do. Everything you say. Everytime we kiss I can't think straight. But I'm ok. And I can't think of anybody else. Who I hate to miss as much as I hate missing you. Months are going strong now, and all goodbye. Unconditional, unoriginal, always by my side. Meant to be together, meant for no one but each other. You love me, I love you harder, so. Everything you say. Everytime we kiss I can't think straight. But I'm ok. And I can't think of anybody else. Who I hate to miss as much as I hate missing you. So please, give me your hand. So please, give me your lesson on how to steal. Steal a heart, as fast as you stole mine. As you stole mine. Everything you say. Everytime we kiss I can't think straight. But I'm ok. And I can't think of anybody else. Who I hate to miss as much as I hate missing you. So please, give me your hand. So please, just take my hand. (retirada da comunidade do Hey Monday)"
arizona,"It took two days. For me to figure out. This isn't working out. But I lost my way. I drove all night. Just to be with you. But you weren't worth the view. I gotta hit the brakes. Now you know. Get up and go. Arizona, Arizona. Come back on highway. Now you're burning out of sight. On the road. Arizona, Arizona. Is a million miles from Florida. Now you're history. I'm stranded. Get me out. I'm going home. Deep in your soul. Lies a lonely heart. That only ever pumps. For you alone. And I can't relate. So I gotta leave you here. I can breathe without you, dear. Just start walking away. Now you know. Get up and go. Arizona, Arizona. Come back on highway. Now you're burning out of sight. On the road. Arizona, Arizona. Is a million miles from Florida. Now you're history. I'm stranded. Get me out. I'm going home. Tell me, how does that feel?. With a ?. I'll be screaming at you. Tell me, how does that feel. To see me really saying goodbye?. Took two days. For me to figure out. This isn't working out. I gotta hit the brakes. Arizona, Arizona. Come back on highway. Now you're burning out of sight. On the road. Arizona, Arizona. Is a million miles from Florida. Now you're history. I'm stranded. Get me out. I'm going home (x2)"
candles,"The power lines went out. And I am all alone. But I don't really care at all. Not answering my phone. All the games you played. The promises you made. Couldn't finish what you started. Only darkness still remains. Lost sight. Couldn't see. When it was you and me. Blow the candles out. Looks like a solo tonight. I'm beginning to see the light. Blow the candles out. Looks like a solo tonight. But I think I'll be alright. Been black and blue before. There's no need to explain. I am not the jaded kind. Playback's such a waste. You're invisible. Invisible to me. My wish is coming true. Erase the memory of your face. Lost sight. Couldn't see. When it was you and me. Blow the candles out. Looks like a solo tonight. I'm beginning to see the light. Blow the candles out. Looks like a solo tonight. But I think I'll be alright. One day you will wake up. With nothing but ""your sorries"". And someday you will get back. Everything you gave me. Blow the candles out. Looks like a solo tonight. I'm beginning to see the light. Blow the candles out. Looks like a solo tonight. But I think I'll be alright"
fall into me,"I was looking through the chair, you were looking through the mirror. Never met eyes, no i've never seen clearer than now. There's no way out. I'm tingling in places I didin't know existed. How are things right and also twisted?. How can we work this out?. Somehow everything in me is changing. In the most amazing kind of way. Every single breath you take away. Gives me more life than before. We could be the perfect masterpiece. Baby, bring me in and fall into me. Whenever you are near, I feel like we could do anything. And I think we shoud now. We'll take the town. Your eyes tell me something, afraid to misread. What if I'm wrong, what if you mislead me?. Still it's worth the thrill. Somehow everything in me is aching. Just to hear your gentle voice again. Every single breath you take away. Gives me more life than before. We could be the perfect masterpiece. Baby, bring me in.... Thing's aren't simple anymore. Can't jump in until you know. But I think that I just might. Close my eyes and hold on tight. To every single breath. Every single breath. Every single breath you take away. Gives me more life than before. We could be the perfect masterpiece. Baby, bring me in. Every single breath you take away. Gives me more life than before. We could be the perfect masterpiece. Baby, bring me in and fall into me"
