wicked game,"The world was on fire,. no-one could save me but you. It's strange what desire will make. foolish people do. I'd never dreamed that I'd need. somebody like you. And I'd never dreamed that I'd knew. somebody like you. No I don't wanna fall in love. this world is always gonna break your heart. No I don't wanna fall in love. this world is always gonna break your heart. ..with you. What a wicked game to play. To make me feel this way. What a wicked thing to do. To let me dream of you. What a wicked thing to say. You never felt this way. What a wicked thing you do. To make me dream of you. No I wanna fall in love. this world is always gonna break your heart. No I wanna fall in love. this world is always gonna break your heart. ..with you. The world was on fire,. no-one could save me but you. It's strange what desire will make. foolish people do. No and I never dreamed that I'd love. somebody like you. I'll never dream that I lose. somebody like you, no. Now I wanna fall in love. This world is always gonna break your heart. Now I wanna fall in love. This world is always gonna break your heart. ..with you. Nobody loves no-one"
join me in death,Baby join me in death. Baby join me in death. Baby join me in death. We are so young. our lives have just begun. but already we're considering. escape from this world. and we've waited for so long. for this moment to come. was so anxious to be together. together in death. Won't you die tonight for love. Baby join me in death. Won't you die. Baby join me in death. Won't you die tonight for love. Baby join me in death. This world is a cruel place. and we're here only to lose. so before life tears us apart let. death bless me with you. Won't you die tonight for love. Baby join me in death. Won't you die. Baby join me in death. Won't you die tonight for love. Baby join me in death. Baby join me in death. this life ain't worth living. this life ain't worth living. this life ain't worth living. this life ain't worth living. Won't you die tonight for love. Baby join me in death. Won't you die. Baby join me in death. Won't you die tonight for love. Baby join me in death. Baby join me in death
funeral of hearts,"Love's the funeral of hearts. And anode for cruelty. When angels cry blood. On flowers of evil in bloom. The funeral of hearts. And a plea for mercy. When love is a gun. Separating me from you. She was the sun. Shining upon. The tomb of your hopes and dreams so frail. He was the moon. Painting you. With it's glow so vulnerable and pale. Love's the funeral of hearts. And ode for cruelty. When angels cry blood. On flowers of evil in bloom. The funeral of hearts. And a plea for mercy. When love is a gun. Separating me from you. She was the wind, carrying in. All the troubles and fears you've for years tried to forget. He was the fire, restless and wild. And you were like a moth to that flame. The heretic seal beyond divine. A prayer to a god who's deaf and blind. The last rites for souls on fire. Three little words and a question why. Love's the funeral of hearts. And ode for cruelty. When angels cry blood. On flowers of evil in bloom. The funeral of hearts. And a plea for mercy. When love is a gun. Separating me from you"
buried alive by love,"Again the burden of losing rests upon my shoulders. And its weight seems unbearable. Your tomb is where your heart is. I should have told her. But within me hid a secret so terrible. To cry is to know that you're alive. But my river of tears has run dry. I never wanted to fool you, no. But a cold heart is a dead heart. And it feels like I've been buried alive by love. If I should die before I wake. Pray no one my soul to take. And if I wake before I die. Rescue me with your smile. If I should die before I wake. Pray no one my soul to take. And if I wake before I die. Rescue me with your smile... yeah. The kiss of vanity blessed me with a spiritual murder. Fed the gods of war insatiable. Your home is where the dark is. I should have told her. Embrace the fire indestructible. To die is to know that you're alive. And my river of blood won't run dry. I never wanted to lose you, no. But a cold heart is a dead heart. And it feels like I've been buried alive by love. If I should die before I wake. Pray no one my soul to take. And if I wake before I die. Rescue me with your smile. If I should die before I wake. Pray no one my soul to take. And if I wake before I die. Rescue me with your smile. Oh they say. To cry is to know that you're alive. But my river of tears has run dry. I never wanted to fool you, no. But a cold heart is a dead heart. And a deserted soul is gone. A cold heart is a dead heart. And it feels like I've been buried alive by love. If I should die before I wake. Pray no one my soul to take. And if I wake before I die. Rescue me with your smile. If I should die before I wake. Pray no one my soul to take. And if I wake before I die. Rescue me with your smile. I've been buried alive by love. I've been buried alive by love. I've been buried alive by love... yeah. I've been buried alive by love. I've been buried alive by love. I've been buried alive by love... yeah"
your sweet six six six,"There are things you should know. The distance between us seems to grow. But you're holding on strong. Oh how hard it's to let go, oh so hard to let go. I'm waiting for your call. And I'm ready to take your six six six in my heart. I'm longing for your touch. And I welcome your sweet six six six in my heart. I'm losing my faith in you. You don't want it to be true. But there's nothing you can do. There's nothing you can do. Yes, I've lost my faith in you. I'm waiting for your call. And I'm ready to take your six six six in my heart. I'm longing for your touch. And I welcome your sweet six six six in my heart. How long we have to wait. For love is fading so slowly. I know it's too late. Oh, my god you're so lonely. I'm waiting for your call. And I'm ready to take your six six six in my heart. I'm longing for your touch. And I welcome your sweet six six six in my heart. I'm ready for the fall. And I'm ready to take your six six six in my heart. I'm longing for your touch. And I welcome your sweet six six six in my heart. In my heart. In my heart. In my heart"
in joy and sorrow,Oh girl we are the same. We are young and lost and so afraid. There´s no cure for the pain. No shelter from the rain. All our prayers seem to fail. In joy and sorrow my home's in your arms. In a world so hollow. It is breaking my heart. In joy and sorrow my home's in your arms. In a world so hollow. It is breaking my heart. Oh girl we are the same. We are strong and blessed and so brave. With souls to be saved. And faith regained. All our tears wipe away. In joy and sorrow my home's in your arms. In a world so hollow. It is breaking my heart. In joy and sorrow my home's in your arms. In a world so hollow. It is breaking my heart. In joy and sorrow my home's in your arms. In a world so hollow. It is breaking my heart. In joy and sorrow my home's in your arms. In a world so hollow. It is breaking my heart. And my home's in your arms. And it is breaking my heart. My home's in your arms. And it is breaking my heart.
right here in my arms,"She's smiling like heaven is down on earth. Her sun is shining so bright on her. All her wishes have finally come true. Her heart is weeping. Happiness is killing her.. It's right, she's in love. She'll be right here in my arms. So in Love. She'll be right here in these arms. She can't let go. So hard she's trying. But her heart won't turn to stone...oh no. She keeps on crying. But I won't leave her alone. She'll never be alone. She'll be right here in my arms. So in Love. She'll be right here in these arms. She can't let go"
gone with the sin,"I love your skin oh so white. I love your touch cold as ice. And I love every single tear you cry. I just love the way you're losing your life. Oh, my Baby, how beautiful you are. Oh, my Darling, completely torn apart. You're gone with the sin my baby. and beautiful you are. So gone with the sin my darling. I adore the despair in your eyes. I worship your lips once red as wine. And I crave for your scent sending shivers down my spine. I just love the way you're running out of life. Oh,my Baby how beautiful you are. Oh,my Darling completely torn apart. You're gone with the sin my baby. and beautiful you are. So gone with the sin my darling. (solo). Oh,my Baby how beautiful you are. Oh,my Darling completely torn apart. You're gone with the sin my baby. and beatuful you are. So gone with the sin my darling"
the sacrament,"I hear you breathe so far from me. I feel your touch so close and real. And I know. My church is not of silver and gold,. Its glory lies beyond judgment of souls. The commandments are of consolation and warmth. You know our sacred dream won't fail. The sanctuary tender and so frail. The sacrament of love. The sacrament of warmth is true. The sacrament is you. I hear you weep so far from here. I taste your tears like you're next to me. And I know. My weak prayers are not enough to heal. The ancient wounds so deep and so dear. The revelation is of hatred and fear. You know our sacred dream won't fail. The sanctuary tender and so frail. The sacrament of love. The sacrament of warmth is true. The sacrament is you. The sacrament is you. The sacrament is you. The sacrament is you. The sacrament is you. You know our sacred dream won't fail. The sanctuary tender and so frail. The sacrament of love. The sacrament of warmth is true. The sacrament is you. You know our sacred dream won't fail. The sanctuary tender and so frail. The sacrament of love. The sacrament of warmth is true. The sacrament is you"
please don't let it go,"We're drifting apart,. But I want you to know. Wherever you are I belong. Love's singing us a song. But we fail to sing along. Wherever you go I will follow. So please don't let it. Please don't let it go. Cause if you won't let it I won't let it go. So please don't let it. Please don't let it go. Cause if you won't let it I won't let it go. You try to be strong. But you're always so alone. Whatever I do I do it wrong. Death sings our song. And we eagarly sing along. Whatever you do I adore. So please don't let it. Please don't let it go. Cause if you won't let it I won't let it go. So please don't let it. Please don't let it go. Cause if you won't let it I won't let it go. Don't let go of life. Let go of love. Let go of all we have. Don't let go of trust. Let go of lust. Let go of all we share. So please don't let it. Please don't let it go. Cause if you won't let it I won't let it go. Please don't let it. Please don't let it go. And if you won't let it I won't let it go. So please don't let it. Please don't let it go. Cause if you won't let it I won't let it go. Please don't let it. Please don't let it go. Cause if you won't let it I won't let it go."
