lips of an angel,"Honey why you callin' me so late?. It's kinda hard to talk right now. Honey why you cryin'?. Is everything ok?. I gotta whisper cause I can't be too loud. Well, my girl's in the next room. Sometimes I wish she was you. I guess we never really moved on. It's really good hear your voice. Sayin' my name. It sounds so sweet. Comin' from the lips of an angel. Hearin those words. It makes me weak. And I. Never want to say goodbye. But girl you make it hard to be faithful. With the lips of an angel. It's funny that you're callin' me tonight. And yes I dreamt of you too. Does he know you're talkin' to me?. Will it start a fight?. No, I don't think she has a clue. Well, my girl's in the next room. Sometimes I wish she was you. I guess we never really moved on. It's really good to hear your voice. Sayin' my name. It's sounds so sweet. Comin' from the lips of an angel. Hearin those words. It makes me weak. And I. Never want to say goodbye. But girl you make it hard to be faithful. With the lips of an angel. It's really good to hear your voice. Sayin' my name. it sounds so sweet. Comin' from the lips of an angel. Hearin those words. It makes me weak. And I. Never want to say goodbye. But girl you make it hard to be faithful. With the lips of an angel. Never want to say goodbye. But girl you make it hard to be faithful. With the lips of an angel. Honey why you callin me so late?"
better than me,I think you can do much better than me. After all the lies that I made you believe. Guilt kicks in and I start to see. The edge of the bed. Where your nightgown used to be. I told myself I wouldn't miss you. But I remembered. What it feels like beside you. I really miss your hair in my face. And the way your innocence tastes. And I think you should know this. You deserve much better than me. While looking through your old box of notes. I found those pictures. That you were looking for. If there's one memory I don't want to lose. That time at the mall. You and me in the dressing room. I told myself I won't miss you. But I remembered. What it feels like beside you. I really miss your hair in my face. And the way your innocence tastes. And I think you should know this. You deserve much better than me. The bed I'm lying in is getting colder. Wish I never would've said it's over. And I can't pretend that I won't think about you any longer. Cause we never really had a closure. This can't be the end. I really miss your hair in my face. And the way your innocence tastes. And I think you should know this. You deserve much better than me. I really miss your hair in my face. And the way your innocence tastes. And I think you should know this. You deserve much better than me. (And I think you should know this). (You deserve much better than me)
without you,"I just wanna be alone tonight. I just wanna take a little breather. 'Cause lately all we do is fight. And every time it cuts me deeper. Cause something's changed. You've been acting so strange. And it's taken it's toll on me. It's safe to say that I'm ready to let you leave. chorus:. Without you I live it up a little more every day. Without you I'm seeing myself so differently. I didn't wanna believe it then. But it all worked out in the end. When I watched you walk away. Well, I never thought I would say. I'm fine without you. Called you up 'cause it's been long enough. And you said that you were so much better. We have done a lot of growing up. We were never meant to be together. Cause something's changed. You were acting so strange. And it's taken it's toll on me. It's safe to say that I'm ready to let you leave. chorus:. Without you I live it up a little more every day. Without you I'm seeing myself so differently. I didn't wanna believe it then. But it all worked out in the end. When I watched you walk away. Well, I never thought I would say. I'm fine without you. Cause something's changed. You were acting so strange. And it's taken it's thorn on me. It's safe to say that I'm ready to let you leave. chorus"
get stoned,Just hear me out. If it's not perfect I'll perfect it till my heart. explodes. I highly doubt. I can make it through another of your episodes. Lashing out. One of the petty moves you pull before you lose. control. You wear me out. But it's all right now. Lets go home and get stoned. We could end up makin love instead of misery. Go home and get stoned. Cause the sex is so much better when you're mad at me. You wear me out (We could end up making love instead. of misery). But it's all right now. Without a doubt. The break up is worth the make up sex you're givin me. Lets hash it out. Cause your bitchin and your yellin don't mean anything. Don't count me out. I can handle all the baggage that you're carrying. You wear me out. But it's all right now. Let's go home and get stoned. We could end up makin love instead of misery. Go home and get stoned. Cause the sex is so much better when you're mad at me. You wear me out (We could end up makin love instead of misery). But it's alright now. Lets go home and get stoned. We could end up makin love instead of misery. Go home and get stoned. Cause the sex is so much better when you're mad at me. Go home and get stoned. We could end up making love instead of misery. Go home and get stoned. Cause the sex is so much better when you're mad at me. You wear me out. (We could end up makin love instead of misery). But it's all right now. (Cause the sex is so much better when you're mad at me). Lets go home and get stoned. Lets go home and get stoned. Lets go home and get stoned. Lets go home and get stoned
by the way,"In the winding hours,. I let your heart down again,. (What did I do to make a scene so gory?). (Im no better than the ones before me). Old habits die hard. I always end up hating the end. (What did I do to make a scene so gory?). (I'm no better than the ones before me). I'm in the middle of a break down,. watching you scream,. In the middle of a break down,. screaming at me,. and by the way,. by the way,. what made you think you'd have it your way,. and by the way,. by the way,. don't say I didn't warn you,. that I'll always stay the same,. speechless and frozen,. uncomfortable silence again. (What did I do to make a scene so gory?). (I'm no better than the ones before me). I'm in the middle of a break down,. watching you scream,. In the middle of a break down,. screaming at me,. and by the way,. by the way,. what made you think youd have it your way,. and by the way,. by the way,. dont say I didnt warn you,. that I'll always stay the same,. Battered and bruised,. broken confused,. It's time we both knew,. can't stop what I started,. this time we both lose,. lose,. and by the way,. by the way,. what made you think you'd have it your way,. and by the way,. by the way,. dont say I didnt warn you,. that I'll always stay the same,. The same, the same,. I'll always stay the same,. (battered and bruised). The same, (broken confused) the same,. I didn't warn that I'll always stay the same"
the life,I'm leaving tonight down the same dirt road. A million times I've driven just to get home. And I ain't ever looking back for nothing. Headed for the coast looking for the high life. Everybody knows it's nothing but a good time. And I sold everything I had for something I can't seem to find. (Chorus:). So this is the life they talked about. This is the I can't live without. When the real world crashes down. Oh if they could see me now. When all the dreams are all your own. Turn to nightmares all alone. It hits you right between the eyes. This is the life. This is the life. These four walls feel more like a prison. Instead of pure highs I couldn't wait to live in. So I just drink myself to sleep again. Can't escape my mind this ain't like a movie. It's getting hard to hide the more it's doin to me. Don't know how long I can keep from going. Crazy all the time. (Chorus:). So this is the life they talked about. This is the I can't live without. When the real world crashes down. Oh if they could see me now. When all the dreams are all your own. Turn to nightmares all alone. It hits you right between the eyes. This is the life. This is the life. Nothing's ever what it seems. Maybe that grass ain't so green. Nothing's ever out of reach. When you're seventeen. (Chorus:). So this is the life they talked about. This is the I can't live without. When the real world crashes down. Oh if they could see me now. When all the dreams are all your own. Turn to nightmares all alone. It hits you right between the eyes. This is the life. This is the life. Yeah
bliss,(I don't wanna know). (I don't wanna know). (I don't wanna know). (I don't wanna know). I'll go ahead and pour myself a drink. I really couldn't care less what you think. Well I don't have to listen now. Live this day down. If I can't feel a thing. You might as well save your goodbyes. We can give this train wreck one last ride. I'm gonna have to listen now. Live this day down. If I don't make things right. I'll tell you one last time. I don't wanna know it's over. So save your goodbye kiss. I don't wanna know it's over. Cause ignorance is bliss. I can hardly see. What's in front of me. Cause the vodka's running on empty. I can't stay sober. If it's over. (I don't wanna know). (I don't wanna know). (I don't wanna know). So save your goodbye kiss. (I don't wanna know). (I don't wanna know). (I don't wanna know). I woke up with a heartbeat in my head. I reached for the bottle by the bed. I saw your side was not slept in. Cold sheets again. Remind me of what you said. We need to take a break for a while. It's been so long since I smiled. I don't wanna listen now. Live this day down. With you so drunk and high. So I'll say goodbye. I don't wanna know it's over. So save your goodbye kiss. I don't want to know it's over. Cause ignorance is bliss. I can hardly see. What's in front of me. Cause the vodka's running on empty. I can't stay sober. If it's over. I don't wanna know it's over. So save your goodbye kiss. I don't wanna know it's over. Cause ignorance is bliss. Now I know I can't stay sober. Cause you left me here like this. I don't wanna know. (I don't wanna know). (I don't wanna know). (I don't wanna know). So save your goodbye kiss. (I don't wanna know). (I don't wanna know). (I don't wanna know). Cause ignorance is bliss. I can hardly see. What's in front of me. Cause the vodka's running on empty. I can't stay sober. If it's over. If it's over. I don't wanna know. If it's over. If it's over. I don't wanna know
heartless,"I'm feelin sick inside. cause I can't believe it's happening. I thought that he'd be gone by now. We were on a break and you said you needed space to breathe. I didn't know your ex was in town. I finally figured it out. Chorus:. You're heartless. The devil in disguise. So heartless. You make me feel just like. I´m selfish, foolish, helpless, all alone. So heartless. When I asked you what happened. You sat there and lied to me. An swore you were just hangin out. So why'd you look so scared baby every time the phone would ring?. And how do you explain the stains I found?. I finally figured it out. Chorus #2:. You're heartless. The devil in disguise. So heartless. You make me feel just like. I'm selfish, foolish, helpless, all alone. You're heartless. There's nothing left inside but darkness. I finally realized. You're selfish, foolish, helpless, so damn cold. So so heartless. Yeah yeah yeah yeah. You're heartless. The devil in disguise. So heartless. You make me feel just like. I'm selfish, foolish, helpless, all alone. You're heartless. The devil in disguise. So heartless. You make me feel just like. I'm selfish, foolish, helpless, all alone. You're heartless. There's nothing left inside but darkness. I finally realized. You're selfish, foolish, helpless, so damn cold. So so heartless. Nah nah nah. Nah nah nah. Yeah yeah yay. Nah nah nah naah nah nah nah. So heartless. Nah nah nah. Nah nah nah. Yeah yeah yay. Nah nah nah naah nah nah nah. Heartless. Nah nah nah. Nah nah nah. Yeaaaaahhh. Nah nah nah naah nah nah nah. Nah nah nah. Nah nah nah. Nah nah nah naah nah nah nah. Heartless"
bed of roses,"Sitting here wasted and wounded. at this old piano. Trying hard to capture. the moment this morning I don't know. 'Cause a bottle of vodka. still lodged in my head. And some blonde gave me nightmares. think that she's still in my bed. As I dream about movies. they won't make of me when I'm dead. With an ironclad fist I wake up. and French kiss the morning. While some marching band keeps. its own beat in my head. While we're talking. About all of the things that I long to believe. About love and truth. what you mean to me. And the truth is baby you're all that I need. I wanna lay you down in a bed of roses. For tonight I sleep on a bed of nails. Oh, I wanna be just as close as the Holy Ghost is. And lay you down on bed of roses. Well I'm so far away. step that I takes on my way home. A king's ransom in dimes give each night. to see through this payphone. Still I run out of time. Or it's hard to get through. Till the bird on the wire flies me back to you. I just close my eyes and whisper,. baby blind love is true. I wanna lay you down in a bed of roses. For tonight I sleep on a bed of nails. Oh, I wanna be just as close as the Holy Ghost is. And lay you down on the bed of roses. Well this hotel bar's hangover whiskey's gone dry. The barkeeper's wig's crooked and. She's giving me the eye. Well I might have said yeah. But I laughed so hard I think I died. ooh yeah. Now as you close your eyes. Know I'll be thinking about you. While my mistress she calls me. To stand in her spotlight again. Tonight won't be alone. To know that don't. Mean I'm not lonely I've got nothing to prove. For it's you that I'd die to defend. I wanna lay you down in a bed of roses. For tonight I sleep on a bed of nails. Oh, I wanna be just as close as the Holy Ghost is. And lay you down. I wanna lay you down in a bed of roses. For tonight I sleep on a bed of nails. I wanna be just as close as the Holy Ghost is. And lay you down on bed of roses"
2 sides of me,"This ain't a love song. But don't get me wrong. I'm gonna love you all night long while your turning me on,. Till the lovin' and the liquor's gone,. And if you wanna like me, girl you'd better find me before the sun goes down,. And if you wanna hate me, it ain't gonna take me long. just stick around. It's like a match to gasoline. I'm nice as hell till I get mean. I'll be your Prom King early Mr. Clean, Charmin,. Your momma at your front door,. and then your late night, bar fight,. Damn right I'm the guy passed out on your floor,. Ain't gotta spin me around to see there ain't no in-between the two sides of me. This ain't rehab. I ain't that bad. Too many good times to be had I ain't hanging my hat till I'm stumbling down that path. But if you wanna like me better catch me right before the shot goes down,. And if you wanna hate me I won' think your crazy. There's other girls in town, right now I'm Mr. Right but that ain't gonna last all night!"
