sex and drugs and rock and roll,"Sex and drugs and rock and roll. Is all my brain and body need. Sex and drugs and rock and roll. Are very good indeed. Keep your silly ways or throw them out the window. The wisdom of your ways, I've been there and I know. Lots of other ways, what a jolly bad show. If all you ever do is business you don't like. Sex and drugs and rock and roll. Sex and drugs and rock and roll. Sex and drugs and rock and roll. Is very good indeed. Every bit of clothing ought to make you pretty. You can cut the clothing, grey is such a pity. I should wear the clothing of Mr. Walter Mitty. See my tailor, he's called Simon, I know it's going to fit. Here's a little piece of advice. You're quite welcome it is free. Don't do nothing that is cut price. You know what that'll make you be. They will try their tricky device. Trap you with the ordinary. Get your teeth into a small slice. The cake of liberty. Sex and drugs and rock and roll. Sex and drugs and rock and roll. Sex and drugs and rock and roll. Sex and drugs and rock and roll. Sex and drugs and rock and roll. Sex and drugs and rock and roll. Sex and drugs and rock and roll. Sex and drugs and rock and roll. Sex, drugs, rock, roll. Sex, drugs, rock, roll"
blockheads,"You must have seen parties of Blockheads. With blotched and lagered skin. Blockheads with food particles in their teeth. What a horrible state they're in. They've got womanly breasts under pale mauve vests. Shoes like dead pigs' noses. Cornflake packet jacket, catalogue trousers. A mouth what never closes. You must have seen Blockheads in raucous teams. Dressed up after work. Who screw their poor old Eileens. Get sloshed and go berserk. Rotary accessory watches. Hire-purchase signet rings. A beauty to the bully boys. No lonely vestige clings. Why bother at all about Blockheads?. Why shouldn't they do as they please?. You know if it came to a brainy game. You could baffle a Blockhead with ease. How would you like one puffing and blowing in your ear-hole?. Or pissing in your swimming pool?. Bigger brained Blockheads often acquire. Black and orange cars. Premature ejaculation drivers. Their soft-top's got roll-bars. 'Fill her up,' they say to Blockheads. 'Go on, stick it where it hurts'. Their shapeless haircuts don't enhance. Their ghastly patterned shirts. Why bother at all about Blockheads?. Superior as you are. You're thoughtful and kind with a well-stocked mind. A Blockhead can't think very far. Imagine finding one in your laundry basket. Banging nails in your big black dog. Why bother at all about Blockheads?. Why should you care what they do?. Cos after all is said and done. You're a Blockhead too. Blockheads. Blockheads. Blockheads. (oi oi). Blockheads. (oi, oi)..."
i believe,"I believe in bottle banks. And beauty from within. I believe in saying thanks. And fresh air on the skin. I believe in healthy walks. As tonic for the feet. I believe in serious talks. And just enough to eat. That's what I believe. Although it seems naïve. I believe in Santa Claus. To give is to receive. That's what I believe. I believe in 'Bob-a-Job'. And life in outer space. I believe an open gob. Does nothing for your face. I believe in being nice. In spite of what you think. I believe in good advice. And not too much to drink. That's what I believe. (laughs) Surprising as it seems. I believe that happiness. Is well within our dreams. That's what I believe. Although it seems naïve. I believe that peace and love. Are there to be achieved. I believe in being fair. St. Pancras station from the air. I believe in taking care. Moonshine sparkles in your hair. I believe in being true. In everything you try to do. I believe in me and you. And I hope you share my point of view. I believe in being kind. Especially when it's hard. I believe an open mind. Can show a fine regard. I believe that manners make. A person good to know. I believe in birthday cake. And going with the flow. That's what I believe. As strange as it may be. I believe this attitude. Is good enough for me. That's what I believe. Although it seems naïve. I believe it simplifies. The tangled web we weave. That's what I believe. That's what I believe. That's what I believe. That's what I believe. That's what I believe. That's what I believe. (That's what I believe), That's what I believe. (That's what I believe), That's what I believe. (That's what I believe, That's what I believe, That's what I believe)"
blackmail man,"I'm an Irish cripple, a Scottish Jew. I'm the blackmail man. A raspberry ripple, a buckle my shoe. I'm the blackmail man. I'm a dead fish coon, a pikey Greek. I'm the blackmail man. A silvery spoon, a bubble and squeak. I'm the blackmail man. Well, I'm the blackmail man and I know what you do. Every one of you. I'm the blackmail man. You make me sick, make me Tom and Dick. I'll put the black on you. I'm the blackmail man. Blackmail man. I'm a Paki Chink, a half-cocked ponce. I'm the blackmail man. A tiddly-wink, a Charlie Ronce. I'm the blackmail man. I'm a no socks tramp, a cavalier drunk. I'm the blackmail man. A paraffin lamp, an elephant's trunk. I'm the blackmail man. I'm the blackmail man and I think you stink. You pen and ink. Blackmail man. I hate your guts, Newington Butts. I'll put the black on you. I'm the blackmail man. Hampton Wick, Berkshire Hunt. Fraser and Nash pony and trap. Blackmail man. Up your 'arris, in your mince. Hampton's don't leave fingerprints. I'm the blackmail man. Blackmail man and I think you stink. You pen and ink. I'm the blackmail man. I hate your guts, your Newington Butts. I put the black on you. I'm the blackmail man"
manic depression (jimi),"The mind is a very precious flower. That finds itself a strand amongst the weeds. The cause and effect, is what you might expect. And going round the bend is where it leads. The elephant provides the ivory tower. Is better left to wander too and fro. But jumbo’s got no chance, when the poacher doth advance. With a ghastly poison arrow in his bow. Sometimes it all falls into place. Other times it splashes in your face. On occasion grafting wins the day. Usually when you wear yourself away. Is this fair we ask ourselves as we get our headaches, bad backs and complaints. Is this fair my little ones? is this fair?. Oh no, it fucking ain’t. Well it’s the way the cripple crumbles,. It’s the flaw of the jungle. Be reliable and humble. Your’ll be beggared if you bumble. Merry making catchall phrase. The twentieth century malaise. It’s on everybody’s lips. I’m afraid you’ve had your chips. Manic depression, manic depression. Is not a pleasant fucker, pheasant plucker. Manic depression, manic depression. It’s a hole full of soap, soul full of hope. Manic depression, manic depression. Life is all a bloody rush, a ruddy blush. Manic depression, manic depression. Memories I shoot and hip, hoot and shit. But it’s the way the cripple crumbles. It’s the flaw of the jungle. Be reliable and humble. Your’ll be beggared if you fumble. A merry making catch all phrase. The twentieth century malaise. It’s on everybody’s lips. I’m afraid you’ve had your chips. Manic depression, manic depression. Is not a pleasant fucker, pheasant plucker. Manic depression, manic depression. It’s a hole full of soap, soul full of hope. Manic depression, manic depression. Life is all a bloody rush, a ruddy blush. Manic depression, manic depression. Memories I shoot and hip, hoot and shit"
cowboys,"They say its tough out there and thats for sure. You pay your way twice over if not more. They say thats the proce of fame, and now youve made your name. Your freinds dont even treat you like they used to do before. They quote the man stars whove died so young. From the fermament you seek to walk among. They tell you who went mad, who went from good to bad. And they warn you of the dangers that await the highly strung. Who the hell are they?. And who cares what they say?. Who only seek to worry and alarm. Dont give those dogs thier day. Dont let them get thier way. Cos I can see that fames done you no harm. They say what you sacrifeced to be the best. Did you loose all other perpose in your quest?. They say that fames your only goal and it messes up your soul. And they mension Elvis Presley and youre supposed to know the rest. They tell you cherish every minute that youre hot. So at least yourll have some memories when youre not. They say wehn fame becomes dispair, you abandon what you learn. Which makes it that much harded to give up what youve got. Who the hell are they?. And who cares what they say?. Who only deal in envy and dismay. Dont give those dogs thier day. Dont let them get thier way. Im glad to see your picture everywhere. They say celebrity extracts a heavy tole. That the devil soon appears to take control. They say it leads you by the nose and they resite the names of those. Who bled apon the alter of the demon rock n roll. Who the hell are they?. And who cares what they say?. Who only seek to worry and alarm. Dont give those dogs thier day. Dont let them get thier way. Cos I can see that fames done you no harm"
byline browne,"I'm here to find out what makes you tick. I'm here to discover the secret you. I intend to reveal you're crooked and sick. And I don't give a damn if none of it's true. 'Cos I'm Byline Browne from the national press. And that is how I earn my wages. I bring exposure and distress. As I spread your guts across the centre pages. I'm here to solicit your innermost thoughts. I'm fuelled by jealousy, venom and drink. I poke in your dustbins and I lurk round the courts. I puke up your portrait in bright yellow ink. 'Cos I'm Byline Browne of the popular press. The man who bought you babies for sale. I'll blackmail your neighbour and look up your dress. But come what may I'll tell my tale. I cover each item as issues arise. With a skein of fabric of tissue of lies. I'll fuck up your family, your future and friends. And I'll see you in hell before my story ends. I'm a reporter with senses and hunches. Somebody's daughter's turned into a junkie. I'm on a reporter's expenses and lunches. And a whiskey and water and I don't give a monkey's"
(you're my) inspiration,"Darling (yes, darling?). Nothing, darling. Just darling, darling. You're my inspiration, so welcome to my heart. Since making your acquaintance I've made a brand new start. I'm telling you I love you, what else can I say?. 'Cos you're my inspiration in every single way. You're always optimistic, you never be blasé. And when I'm in a moody you make it go away. I've never had a minute of horrible jealousy, jealousy. Anyone that you like will be okay with me. 'Cos you're my inspiration, my reason and my rhyme. From the first impressions until the end of time. I'm telling you I love you, what else can I say?. 'Cos you're my inspiration in every single way. Well darling, that just about sums things up. And I'm sure you know by now, I think you're very special. So (lower darling) So..... snarling darling? (stop it pet), alright. (Inspiration). You're my inspiration, my reason and my rhyme. From the first impressions until the end of time. I'm telling you I love you, what else can I say?. 'Cos you're my inspiration in every single way. (Inspiration). Since making your acquaintance (inspiration) the world's a better place (inspiration). Your confidence is catching (inspiration) I can feel it in my face (inspiration). It's almost out of order (inspiration) so beautiful with you (inspiration). I'm going to do my utmost (inspiration) to make it all stay cool (inspiration). 'Cos you're my inspiration (inspiration, inspiration). You're my inspiration (inspiration, inspiration). You're my inspiration (inspiration, inspiration)"
all those who say ok,"All those who say okay, say okay, okay. All those who say okay, say okay, exactly. All those who say okay, say okay, okay. All those who say okay, say okay, exactly. Oh, I see you're reading a book. Have you got to page one yet?. Can you spell your name forwards?. Can you, can you tell me the way straight on, please?. You're so stupid, you don't know you're not asking about what you don't know about. And now you're confused as well if you've got any sense at all - which I doubt. You're so lazy it's a wonder you haven't been castigated by the less fortunate for wasting your God given talents. Well, now you have, sucker. You couldn't hold a floor if you were laying on it. You're so negative that you've become a transparency which nobody wishes to view. Can you tell me one thing you can do with a pencil?. Make a stencil?. You're so selfish that if you had anything to say you'd keep it to yourself. If you were going somewhere, would you start from here?. How many beans make five, sucker?. (gibberish). Oh, well done!. Philosophy? Horrible thought. Steady on!. I resemble that remark!. . (gibberish). That is it, n'est-ce pas? A-ha. n'est-ce pas? A-ha. (gibberish). in my trouser. (gibberish). Stop!"
apples,"Delilah the dancer from Soho. Was making her way down the lane. Simpson from Harrow. Had fruit on his barrow. He sold it for love and for gain. Simpson said, ""Hello, young woman"". ""My Pippins are lovely today"". ""Don't be suspicious"". ""Of Golden Delicious"". ""Whatever your granny might say"". There only apples, red and green. Apples, lovely ripe and juicy and especially for you. Right off me barrw, me old cock sparrow. Apples, red and green. Delilah the dancer from Soho. Took ages to make up her mind. Simpson said, ""Madam,"". ""You'd know if you'd had 'em"". ""That these are the very best kind"". ""This is the pick of the orchard"". ""Forgive me a figure of speech"". ""But apples like these here"". ""Just don't grow on trees, dear"". ""And this one is really a peach"". There only apples, red and green. Apples, lovely ripe and juicy and especially for you. Right off my barrow my old cock sparrow. Apples, red and green. Simpson picked out a green apple. He polished it up on his sleeve. He said, ""Do me a favour"". ""And savour the flavour"". ""Of what you're about to receive"". Delilah the dancer from Soho. Accepted his gift with a smile. She said, ""It looks like a good 'un"". ""It'll do for my pudden"". ""I'll get round to it after a while"". There only apples, red and green. Apples, lovely ripe and juicy and especially for you. Right off my barrow, my old cock sparrow. Apples, red and green"
