believer,"First things first. I'ma say all the words inside my head. I'm fired up and tired of. the way that things have been, oh-ooh. The way that things have been, oh-ooh. Second thing second. Don't you tell me what you think that I could be. I'm the one at the sail,. I'm the master of my sea, oh-ooh. The master of my sea, oh-ooh. I was broken from a young age. Taking my sulking to the masses. Writing my poems for the few. That looked at me took to me,. shook to me, feeling me. Singing from heartache from the pain. Take up my message from the veins. Speaking my lesson from the brain. Seeing the beauty through the. Pain!. You made me a,. you made me a believer, believer. Pain!. You break me down,. you build me up, believer, believer. Pain!. I let the bullets fly, oh let them rain. My life, my love, my drive, they came from. Pain!. You made me a,. you made me a believer, believer. Third things third. Send a prayer to the ones up above. All the hate that you've heard. Has turned your spirit to a dove, oh-ooh. Your spirit up above, oh-ooh. I was choking in the crowd. Building my rain up in the clouds. Falling like ashes to the ground. Hoping my feelings, they would drown. But they never did, ever lived,. ebbing and flowing inhibited, limited. Till it broke open and it rained down. It rained down, like. Pain!. You made me a,. you made me a believer, believer. Pain!. You break me down,. you build me up, believer, believer. Pain!. I let the bullets fly, oh let them rain. My life, my love, my drive, they came from. Pain!. You made me a,. you made me a believer, believer. Last things last. By the grace of the fire and the flames. You're the face of the future,. The blood in my veins, oh-ooh. The blood in my veins, oh-ooh. But they never did, ever lived,. ebbing and flowing inhibited, limited. Till it broke open and it rained down. It rained down, like. . Pain!. You made me a, you made me a believer, believer. Pain!. You break me down,. you build me up, believer, believer. Pain!. I let the bullets fly, oh let them rain. My life, my love, my drive, they came from. Pain!. You made me a,. you made me a believer, believer"
bad liar,"Oh, hush, my dear, it's been a difficult year. And terrors don't prey on innocent victims. Trust me, darlin', trust me darlin'. It's been a loveless year. I'm a man of three fears. Integrity, faith and crocodile tears. Trust me, darlin', trust me, darlin'. So look me in the eyes, tell me what you see. Perfect paradise, tearin' at the seams. I wish I could escape it, I don't wanna fake it. Wish I could erase it, make your heart believe. But I'm a bad liar, bad liar. Now you know, now you know. I'm a bad liar, bad liar. Now you know, you're free to go. Did all my dreams never mean one thing?. Does happiness lie in a diamond ring?. Oh, I've been askin' for—. Oh, I've been askin' for problems, problems, problems. I wage my war, on the world inside. I take my gun to the enemy's side. Oh, I've been askin' for— (Trust me, darlin'). Oh, I've been askin' for (Trust me, darlin'). problems, problems, problems. So look me in the eyes, tell me what you see. Perfect paradise, tearin' at the seams. I wish I could escape it, I don't wanna fake it. Wish I could erase it, make your heart believe. But I'm a bad liar, bad liar. Now you know, now you know. I'm a bad liar, bad liar. Now you know, you're free to go. I can't breathe, I can't be. I can't be what you want me to be. Believe me, this one time. Believe me. I'm a bad liar, bad liar. Now you know, now you know. I'm a bad liar, bad liar. Now you know, you're free to go. Oh-oh-oh. Please believe me. Please believe me"
thunder,"Just a young gun with a quick fuse. I was uptight, wanna let loose. I was dreaming of bigger things. And wanna leave my own life behind. Not a yes sir, not a follower. Fit the box, fit the mold. Have a seat in the foyer, take a number. I was lightning before the thunder. Thunder, thunder. Thunder, thun-, thunder. Thun-thun-thunder, thunder, thunder. Thunder, thun-, thunder. Thun-thun-thunder, thunder. Thunder, feel the thunder. Lightning and the thunder. Thunder, feel the thunder. Lightning and the thunder. Thunder, thunder. Thunder. Kids were laughing in my classes. While I was scheming for the masses. Who do you think you are?. Dreaming 'bout being a big star. You say you're basic, you say you're easy. You're always riding in the back seat. Now I'm smiling from the stage while. You were clapping in the nose bleeds. Thunder, thunder. Thunder, thun-, thunder. Thun-thun-thunder, thunder, thunder. Thunder, thun-, thunder. Thun-thun-thunder, thunder. Thunder, feel the thunder. Lightning and the thunder. Thunder, feel the thunder. Lightning and the thunder. Thunder. Thunder, feel the thunder. Lightning and the thunder, thunder. Thunder, feel the thunder. Lightning and the thunder, thunder. Thunder, feel the thunder. Lightning and the thunder, thunder. Thunder, feel the thunder. Lightning and the thunder, thunder. Thunder, feel the thunder (feel the). Lightning and the thunder, thunder. Thunder, thunder, thunder. Thun-thun-thunder, thunder. Thunder, thunder, thunder. Thun-thun-thunder, thunder. Thunder, thunder, thunder. Thun-thun-thunder, thunder. Thunder, thunder, thunder. Thun-thun-thunder, thunder"
natural,"Will you hold the line?. When every one of them has given up or given in, tell me. In this house of mine. Nothing ever comes without a consequence or cost, tell me. Will the stars align?. Will heaven step in? Will it save us from our sin? Will it?. 'Cause this house of mine stands strong. That's the price you pay. Leave behind your heart and cast away. Just another product of today. Rather be the hunter than the prey. And you're standing on the edge face up. Cause you're a natural. A beating heart of stone. You gotta be so cold. To make it in this world. Yeah, you're a natural. Living your life cutthroat. You gotta be so cold. Yeah, you're a natural. Will somebody let me see the light. within the dark trees shadowing. what's happening. Lookin' through the glass find the wrong. within the past knowin'. We are the youth. Cut until it bleeds inside a world without the peace, face it. A bit of the truth, the truth. That's the price you pay. Leave behind your heart and cast away. Just another product of today. Rather be the hunter than the prey. And you're standing on the edge face up. Cause you're a natural. A beating heart of stone. You gotta be so cold. To make it in this world. Yeah, you're a natural. Living your life cutthroat. You gotta be so cold. Yeah, you're a natural. Deep inside me. I'm fading to black. I'm fading. Took an oath by the blood on my hand. won't break it. I can taste it. The end is upon us, I swear. Gonna make it. I'm gonna make it. Natural. A beating heart of stone. You gotta be so cold. To make it in this world. Yeah, you're a natural. Living your life cutthroat. You gotta be so cold. Yeah, you're a natural. Natural. Yeah, you're a natural"
demons,"When the days are cold. And the cards all fold. And the saints we see. Are all made of gold. When your dreams all fail. And the ones we hail. Are the worst of all. And the blood's run stale. I wanna hide the truth. I wannna shelter you. But with the beast inside. There's nowhere we can hide. No matter what we breed. We still are made of greed. This is my kingdom come. This is my kingdom come. When you feel my heat. Look into my eyes. It's where my demons hide. It's where my demons hide. Don't get too close. It's dark inside. It's where my demons hide. It's where my demons hide. (When the) curtain's call. Is the last of all. When the lights fade out. All the sinners crawl. So they dug your grave. And the masquerade. Will come calling out. At the mess you made. Don't wanna let you down. But I am hell bound. Though this is all for you. Don't wanna hide the truth. No matter what we breed. We still are made of greed. This is my kingdom come. This is my kingdom come. When you feel my heat. Look into my eyes. It's where my demons hide. It's where my demons hide. Don't get too close. It's dark inside. It's where my demons hide. It's where my demons hide. They say it's what you make. I say it's up to fate. It's woven in my soul. I need to let you go. Your eyes, they shine so bright. I want to save their light. I can't escape this now. Unless you show me how. When you feel my heat. Look into my eyes. It's where my demons hide. It's where my demons hide. Don't get too close. It's dark inside. It's where my demons hide. It's where my demons hide"
radioactive,"I'm waking up to ash and dust. I wipe my brow and I sweat my rust. I'm breathing in the chemicals. I'm breaking in, and shaping up. Then checking out on the prison bus. This is it, the apocalypse, whoa. I'm waking up, I feel it in my bones. Enough to make my systems blow. Welcome to the new age, to the new age. Welcome to the new age, to the new age. Whoa, whoa, I'm radioactive, radioactive. Whoa, whoa, I'm radioactive, radioactive. I raise my flag, dye my clothes. It's a revolution I suppose. We're painted red. To fit right in, whoa. I'm breaking in, and shaping up. Then checking out on the prison bus. This is it, the apocalypse, whoa. I'm waking up, I feel it in my bones. Enough to make my systems blow. Welcome to the new age, to the new age. Welcome to the new age, to the new age. Whoa, whoa, I'm radioactive, radioactive. Whoa, whoa, I'm radioactive, radioactive. All systems go,. the sun hasn't died. Deep in my bones,. Straight from inside. I'm waking up, I feel it in my bones. Enough to make my systems blow. Welcome to the new age, to the new age. Welcome to the new age, to the new age. Whoa, whoa, I'm radioactive, radioactive. Whoa, whoa, I'm radioactive, radioactive"
whatever it takes,"Falling too fast to prepare for this. Tripping in the world could be dangerous. Everybody circling is vulturous. Negative, Nepotist. Everybody waiting for the fall of man. Everybody praying for the end of times. Everybody hoping they could be the one. I was born to run, I was born for this. Whip, whip. Run me like a racehorse. Hold me like a rip cord. Break me down and build me up. I wanna be the slip, slip. Word upon your lip, lip. Letter that you rip, rip. Break me down and build me up. Whatever it takes. 'Cause I love the adrenaline in my veins. I do whatever it takes. 'Cause I love how it feels. When I break the chains. Whatever it takes. Ya take me to the top, I'm ready for. Whatever it takes. 'Cause I love the adrenaline in my veins. I do what it takes. Always had a fear of being typical. Looking at my body feeling miserable. Always hanging on to the visual. I wanna be invisible. Looking at my years like a martyrdom. Everybody needs to be a part of 'em. Never be enough from the particle sum. I was born to run, I was born for this. Whip, whip. Run me like a race horse. Hold me like a rip cord. Break me down and build me up. I wanna be the slip, slip. Word upon your lip, lip. Letter that you rip, rip. Break me down and build me up. Whatever it takes. 'Cause I love the adrenaline in my veins. I do whatever it takes. 'Cause I love how it feels. When I break the chains. Whatever it takes. Ya take me to the top, I'm ready for. Whatever it takes. 'Cause I love the adrenaline in my veins. I do what it takes. Hypocritical, egotistical. Don't wanna be the parenthetical. Hypothetical, working onto something that I'm proud of. Out of the box an epoxy to the world. And the vision we've lost. I'm an apostrophe. I'm just a symbol to remind you. That there's more to see. I'm just a product of the system, a catastrophe. And yet a masterpiece, and yet I'm half diseased. And when I am deceased. At least I go down to the grave and die happily. Leave the body of my soul to be a part of me. I do what it takes. Whatever it takes. 'Cause I love the adrenaline in my veins. I do whatever it takes. 'Cause I love how it feels. When I break the chains. Whatever it takes. Ya take me to the top, I'm ready for. Whatever it takes. 'Cause I love the adrenaline in my veins. I do what it takes"
zero,"I find it hard to say the things I want to say the most. Find a little bit of steady as I get close. Find a balance in the middle of the chaos. Send me low, send me high. Send me never demigod. I remember walking in the cold of november. Hoping that I make it to the end of december. 27 Years and the end on my mind. But holding to the thought of another time. But looking to the ways of the ones before me. Looking for the path of the young and lonely. I don't want to hear about what to do. I don't want to do it just to do it for you. Hello, hello. Let me tell you what it's like to be a zero, zero. Let me show you what it's like to always feel, feel. Like I'm empty. And there's nothing really real, real. I'm looking for a way out. Hello, hello. Let me tell you what it's like to be a zero, zero. Let me show you what it's like to never feel, feel. Like I'm good enough. For anything that's real, real. I'm looking for a way out. I find it hard to tell you how I want to run away. I understand it always makes you feel. A certain way. I find a balance in the middle of the chaos. Send me up, send me down. Send me never demigod. I remember walking in the heat of the summer. Wide eyed one with a mind full of wonder. 27 Years and I've nothing to show. Falling from the dove to the dark of the crow. Looking to the ways of the ones before me. Looking for a path of the young and lonely. I don't want to hear about what to do, no. I don't want to do it just to do it for you. Hello, hello. Let me tell you what it's like to be a zero, zero. Let me show you what it's like to always feel, feel. Like I'm empty. And there's nothing really real, real. I'm looking for a way out!. Hello, hello. Let me tell you what it's like to be a zero, zero. Let me show you what it's like to never feel, feel. Like I'm good enough. For anything that's real, real. I'm looking for a way out!. Let me tell you bout it. Let me tell you bout it. Maybe you're the same as me. Let me tell you bout it. Let me tell you bout it. They say the truth will set you free. Hello, hello. Let me tell you what it's like to be a zero, zero. Let me show you what it's like to always feel, feel. Like I'm empty. And there's nothing really real, real. I'm looking for a way out!. Hello, hello. Let me tell you what it's like to be a zero, zero. Let me show you what it's like to never feel, feel. Like I'm good enough. For anything that's real, real. I'm looking for a way out…"
it's time,"So this is what you meant. When you said that you were spent. And now it's time to build from the bottom of the pit,. Right to the top. Don't hold back. Packing my bags and giving the Academy a rain check. I don't ever want to let you down. I don't ever want to leave this town. 'Cause after all. This city never sleeps at night. It's time to begin, isn't it?. I get a little bit bigger but then I'll admit. I'm just the same as I was. Now don't you understand. That I'm never changing who I am. So this is where you fell. And I am left to sell. The path to heaven runs through miles of clouded hell. Right to the top. Don't look back. Turning to rags and giving the commodities a rain check. I don't ever want to let you down. I don't ever want to leave this town. 'Cause after all. This city never sleeps at night. It's time to begin, isn't it?. I get a little bit bigger but then I'll admit. I'm just the same as I was. Now don't you understand. That I'm never changing who I am. It's time to begin, isn't it?. I get a little bit bigger but then I'll admit. I'm just the same as I was. Now don't you understand. That I'm never changing who I am. This road never looked so lonely. This house doesn't burn down slowly. To ashes. To ashes. It's time to begin, isn't it?. I get a little bit bigger but then I'll admit. I'm just the same as I was. Now don't you understand. That I'm never changing who I am. It's time to begin, isn't it?. I get a little bit bigger but then I'll admit. I'm just the same as I was. Don't you understand. That I'm never changing who I am"
birds,"Two hearts, one valve. Pumpin' the blood, we were the flood. We were the body and. Two lives, one life. Stickin' it out, lettin' you down. Makin' it right. Seasons, they will change. Life will make you grow. Dreams will make you cry, cry, cry. Everything is temporary. Everything will slide. Love will never die, die, die. I know that. Ooh, birds fly in every directions. Ooh, I hope to see you again. Sunsets, sunrises. Livin' the dream, watchin' the leaves. Changin' the seasons. Some nights I think of you. Relivin' the past, wishin' it'd last. Wishin' and dreamin'. Seasons, they will change. Life will make you grow. Death can make you hard, hard, hard. Everything is temporary. Everything will slide. Love will never die, die, die. I know that. Ooh, birds fly in different directions. Ooh, I hope to see you again. Ooh, birds fly in different direction. Ooh, so fly high, so fly high. When the moon is lookin' dark. Shine that light up for your ground. I'm flyin' up to let you see. That the shadow cast is me. I know that. Ooh, birds fly in different directions. Ooh, I hope to see you again. Ooh, birds fly in different directions. Ooh, so fly high, so fly high. Ooh, so fly high, so fly high. Ooh, so fly high, so fly high"
