never tear us apart,"Don't ask me. What you know is true. Don't have to tell you. I love your precious heart. I. I was standing. You were there. Two worlds collided. And they could never tear us apart. We could live. For a thousand years. But if I hurt you. I'd make wine from your tears. I told you. That we could fly. 'Cause we all have wings. But some of us don't know why. I. I was standing. You were there. Two worlds collided. And they could never tear us apart. I (Don't ask me). I was standing (You know it's true). You were there (Worlds collided). Two worlds collided (were shining through). And they could never tear us apart. You (Don't ask me). You were standing (You know it's true). I was there (Worlds collided). Two worlds collided (were shining through). And they could never tear us apart. I, I, I. I was standing...(fading). you were there...(fade out)"
by my side,In the dark of night. Those small hours. Uncertain and anxious. I need to call you. Rooms full of strangers. Some call me friend. But I wish you were so close to me. In the dark of night. Those small hours. I drift away. When I'm with you. In the dark of night. By my side. In the dark of night. By my side. I wish you were. I wish you were. Here comes the clown. His face is a wall. No window. No air at all. In the dark of night. Those faces they haunt me. But I wish you were so close to me. In the dark of night. By my side. In the dark of night. by my side. I wish you were. I wish you were. In the dark of night. By my side. in the dark of night. By my side. I wish you were. I wish you were. In the dark of night. Those faces they haunt me. I wish you were so close to me. Yes I wish you were. By my side
need you tonight,Come over here. All you got is this moment. The 21st Century's yesterday. You can care all you want. Everybody does yeah that's okay. So slide over here. And give me a moment. You moves are so raw. I've got to let you know. I've got to let you know. You're one of my kind. I need you tonight cause I'm not sleeping. There's something about you girl. That makes me sweat. How do you feel. I'm lonely. What do you think. Can't think at all. Whatcha gonna do. Gonna live my life. So slide over here. And give me a moment. You moves are so raw. I've got to let you know. I've got to let you know. You're one of my kind. I need you tonight. Cause I'm not sleeping. There's something about you girl. That makes me sweat. How do you feel. I'm lonely. What do you think. Can't think at all. Whatcha gonna do. Gonna live my life. How do you feel. I'm lonely. What do you think. Can't think at all. Whatcha gonna do babe. Gonna live my life. So slide over here. And give me a moment. You moves are so raw. I've got to let you know. I've got to let you know. So slide over here. And give me a moment. I've got to let you know. I've got to let you know. You're one of my kind
beautiful girl,Nicky's in the corner. With a black coat on. Running from a bad home. With some cat inside. Now where did you find her. Among the neon lights. That haunt the streets outside. She says...stay with me. Beautiful girl. (Stay with me). Beautiful girl. (Stay with me). She wants to go Home. From door way to door way. Street corner to corner. With the neon ghosts in the city. And she says. Stay with me. Stay with me. Stay with me. Stay with me. She's so scared. So very frightened. Anything could happen. Right here tonight. Beautiful girl. (Stay with me). Beautiful girl. (Stay with me). She wanna go Home. Stay with me. (Beautiful girl). Stay with me. (Beautiful girl). Stay with me. (Beautiful girl). Stay with me. (Beautiful girl)
disappear,Say I'm crying. I'm looking at what's on T.V.. Pain and suffering. And the struggle. To be free. It can't ever be denied and I. Never will ignore. But when I see you coming. I can take it all. You're so fine. Lose my mind. And the world seems disappear. All the problems. All the fears. And the world seems disappear. Say you're mine. And give yourself to the. Feelings that you know. I'm needing. All that you can give me. All the things. That you do so well. Words are healing. Sweet anticipation. Making spells. As the shadows close in. Fall across all our yesterdays. You're so fine. Lose my mind. And the world seems to disappear. All the problems. All the fears. And the world seems to disappear. You're so fine. Lose my mind. And the world seems to disappear. All the problems. All the fears. And the world seems to disappear. Disappear. Disappear. Disappear. Disappear. Disappear. Disappear. Disappear. Say if I could. Look into myself and reason. But I could never never see or. Make sense of the dealings. Turn around. Am I looking at salvation. Make me realise all that I am. You put the light inside this man. You're so fine. Lose my mind. And the world seems to disappear. All the problems. All the fears. And the world seems to disappear. You're so fine. Lose my mind. And the world seems to disappear. All the problems. All the fears. And the world seems to disappear. You're so fine. Lose my mind. And the world seems to disappear. All the problems. All the fears. And the world seems to disappear. You're so fine. Lose my mind. And the world seems to disappear. All the problems. All the fears
this time,"I will believe you. If you say it's true. Girl you know I need you. More than any word spoken. I've seen you before. Turn and walk away. You say you won't come back. It's a game anyway. We are hoping, yes and we're praying. This time will be the last time. That we will fight like this. This time will be the last time. That we will fight like this... hey!. We are always wanting. Things we cannot find. You know that we are always wasting time. We are hoping, yes and we're praying. This time will be the last time. That we will fight like this. This time will be the last time. That we will fight like this. You know I can forget. We have fought before. I've seen inside your heart. And I know it's breaking. We are hoping, yeah and we're praying. Maybe this time will be the last time. That we will fight like this. This time will be the last time. That we will fight like this. This time will be the last time......"
original sin,"You might know of the original sin. And you might know how to play with fire. But did you know of the murder committed. In the name of love yeah, you thought what a pity. Dream on white boy, white boy. Dream on black girl, black girl. And wake up to a brand new day. To find your dreams are washed away. There was a time when I did not care. And there was a time when the facts did stare. There is a dream and it's held by many. Well I'm sure you had to see it's open arms. Dream on white boy, white boy. Dream on black girl, black girl. And wake up to a brand new day. Dream on black boy, black boy. Dream on white girl, white girl. And wake up to a brand new day. To find your dreams are washed away. Dream on black boy, black boy. Dream on white girl, white girl. And wake up to a brand new day. To find your dreams are washed away. Dream on. Play with fire. White boy, black girl. Dream on. In the name of love. Black boy, white girl. Dream on. White boy, black girl. Black boy, white girl. Dream On. In the name of love yeah, you thought what a pity. Yeah!. The original sin. It's All!"
afterglow,"Here I am, lost in the light of the moon that comes through my window. Bathed in blue, the walls of my memory divide the thorns from the roses. It's you and the roses. Touch me and I will follow in your afterglow. Heal me from all this sorrow. As I let you go I will find my way when I see your eyes. Now I'm living in your afterglow. Here I am, lost in the ashes of time, but who wants tomorrow?. In between the longing to hold you again. I'm caught in your shadow, I'm losing control. My mind drifts away, we only have today. Touch me and I will follow in your afterglow. Heal me from all this sorrow. As I let you go I will find my way. I will sacrifice 'til the blinding day when I see your eyes. Now I'm living in your afterglow. When the faith has gone as I let you go, as I let you go. Touch me and I will follow in your afterglow. Heal me from all this sorrow. As I let you go I will find my way, I will sacrifice. Now I'm living in your afterglow. Bathed in blue, the walls of my memory divide the thorns from the roses. It's you who is closest"
mystify,"All veils and misty. Streets of blue. Almond looks. That chill devine. Some silken moment. Goes on forever. And we're leaving. Broken hearts behind. Mystify. Mystify me. Mystify. Mystify me. I need perfection. Some twisted selection. That tangles me. To keep me alive. In all that exists. Well, none has your beauty. I see your face. and I will survive. Mystify. Mystify me. Mystify. Mystify me. Eternally wild with the power. To make every moment come alive. All those stars that shine upon you. Will kiss you every night. All veils and misty. Streets of blue. Almond looks. That chill devine. Some silken moment. Goes on forever. And we're leaving. Yeah we're leaving broken hearts behind. . Mystify. Mystify me. Mystify. Mystify me. You're eternally wild with the power. To make every moment come alive. All those stars that shine upon you. And they'll kiss you every night. Mystify. Mystify me. Mystify. Mystify me. Mystify. Mystify me."
golden playpen,I'm drunk can't see my glass. Not worried--chair dancing man. Tossed out of the Golden Playpen. Beating the drum of pain and pleasure. You see the street ahead. Just keep walking down it. Look straight ahead. Nite club ice cubes crackin'. The money's gone. Don't have a cent. Tossed out of the Golden Playpen. Beating the drum of pain and pleasure. Sex talks eats you alive. We go making friends. Till we're satisfied. I'm drunk can't see my glass. Not worried--chair dancing man. Tossed out of the Golden Playpen.
