piece of my heart,"Oh, come on, come on, come on, come on!. Didn't I make you feel like you were the only man? yeah!. An' didn't I give you nearly everything. that a woman possibly can ?. Honey, you know I did!. And each time I tell myself that I,. well I think I've had enough,. But I'm gonna show you, baby, that a woman can be tough.. I want you to come on, come on, come on,. come on and take it,. Take it!. Take another little piece of my heart now, baby!. Oh, oh, break it!. Break another little bit of my heart now,. darling, yeah, yeah, yeah.. Oh, oh, have a!. Have another little piece of my heart now, baby,. You know you got it if it makes you feel good,. Oh, yes indeed.. You're out on the streets looking good,. And baby deep down in your heart. I guess you know that it ain't right,. Never, never, never, never, never,. never hear me when I cry at night,. Babe, and I cry all the time!. But each time I tell myself that I,. well I can't stand the pain,. But when you hold me in your arms,. I'll sing it once again.. I'll say come on, come on, come on, come on and take it!. Take it!. Take another little piece of my heart now, baby.. Oh, oh, break it!. Break another little bit of my heart now, darling, yeah,. Oh, oh, have a!. Have another little piece of my heart now, baby,. You know you got it, child, if it makes you feel good.. I need you to come on, come on, come on,. come on and take it,. Take it!. Take another little piece of my heart now, baby!. Oh, oh, break it!. Break another little bit of my heart,. now darling, yeah, c'mon now.. Oh, oh, have a. Have another little piece of my heart now, baby.. You know you got it whoahhhhh!!. Take it!. Take it!. Take another little piece of my heart now, baby,. Oh, oh, break it!. Break another little bit of my heart, now darling,. yeah, yeah, yeah, yeah,. Oh, oh, have a. Have another little piece of my heart now, baby, hey,. You know you got it, child, if it makes you feel good!!!"
mercedes benz,"I like to do a song of a great social and poetical import. It goes like this. Oh Lord, won't you buy me a Mercedes Benz ?. My friends all drive Porsches, I must make amends.. Worked hard all my lifetime, no help from my friends,. So Lord, won't you buy me a Mercedes Benz ?. Oh Lord, won't you buy me a color Tv ?. Dialing For Dollars is trying to find me.. I wait for delivery each day until three,. So oh Lord, won't you buy me a color Tv ?. Oh Lord, won't you buy me a night on the town ?. I'm counting on you, Lord, please don't let me down.. Prove that you love me and buy the next round,. Oh Lord, won't you buy me a night on the town ?. Everybody!. Oh Lord, won't you buy me a Mercedes Benz ?. My friends all drive Porsches, I must make amends,. Worked hard all my lifetime, no help from my friends,. So oh Lord, won't you buy me a Mercedes Benz ?. That's it!"
maybe,"Maybe.... Oh if I could pray, and I try, dear. You might come back home, home to me. Maybe.... Whooa, if I could ever hold your little hand. Oh you might understand. Maybe, maybe, maybe, maybe.... Maybe, maybe, maybe, maybe, maybe, dear. I guess I might have done something wrong. Honey, I'd be glad to admit it. Ooh, come on home to me. Honey, maybe, maybe, maybe, maybe... yeah. But I know that it just. doesn't ever seem o matter, baby. Oh, honey, when I go out or what I'm trying to do. Can't you see I'm still left here. And I'm holding on in needing you. Please, please, please, please. Oh, won't you reconsider, babe. Now come on, I said come back. won't you come back, to me!. Maybe, dear, oh maybe, maybe, maybe. Let me help you, show me how. Honey, maybe, maybe, maybe, maybe. Maybe, maybe, maybe, yeah. Maybe, maybe, maybe, yeah"
cry baby,"""Cry baby, cry baby, cry baby,. Honey, welcome back home.. I know she told you,. Honey I know she told you that she loved you. Much more than I did,. But all I know is that she left you,. And you swear that you just don’t know why,. But you know, honey I’ll always,. I’ll always be around if you ever want me. Come on and cry, cry baby, cry baby, cry baby,. Oh honey, welcome back home.. Don’t you know, honey,. Ain’t nobody ever gonna love you. The way I try to do ?. Who’ll take all your pain,. Honey, your heartache, too ?. And if you need me, you know. That I’ll always be around if you ever want me. Come on and cry, cry baby, cry baby, cry baby,. Oh daddy, like you always saying to do.. And when you walk around the world, babe,. You said you’d try to look for the end of the road,. You might find out later that the road’ll end in Detroit,. Honey, the road’ll even end in Kathmandu.. You can go all around the world. Trying to find something to do with your life, baby,. When you only gotta do one thing well,. You only gotta do one thing well to make it in this world, babe.. You got a woman waiting for you there,. All you ever gotta do is be a good man one time to one woman. And that’ll be the end of the road, babe,. I know you got more tears to share, babe,. So come on, come on, come on, come on, come on,. And cry, cry baby, cry baby, cry baby.. And if you ever feel a little lonely, dear,. I want you to come on, come on to your mama now,. And if you ever want a little love of a woman. Come on and baby baby baby babe babe baby now. Cry baby yeah.""."
me and bobby mcgee,"Busted flat in Baton Rouge. Waitin' for a train. When I's feelin' near as faded as my jeans. Bobby thumbed a diesel down. Just before it rained. He rode us all the way to New Orleans. I pulled my harpoon. Out of my dirty red bandana. I was playin' soft. while Bobby sang blues. Windshield wipers slappin' time. I was holdin' Bobby's hand in mine. We sang every song that driver knew. Freedom's just another word for nothin' left to lose. Nothin', I mean nothin' hon' if it ain't free. Yeah, feelin' good was easy Lord,. when he sang the blues. Yeah, feelin' good was good enough for me. Good enough for me and my Bobby Mcgee. From the Kentucky coal mines. To the California sun. Yeah, Bobby shared the secrets of my soul. Through all kinds of weather. Through everything that we done. Hey, Bobby baby kept me from the cold. One day up near Salinas, Lord. I let him slip away. He's lookin' for that home, and I hope he finds it. Well, I'd trade all o' my tomorrows. For one single yesterday. To be holdin' Bobby's body next to mine. Freedom's just another word for nothin' left to lose. Nothin', an' that's all that Bobby left me, la da. Oh, feelin' good was easy, Lord,. when he sang the blues. Yeah, feelin' good was good enough for me, oo oo. Good enough for me and my Bobby Mcgee. La da da. La da da da. La da da da da da da da. La da da da da da da da Bobby Mcgee, yeah. La da da da da da da. La da da da da. La da da da da da da Bobby Mcgee, yeah. La da La la da da la da da la da da. La da da da da da da da da. Hey now, Bobby, now, now Bobby Mcgee, yeah. La la la la la la la la. La la la la la la la la la la la la la la la. Hey now Bobby now now Bobby Mcgee, yeah. Lord, I called him my lover. I called him my man. I said I called him my lover. did the best I cam, c'mon. Hey now Bobby now. hey now Bobby Mcgee, yeah. wooooooo. la da da da da da da da da da da da da da da da. Hey, hey, hey Bobby Mcgee, yeah"
summertime,"Summertime, time, time,. Child, the living's easy.. Fish are jumping out. And the cotton, Lord,. Cotton's high, Lord so high.. Your daddy's rich. And your ma is so good-looking, baby.. She's a-looking good now,. Hush, baby, baby, baby, baby now,. No, no, no, no, no, no, no,. Don't you cry, don't you cry.. One of these mornings. You're gonna rise, rise up singing,. You're gonna spread your wings, child,. And take, take to the sky,. Lord, the sky.. But until that morning,. Honey, n-n-nothing's going to harm ya,. No, no, no no, no no, no..."
kozmic blues,"Time keeps movin' on,. Friends they turn away.. I keep movin' on. But I never found out why. I keep pushing so hard the dream,. I keep tryin' to make it right. Through another lonely day, whoaa.. Dawn has come at last,. Twenty-five years, honey just in one night, oh yeah.. Well, I'm twenty-five years older now. So I know we can't be right. And I'm no better, baby,. And I can't help you no more. Than I did when just a girl.. Aww, but it don't make no difference, baby, no, no,. And I know that I could always try.. It don't make no difference, baby, yeah,. I better hold it now,. I better need it, yeah,. I better use it till the day I die, whoa.. Don't expect any answers, dear,. For I know that they don't come with age, no, no.. Well, ain't never gonna love you any better, babe.. And I'm never gonna love you right,. So you'd better take it now, right now.. Oh! But it don't make no difference, babe, hey,. And I know that I could always try.. There's a fire inside everyone of us,. You'd better need it now,. I got to hold it, yeah,. I better use it till the day I die.. Don't make no difference, babe, no, no, no,. And it never ever will, hey,. I wanna talk about a little bit of loving, yeah,. I got to hold it, baby,. I'm gonna need it now,. I'm gonna use it, say, aaaah,. Don't make no difference, babe, yeah,. Ah honey, I'd hate to be the one.. I said you're gonna live your life. And you're gonna love your life. Or babe, someday you're gonna have to cry.. Yes indeed, yes indeed, yes indeed,. Ah, baby, yes indeed.. I said you, you're always gonna hurt me,. I said you're always gonna let me down,. I said everywhere, every day, every day. And every way, every way.. Ah honey won't you hold on to what's gonna move.. I said it's gonna disappear when you turn your back.. I said you know it ain't gonna be there. When you wanna reach out and grab on.. Whoa babe,. Whoa babe,. Whoa babe,. Oh but keep truckin' on.. Whoa yeah,. Whoa yeah,. Whoa yeah,. Whoa,. Whoa,. Whoa,. Whoa,. Whoa..."
try (just a little bit harder),"Try, try, try just a little bit harder. So I can love, love, love him, I tell myself. Well, I'm gonna try yeah, just a little bit harder. So I won't lose, lose, lose him to nobody else.. Hey! Well, I don't care how long it's gonna take you now,. But if it's a dream I don't want. No I don't really want it. If it's a dream I don't want nobody to wake me.. Yeah, I'm gonna try yeah, just a little bit harder. So I can give, give, give, give him every bit of my soul.. Yeah, I'm gonna try yeah, just a little bit harder. So I can show, show, show him love with no control.. Hey! I've waited so long for soemone so fine. I ain't gonna lose my chance, no I don't wanna lose it,. Ain't gonna lose my chance to make you mine, all mine.. All right, get it! Yeah!. Try yeah, try yeah, hey, hey, hey, try yeah,. Oh try whoa! Whoa, whoa, whoa, whoa,. Oh anybody, oh anybody, oh anybody,. Try oh yeah (just a little bit harder). Whoa I gotta try some more,. I said try yeah, aw I said try,. I said try try try try try try,. Oh try oh yeah, try oh yeah!. Hey hey, I gotta talk to my man now,. You know I, I gotta feel for my man now,. I said I, I gotta work for my man now,. You know I, I gotta hurt for my man now,. I think-a every day for my man now,. You know it, every way for my man now,. I say try, try yeah, oh try yeah,. Hey hey hey, try yeah-hey, oh, try..."
to love somebody,"There's a light, certain kinda light. Never ever, never shone on me, no, no. Honey, I want, I want my whole life. To be lived with you, babe. That's what I want oh, was to be. Living and loving you. There's a way, oh everybody say. You can do anything, every thing yeah. But what good, what good. Honey, what good could it ever bring. 'Cause I ain't got you with my love. And I can't find you babe, no I can't. You don't know, you don't know what it's like. No you don't, honey no you don't know. You don't know what it's like. To love anybody. Oh honey, I wanna talk about love. And trying to hold somebody. The way I love you babe. And I've been loving you babe. In my brain, oh I can see your face again. I know my frame of mind, yeah. But nobody, nobody has to ever be so blind. Honey, like I did, I know I was blind. Honey, I tell you that I was, I was very, very blind. Oh but I'm just a girl. Can't you just take a look at me and tell. Tell that I live, honey I live and I breathe for you. Don't you know I do!. But what good, what good. Honey, what good could ever do. 'Cause I ain't got you, that's all I've ever wanted. And I ain't got you, babe, oh but I've been looking 'round. But you don't know, you don't know what it's like. No you don't, no, no, no, you don't know. Honey, you don't know what it's like. Oh to love anybody. Oh honey I wanna talk about. Trying to hold somebody when you're lonely. The way I loved you, baby. And I just want you to know I tried. Oh I know that there's a way. 'Cause everybody came to me one time and said. ""Honey, you can do anything. Every little thing, "" and I think I can. Oh, but what good, what good. Honey, what awfully good can it ever, ever bring. 'Cause I can't find you with my love. And I can't find you babe, oh anywhere. Oh, but you don't know. You don't know what it's like. No you don't and you never ever, ever did. You don't know, honey. You don't know what it's like. Oh, to love anybody. Oh, honey I wanna talk about trying to hold you. Oh baby, baby, baby, yeah. But you don't know. You don't know what it's like. And you never ever, ever did. I said I tried to throw my love around you. And I tried to help you darling. But you never ever, no you never ever. No you never ever, no you never ever. I know that you know that. No you never ever, ever, ever. Oh let me throw my love"
magic of love,"Alright!. Ooh! Hey, hey, now!. Alright,. You went away, had your chance to say,. ""I love you and I need you baby"". Yeah, but even if. Honey, I told you daddy now. You wouldn't believe me anyway, no, no, no.. Maybe you will now,. I've changed a lot somehow,. Let me prove what I say.. Come back and believe my love,. Please! Now, come back, babe, and believe my love,. Come back, and believe the magic of love.. Oh, I want the light without the darkness. I want the sky without the sun, yeah!. When do the stars and the moon reach out ?. When they see me alone without my loved one, yeah!. Oh, now baby, don't you hear me,. Won't-t-t-t-t-t-t you hear me I gotta, gotta, gotta, gotta, gotta tell you,. Oh baby, baby, baby, baby, baby,. Honey, I just gotta tell you now,. Honey, I wanna tell you that I want you to dig it!. Now if you believe in magic,. Don't be afraid, afraid to use it, baby,. No, no, no, no, no, no, come on home. Dressed in mystic silk. Or wearing rich rags and waste,. Darling, please!. Come on back to me. I know we can be. Part of a magic race.. Come back, and believe my love. Baby, come back, please believe my love,. Come back and believe the magic of love.. Hey! Now come back, babe, and believe my love. Come back, please believe my love."
little girl blue,"Sit there, hmm, count your fingers. What else, what else is there to do?. Oh, and I know how you feel. I know you feel that you're through. Oh ah-wah-ah sit there, hmm, count. Ah, count your little fingers. My unhappy, oh, little girl, little girl blue, yeah. Oh sit there, oh count those raindrops. Oh, feel'em falling down, honey, all around you. Honey, don't you know it's time?. I feel it's time. Somebody told you, 'cause you got to know. That all you ever gonna have to count on. Or gonna wanna lean on. It's gonna feel just like those raindrops do. When they're falling down, honey, all around you. Oh, I know you're unhappy. Oh sit there, ah, go on, go on. And count your fingers. I don't know what else, what else. Honey, have you got to do. And I know how you feel. And I know you ain't got no reason to go on. And I know you feel that you must be through. Oh honey, go on and sit right back down. I want you to count, oh, count your fingers. Ah, my unhappy, my unlucky. And my little, oh, girl blue. I know you're unhappy. Ooh ah, honey, I know. Baby, I know, just how you feel"
