the bull,"""Hey little garçon come here. Give me a glass of cachaça. I want to stay very crazy"". ""But tonight you drink too much!"". ""I am very magoation. My girl made a little trairation. Now I am living in fudation"". ""'cause tonight you are the bull"". ""'cause tonight you are the bull. 'cause tonight you are the bull. 'cause tonight you are the bull. Big Richard is terrible"". It's like a sword made of iron. Encravated in the chest. Something's wrong,. Something is growing. Growing in my test. My heart is burning in the fire. In the fire of hell. She was a bitch, she was a whore. She sacanate me well, yeah!!!!. Filha da puta!!. I understand he's very rich. He's intelligent. He's very strong, his hair is long. His car is excellent. I was in the show with all my friends. My friends headbenzes. The chains of steel aprisionated me. In the corno's land. She was at four she was in my bed,. With the big Richard kissing her ass. 'cause tonight you are the bull. She was at four she was in my bed. But she's very lucky, cos' I'm a voyeur. 'cause tonight you are the bull. 'cause tonight you are the bull. 'cause tonight you are the bull. 'cause tonight you are the bull. 'cause tonight you are the bull. She was at four she was in my bed. With the big Richard kissing her ass. 'cause tonight you are the bull. She was at four she was in my bed. But she's very lucky, cos' I'm a vouyer. 'cause tonight you are the bull. 'cause tonight you are the bull. 'cause tonight you are the bull. 'cause tonight you are the bull. 'cause tonight you are the bull. ""Hey little garçon come here. I'm very magoation. I want to leave Massacration"". ""Big Richard is terrible"""
metal bucetation,All the nation. Stop the punhetation. Suck my sacred sack. All the nation. Fuck the bucetation. It's on fire. Wow!. All the pirocation. Fuck the bucetation. I can take it. Please the pirocation. Fuck the bucetation. I will take it. All the pirucation. Fuck the bucetation. Feeling your juice. It's very nice. Please the pirocation. Stop the punhetation. Look to my balls. You will see the astral
evil papagali,Thrash. Mosh. I met a bird that. Came from Hell. He is little green. He is very well. He likes to play. He likes the milk. He likes to fight. He likes to kill. I met a bird that. Came from hell. He is little green. He is very well. He cannot fly. And he is revolt. He don't like me. And then he told. What?. (Chorus). Lôro. Lôro quer biscoito!. Lôro. Lôro quer biscoito. Quer biscoito. Evil Papagali. He wants to kill. He ordered me to. Puta que pariu. Evil Papagali. He is animal. He got the power. Of heavy metal. He's got the power. Of The furation. You feel the pain. Is the bication. He's master of hell. And we're. Massacration. He wants to speak. To all the nation. (Chorus 2x). Curupaco feel. The fire. Curupaco feel. Curupaco kill. With power. Curupaco kill. (Chorus 4x)
metal is the law,"Ai. Ai,Ai,Ai. Ai,Ai,Ai,Ai,Ai,Ai,Ai. Em Cima, Embaixo e Puxa e Vai. Ai,Ai,Ai. Ai,Ai,Ai,Ai,Ai,Ai,Ai. Em Cima, Embaixo e Puxa e Vaaaaai!!!. If You Want To Be Metal. There Laws You Got Obey. The Laws OF Gods Of Metal. And That's What I Say... HAHAHA!. If You Want To Be Metal. No Avacalhation. Use Black Forever. Go To The Show Of. Massacration. No! Boiolation. Frescuration. Viadation. Die! Reggae Idiota!. Mambo Escroto. Forró Babaca!. Metal Is The Law. The Law Is The Metal. Metal The Law Is. Metal. OOOOOHHHHHHHHHHH!!!. Now That. You Are Metal. Metal You Are. Never, Never, Never, Never, Never. Use Bermuda. No! Boiolation. Frescuration. Viadation. Die! Música eletronica. De Bicha!. Pop De Viados. Dance noooooo!!!!. Metal Is The Law. The Law Is The Metal. Metal The Law Is. Metal. OOOOOOOOOHHHHHHHHH!!!. Ai. Ai,Ai,Ai. Ai,Ai,Ai,Ai,Ai,Ai,Ai. Em Cima, Embaixo e Puxa e Vai. Ai,Ai,Ai. Ai,Ai,Ai,Ai,Ai,Ai,Ai. Em Cima, Embaixo e Puxa e Vaaaaai!!!. Ai. Ai,Ai,Ai. Ai,Ai,Ai,Ai,Ai,Ai,Ai. Ai. Ai,Ai,Ai. Ai,Ai,Ai,Ai,Ai,Ai,Ai. Metal!"
metal milkshake,"Aaaaaaaaaaaaaaaaaaah!. Lunch. Hot Dog. Milkshake. Sunday. Mayday. People. Table. Walkman. Umbrella-Aaaaaaaaaaaah. Round one. Fight. Final lap. Start. Game Over. Playstation. Atariii-Aaaaaaaaaaaaah. Come on Blondie Hammet.. Playback. Ketchup. Brother. Away!. Marshmallow. O.k.. Michael Jackson-Aaaaaaaaaaaah. Maclaren, bacon, greatest hits. Fax modem, internet, puff, metal. Play back, I love you, pause, stop. Michael Jackson-Aaaaaaaaaaaah. Oooooooooooh. Meeeeetal are the gods! (x4)"
the big heavy metal,"The big heavy metal. The big heavy metal. Heavy metal!. Hey you. The party is tonight. Come on all together. Hey you. The day of metal. Commemoration forever. We'll have soda. Candies and salgates. In the international heavy metal day. Come to the places were the metal is king. here the sound is heavy. Is not like B.B King. Hey you. The day of metal. Commemoration forever. Hey you. Meu chuchu. This is heavy metal. Don't bring father, don't bring mother. This is not the house of Mother Joana. Spikes, black leather, is the power of steel. Who don't like heavy metal vai pra puta que pariu. The big heavy metal. The big heavy metal. The big heavy metal. The big heavy metal. É big, é big, é big, é big, é big,. É hora, é hora, é hora, é hora, é hora,. Rá-tim-bum. Heavy metal. Heavy metal. Heavy metal. Heavy metal. The big heavy metal. The big heavy metal. The big heavy metal. The big heavy metal"
feel the fire from barbecue,Feel the fire of barbecue. Burning in the hell. Everybody's gonna bring. A lot of beers and meat. Lots of hearts in the sword. Picanha is in the salt. Lots of life in my stomach. The cow is gonna die!!!!. Barbecue of metal!!!. Maminha is gonna burn. (na grelha). Fraldinha is gonna burn. (na grelha). Javali is gonna burn. (na grelha). In hell you gonna burn. (na grelha). Burn. Burn!!!!!!
metal glu glu,"With foot ability. Glu-Glu on the hands. Mallandro is master. Mallandro is king. The fuckest master. Want a revenge. To honor Mallandro. We gonna sing.... Stallando cobra.. Super Mallandro and. Mallandrovsky. The fire of metal. Is still burning.. Take care of your ring. With foot ability. Glu-Glu on the hands. Mallandro is master. Mallandro is king. The fuckest master. Want a revenge. To honor Mallandro. We gonna sing.... Chorus:. Happy birthday to you. This is the metal glu-glu. (4x). Come on my love. Come on my chuchu. Come little near. I do glu-glu. Glu-glu for me. glu-glu for you. Come on my love. I love you, yeah, yeah!. I want to love. I want to squeeze. I want to kiss. I want to put you. In my heart. Little cat, little emotion. Let's go!. Chorus"
bad defecation (the bost thunder),"Starts with a strange sensation. A cold suoration. You're feeling no good. I'm tont, I'm dizzy, I'm dazed and confused. I think I have abused. Of the guloseima, guloseima.... And then you walk in the streets. Your legs are weak. The pressure is down. I'm thinking the demons are coming. They have no mercy. The evil of cu. Borbulhation in the stomach. Suoration in the test. Mama help me, mama. Ai caramba, the bost thunder. Run. Run away to the toilet. Run away to home. Run away to the bathroom. The sign of the bost"
hammercage hotdog hell,"Paces, roset sauce, ervile, beterrable. Corn, potato-palha, salsicha and tomato. Bacon, maionegs, ralad cheese, cenouration. Puret, codorn eggs, vinagration, mostardation. Paces, roset sauce, ervile, beterrable. Corn, potato-palha, salsicha and tomato. Bacon, maionegs, ralad cheese, cenouration. Puret, codorn eggs, vinagration, mostardation. Cheddar, pig toucin, chouriçus, gorgonzol. Torresmex, azeiton, onion rings of metal. Bread, presuntor, bolovo, mortadell. Catupiration, linguicy, hammercage hotdog hell. Hammercage hotdog hell. Hammercage hotdog hell. Hammercage hotdog hell. The hotdog from hell"
