alabama death tenebris,Alabama grindcore. Holy noise - death tenebris. Evil desecration. Conspiracy in oklahoma hills. Down the graveyard. Insane rites os funeral. Chasing down a voodoo there. Death and despair down in new orleans. Bloodshed under. The blackned lone star. Shadows over mississipi. Night eternal on arkansas. Down the graveyard. Insane rites of funeral
belshazzar,"Well the Bible tells us about a man. Who ruled Babylon and all it's land. Around the city he built a wall. And declared that Babylon would never fall. He had concubines and wives. He called his Babylon ""Paradise"". On his throne he drank and ate. But for Belshazzer it was getting late. For he was weighed in the balance and found wanting. His kingdom was divided, couldn't stand. He was weighed in the balance and found wanting. His houses were built upon the sand. The people feast and drank their wine. And praised the false gods of his time. All holy things were scorned and mocked. But suddenly all their mocking stopped. For on the wall there appeared a hand. Nothing else, there was no man. And but, the hand began to write. And Belshazzar couldn't hide his fright. For he was weighed in the balance and found wanting. His kingdom was divided, couldn't stand. He was weighed in the balance and found wanting. His houses were built upon the sand. Well no one around could understand. What was written by the mystic hand. Belshazzar tried but couldn't find. A man who could give him piece of mind. But Daniel the prophet, the man of God. He saw the writing on the wall in blood. Belshazzar asked him what it said. And Daniel turned to the wall and read. ""My friend your weighed in the balance and found wanting. Your kingdom was divided, it can't stand. Your weighed in the balance and found wanting. Your houses were built upon the sand"". Don't call my name out your window, I'm leaving. I won't even turn my head. Don't send your kinfolks to give me no talkin'. I'll be gone like I said. You'd say the same old things that you've been saying all along. Lay there in your bed and keep your mouth shut 'til I'm gone. Don't give me that old familiar cryin' cussin' moan,. Understand your man (I'm tired of your badmouthin'). Understand your man.. You can give my other suits to the Salvation Army. And everything else I leave behind.. I ain't takin' nothing that'll slow down my travelin'. While I'm untanglin' my mind.. I ain't gonna repeat what I said anymore. While I'm breathin' air that ain't been breathed before. I'll be as gone as a wild goose in winter. Then you'll understand your man (meditate on it). Understand your man (you hear me talkin'). Understand your man (remember what I told ya)"
big river,"Now I taught the weeping willow how to cry,. and I showed the clouds how to cover up a clear blue sky.. And the tears that I cried for that woman are gonna flood you Big River.. Then I'm gonna sit right here until I die.. I met her accidentally in St. Paul (Minnesota).. And it tore me up ev'ry time I heard her drawl, Southern drawl.. Then I heard my dream was back downstream cavortin' in Davenport,. And I followed you, Big River, when you called.. Then you took me to St. Louis later on (down the river).. A freighter said she's been here but she's gone, boy, she's gone.. I found her trail in Memphis, but she just walked up the block.. She raised a few eyebrows and then she went on down alone.. Now, won't you batter down by Baton Rouge, River Queen, roll it on.. Take that woman on down to New Orleans, New Orleans.. Go on, I""ve had enough; dump my blues down in the gulf.. She loves you, Big River, more than me."
boys from the county hell,"On the first day of march it was raining. It was raining worse. Than anything that I have ever seen. I drank ten pints of beer. And I cursed all the people there. And I wish that all this. Raining would stop falling down on me. And it's lend me ten pounds. I'll buy you a drink. And mother wake me early in the morning. At the time I was working for a landlord. And he was the meanest bastard. That you have ever seen. And to lose a single penny. Would grieve him awful sore. And he was a miserable bollocks. And a bitch's bastard's whore. And it's lend me ten pounds. I'll buy you a drink. And mother wake me early in the morning. I recall we took care of him one sunday. We got him out the back. And we broke his fucking balls. And maybe that was dreaming. And maybe that was real. But all I know is I left. That place without a penny or fuck all. And it's lend me ten pounds. I'll buy you a drink. And mother wake me early in the morning. But now I've the most charming of verandahs. I sit and watch the junkies. The drunks, the pimps, the whores. Five green bottles sitting on the floor. I wish to christ, I wish to christ. That I had fifteen more. And it's lend me ten pounds. I'll buy you a drink. And mother wake me early in the morning. And it's lend me ten pounds. I'll buy you a drink. And mother wake me early in the morning. The boys and me are drunk. And looking for you. We'll eat your frigging entrails. And we won't give a damn. Me daddy was a blue shirt. And my mother a madam. And my brother earned his medals. At mai lei in vietnam. And it's lend me ten pounds. And I'll buy you a drink. And mother wake me early in the morning. On the first day of march it was raining. It was raining worse than anything. That I have ever seen. Stay on the other side of the road. 'cause you can never tell. We've a thirst like a gang of devils. We're the boys of the county hell. And it's lend me ten pounds. And I'll buy you a drink. And mother wake me early in the morning. And it's lend me ten pounds. And I'll buy you a drink. And mother wake me early in the morning"
busted (cover),"My bills are all due and my baby need shoes but I'm busted. Cotton is down to a quater a pound, I'm busted. I've got a cow that went dry and a hen that won't lay. A big stack of bills that get bigger each day. The County will haul my belongings away I'm busted!. I call to my brother to ask for a loan, I'm busted. I hate to beg like a dog for a bone, but I'm busted. He said: Hey little brother there ain't a thing I can do. My kids and my wife are all down with the flu. And I was just thinking of calling on you, I'm busted!"
"cry, cry, cry","Everybody knows where you go when the sun goes down.. I think you only live to see the lights of town.. I wasted my time when I would try, try, try.. When the lights have lost their glow, you're gonna cry, cry, cry.. I lie awake at night and wait 'til you come in.. You stay a little while and then you're gone again.. Every question that I ask, I get a lie, lie, lie.. For every lie you tell, you're gonna cry, cry, cry.. You're gonna cry, cry, cry and you'll cry alone,. When everyone's forgotten and you're left on your own.. You're gonna cry, cry, cry.. Soon your sugar-daddies will all be gone.. You'll wake up some cold day and find you're alone.. You'll call to me but I'm gonna tell you: ""Bye, bye, bye,"". When I turn around and walk away, you'll cry, cry, cry,. When your fickle little love gets old, no one will care for you.. You'll come back to me for a little love that's true.. I'll tell you no and you gonna ask me why, why, why?. When I remind you of all of this, you'll cry, cry, cry.. You're gonna cry, cry, cry and you'll cry alone,. When everyone's forgotten and you're left on your own.. You're gonna cry, cry, cry.. You're gonna cry, cry, cry and you'll want me there,. It'll hurt when you think of the fool you've been.. You're gonna cry, cry, cry."
devil horse,"This is a song about devil horse, devil horse. The most strong blacktrunck of stormsville. This a song about devil horse, devil horse. And try to see how deep the hell is. And now it's gone there's no horse just like him. And now it's gone there's no horse just like him. So they made a whisky called devil horse, devil horse. And try to see how deep the hell is. So they made a whisky called devil horse, devil horse. And try to see how deep the hell is. And now it's gone there's no horse just like it. And now it's gone there's no horse just like it. And since 1899. There's bad moon rising. Thunder from the skies. And trouble on the way. Take the same old train. Get to dashville again. Hear the devil voice claim. Take a time of your fucking life. Of runaway. This is a song about devil horse, devil horse. The most strong blacktrunck of stormsville. This a song about devil horse, devil horse. And try to see how deep the hell is. And now it's gone there's no horse just like him. And now it's gone there's no horse just like it. And since 1899. There's bad moon rising. Thunder from the skies. And trouble on the way. Take the same old train. Get to dashville again. Hear the devil voice claim. Take a time of your fucking life. Of runaway"
die hillbilly,"Hey, you! Come close to me boy. Won't you try some cocaine?. Won't you try some liquor?. It's so good, to die and drive insane. Die, hillbilly, die, hillbilly. Die and rest in pain. Die, hillbilly, die, hillbilly. Your cousin did the same. Don't look at me. I'm not bad as you think. I'm just a businessman. Traveling blues, you can call me dude. But I'm looking for some stupid kind like you. Come on, boy!"
don't take your guns to town,"A young cowboy named Billy Joe. Grew restless on the farm. A boy filled with wanderlust. Who really meant no harm. He changed his clothes and shined his boots. And combed his dark hair down. And his mother cried as he walked out;. Refrain:. ""Don't take your guns to town, son. Leave your guns at home, Bill. Don't take your guns to town."". He sang a song as on he rode,. His guns hung at his hips. He rode into a cattle town,. A smile upon his lips. He stopped and walked into a bar and laid his money down. But his mother's words echoed again;. Refrain:. ""Don't take your guns to town, son. Leave your guns at home, Bill. Don't take your guns to town."". He drank his first strong liquor then to calm his shaking hand. And tried to tell himself at last he had become a man. A dusty cowpoke at his side began to laugh him down. And he heard again his mother's words;. Refrain:. ""Don't take your guns to town, son. Leave your guns at home, Bill. Don't take your guns to town."". Bill was raged and Billy Joe reached for his gun to draw. But the stranger drew his gun and fired before he even saw. As Billy Joe fell to the floor the crowd all gathered 'round. And wondered at his final words;. Refrain:. ""Don't take your guns to town, son. Leave your guns at home, Bill. Don't take your guns to town."""
five feet high and rising,"How high's the water, mama?. Two feet high and risin'. How high's the water, papa?. Two feet high and risin'. We can make it to the road in a homemade boat. That's the only thing we got left that'll float. It's already over all the wheat and the oats,. Two feet high and risin'. How high's the water, mama?. Three feet high and risin'. How high's the water, papa?. Three feet high and risin'. Well, the hives are gone,. I've lost my bees. The chickens are sleepin'. In the willow trees. Cow's in water up past her knees,. Three feet high and risin'. How high's the water, mama?. Four feet high and risin'. How high's the water, papa?. He said: four feet high and risin'. Hey, come look through the window pane,. The bus is comin', gonna take us to the train. Looks like we'll be blessed with a little more rain,. 4 feet high and risin'. How high's the water, mama?. Five feet high and risin'. How high's the water, papa?. He said: Five feet high and risin'. Well, the rails are washed out north of town. We gotta head for higher ground. We can't come back till the water comes down,. Five feet high and risin'. Well, it's five feet high and risin'"
