nothing else matters,"So close no matter how far. Couldn't be much more from the heart. Forever trusting who we are. And nothing else matters. Never opened myself this way. Life is ours, we live it our way. All these words I don't just say. And nothing else matters. Trust I seek and I find in you. Every day for us something new. Open mind for a different view. And nothing else matters. Never cared for what they do. Never cared for what they know. But I know. So close no matter how far. Couldn't be much more from the heart. Forever trusting who we are. And nothing else matters. Never cared for what they do. Never cared for what they know. But I know. Never opened myself this way. Life is ours, we live it our way. All these words I don't just say. And nothing else matters. Trust I seek and I find in you. Every day for us something new. Open mind for a different view. And nothing else matters. Never cared for what they say. Never cared for games they play. I never cared for what they do. I never cared for what they know. And I know. So close no matter how far. Couldn't be much more from the heart. Forever trusting who we are. And nothing else matters"
enter sandman,"Say your prayers, little one. Don't forget, my son,. To include everyone. Tuck you in, warm within. Keep you free from sin. Till the sandman he comes. Sleep with one eye open. Gripping your pillow tight. Exit light. Enter night. Take my hand. We're off to never neverland. Something's wrong, shut the light. Heavy thoughts tonight. And they aren't of Snow White. Dreams of war, dreams of liars. Dreams of dragon's fire. And of things that will bite. Sleep with one eye open. Gripping your pillow tight. Exit light. Enter night. Take my hand. We're off to never neverland. Now I lay me down to sleep. Pray the Lord my soul to keep. If I die before I wake. Pray the Lord my soul to take. Hush little baby, don't say a word. And never mind that noise you heard. It's just the beasts under your bed. In your closet, in your head. Exit light. Enter night. Grain of sand. Exit light. Enter night. Take my hand. We're off to never neverland"
the unforgiven,New blood joins this earth. And quickly he's subdued. Through constant pained disgrace. The young boy learns their rules. With time the child draws in. This whipping boy done wrong. Deprived of all his thoughts. The young man struggles on and on he's known. A vow unto his own. That never from this day. His will they'll take away. What I've felt. What I've known. Never shined through in what I've shown. Never be. Never see. Won't see what might have been. What I've felt. What I've known. Never shined through in what I've shown. Never free. Never me. So I dub thee unforgiven. They dedicate their lives. To running all of his. He tries to please them all. This bitter man he is. Throughout his life the same. He's battled constantly. This fight he cannot win. A tired man they see no longer cares. The old man then prepares. To die regretfully. That old man here is me. What I've felt. What I've known. Never shined through in what I've shown. Never be. Never see. Won't see what might have been. What I've felt. What I've known. Never shined through in what I've shown. Never free. Never me. So I dub thee unforgiven. What I've felt. What I've known. Never shined through in what I've shown. Never be. Never see. Won't see what might have been. What I've felt. What I've known. Never shined through in what I've shown. Never free. Never me. So I dub thee unforgiven. Never free. Never me. So I dub thee unforgiven. You labeled me. I'll label you. So I dub thee unforgiven. Never free. Never me. So I dub thee unforgiven. You labeled me. I'll label you. So I dub thee unforgiven
one,"I can't remember anything. Can't tell if this is true or dream. Deep down inside I feel to scream. This terrible silence stops me. Now that the war is through with me. I'm waking up, I can now see. That there's not much left of me. Nothing is real but pain now. Hold my breath as I wish for death. Oh please God, wake me. Back in the womb it's much too real. In pumps life that I must feel. But can't look forward to reveal. Look to the time when I'll live. Fed through the tube that sticks in me. Just like a wartime novelty. Tied to machines that make me breathe. Cut this life off from me. Hold my breath as I wish for death. Oh please God, wake me. Now the world is gone I'm just one. Oh God help me. Hold my breath as I wish for death. Oh please God, help me. Darkness. Imprisoning me. All that I see. Absolute horror. I cannot live. I cannot die. Trapped in myself. Body my holding cell. Landmine. Has taken my sight. Taken my speech. Taken my hearing. Taken my arms. Taken my legs. Taken my soul. Left me with life in Hell"
fade to black,"Life, it seems, will fade away. Drifting further every day. Getting lost within myself. Nothing matters, no one else. I have lost the will to live. Simply nothing more to give. There is nothing more for me. Need the end to set me free. Things not what they used to be. Missing one inside of me. Deathly lost, this can't be real. Cannot stand this hell I feel. Emptiness is filling me. To the point of agony. Growing darkness taking dawn. I was me, but now he's gone. No one but me can save myself. But it's too late. Now I can't think. Think why I should even try. Yesterday seems as though it never existed. Death greets me warm. Now I will just say goodbye"
master of puppets,"End of passion play, crumbling away. I'm your source of self-destruction. Veins that pump with fear,. sucking darkest clear. Leading on your deaths' construction. Taste me and you will see. More is all you need. Dedicated to. How I'm killing you. Come crawling faster. Obey your Master. Your life burns faster. Obey your Master. Master. Master of Puppets I'm pulling your strings. Twisting your mind and smashing your dreams. Blinded by me, you can't see a thing. Just call my name, `cause I'll hear you scream. Master. Master. Just call my name, `cause I'll hear you scream. Master. Master. Needlework the way, never you betray. Line of death becoming clearer. Pain monopoly, ritual misery. Chop your breakfast on a mirror. Taste me and you will see. More is all you need. You're dedicated to. How I'm killing you. Come crawling faster. Obey your Master. Your life burns faster. Obey your Master. Master. Master of Puppets I'm pulling your strings. Twisting your mind and smashing your dreams. Blinded by me, you can't see a thing. Just call my name, `cause I'll hear you scream. Master. Master. Just call my name, `cause I'll hear you scream. Master. Master. Master, Master,. Where's those dreams that I've been after?. Master, Master,. You promised only lies. Laughter, Laughter,. All I hear and see is laughter. Laughter, Laughter,. Laughing at my cries. Fix Me. Hell is worth all that,. natural habitat. Just a rhyme without a reason. Neverending maze,. drift on numbered days. Now your life is out of season. I will ocupy. I will help you die. I will run though you. Now I rule you too. Come crawling faster. Obey your Master. Your life burns faster. Obey your Master. Master. Master of Puppets I'm pulling your strings. Twisting your mind and smashing your dreams. Blinded by me, you can't see a thing. Just call my name, `cause I'll hear you scream. Master. Master. Just call my name, `cause I'll hear you scream. Master. Master. ha ha ha. ha ha ha"
the day that never comes,"Born to push you around. Better just stay down.. You pull away. He hits the flesh. You hit the ground.. Mouth so full of lies. Tend to black your eyes.. Just keep them closed. Keep praying. Just keep waiting. Waiting for the one. The day that never comes. When you stand up and feel the warmth. But the Sunshine never comes.. No, the Sunshine never comes.. Push you cross that line,. Just stay down this time.. Hide in yourself. Crawl in yourself. You'll have your time.. God I'll make them pay. Take it back one day.. I'll end this day.. I'll splatter color on this gray.. Waiting for the one. The day that never comes. When you stand up and feel the warmth. But the sunshine never comes.. Love... is a four letter word,. And never spoken here.. Love... is a four letter word,. Here in this prison.. I suffer this no longer,. I'll put an end to this, I swear.. This, I swear. The sun will shine.. This, I swear,. This, I swear,. This, I swear!"
the unforgiven ii,"Lay beside me. Tell me what they've done. Speak the words I wanna hear. To make my demons run. The door is locked now. But it's open if you're true. If you can understand me. Then I can understand you. Lay beside me. Under wicked sky. Through black of day. Dark of night. We share this paralyzed. The door cracks open. But there's no sun shining through. Black heart scarring darker still. But there's no sun shining through. No, there's no sun shining through. No, there's no sun shining. What I've felt. What I've known. Turn the pages. Turn the stone. Behind the door. Should I open it for you?. Yeah. What I've felt. What I've known. Sick and tired. I stand alone. Could you be there. 'cause I'm the one who waits for you. Or are you unforgiven too?. Come lay beside me. This won't hurt, I swear. She loves me not. She loves me still. But she'll never love again. She lay beside me. But she'll be there when I'm gone. Black heart scarring darker still. Yes, she'll be there when I'm gone. Yes, she'll be there when I'm gone. Dead sure she'll be there. What I've felt. What I've known. Turn the pages. Turn the stone. Behind the door. Should I open it for you?. Yeah. What I've felt. What I've known. Sick and tired. I stand alone. Could you be there. 'cause I'm the one who waits for you. Or are you unforgiven too?. Lay beside me. Tell me what I've done. The door is closed, so are your eyes. But now I see the sun. Now I see the sun. Yes, now I see it. What I've felt. What I've known. Turn the pages. Turn the stone. Behind the door. Should I open it for you?. Yeah. What I've felt. What I've known. So sick and tired. I stand alone. Could you be there. 'Cause I'm the one who waits. The one who waits for you. Oh. What I've felt. What I've known. Turn the pages. Turn the stone. Behind the door. Should I open it for you?. Oh, what I've felt. Oh, what I've known. I take this key. And I bury it in you. Because you're unforgiven too. Never me. Never me. 'Cause you're unforgiven too. Oh"
mama said,"Mama, she has taught me well. Told me when I was young. ""Son, your life's an open book. Don't close it 'fore its done"". ""The brightest flame burns quickest"". That's what I heard her say. A son's heart's owned to mother. But I must find my way. Let my heart go. Let your son grow. Mama, let my heart go. Or let this heart be still. Yeah, still. Rebel, my new last name. Wild blood in my veins. They bring strings around my neck. The mark that still remains. Left home at an early age. Of what I heard was wrong. I never asked forgiveness. But what I said is done. Let my heart go. Let your son grow. Mama, let my heart go. Or Let this heart be still. Never I ask of you. But never I gave. But you gave me your emptiness l now take to my grave. Never I ask of you. But never I gave. But you gave me your emptiness I now take to my grave. So let this heart be still. Mama, now I'm coming home. I'm not all you wished of me. But a mother's love for her son. Unspoken, help me be. I took your love for granted. And all the things you said to me. I need your arms to welcome me. But a cold stone's all I see. Let my heart go. Let your son grow. Mama, let my heart go. Or let this heart be still. Let my heart go. Mama, let my heart go. You never let my heart go. So let this heart be still. Never I ask of you. But never I gave. But you gave me your emptiness l now take to my grave. Never I ask of you. But never I gave. But you gave me your emptiness I now take to my grave. So let this heart be still"
sad but true,"Hey, I'm your life, I'm the one who takes you there. Hey, I'm your life, I'm the one who cares. They, they'll betray, I'm your only true friend now. They, they'll betray, I'm forever there. I'm your dream, make you real. I'm your eyes when you must steal. I'm your pain when you can't feel. Sad but true. I'm your dream, mind astray. I'm your eyes while you're away. I'm your pain while you repay. You know it's sad but true. Sad but true. You, you're my mask, you're my cover, my shelter. You, you're my mask, you're the one who's blamed. Do, do my work, do my dirty work, scapegoat. Do, do my deeds,. for you're the one who's shamed. I'm your dream, make you real. I'm your eyes when you must steal. I'm your pain when you can't feel. Sad but true. I'm your dream, mind astray. I'm your eyes while you're away. I'm your pain while your repay. You know it's sad but true. Sad but true. I'm your dream. I'm your eyes. I'm your pain. I'm your dream (I'm your dream). I'm your eyes (I'm your eyes). I'm your pain (I'm your pain). You know it's sad but true. Hate, I'm your hate, I'm your hate when you want love. Pay, pay the price, pay for nothing's fair. Hey, I'm your life, I'm the one who took you there. Hey, I'm your life, And I no longer care. I'm your dream, make you real. I'm your eyes when you must steal. I'm your pain when you can't feel. Sad but true. I'm your truth, telling lies. I'm your reason alibis. I'm inside, open your eyes. I'm you. Sad but true"
