kids,You were a child. Crawling on your knees toward it. Making momma so proud. But your voice is too loud. We like to watch you laughing. You pick the insects off plants. No time to think of consequences. (Chorus). Control yourself. Take only what you need from him. A family of trees wanting to be haunted. Control yourself. Take only what you need from him. A family of trees wanting to be haunted. The water is warm. But it's sending me shivers. A baby is born. Crying out for attention. Memories fade. Like looking through a fogged mirror. Decisions too. Decisions are made and not bought. But I thought this wouldn't hurt a lot. I guess not. Control yourself. Take only what you need from him. A family of trees wanting to be haunted. Control yourself. Take only what you need from him. A family of trees wanting to be haunted. Chorus x6
electric feel,All along the western front. People line up to receive. She got the power in her hands. To shock you like you won't believe. Saw her in the amazon. With the voltage running through her skin. Standing there with nothing on. She's gonna teach me how to swim. I said ooh girl. Shock me like an electric feel. Baby girl. Turn me on with your electric feel. I said ooh girl. Shock me like an electric feel. Baby girl. Turn me on with your electric feel. All along the eastern shore. Put your circuits in the sea. This is what the world is for. Making electricity. You can feel it in your mind. Oh you can do it all the time. Plug it in and change the world. You are my electric girl. I said ooh girl. Shock me like an electric feel. Baby girl. Turn me on with your electric feel. I said ooh girl. Shock me like an electric feel. Baby girl. Turn me on with your electric feel. Do what you feel now. Electric feel now. Do what you feel now. Electric feel now. Do what you feel now. Electric feel now. Do what you feel now. Electric feel now. Do what you feel now. Electric feel now
time to pretend,"I'm feelin rough I'm feelin raw I'm in the prime of my life.. Let's make some music. Make some money find some models for wives.. I'll move to Paris, shoot some heroin and fuck with the stars.. You manage the island and the cocaine. and the elegant cars.. This is our decision to live fast and die young.. We've got the vision, now let's have some fun.. Yeah it's overwhelming, but what else can we do?. Get jobs in offices. and wake up for the morning commute?. Forget about our brothers and our friends.. We are fated to pretend.. I'll miss the playgrounds and the animals. and digging up worms.. I'll miss the comfort of my mother and the weight of the world.. I'll miss my sister, miss my father,. miss my dog and my home.. Yeah I'll miss the boredom and the freedom. And the time spent alone.. But there is really nothing, nothing we can do.. Love must be forgotten.. life can always start up anew.. The models will have children, we'll get a divorce,. We'll find some more models, everything must run its course.. We'll choke on our vomit. and that will be the end.. We are fated to pretend.. Yeah yeah yeah"
when you die,"[verse 1]. I'm not that nice. I'm mean and I'm evil. Don't call me nice. I'm gonna eat your heart out. I've got some work to do. Baby, I'm ready, I'm ready, ready, ready to blow my lid off. [verse 2]. Go fuck yourself. You heard me right. Don't call me nice again. Don't you have somewhere to be at seven thirty?. Baby, I'm ready, I'm ready, ready. Ready to blow my brains out. [chorus 1]. You die. And words won't do anything. It's permanently night. And I won't feel anything. We'll all be laughing with you when you die. [chorus 2]. Words won't do anything. It's permanently night. And I won't feel anything. We'll all be laughing with you when you die. [verse 3]. Go fuck yourself. I'm mean, not nice. You said it twice. You said it twice. Don't you have somewhere to be at seven thirty?. [interlude]. I've got some work to do. I'm gonna eat your heart out. I heard you the first time"
little dark age,Breathing in the dark. Lying on its side. The ruins of the day. Painted with a scar. And the more I straighten out. The less it wants to try. The feelings start to rot. One wink at a time. Forgiving who you are. For what you stand to gain. Just know that if you hide. It doesn't go away. When you get out of bed. Don't end up stranded. Horrified with each stone. On the stage. My little dark age. Picking through the cards. Knowing what's nearby. The carvings on the face. Say they find it hard. And the engine's failed again. All limits of disguise. The humor's not the same. Coming from denial. I grieve in stereo. The stereo sounds strange. I know that if you hide. It doesn't go away. If you get out of bed. And find me standing all alone. Open-eyed. Burn the page. My little dark age. I grieve in stereo. The stereo sounds strange. You know that if it hides. It doesn't go away. If I get out of bed. You'll see me standing all alone. Horrified. On the stage. My little dark age. Giddy with delight. Seeing what's to come. The image of the dead. Dead ends in my mind. Policemen swear to God. Love's seeping from the guns. I know my friends and I. Would probably turn and run. If you get out of bed. Come find us heading for the bridge. Bring a stone. All the rage. My little dark age. I grieve in stereo. The stereo sounds strange. I know that if you hide. It doesn't go away. If you get out of bed. And find me standing all alone. Open-eyed. Burn the page. My little dark age. All alone. Open-eyed. Burn the page. My little dark age
james,"James. You heed the call. You go outside, you walk along. You're always there. Forever you. You can always say that you've. James. If you need a friend. And I know that. And I'll be there. My door is always open. James. Just know that"
she works out too much,"[woman's voice]. Get ready to have some fun!. Alright, here we go!. Five, four, three, two, and one. Are you ready to work out?. [verse 1]. Don't take it the wrong way. I can never keep up. Sick of liking your selfies. Should've gone with my gut. Maybe I'm in a movie. Maybe I'm out to lunch. But I'm constantly swiping it, tapping. It's never relaxing. I need a new routine. [chorus]. (he's trying). (she works out too much). The only reason we never worked out was. He didn't work out. (he's trying). (she works out too much). The only reason we never worked out was. He didn't work out enough. (he's trying). [woman's voice]. Let's move on to the first step. Get on your hands and knees. Come on!. Get on your hands and knees. Ready? here we go!. [verse 2]. Welcome to the shitshow. Grab a comfortable seat. Find me in the front row. Listening to music. Anyone can see. [chorus]. (he's trying). (she works out too much). (she works out too much and). The only reason we never worked out was. He didn't work out. (he's trying). (she works out too much and). The only reason we never worked out was. He didn't work out enough. (he's trying). [woman's voice]. Remember to drink a glass of water. Before and after you work out. Learn form and shape. Stick with it. Here we go!. [verse 3]. I'm going off the deep end. Time to let myself go. Nothing's ever as easy as when. It never begins. The end is just a dream. [chorus extended]. (he's trying). (she works out too much). (she works out too much and...). The only reason we never worked out was. He didn't work out. (he's trying). (she works out too much). (she works out too much and...). The only reason we never worked out was. He didn't work out enough. (he's trying). (she works out too much). (she works out too much and...). The only reason we never worked out was. He didn't work out. (he's trying). (she works out too much). (she works out too much and...). The only reason we never worked out was. He didn't work out enough. (he's trying). (she works out too much). The only reason we never worked out was. We didn't work out, it never works out. No, it never works out. She works out too much. No, I never work out. It didn't work out. No, it never works out. [outro]. Okay, we're done"
alien days,"Sometimes the windows combine with the seams in a way. That twitches on a peak at the place where the spirit was slain. One foot leads to another. Night's for sleep, blue curtains, covers. Sequins in the eyes. That's a fine time to dine. Divine who's circling, feeding the cards to the midwives. Who love those alien days. The nonstop alien days. Mmm the alien days. Must've skipped the ship and joined the team. For a ride. A couple hours to learn the controls. And commandeer both my eyes. Hey! Be quick dear, times are uncertain. One month crawling, next year blurring. Decades in the drain. Monograms on the brain. Decide what's working and what's moved on to the last phase. The floodgate alien days. I love those alien days. Mmm the alien days. When the peels are down it feels like traveling in style. You don't need wings to hover forty ton stones for a mile. And in the summer, virgin visions. Mindless humming. Numbers can't decide if the day's supposed to smile. Today find infinite ways it could be plenty worse. It's a blessing but it's also a curse. Those days taught me everything I know. How to catch a feeling and when to let it go. How all the scheming, soulless creatures. Can't find dreamer's honey in the hive. If it's right beneath the nose. And when the light is new. The sky shows trembling cartoons. You don't need smoke to cover. Most of the world in a gloom. But here comes racer number 7. Watch my fingers ripping out the lines. If it looks like we could lose.... If it looks like we could lose.... If it looks like we could lose.... If it looks like we could lose..."
me and michael,"Not everyone can be like me and Michael. The only problem is forgetting which side you're on. So you think the burning light. will reappear on summer nights. Like all the rest, but they can't find out. In every scene, it's me and Michael. Imaginary bombs raining down from the clouds. So it seems the danger signs. will never let the feelings die. When all the best and brightest have gone. Me and Michael. Solid as they come. Me and Michael. It's not a question now. It's me and Michael. Solid as they come. Me and Michael. It's not a question now. Me and Michael. Binary star sink like the setting sun. Too happy with ourselves to notice. when the change had come. So you think the losing side. would never break dividing lines. When sanctity wasn't a thing of doubt. Me and Michael. Solid as they come. Me and Michael. It's not a question now. It's me and Michael. Solid as they come. Me and Michael. It's not a question now. Me and Michael"
when you're small,"[verse 1]. When you're big. And troubles seem so far. You put your belly up to the bar. Squint your eyes. You can almost miss the dirt. You tell yourself. It couldn't hurt. [chorus]. But when you're small. You can't walk down the hall. When you're small. You're not very big at all. [verse 2]. When you're low. You reach a certain point. Where you can't really see the point. You can try. But, you can't see eye to eye. Yet when you're low then you really know. [bridge]. When you're high. It's easier to fight. When you're high. You don't have to know why. [chorus]. When you're small. You don't have very far to fall. When you're small. You feel like you belong. When you're small. You can curl into a ball. When you're small. No, you're not very big at all"
