be true to yourself,"I came down. But my head went up. I had no doubts. And hope there was not. Break it loose. Spread the news. Get it out. Make it loud. Sing it!. I got it comin' there is nothing that can stop me. I feel it comin' there's no limit to the free me. The sky is open and the angels sing it so clear. I am the winner over all these hidden fears. Be true to yourself!. I have found. I once was lost. I came round. To see what it costs. Kick it up. To the top. There's a lot. That I got. Hear it!. Don't wanna look back, got to start to see the future. Don't wanna hold back got to let it out and to ya. The bomb is ticking, I know it's gonna blow up. Right now there's nothing, no one,. nowhere that can make it stop!. Be true to yourself!"
sacred grounds,"I am gone, I am gone. Occasionally we leave to get us back. We're gone but haven't found what's ours yet. I am lost, I am lost. Secretly the lost that sets us free. Brings you down to what you really need. It's not that I want to. It's not that I need to. It's not that I long to fall. I don't - want to know. For good - don't wanna rob your goods. I really don't mind to value it. I took - what was my own. Look - I really don't fly to unsacred grounds. To - survey your world. But tell me haven't you heard. Now I'm here, now I'm here. Your tainted cry now scattered falls apart. The fear has proven now where you are. I won't give in, won't give in. So desperately we boil, our ego's none. They quiet us down to sing rattle and hum. It's not that we want to. It's not that we need to. It's not that we long to fall. I don't - want to know. For good - the wonder of your goods. I really don't mind to value it. I took - what was my own. Look - I really don't fly to unsacred grounds. To - survey your world. But tell me haven't you heard. Here I go again, here we come again. You won't carry that weight alone on you. You knew the sense of my flight, I sense all your fights. There's really no peace for coming in.. I don't - want to know. For good - don't wanna rob your goods. I really don't mind to value it. I took - what was my own. Look - I really don't fly to unsacred grounds. To - survey your world. But tell me haven't you heard"
when you're down on your knees that's when you're closest to heaven,"I don't believe what you're saying. I don't believe a word. You never did anything that was true. And hate will be your final work. I wouldn't dance at your party. No, I wouldn't risk a dance. And for the rest of my time. I will keep it mind. I will look at your life and will find:. When you're down on your knees. That's when you're closest to heaven. I don't believe when you're smiling. I don't believe in your mask. You hardly say anything you don't use. All your life is a lie at it's best. Your love means never another. Is there anything left that is true?. You will end all alone. With no peace of your own. 'Cause the god of love you've never known!. When you're down on your knees. That's when you're closest to heaven. I guess you'll never get it. You'll never regret all the broken hearts. You've left behind. If there's one thing that you'll never find -. It's a peace of mind. There's always one a lonely street. Walking his way to the sun. There's always one. That takes the whole world's greed. All on his back and it's done. And ever since the world's turning. There's always a fool that is leading the blind. If there's one thing that you'll never find -. It's a peae of mind. Your thoughts are so low it's a shame. That's why for you everyone else is low. People see life through the glass in their hearts. So the fruits of your doings do show. In this world it all could mean maybe. But on the other side you'll hear it loud. I know time clears the clouds. One day you won't walk so proud. It will all be revealed there's no doubt. 'Cause when you're down on your knees. That's when you're closest to heaven. When you're down on your knees. That's when you're closest to heaven"
always,"There is no place for me. And no one to set me free. There is no way to go. There is no place for me. Where it´s warm and where I can be. At least there is no place that I know. Sometimes it´s hard to see that you´re running out of luck. Right now it´s my own life I don´t know. With everything I did I was the one who laughed. Yes I was always tall and smiled. Yes everything I did I thought would always last. And I felt always strong inside. Now there´s no place for me. And no one to set me free. There is no way to go. There is no place for me. Where it´s warm and where I can be. At least there is no place that I know. But I´m fine, I´m alright even though there´s nothing left. ´Cos what it means I´m sure will show. Somewhere along the way I lost the key for it. But I was always true inside. Somewhere inside myself I´m praying for a bit. Of what was always open wide. When I look around there´s only broken glass I see. And everywhere I reach it´s hunting me. Looking back I find there was not much how it should be. It´s slowly killing me!. I got to go, kick all dust off my shoes. Take all that´s good inside and turn it ´round. ´Cos with everything I did I was the one who laughed. Yes I was always tall and smiled. Yes everything I did I thought would always last. And felt always strong inside"
alexander the great,"Near to the East, in a part of ancient Greece,. In an ancient land called Macedonia,. Was born a son to Philip of Macedon,. The legend his name was Alexander.. At the age of nineteen, he became the Macedon king,. And he swore to free all of Asia Minor,. By the Aegian Sea in 334 BC,. He utterly beat the armies of Persia.. Chorus:. Alexander the Great,. His name struck fear into hearts of men,. Alexander the Great,. Became a legend 'mongst mortal men.. King Darius the third, Defeated fled Persia,. The Scythians fell by the river Jaxartes,. Then Egypt fell to the Macedon king as well,. And he founded the city called Alexandria.. By the Tigris river, he met King Darius again,. And crushed him again in the battle of Arbela,. Entering Babylon and Susa, treasures he found,. Took Persepolis, the capital of Persia.. Chorus:. Alexander the Great,. His name struck fear into hearts of men,. Alexander the Great,. Became a god amongst mortal men.. A Phrygian King had bound a chariot yoke,. And Alexander cut the ""Gordion knot"",. And legend said that who untied the knot,. He would become the master of Asia.. Hellenism he spread far and wide,. The Macedonian learned mind,. Their culture was a western way of life,. He paved the way for Christianity.. Marching on, Marching on.. The battle weary marching side by side,. Alexander's army line by line,. They wouldn't follow him to India,. Tired of the combat, pain and the glory.. Chorus:. Alexander the Great,. His name struck fear into hearts of men,. Alexander the Great,. He died of fever in Babylon."
longing,"Feelings come and go - I've never known. Something longs to grow - won't let go. Spirits 'round my head - are whispering. I turn inside instead - of wondering. Deep inside of me - I know there's got to be. A different kind of truth - that sets the spirit free. If I don't wanna know - what's written inside me. How could I see anything - how could I be anything?. Restless minds have searched - long before. The truth will be the same - for evermore. The mightiness of trees - that you can feel. Can give you all you need - just listen still. Here is love and there is pain. It's all around, it's all the same. There's nothing new that I could tell to you. But still there is the universe inside of us that never bursts. We might not know the meaning yet, but I'm sure we can't reject. The truth that is in everything - that is and has been and will be. There is a long way to go - there is a high place to know. There is a world to go through - but there's so much more to do. Until we're home!. Deep inside of me - I know there's.... Feelings come and go - I've never known"
do i remember a life?,"I once was a blue eyed. I once dreamed I was free. I once dived in a life spending sea. And heard the voice of the priest. I once heard the angels. Singing the song of the cross. There was no fear, no doubts in our hearts. No soul could ever get lost. I prayed to the heavens above. I reached for the sky full of love. Awaited the luminous sign. To hear what's heard by the pure-restless mind. Now you can see me return. I look for the priest to make me learn. Will I remember the past?. Make me return to the best!. Do I remember a life?. In the dark age of time?. I hear it call in my dreams. Maybe I was not alone?. Maybe I called friends my own?. Together hearts full of love!. I know my heart says the truth. Maybe it was me and you?. I got to return to the wind. This world is never our home. Somewhere I left friends alone. Can someone show me the way?. Do I remember a life?. There once was the mystery. That now sings in my heart. The fire in my veins talks so loud about the past. About the place where the love for our hearts starts. We once moved through the cold fields. Strong and save led by the gods. The voices in the wind sang the children to sleep. Free spirits looked clear through the dark. I pray to the heavens abouve. I reach for the sky full of love. I wait for the luminous sign. To hear what's heard by the pure-restless mind. I see the twelve around the ONE. The mystery truth to carry on. A fight against the strong earth-kings. The sungod's light we had to bring. Do I remember a life?. In the dark age of time?. I hear it call in my dreams. Maybe I was not alone?. Maybe I called friends my own?. Together hearts full of love!. I know my heart says the truth. Maybe it was me and you?. I got to return to the wind. This world is never our home. Somewhere I left friends alone. Can someone show me the way?. Do I remember a life?. Oh, god! Help me to understand me. Guide me through visions I see. So far. You carry my soul back in time. The past shows the future to climb. Oh, god! Did I once be there by your side?. Will I once return to your light?. So far - Away from this world leads your love. My heart gets the wings of a dove and flies. Oh, god! Help me to sing you this song. I pray for your kingdom to come -"
a little time,"Higher. It's what I expect from my Life. It's like a wire. That holds me back down to the ground. Oh, I hear you say. ""That is the way of the world"". No, hear what I say. ""I wanna do so much in my way"". Higher. I've set my limits and bounds. There's a fire. It's burning so hot in my head. Oh, I hear you say. ""That is the way of the world"". No, hear what I say. ""I wanna do so much in my way"". Chorus. We got. A little time to build up your lives. A little time to make up our minds. A little time to fill up our dreams. A little time, time. [Solo]. [Mike /Kai]. Chorus [Solo Licks Kai]"
a song is just a moment,"A song is just a moment that might never come back. A song is just a feeling that sometimes I regret. When in that magic moment a melody is born. Some other moments later it may bother like thorn. Because I´ve got to live my life like everyone must do. I don´t regret a single feeling I had to walk through. Life is a thing to get to know ourselves. And you´re a king when clear hear those bells. It´s clear, so clear I see!. I wright down my emotions to see waht´s up inside. I walk across this bridge called life and found a place to hide. who ever you may talk to, the sky will still br blue!. What ever you may talk ´bout me, it shows what´s inside 'o you. If there´s a truth, it stays the truth, whatever mankind does. I just decicted silently: I do belive in love. Life is a thing to get to know ourselves. And you´re a king when clear hear those bells. It´s clear, so clear when you see!. Things are comming, things are going, who´ll make the score?. I feel that I´m not scared as much I was yeas before!. My mind is a thing that hanges colours fast. What times ever brings, we know it never lasts. Who knows? Maybe God? Maybe God!"
alexander the great,"Near to the East, in a part of ancient Greece,. In an ancient land called Macedonia,. Was born a son to Philip of Macedon,. The legend his name was Alexander.. At the age of nineteen, he became the Macedon king,. And he swore to free all of Asia Minor,. By the Aegian Sea in 334 BC,. He utterly beat the armies of Persia.. Chorus:. Alexander the Great,. His name struck fear into hearts of men,. Alexander the Great,. Became a legend 'mongst mortal men.. King Darius the third, Defeated fled Persia,. The Scythians fell by the river Jaxartes,. Then Egypt fell to the Macedon king as well,. And he founded the city called Alexandria.. By the Tigris river, he met King Darius again,. And crushed him again in the battle of Arbela,. Entering Babylon and Susa, treasures he found,. Took Persepolis, the capital of Persia.. Chorus:. Alexander the Great,. His name struck fear into hearts of men,. Alexander the Great,. Became a god amongst mortal men.. A Phrygian King had bound a chariot yoke,. And Alexander cut the ""Gordion knot"",. And legend said that who untied the knot,. He would become the master of Asia.. Hellenism he spread far and wide,. The Macedonian learned mind,. Their culture was a western way of life,. He paved the way for Christianity.. Marching on, Marching on.. The battle weary marching side by side,. Alexander's army line by line,. They wouldn't follow him to India,. Tired of the combat, pain and the glory.. Chorus:. Alexander the Great,. His name struck fear into hearts of men,. Alexander the Great,. He died of fever in Babylon."
