killing the joke,"Inhibitions, televisions. Clicking through whatever weather. You know that your mind lets you know. I know better. But I, I want to see you tonight. 'Cause the clocks count down and we're in for bad weather. It'd be nice to see you, to see you nice. But I, I want to see you tonight. 'Cause you're my top, you're my top. You're my top one-hundred shows. Why do I always have to go killing the joke?. Interstellar, dressed in leather, drinking bitter boy. You know the plan but you never knew the ploy. But I, I live a lonely life. Since you've been gone I left the TV on. Let the milk go sour, let the bills pile up. But I, I know I'm a funny guy. 'Cause you're my top, you're my top. You're my top one-hundred shows. Why do I always have to go killing the. Swear I saw you smile. You try to hide it with. Three fifteen on the wrong side. But not too obvious. 'Cause you're my top, you're my top. You're my top one-hundred shows. Why do I always have to go killing the joke?. Kill the joke. Kill the joke. Kill the joke. Kill the joke"
cry on my guitar,"Rolling on a sweepstake 65. Loaded with the cheapskates barely alive. I said yeah, I come undone. Rolling out the chimney you can see the cracks. Taps me on the shoulder, had a heart attack. I said yeah, I come undone. And when you push me, yeah, you push me. Yeah you push me too far. I sit and then I cry upon the strings of my guitar. And everybody tells me that it's—. Shalalalala, oh yeah. Stop me on the avenue, cuffs on my wrists. Told me I was driving like a ballroom blitz. I said yeah, I'm so high and strung. Every time you leave me, yeah, it comes to this. Mix another medicine, mad scientist. I said yeah, I'm so high and strung. And when you push me, yeah, you push me. Yeah you push me too far. I sit and then I cry upon the strings of my guitar. And everybody tells me that it's—. Shalalalala, oh yeah. Why does it always have to come to this?. Late night, all night, miss your kiss. I said yeah, I'm so high and strung. Why does it always have to come to this?. Late night, all night, miss your kiss. I said yeah, I'm so high and strung, strung, strung. And when you push me, yeah, you push me. Yeah you push me too far. I sit and then I cry upon the strings of my guitar. And everybody tells me that it's—. Shalalalala, oh yeah"
don't forget who you are,"The finest clothes that you can find. Dressed in my coats, I'm feeling fine. I wanna shine. I'll shine so hard. I'll stand up high. These foolish ways, I know my place. My time is now, my time is now. Although we're tongue-tied and breathless. We won't let our worries dictate who we are. Throw out the old doubts. We won't let our worries dictate who we are. La la la, la la la la la la. Don't forget who you are. Don't build me up. Make up your mind. Then keep the faith, I'll keep the faith. I like your style, you make me smile. Although we're tongue-tied and breathless. We won't let our worries dictate who we are. So let's throw out the old doubts. We won't let our worries dictate who we are. La la la, la la la la la la. Don't forget who you are. Darling close your eyes. And wish for more. Weighing our dreams till we're ready for more. When we're tongue-tied and breathless. We won't let our worries dictate who we are. So let's throw out the old doubts. We won't let our worries dictate who we are. La la la, la la la la la la. Don't forget who you are. La la la, la la la la la la. Don't forget who you are. La la la, la la la la la la. Don't forget who you are. La la la, la la la la la la"
coup de grace,"Open the centerfold and behold. The creases you've come to know make up your soul. Inspect the spectacle, the divine show. No-one understands but pretends to know. Inside your little palm, singing psalms. Peering through the space between your arms. My story lacks in the facts. I don't know what I'm on. So come on, coup de grace. Coup de grace. Coup de grace. Coup de, coup de. Coup de grace. Coup de grace. Coup de, coup de. Running the circles through, right back to you. Finding at the finish line, nothing new. The let-down that sticks like you. Slipping through my fingers gripping onto what is left of you. Waiting for lessons learned, taking turns. The loudest of them all, left to be unheard. My story lacks in the facts. That it's so absurd. So come on, coup de grace. Coup de grace. Coup de grace. Coup de, coup de. Coup de grace. Coup de, coup de. Coup de, coup de. Coup de, coup de. You know I want it. You know I need it. You know I need it all the time. You know I want it. You know I need it. You know I need it all the time. You know I want it. You know I need it. You know I need it all the time. Time, time, time, time, time, time, time, time, time. Coup de grace. Coup de grace. Coup de, coup de. Coup de grace. Coup de grace. Coup de, coup de. Coup de, coup de. Coup de, coup de. Coup de, coup de. Coup de, coup de. Coup de, coup de"
too little too late,"One, two. One, two, three, four. Give me something for the guillotine. Give me something your heart. Give me something for the best days of us. Give me something wrapped in cellophane. You say you want a new start. I try and I try but I can't stop. I'm too fickle. Set in my ways. I'm too little too late. Coming down like a limousine. Follow drag queens and sharks. It's all entertainment to trademark. Underground, guess I'm guaranteed. Pirouetting in the dark. I try but I can't be what I'm not. I'm too fickle. Set in my ways. I'm too little too late. Well I try but I can't, honey. What can I say. I'm too little too late. Too late. Too late. Too late. But if you tried, you might find. That I was always enough for you. When you're sat at home (when you're sat at home). Looking down that track (looking down that track). Well I was always enough for you. But I'm too fickle. Set in my ways. I'm too little too late. I try but I can't, honey. What can I say. I'm too little too late. Too late. Too late. Too late"
loaded,"Tripping on the sidewalk. Living like a cyclone. Was I in your heart?. Guess I never know where you go. Harsh words in the headlamps. Time to leave. Racing like a psycho. Walking on a tightrope. Funky like a monkey. With my makeup running. Too proud to find no time to breathe. My baby's always threatening to leave. You can do that or be here. Almost brought me down to my knees. You said I've never been clear. Honey, you better believe. Now that there's nothing to fear. You can just leave. Walking like I'm tanked up. Reading from the black book. Everyone you know is a roady-go sinner. You look away as they crucify me. Sleeping in the wreckage. Loaded like a weapon. Bombing down jacina like the end is coming. I prophesize you'll miss the highs with me. My baby's always threatening to leave. You can do that or be here. Almost brought me down to my knees. You said I've never been clear. Honey, you better believe. Now that there's nothing to fear. You can just leave. Would you say my prayers. If I came here ill-prepared. You can paint it all black. 'cause you're never gonna get it clean. When it's easier to leave. When it's easier to leave. (Too tired to try to let it go). My baby's always threatening to leave. You can do that or be here. Almost brought me down to my knees. (Too tired to try to let it go). You said I've never been clear. Honey, you better believe. Now that there's nothing to fear. You can just leave. Too tired to try to let it go. Too tired to try to let it go. Too tired to try to let it go. Too tired to try to let it go. Too tired to try to let it go"
shavambacu,"Ghost eyes fall upon my baby doll. Ghost eyes love to watch me too. Ghost eyes don't say much but they see it all, yeah. Ghost eyes sleep beside my baby doll. All night when I'm in bed with you. Sunrise never sets on baby doll. Her ghost tears, some call it rain. Well I'm crying for just one name. I made it up in a dream I had. My French is bad, some say ""Je t'aime beaucoup"". I say, my darling ""Shavambacu"". I can't stand to see another day. I'm not in L. A. to have my way with you. My little darling shavambacu, oh honey I love you. Her ghost eyes float around my empty room. They're your eyes, but I can't tell it's you. Well I try, but I can't see for baby doll. Her ghost tears, some call it rain. Well I'm crying for just one name. I made it up in a dream I had. My French is bad, some say ""Je t'aime beaucoup"". I say, my darling ""Shavambacu"". I can't stand to see another day. I'm not in L. A. to have my way with you. My little darling shavambacu, oh honey I love you. Da, da, da, da, da, da, da. Da, da, da, da. To have my way with you. My little darling shavambacu. Da, da, da, da, da, da, da. Da, da, da, da. To have my way with you, yeah. My little darling shavambacu, oh honey I love you"
cold light of day,"Antisocial on the network. Feeling total disconnection. The writings on the plasma wall. Your friends don't come to the shows no more. Your ex girlfriend no longer posts. She must be somewhere living a lie. You talk to the dead that she left back in time. The fucked up thoughtless crime. I see it all in the night, I see it all of the time. (In the cold light of the day). I feel it when I'm in love, I feel it when I'm alone. (In the cold light of the day). I see it all in the night, I see it all of the time. (In the cold light of the day). And when you get it together, can you get it to go?. (In the cold light of the day). All of the time?. (In the cold light of the day). Out on the night. (In the cold light of the day). N-n-n-n-night!. All the sins of Cincinnati. The pin dives deep straight through his heart. Her current location makes her happy. At least that's what the pictures say. If you give me all the answers. I'm not quite sure what I'll say. Boy, you're just like Charlie Manson. You gotta turn up and go out and play. I see it all in the night, I see it all of the time. (In the cold light of the day). I feel it when I'm in love, I feel it when I'm alone. (In the cold light of the day). I see it all in the night, I see it all of the time. (In the cold light of the day). And when you get it together, can you get it to go?. (In the cold light of the day). All of the time?. (In the cold light of the day). Out on the night. (In the cold light of the day). N-n-n-n-night!. (In the cold light of the day). Oh"
better than that,"When Mr. Brown said he felt good. I tell you it's no lie. I feel better than that. (I feel better than that). When Johnny & The Silver Beatles. Had your volume high. I feel better than that. Maybe it's the time or place. Or maybe it's your stupid face. That's turning me on. Maybe it's the crowded room. Or maybe it's the bass drum boom. That's kicking this song. I feel better than that. (I feel better than that). The first time that you saw Bardot. Inside you really glow. But I feel better than that. (I feel better than that). You had a crush on Brando. And you tingle down below. But I feel better than that. Maybe it's the strobing lights. Or maybe it's the music. That is turning me on. Maybe it's your go-go hair. Or maybe it's the cracking snare. That's hitting this song. I feel better than that. (I feel better than that). One four letter word is the sole reason why. Let me spell it out for you. L-O-V-E, I'm talking about love. Take a locomotive, with it's head all full of steam. I feel better than that. (I feel better than that). Like a Saturn C5 rocket with a roller coaster scream. I feel better than that. Maybe it's the time or place. Or maybe it's your stupid face. That's turning me on. Maybe it's the crowded room. Or maybe it's the bass drum boom. That's kicking this song. I feel better than that. (I feel better than that). I feel better than that. I feel better than that. (I feel better than that). I feel better than that"
darkness in our hearts,"Gotta be, gotta be ready for it. Gotta be, gotta be ready for it. Gotta be, gotta be ready for it. Gotta be, gotta be ready for it. Gotta be, gotta be ready for it. Gotta be, gotta be ready for it. Gotta be, gotta be ready for it. Gotta be, gotta be ready for it. Wanna make it clear. And really say it all. Well it just keeps swirling 'round. Inside our crystal ball. Trick or treat then vanish with my stolen goods. I find myself all lost inside my neighbourhood. There's a darkness in our hearts. And my smile hides an aching heart. Although we're close, we're miles apart. Don't let this darkness fill our hearts. Hey I'm not like everybody else. You're not like everybody else. Face the facts. Mirror thoughts keep bouncing up and down my spine. Well I hypnotize myself that everything is fine. Expressing what I'm feeling though it hurts to say. When the novelty wears off and we just drift away. There's a darkness in our hearts. And my smile hides an aching heart. Although we're close, we're miles apart. Don't let this darkness fill our hearts. I'm not like everybody else. You're not like everybody else. Darkness in our hearts. And my smile hides an aching heart. Although we're close, we're miles apart. Don't let this darkness fill our hearts. Gotta be, gotta be ready for it. Gotta be, gotta be ready for it. Gotta be, gotta be ready for it. Gotta be, gotta be ready for it. Gotta be, gotta be ready for it. Gotta be, gotta be ready for it. Gotta be, gotta be ready for it. Gotta be, gotta be ready for it. Gotta be, gotta be ready for it. Gotta be, gotta be ready for it. Gotta be, gotta be ready for it. Gotta be, gotta be ready for it. Gotta be, gotta be ready for it. Gotta be, gotta be ready for it. Gotta be, gotta be ready for it. Gotta be, gotta be ready for it"
