dig up her bones,"Anything is what she is. Anywhere is where she's from. Anything is what she'll be. Anything as long as it's mine. And the door it opened a way back in. Or is it way back out?. Anyplace is where she'll be. Anyplace she'll see you from. Lies and secrets become your world. Anytime, anywhere, she takes me away. And death climbs up the steps one by one. To give you the rose that's been burned by her son. (Refrão). Point me to the sky above. I can't get there on my own. Walk me to the graveyard. Dig up her bones. I have seen the demon's face. I have heard of her death place. I fall down on my knees. In Praise of the... Horrible things that take her away. And death climbs up the steps one by one. To give you the rose that's been burned by her son. Point me to the sky above. I can't get there on my own. walk me to the graveyard. Dig up her bones. Point me to the sky above. I can't get there on my own. walk me to the graveyard. Dig up her bones"
saturday night,"There's 52 ways to murder anyone. One or two are the same,. And they both work as well. I'm coming clean for Amy,. Julie doesn't scream as well. And the cops won't listen all night. And so maybe, maybe I'll be over. Just as soon as I fill them all in. And I can remember when I saw her last. We were running all around and having a blast. But the back seat of the drive-in. Is so lonely without you. I know when you're home. I was thinking about you,. There was something I forgot to say. I was crying on a Saturday night. I was out cruising without you,. They were playing our song. Crying on Saturday night. As the moon becomes the night time. You go viciously, quietly away. I'm sitting in the bedroom,. Where we used to sit and smoke cigarettes. Now I'm watching, watching you die. I can remember when I saw her last. We were running all around and having a blast. But the back seat of the drive-in. Is so lonely without you. I know when you're home. I was thinking about you,. There was was something I forgot to say. I was crying on a Saturday night. I was out cruising without you,. They were playing our song. Crying on Saturday night"
helena,"If I cut off your arms and cut off your legs. Would you still love me anyway?. If you're bound and you're gagged, draped and displayed. Would you still love me anyway?. Why don't you love me anyway?. Why don't you love me anyway?. If I cut off your arms and cut off your legs. Would you still love me anyway?. If you're bound and you're gagged, draped and displayed. Would you still love me, love me anyway. Why don't you love me anyway?. Why don't you love me anyway?. Why don't you love me anyway?. Why don't you love me anyway?. Go!. Cutting with a knife, blood is spilling everywhere. She will be my wife, secondary spine. Incisions must be accurate, I know just what to do. My hands are trembling I can't spare to slip up with this knife. Her beauty so illogical, the beast come gliding in. Hideous chameleon stripped down to her skin. Dance to the burning flame, pleasure exhumes the pain. The night bursts into flame. Dance, Helena, dance. Woooah oooooh!. If I cut off your arms and cut off your legs. Would you still love me anyway?. There's a spot on the floor where your limbs used to be. And I close the door on my fantasies. Why don't you love me anyway?. Why don't you love me anyway? (Dance). Why don't you love me anyway? (Helena). Why don't you love me anyway? (Helena)"
scream,Whoooa. Whoooa. Whoooa. Screeeaaaaaammmmmmmmm!. A chill runs up your spine. It crawls into your brain. The freezing touch of fear. It's driving me insane. Although you try to fight. Dragged from the silence where you hide. 'til you scream!. 'til you scream!. A chill runs up your spine. It crawls into your brain. The freezing touch of fear. It's driving me insane. Although you try to fight. Dragged from the silence where you hide. 'til you scream!. 'til you scream!. Scream!. I can't wait to hear you scream!. It's driving me insane. Although you try to fight. Dragged from the silence where you hide. 'til you scream!. Scream!. I can't wait to hear you.... I can't wait to hear you scream!. I can't wait to hear you.... I can't wait to hear you scream!. Scream!. Scream!
hybrid moments,"If you're gonna scream, Scream with me. Moment's like this never last. When new creatures rape your face. Hybrids open up the door. Ooh baby when you cry. Your face is momentary. You hide your looks behind these scars. In Hybrid Moments. Give me a moment. Give me a moment. Give me a moment. Ooh baby when you cry. Your face is momentary. You hide your looks behind these scars. In hybrid moments. In hybrid moments. In hybrid moments. In hybrid moments. Give me a moment. Give me a moment"
die die my darling,"Die, die, die my darling. Don't utter a single word. Die, die, die my darling. Just shut your pretty mouth. I'll be seeing you again. I'll be seeing you in Hell. Don't cry to me oh baby. Your future's in an oblong box, yeah. Don't cry to me oh baby. Should have seen it a-comin' on. Don't cry to me oh baby. I don't know it was in your power. Don't cry to me oh baby. Dead-end girl for a dead-end guy. Don't cry to me oh baby. Now your life drains on the floor. Don't cry to me oh baby. Die, die, die my darling. Don't utter a single word. Die, die, die my darling. Just shut your pretty mouth. I'll be seeing you again. I'll be seeing you in Hell. Don't cry to me a baby. Your future is in an oblong box. Don't cry to me oh baby. Should have seen the end a-comin' on, a-comin'. Don't cry to me oh baby. I don't know it was in your power. Don't cry to me oh baby. Dead-end girl for a dead-end guy. Don't cry to me oh baby. Now your life drains on the floor. Don't cry to me oh baby. Die, die, die my darling. Don't utter a single word. Die, die, die my darling. Shut your pretty mouth. I'll be seeing you again. I'll be seeing you in Hell. Don't cry to me oh baby. Die, die, die my darling. Don't cry to me oh baby. Die, die, die my darling. Die, die, die my darling. Die, die, die my darling. Die, die, die, die, die, die....."
last caress,"I got something to say. I killed your baby today. And it doesn't matter much to me. As long as it's dead. Well I got something to say. I raped you mother today. And it doesn't matter much to me. As long as she spread. Sweet lovely death. I am waiting for your breath. Come sweet death, one last caress. Go. Sweet lovely death. I am waiting for your breath. Come sweet death, one last caress. I got something to say. I killed your baby today. And it doesn't matter much to me. As long as it's dead. Sweet lovely death. I am waiting for your breath. Come sweet death...one last caress. one last caress, sweet death. one last caress, sweet death"
"1,000,000 years b.c.","They're calling me, creatures of the night. Beautiful music. Animal instincts survived. The serpent's tongue. So ancient before the dawn of time. Fed throughout the ages. On the blood of mankind. I've seen it all. From grace men fall. Babylon. Curse of all creations. Winged serpent of the pit. Monstrosity. one million years b.c. x3. . Ten thousand centuries ago. Cast down from Heaven. To pillage below. The serpent's eyes. still watching for its easy prey. feed upon the hopeless, the weak and afraid. Oh, I've seen it all. Oh, from grace men fall. Babylon. curse of all creations. winged serpent of the pit. Monstrosity. on million years b.c. x3."
the forbidden zone,"Some say that's where man began. On this wasted piece of land. Where evolution's yet to show. Forbidden Zone. Blasting into outer space. The planet of the apes. Evolution's one hero.... Crossing a plain, into another dimension. A million years into the future. Crossing a path, into another dimension. We the unseen. Back on Earth. it's all you'll read about. All the evidence destroyed. Map and legends mark the firewalls. We the lost abandoned saviors. Of the Forbidden Zone. We shall. sustain The Forbidden. Zone"
vampira,"Hey. Black dress moves in a blue movie. Graverobbes from out space. Your pulmonary trembles in your outstrectched arm. Trembles so wicked. Two inch nails. Micro waste. With a plae white feline face. Inclination eyebrows to there. Mistress to the horror kid. Cemetery of the white ghoul, well. Take off your shabby dress. Come and lay beside me. Come a little bit closer. Come a little bit closer. Come a little bit closer. Come a little but closer to this. Vampira, Vampira, Vampira. Hey, hey, hey, hey, hey, hey, hey."
