suedehead,"Why do you come here?. And why. why do you hang around?. I'm so sorry. I'm so sorry. Why do you come here. When you know it makes things. hard for me?. When you know, oh. Why do you come?. Why do you telephone?. And why send me silly notes?. I'm so sorry. I'm so sorry. Why do you come here. When you know it makes things. hard for me?. When you know, oh. Why do you come?. You had to sneak into my room. 'just' to read my diary. It was just to see, just to see. All the things you knew. I'd written about you. Oh so many illustrations. Oh but. I'm so very sickened. Oh, I am so sickened now. It was a good lay, good lay. It was a good lay, good lay. It was a good lay, good lay"
everyday is like sunday,"Trudging slowly over wet sand. Back to the bench. where your clothes were stolen. This is the coastal town. That they forgot to close down. Armageddon - come Armageddon!. Come, Armageddon! Come!. . Everyday is like Sunday. Everyday is silent and grey. . Hide on the promenade. Etch a postcard :. ""How I Dearly Wish I Was Not Here"". In the seaside town. ...that they forgot to bomb. Come, Come, Come - nuclear bomb. . Everyday is like Sunday. Everyday is silent and grey. . Trudging back over pebbles and sand. And a strange dust lands on your hands. And on your face. On your face. On your face. On your face. . Everyday is like Sunday. ""Win Yourself A Cheap Tray"". Share some greased tea with me. Everyday is silent and grey"
alma matters,"So. The choice I have made. May seem strange to you. But who asked you, anyway?. It's my life. To wreck. My own way. You see. To someone. Somewhere. Oh yeah. Alma matters in mind. Body and soul. In part and in whole. Because to someone. Somewhere. Oh yeah. Alma matters in mind. Body and soul. In part and in whole. So, the life I have made. May seem wrong to you. But I've never been surer. It's my life. To ruin. My own way. You see. To someone. Somewhere. Oh, yeah. Alma matters in mind. Body and soul. In part and in whole. Because to someone. Somewhere. Oh, yeah. Alma matters in mind. Body and soul. In part and in whole. To someone. Somewhere. Oh, yeah. Alma matters in mind. Body and soul. In part and in whole. So to someone. Somewhere. Oh, yeah. Oh, yeah, oh, yeah"
i'm not sorry,"On returning. I can't believe this world. is still turning. The pressure's on. Because the pleasure hasn't gone. And I'm. I'm not sorry for. For the things I've done. And I'm. Not looking for just anyone. On competing. Oh, when will this tired heart. stop beating?. It's all a game. Existence is only a game. And I'm. I'm not sorry for. For the things I've done. And I'm. Not looking for just anyone. I'm. Slipping below the water line. I'm. Slipping below the water line. Reach for my hand and. And the race is won. Reject my hand e. The damage is done. I'm. Slipping below the water line. I'm. Slipping below the water line. The woman of my dreams. She. She never came along. The woman of my dreams. Well. There never was one. And I'm. Not sorry for. For the things I've said. There's a wild man in my head. There's a wild man in my head"
there is a light that never goes out,"Take me out tonight. Where there's music and there's people. who are young and alive. Driving in your car. I never never want to go home. Because I haven't got one, anymore. Take me out tonight. Because I want to see people. and I want to see lights. Driving in your car. Oh please don't drop me home. Because It's not my home, It's their home. And I'm welcome no more. And if a double-decker bus crashes into us. To die by your side, such a heavenly way to die. And if a ten-ton truck kills the both of us. To die by your side. Well the pleasure and the privilege is mine. Take me out tonight. Take me anywhere, I don't care, I don't care, I don't care. And in the darkened underpass I thought. oh God, my chance has come at last. But then a strange fear gripped me. and I just couldn't ask. Take me out tonight. Oh, take anywhere, I don't care, I don't care,. I don't care. Just driving in your car. I never never want to go home. Because I haven't got one, Oh Lord. No I haven't got one.. And if a double-decker bus crashes into us. To die by your side, such a heavenly way to die. And if a ten-ton truck kills the both of us. To die by your side. Well the pleasure and the privilege is mine. There is a light that never goes out (x8)"
my love i'd do anything for you,"Teach your kids. To recognize and to despise all the propaganda. Filtered down. By the dead echelons mainstream media. . Hey, hey, hey, you know me well. My love, I'd do anything for you. Society's hell. You need me just like I need you. . Weren't we all. Born to mourn and to yawn at the occupations. That control every day of our lives. We can't live as we wish. Live as we wish, live as we wish. . You know me well. My love, I'd do anything for you. Society's hell. You need me. just like I need you. Oh, oh, you know me well. My love, I'd do anything for you. Society's hell. You need me. just like I need you. We all go. Our own ways separately. in the same direction. And here am I. Every night of my life. always missing someone. I'd like to be. Blotted out just before. I become aware of the pain. The more I wish in my heart. For someone the less likely they come"
spent the day in bed,"Spent the day in bed. Very happy I did, yes. I spent the day in bed. As the workers stay enslaved. I spent the day in bed. I'm not my type, but. I love my bed. And I recommend that you. Stop watching the news!. Because the news contrives to frighten you. To make you feel small and alone. To make you feel that. your mind isn't your own. I spent the day in bed. It's a consolation. When all my dreams. Are perfectly legal. In sheets for which I paid. I am now laid. And I recommend to all of my friends that they. Stop watching the news!. Because the news contrives to frighten you. To make you feel small and alone. To make you feel that. your mind isn't your own. Oh time, do as I wish. Time, do as I wish. Oh time, do as I wish. Time, do as I wish. Oh time, do as I wish. Time, do as I wish. Oh time, do as I wish. Do as I wish. I spent the day in bed. You can please yourself. But, I spent the day in bed. Pillows like pillars. Life ends in death. So, there's nothing wrong with. Being good to yourself. Be good to yourself for once!. And no bus, no boss,. no rain, no train. No bus, no boss. no rain, no train. No bus, no boss. no rain, no train. No emasculation, no castration. No highway, freeway, motorway. No bus, no boss. no rain, no train. No bus, no boss. no rain, no train. No bus, no boss. no rain, no train"
back on the chain gang,"I found a picture of you. oh oh oh oh. It hijacked my world at nights. From a place in the past. We've been cast out of. oh oh oh oh. Now we're back in the fight. Yes we're back on the chain gang. Oh back on the chain gang. A circumstance beyond our control. oh oh oh oh. The phone, the tv and the news of the world. Got in the house like a pigeon from hell. oh oh oh oh. Sand in our eyes, descended like flies. Yes we're back on the chain gang. Oh back on the chain gang. The powers that be. That force us to live like we do. Bring me to my knees. When I see what they've done to you. But I'll die as I stand here today. Knowing that deep in my heart. They'll fall to ruin one day. For making us part. I found a picture of you. oh oh oh oh. They were the happiest days of my life. Like a break in the battle was your part. oh oh oh oh. Lonely heart, lonely hearts. Yes we're back on the chain gang. Oh back on the chain gang. (chain gang)"
how soon is now?,"I am the son. And the heir. Of a shyness that is criminally vulgar. I am the son and heir. Of nothing in particular. You shut your mouth. How can you say. I go about things the wrong way ?. I am Human and I need to be loved. Just like everybody else does. I am the son. And the heir. Of a shyness that is criminally vulgar. I am the son and heir. Oh, of nothing in particular. You shut your mouth. How can you say. I go about things the wrong way ?. I am Human and I need to be loved. Just like everybody else does. There's a club, if you'd like to go. You could meet somebody who really loves you. So you go, and you stand on your own. And you leave on your own. And you go home, and you cry. And you want to die. When you say it's gonna happen ""now"". Well, when exactly do you mean ?. See I've already waited too long. And all my hope is gone. You shut your mouth. How can you say. I go about things the wrong way ?. I am Human and I need to be loved. Just like everybody else does"
first of the gang to die,"You have never been in love,. Until you've seen the stars,. reflect in the resevoirs. And you have never been in love,. Until you've seen the dawn rise,. behind the home for the blind. We are the pretty petty thieves,. And you're standing on our street... ...where Hector was the first of the gang. with a gun in his hand. and the first to do time. the first of the gang to die. Oh my.. Where Hector was the first of the gang. with a gun in his hand. and the first to do time. the first of the gang to die.. You have never been in love,. Until you've seen sunlight form. over smashed human bones. We are the pretty petty thieves,. And you're standing on our street... ...where Hector was the first of the gang. with a gun in his hand. and the first to do time. the first of the gang to die. Such a silly boy.. Hector was the first of the gang. with a gun in his hand. and a bullet in his gullet. the first last lad to go under the sod.. . And he stole from the rich and the poor. and the not-very-rich and the very poor. and he stole all hearts away. he stole all hearts away. he stole all hearts away. he stole all hearts away"
