i am the world,"I am the world. the world beyond the stars.... I am the keeper of screaming mountains,. the portal between worlds.... A world of wonder,. a world of glory.. I was created by a scribbling hand,. by a mind that always believed.... That his mind could create me.... Where is he now?. The god from beyond.... I have never seen him,. yet we have always been together..."
(passing by) an old and raped village,"Through boughs and leaves and stone on ground.. I feel a presence of evil, a silent sound.. An evil place once lovely and fair.. Itïs gardens are grey, sad voices of despair.. A village old, pillaged and raped.. All itïs houses are rotten or burnt.. Here are signs of battles of old.. Raided for the virgins and their gold.. From where cometh this evil air?. The pressing warning of danger."
across the world of wonders,"Harken! Warriors, for our creator now urge us onwards.... Again we shall travel. To conquer and kill!. By sword, axe and hand.... Into the gate of stars.... Out into lands new and unconquered.... We march now.... We heed the call.... Towards the gate of stars..."
an old and raped village,"Through boughs and leaves and stone on ground.. I feel a prescence of evil, a silent sound.... A village old, pillaged and raped,. houses rotten or burnt.... Here are signs of battles of old.... Raided for their virgins and gold.... From cometh this evil air?. This pressing warning of danger?. Mayhaps the folk whom once lived here. are now cursing this place, and all who behold?. And evil place once lovely and fair.... Its garden are grey now, and sad voices haunt the village.... Houses rotten, fallen roofs... Winds gushing through.... I wonder who raped and pillaged here.... And what meaneth the signs painted on those doors. that have yet not fallen to the ground.... Where did the fair virgins go, and what are of them today?. Mystic this place is and I fear my questions. will stay unanswered, untill my dying day..."
antimental,"The marsh land that is down and deep,. Holds me tight it's clutching me.. Like black cold chains forever,. Dragging me towards hell's misery.. The things that I've seen with Your eyes.. The things that You choose not to see.. Have scorched me like ten thousand burning years.. In a purgatory.. I don't want to think my own thoughts.. That make me feel ill at ease.. I make me want to not live.. When all I do is freeze.. Is this Damnation?. Is it in my mind or is it something I don't know.. Something that I should control,. I've got to find,. Find the machine.. That makes me want to be me.. Cannot face another mirror,. Cannot face another truth.. I've got to find,. Find some new eyes,. I've got to find a substitute.. My omnipresence this is me.. My weapon against your dynasty.. I've got to stop existing mentally,. In places that i do not want to be.. I hvae to move away,. From thoughts terrible and gray.. It will not let me go,. is this Damnation?. My Omnipresence this is me.. My friend, turns into an enemy.. Must control, I must control the evil daemon.. Antimental!"
army of conquest / the warfare (ever onward),The stars form the gate again. Soon we shall arrive in the new world.... Soon merciless war and destruction. Shall fall upon the unknowing.... Weapon in hand and death in our eyes. We march to attack.... Soon the folk of here shall feel. Our wrath and steel.... We conquer now this world...
broken skin,"Does it bother you, did it not obey you?. Does it anger you, did it not please you?. Does it bother you, did it not consider you?. Is it killing you, did it not care for you?. (I pray) these sores will never heal. Come touch with broken skin. I pray these wounds will never hurt. Come touch this broken skin. Did you want to pull the strings?. Become the master of all things?. And punish this, my gravest sin.. Bitter enemy of this, my broken skin.. You can never let this go.. Your superficial mind torments you so.. Bow down and admit defeat.. Old, weak and obsolete.. (I pray) these sores will never heal.. Come touch with broken skin.. I pray these wounds will never hurt.. Come touch this broken skin.. Gone too far, I've gone too far, is this me?. I am not me, am I somebody else?. I am not me, I wanna be myself."
decadent & desperate,"Beat down, fucked up.. I'm drinkin' blood from the devil's cup.. Now what you tell me.. I can't even get shit for free.. Hey girl, I'll have to go.. Ain't got no money so let's go slow.. In my room, this living hell.. A living hell in the shit motel.. Decadent and desperate!. Fair play, crack's your pay.. Shoot me up and make my day.. Oh yeah, way to go.. You really are a damn good ho.. Oh yeah, at the shit motel.. How I love being stuck in this cell.. Fucked up in a shit stained sty.. Everything they ever said was a big, fat lie!. Decadent and desperate!. You're such a fucking dog!. Looking for your special drug!. Decadent and desperate!. Beat down, fucked up.. I'm drinkin' blood from the devil's cup.. Now what you tell me.. I can't even get shit for free.. All right, come on.. In a year or two we'll both be gone.. Who cares how sweet?. Your pain's gonna taste when it falls to shit!"
everyone leaves,"I'm going back, thinking about all the changes.. I'm going back to all those wasted years.. I see the rise and fall of the world I lived in.. This time it doesn't seem real at all.. But I took the fall and on came all the changes.. All i had could not be saved - it was far too late.. Everyone leaves. In the end.. Everything dies. In the end.. It doesn't matter how hard you hold on.. I'm going back to the times you went away.. I thought you thought that I was that monster.. I see the rise and fall of the world that I made.. I always wanted to take you with me.. And then I saw some people for the people that I thought they were.. In your painful absence.. Everyone leaves. In the end.. Everything dies. In the end.. It doesn't matter how hard you hold on.. How hard can you?. Do you want to hold on?. How hard can you?. They all leave in the end.. How hard can you?. We all die in the end."
flux / mental maelstrom,"I want you to descend.. I want you to fall down.. I want to be the end. - Of everything you've ever done.. The cities that I built,. The forests that I grew,. Got stained by your filth,. And now they smell like you.. You Stink!. Just!. Like!. The pigs you are.. How long? How long?. How far are you willing to go?. How much? How dry?. I have seen the devil's eye. - And it is you.. The world shut me out.. I see your faces in the sand.. But if I reach out,. You're gonna break my hand.. I want you to be here,. I want you to descend to,. This pathetic mind-made sphere,. The perpetual end.. I want to be the end. - Of everything you've ever done."
