pressure,"I'm trapped and my back's up against the wall. I see no solution or exit out. I'm grinding it out, no one can see. The pressure's growing exponentially. I'm trying to keep up to speed with you. Your lane changing is oscillating me. I'm hitting the ground and I'm sprinting. I'm falling behind now I'm tuning out. Pressure building. Pressure building. Don't push me. Don't push me. Let me get off the ground. To you I'm no longer bound. Don't stop me. Don't choke me. I need you out of my head. You've got me close to the edge. I'm feeling the pressure, I can't break out. No one can hear me scream and shout. Get out of my face, out of my mind. I see your corruption, I'm not blind. I'll carry the burden and take the strain. And when I am done I will make you pay. Pressure building. Don't push me. Don't push me. Let me get off the ground. To you I'm no longer bound. Don't curb me. Don't thwart me. I need you out of my head. You've got me close to the edge. Don't push me. Don't push me. Let me get off the ground. To you I'm no longer bound. Don't stop me. Don't block me. I need you out of my head. You've got me close to the edge"
uprising,"Paranoia is in bloom. The Pr transmissions will resume. They'll try to push drugs that keep us all dumbed down. And hope that we will never see the truth around. (So come on). Another promise, another scene,. Another packaged lie to keep us trapped in greed. And all the green belts wrapped around our minds. And endless red tape to keep the truth confined. (So come on). They will not force us. They will stop degrading us. They will not control us. We will be victorious. (So come on). Interchanging mind-control. Come let the revolution takes its toll. If you could flick the switch and open your third eye. You'd see that. We should never be afraid to die. (So come on). Rise up and take the power back. It's time the fat cats had a heart attack. They know that their time's coming to an end. We have to unify and watch our flag ascend. (So come on). They will not force us. They will stop degrading us. They will not control us. We will be victorious. (So come on). They will not force us. They will stop degrading us. They will not control us. We will be victorious. (So come on)"
feeling good,"Birds flying high you know how I feel. Sun in the sky you know how I feel. Reeds drifting on by you know how I feel. Its a new dawn it's a new day its a new life for me. And I'm feeling good. Fish in the sea you know how I feel. River running free you know how I feel. Blossom in the trees you know how I feel. It's a new dawn its a new day it's a new life for me. And I'm feeling good. Dragonflies all out in the sun. You know what I mean, don't you know. Butterflies are all having fun. You know what I mean. Sleep in peace. When the day is done. And this old world is new world and a bold world for me. Stars when you shine you know how I feel. Scent of the pine you know how I feel. Yeah freedom is my life. And you know how I feel. Its a new dawn its a new day its a new life for me. And I'm feeling good. Ooooh. (Feeling good)"
starlight,Far away. The ship is taking me far away. Far away from the memories. Of the people who care if I live or die. Starlight. I will be chasing a starlight. Until the end of my life. I dont know if it's worth it anymore. Hold you in my arms. I just wanted to hold. You in my arms. My life. You electrify my life. Lets conspire to ignite. All the souls that would die just to feel alive. But I'll never let you go. If you promise not to fade away. never fade away. Our hopes and expectations. Black holes and revelations. Our hopes and expectations. Black holes and revelations. Hold you in my arms. I just wanted to hold. You in my arms. Far away. The ship is taking me far away. Far away from the memories. Of the people who care if I live or die. And I'll never let you go. If you promise not to fade away. never fade away. Our hopes and expectations. Black holes and revelations. Our hopes and expectations. Black holes and revelations. Hold you in my arms. I just wanted to hold. You in my arms. I just wanted to hold
madness,"Mad mad mad. I.... I can't get these memories out of my mind. And some kind of madness. Is starting to evolve, mmmm. And I.... I tried so hard to let you go. But some kind of madness. Is swallowing me whole. Yeah. I have finally seen the light. And I have finally realised. What you mean. Now,. I need to know is this real love. Or is it just madness. Keeping us afloat, mmmm. When I look back, at all the crazy fights we had. It's like some kind of madness. Was taking control, yeah. Now I have finally seen the light. And I have finally realised. What you need. Mad mad mad. Now I have finally seen the end (finally seen the end). And I'm.... Not expecting you to care, no. (expecting you to care). That I have finally seen the light (finally seen the light). And I have finally realised (realised). I need your love. I need your love. Come to me. Just in a dream. Come on and rescue me. Yes, I know. I can't be wrong. And baby, you're too headstrong. Our love is.... Mad mad mad. Madness"
supermassive black hole,"Oh baby dont you know I suffer?. Oh baby can you hear me moan?. You caught me under false pretenses. How long before you let me go?. You set my soul alight. You set my soul alight. (You set my soul alight). Glaciers melting in the dead of night. And the superstars sucked into the supermassive. (You set my soul). Glaciers melting in the dead of night. And the superstars sucked into the 'supermassive'. I thought I was a fool for no-one. Oh baby I'm a fool for you. You're the queen of the superficial. And how long before you tell the truth. You set my soul alight. You set my soul alight. (You set my soul alight). Glaciers melting in the dead of night. And the superstars sucked into the supermassive. (You set my soul). Glaciers melting in the dead of night. and the superstars sucked into the 'supermassive'. Supermassive black hole. Supermassive black hole. Supermassive black hole. Glaciers melting in the dead of night. And the superstars sucked into the supermassive. Space shields melting in the dead of night. And the superstars sucked into the supermassive. (You set my soul alight). Glaciers melting in the dead of night. and the superstars sucked into the supermassive. (You set my soul). Glaciers melting in the dead of night. And the superstars sucked into the supermassive. Supermassive black hole. Supermassive black hole. Supermassive black hole. I thought I was a fool for no one. But ooo baby, im a fool for you. You're the Queen of the superficial. But how long before you tell the truth?. Ooooooo-ahhhhhhh, you set my soul a-light. Ooooooo-ahhhhhhh, you set my soul a-light. Glaciers melting in the dead of night (Ooooooo-ahhhhhhh, you set my soul a-light). And the superstars sucked into the supermassive.. (Super-massive-black-hooooole)"
plug in baby,I've exposed your lies. Baby. The underneath's no big surprise. Now it's time for changing. And cleansing everything. To forget your love. My plug in baby. Crucifies my enemies. When I'm tired of giving. My plug in baby. In unbroken virgin realities. Is tired of living. Don't confuse. Baby you're gonna lose. Your own game. Change me. Replace the envying. To forget your love. My plug in baby. Crucifies my enemies. When I'm tired of giving. My plug in baby. In unbroken virgin realities. Is tired of living. And I've seen your loving. But mine is gone. And I've been in trouble. wooaahhhh
resistance,"Is your secret safe tonight?. And are we out of sight?. Or will our world come tumbling down?. Will they find our hiding place?. Is this our last embrace?. Or will the walls start caving in?. (It could be wrong, could be wrong). But it should've been right. (It could be wrong, could be wrong). Let our hearts ignite. (It could be wrong, could be wrong). Are we digging a hole?. (It could be wrong, could be wrong). This is outta control. (It could be wrong, could be wrong). It could never last. (It could be wrong, could be wrong). Must erase it fast. (It could be wrong, could be wrong). But it could've been right. (It could be wrong, could be...). Love is our resistance. They keep us apart and they won't stop breaking us. down. And hold me, our lips must always be sealed. If we live our life in fear. I'll wait a thousand years. Just to see you smile again. Quell your prayers for love and peace. You'll wake the thought police. We can hide the truth inside. (It could be wrong, could be wrong). But it should've been right. (It could be wrong, could be wrong). Let our hearts ignite. (It could be wrong, could be wrong). Are we digging a hole?. (It could be wrong, could be wrong). This is outta control. (It could be wrong, could be wrong). It could never last. (It could be wrong, could be wrong). Must erase it fast. (It could be wrong, could be wrong). But it could've been right. (It could be wrong, could be...). Love is our resistance!. They keep us apart and won't stop breaking us down. And hold me, our lips must always be sealed. The night has reached its end. We can't pretend. We must run. We must run. It's time to run. Take us away from here. Protect us from further harm. Resistance!"
algorithm,"Burn like a slave. Churn like a cog. We are caged in simulations. Algorithms evolve. Push us aside and render us obsolete. This means war. With your creator. This means war. With your creator. Reload, crash out. This means war. With your creator. This means war. With your creator"
hysteria,It's bugging me. Grating me. And twisting me around. Yeah I'm endlessly. Caving in. And turning inside out. 'Cause I want it now. I want it now. Give me your heart and your soul. And I'm breaking out. I'm breaking out. Last chance to lose control. Yeah it's holding me. Morphing me. And forcing me to strive. To be endlessly. Cold within. And dreaming I'm alive. 'Cause I want it now. I want it now. Give me your heart and your soul. I'm not breaking down. I'm breaking out. Last chance to lose control. And I want you now. I want you now. I feel my heart implode. And I'm breaking out. Escaping now. Feeling my faith erode
undisclosed desires,I know you've suffered. But I don't want you to hide. It's cold and loveless. I won't let you be denied. Soothing. I'll make you feel pure. Trust me. You can be sure. I want to reconcile the violence in your heart. I want to recognise your beauty is not just a mask. I want to exorcise the demons from your past. I want to satisfy the undisclosed desires in your. heart. You trick your lovers that you're wicked and divine. You may be a sinner. But your innocence is mine. Please me. Show me how it's done. Tease me. You are the one. I want to reconcile the violence in your heart. I want to recognise your beauty is not just a mask. I want to exorcise the demons from your past. I want to satisfy the undisclosed desires in your. heart. Please me. Show me how it's done. Trust me. You are the one. I want to reconcile the violence in your heart. I want to recognise your beauty is not just a mask. I want to exorcise the demons from your past. I want to satisfy the undisclosed desires in your. heart
the dark side,"I have lived in darkness. For all my life I've been pursued. You'd be afraid if you could feel my pain. And if you could see the things I am able to see. Break me out, break me out. Let me flee. Break me out, break me out. Set me free. I hail from the dark side. For all my life I've been besieged. You'd be scared living with my despair. And if you could feel the things I am able to feel. Break me out, break me out. Let me flee. Break me out, break me out. Set me free. Break me out, break me out. Let me flee. Break me out, break me out. Set me free. Save me from the dark side. Break me out, break me out. Set me free"
can't take my eyes off you,"You're just too good to be true.. Can't take my eyes off you.. You feel like heaven to touch.. I wanna hold you so much.. At long last love has arrived. And I thank God i'm alive.. You're just too good to be true.. Can't take my eyes off you.. Pardon the way that I stare.. There's nothing else to compare.. The sight of you makes me weak.. There are no words left to speak,. But if you feel like I feel,. Please let me know that it's real.. You're just too good to be true.. Can't take my eyes off of you.. I love you, baby,. And if it's quite alright,. I need you, baby,. To warm a lonely night.. I love you, baby.. Trust in me when i say:. Oh, pretty baby,. Don't bring me down, I pray.. Oh pretty baby,. now that i found you, stay. And let me love you, baby.. Let me love you.. You're just too good to be true.. Can't take my eyes off you.. You feel like heaven to touch.. I wanna hold you so much.. At long last love has arrived. And I thank God I'm alive.. You're just too good to be true.. Can't take my eyes off you.. I love you baby,. And if it's quite alright,. I need you, baby,. To warm a lonely night.. I love you, baby.. Trust in me when I say:. Oh, pretty baby,. Don't bring me down, I pray.. Oh pretty baby,. now that i found you stay. And let me love you, baby.. Let me love you..."
