helena,"Long ago. Just like the hearse, you die to get in again. We are so far from you. Burning on, just like a match you strike to incinerate. The lives of everyone you know. And what's the worst you take (worst you take). From every heart you break (heart you break). And like a blade you stain (blade you stain). Well, I've been holding on tonight. Chorus:. What's the worst that I can say?. Things are better if I stay. So long and goodnight. So long not goodnight. Came a time. When every star falls. Brought you to tears again. We are the very hurt you sold. And what's the worst you take (worst you take). From every heart you break (heart you break). And like a blade you stain (blade you stain). Well, I've been holding on tonight. Chorus. What's the worst that I can say?. Things are better if I stay. So long and goodnight. So long not goodnight. Well, if you carry on this way. Things are better if I stay. So long and goodnight. So long not goodnight. Can you hear me?. Are you near me?. Can we pretend to leave and then. We'll meet again, when both our cars collide. Chorus. What's the worst that I can say?. Things are better if I stay. So long and goodnight. So long and goodnight. Well, if you carry on this way. Things are better if I stay. So long and goodnight. So long not goodnight"
welcome to the black parade,"When I was a young boy,. My father took me into the city. To see a marching band.. He said, ""Son when you grow up,. would you be the saviour of the broken, The beaten and the damned?"". He said ""Will you defeat them,. your demons, and all the non believers, the plans that they have made?"". Because one day I'll leave you,. A phantom to lead you in the summer,. To join The Black Parade."". When I was a young boy,. My father took me into the city. To see a marching band.. He said, ""Son when you grow up,. will you be the saviour of the broken, The beaten and the damned?"". Sometimes I get the feeling she's watching over me.. And other times I feel like I should go.. When through it all, the rise and fall, the bodies in the streets.. and when you're gone we want you all to know. We'll Carry on,. We'll Carry on. And though your dead and gone believe me. Your memory will carry on. We'll carry on. And in my heart I cant contain it. The anthem wont explain it.. A world that sends you reeling from decimated dreams. Your misery and hate will kill us all. So paint it black and take it back. Lets shout it loud and clear. Defiant to the end. We hear the call. To carry on. We'll carry on. And though your dead and gone believe me. Your memory will carry on. We'll carry on. And though you're broken and defeated. Your weary widow marches on. And on we carry through the fears. Ooh oh ohhhh. Disapointed faces of your peers. Ooh oh ohhhh. Take a look at me cause I could not care at all. Do or die. You'll never make me. Because the world, will never take my heart. Go and try, you'll never break me. You want it all, we want to play this part. Won't explain or say I'm sorry. I'm unashamed, I'm gonna show my scar. Give a cheer for all the broken. Listen here, because it's who we are. I'm just a man, I'm not a hero. Just a boy who had to sing this song. Just a man, I'm not a hero. I -- don't -- care. We'll Carry on. We'll carry on. And though your dead and gone believe me. Your memory will carry on. We'll carry on. And though you're broken and defeated. Your weary widow marches on. Do or die. You'll never make me. Because the world, will never take my heart. Go and try, you'll never break me. You want it all, I'm gonna play this part (x2). (We'll carry on (x6)"
i don't love you,"Well when you go. So never think I'll make you try to stay. And maybe when you get back. I'll be off to find another way. And after all this time that you still owe. You're still the good-for-nothing and I don't know. So take your gloves and get out. Better get out. While you can. When you go. Would you even turn to say. I don't love you. Like I did. Yesterday. Sometimes I cry so hard from pleading. So sick and tired of all the needless beating. But baby when they knock you. Down and out. It's where you oughta stay. And after all the blood that you still owe. Another dollar's just another blow. So fix your eyes and get up. Better get up. While you can. When you go. Would you even turn to say. ""I don't love you. Like I did. Yesterday"". (Well c'mon, c'mon!). When you go. Would you have the guts to say. ''I don't love you. Like I loved you. Yester... day, hey, hey, oh. ""I don't love you. Like I loved you yester.... Say, hey, hey"". ""I don't love you. Like I loved you. Yesterday."""
teenagers,"They're gonna clean up your looks,. With all the lies in the books,. To make a citizen out of you.. Because they sleep with a gun,. And keep an eye on you, son,. So they can watch all the things you do.. Because the drugs never work,. They're gonna give you a smirk,. Cause they got methods to keeping you clean.. They're gonna rip off your head,. Your aspirations to shreds,. Another cog in the murder machine.. They said all teenagers scare the living shit out of me,. They could care less as long as someone'll bleed.. So darken your clothes,. Or strike a violent pose,. Maybe they'll leave you alone, but not me.. The boys and girls in the clique. The awful names that they stick. You're never gonna fit in much, kid.. But if you're troubled and hurt,. What you got under your shirt,. Will make them pay for the things that they did.. They said all teenagers scare the living shit out of me,. They could care less as long as someone will bleed.. So darken your clothes,. Or strike a violent pose,. Maybe they'll leave you alone, but not me.. Whooooaaaaa yeeeeaaaaahh!. They said all teenagers scare the living shit out of me,. They could care less as long as someone will bleed.. So darken your clothes,. Or strike a violent pose,. Maybe they'll leave you alone, but not me.. All together now!. Teenagers scare the living shit out of me,. They could care less as long as someone will bleed.. So darken your clothes,. And strike a violent pose,. Maybe they'll leave you alone, but not me. [2x]"
the ghost of you,"I never said I’d lie and wait forever. If I died, we'd be together now. I can’t always just forget her. But she could try. At the end of the world. Or the last thing I see. You are never coming home. Never coming home. Could I, should I. And all the things that you never ever told me. And all the smiles that are ever, ever, ever. Get the feeling that you’re never. All alone and I remember now. At the top of my lungs, in my arms she dies. She dies. At the end of the world. Or the last thing I see. You are never coming home. Never coming home. Could I, should I. And all the things that you never ever told me. And all the smiles that are ever gonna haunt me. Never coming home. Never coming home. Could I, should I. And all the wounds that are ever gonna scar me. For all the ghosts that are never gonna catch me. If I fall. If I fall (down). At the end of the world. Or the last thing I see. You are never coming home. Never coming home. Never coming home. Never coming home. And all the things that you never ever told me. And all the smiles that are ever gonna haunt me. Never coming home. Never coming home. Could I, should I. And all the wounds that are ever gonna scar me. For all the ghosts that are never gonna"
i'm not okay (i promise),"Well if you wanted honesty,. That's all you had to say. I never want to let you down or have you go,. It's better off this way. For all the dirty looks,. For photographs your boyfriend took,. Remember when you broke your foot. from jumping out the second floor?. I'm not okay.. I'm not okay.. I'm not okay.. You wear me out.. What will it take to show you that it's not the life it seems?. (I'm not okay). I told you time and time again you sing the words. but don't know what they mean. (I'm Not Okay). So be a joke and look. Another line without a hook. I held you close as we both shook for the last time. Take a good hard look!. I'm not okay.. I'm not okay.. I'm not okay.. You wear me out.. Forget about the dirty looks. For photographs your boyfriend took?. You said you read me like a book,. But the pages are all torn and frayed.. I'm okay.. I'm okay!. I'm okay, Now. (I'm okay, Now). But you really need to listen to me. Because I'm telling you the truth. I mean this I'm okay!. (Trust me).. I'm not okay. I'm not okay. Well, I'm not okay. I'm not o-fucking-kay. I'm not okay.. I'm not okay.. (Okay)"
na na na,"The future is bullet proof. The aftermath is secondary. Its time to do it now and do it loud. Killjoys. Make some noise. Na, na, na, na, na, na, na, na. Drugs, gimme drugs. Gimme drugs. I don't need it. But I'll sell. What you got. Take the cash. And I'll keep it. Eight legs on the wall. Hit the gas, kill 'em all. And we crawl and we crawl and we crawl!. You be my detonator!. Love. Gimme love. Gimme love. I don't need it. But I'll take, what I want from your heart. And I keep it in a bag. In a box. Put an x on the floor. Gimme more. Gimme more. Gimme more!. Shut up and sing it with me!. Na, na, na, na, na, na, na, na. From mall security. Na, na, na, na, na, na, na, na. To every enemy. Na, na, na, na, na, na, na, na. We're on your property. Standing in a V-formation. Na, na, na, na, na, na, na, na. Let's blow an artery. Na, na, na, na, na, na, na, na. Eat plastic surgery. Na, na, na, na, na, na, na, na. Keep your apology. Give us more detonation. (More, gimme more, gimme more). Let me tell you 'bout the sad man. Shut up and let me see your jazz hands. Remember when you were a mad man. Thought you was Batman. And hit the party with a gas can. Kiss me you animal!. Na, na, na, na, na, na, na, na. You run the company. Na, na, na, na, na, na, na, na. Fuck like a Kennedy. Na, na, na, na, na, na, na, na. I think we'd rather be. Burning your information. Na, na, na, na, na, na, na, na. Let's blow an artery. Na, na, na, na, na, na, na, na. Eat plastic surgery. Na, na, na, na, na, na, na, na. Keep your apology. Give us more detonation. Right here, right now. All the way in Battery City. The little children. Raise their open filthy palms. Like tiny daggers up to heaven. And all the juvee halls. And the ritalin rats. Ask angels made from neon. And fucking garbage, scream out:. ""What will save us?"". And the sky opened up. Everybody wants to change the world. Everybody wants to change the world. But no one, no one. Wants to die. Wanna try. Wanna try. Wanna try. Wanna try. Wanna try. Now!. I'll be your detonator!. Na, na, na, na, na, na, na, na. Make no apologies. Na, na, na, na, na, na, na, na. It's death or victory. Na, na, na, na, na, na, na, na. On my authority. Crash and burn. Young and loaded. Na, na, na, na, na, na, na, na. Drop like a bulletshell. Na, na, na, na, na, na, na, na. Dress like a sleeper cell. Na, na, na, na, na, na, na, na. I'd rather go to hell. Than be in a purgatory. Cut my hair. Gag and bore me. Pull this pin. Let this world explode"
famous last words,Now I know. That I can't make you stay. But where's your heart. But where's your heart. But where's .... I know. There's nothing I could say. To change that part. To change that part. To change.... So many. Bright lights been cast a shadow. But can I speak?. Well is it hard understanding. I'm incomplete. The life that's so demanding. I get so weak. The life that's so demanding. I cant speak. I am not afraid to keep on living. I am not afraid to walk this world alone. Honey if you stay. Ill be forgiven. Nothing you can say can stop me going home. Can you see. My eyes are shining bright. Cause im out hear. On the other side. Of the jet black. Hotel mirror. And im so weak. Well is it hard under standing. I'm incomplete. The life that's so demanding. I get weak. I am not afraid to keep on living. I am not afraid to walk this world alone. Honey if you stay. Ill be forgiven. Nothing you can say can stop me going. I am not afraid to keep on living. I am not afraid to walk this world alone. Honey if you stay. Ill be forgiven. Nothing you can say can stop me going home. (awesome solo). These bright lights are always blinded to me. These bright lights are always blinded to me. To me. I see you lying next to me. With words I thought Id never speak. Awake and unfraid. Asleep or dead (x4). I am not afraid to keep on living. I am not afraid to walk this world alone. Honey if you stay. Ill be forgiven. Nothing you can say can stop me going home
cancer,"Turn away. If you could get me a drink. Of water cause my lips are chapped and faded. Call my aunt marie. Help her gather all my things. And bury me. In all my favorite colors. My sisters and my brothers, still. I will not kiss you. Cause the hardest part of this. Is leaving you. Now turn away. Cause I'm awful just to see. Cause all my hair's abandoned all my body. Oh my agony. Know that I will never marry. Baby I'm just soggy from the chemo. But counting down the days to go. It just ain't living. And I just hope you know. That if you say. (if you say). Good-bye today. (good-bye today). I'd ask you to be true. (i'd ask you to be...). Cause the hardest part of this. Is leaving you. (you-uu-uu-uu). Cause the hardest part of this. Is leaving you"
sing,"Sing it out. Boy, you've got to see what tomorrow brings. Sing it out. Girl, you've got to be what tomorrow needs. For every time that they want to count you out. Use your voice every single time you open up your mouth. Sing it for the boys. Sing it for the girls. Every time that you lose it sing it for the world. Sing it from the heart. Sing it 'til you're nuts. Sing it out for the ones that'll hate your guts. Sing it for the deaf. Sing it for the blind. Sing about everyone that you left behind. Sing it for the world. Sing it for the world. Sing it out, boy they're gonna sell what tomorrow means. Sing it out, girl before they kill what tomorrow brings. You've got to make a choice. If the music drowns you out. And raise your voice. Every single time they try and shut your mouth. Sing it for the boys. Sing it for the girls. Every time that you lose it sing it for the world. Sing it from the heart. Sing it 'til you're nuts. Sing it out for the ones that'll hate your guts. Sing it for the deaf. Sing it for the blind. Sing about everyone that you left behind. Sing it for the world. Sing it for the world. Cleaned up, corporation progress. Dying in the process. Children that can talk about it. Living on the webways. People moving sideways. Sell it 'til your last days. Buy yourself the motivation,. Generation nothing!. Nothing but a dead scene. Product of a white dream. I am not the singer that you wanted. But a dancer. I refuse to answer. Talk about the past, sir. Wrote it for the ones who want to get away.. Keep running!. Sing it for the boys. Sing it for the girls. Every time that you lose it sing it for the world. Sing it from the heart. Sing it 'til you're nuts. Sing it out for the ones that'll hate your guts. Sing it for the deaf. Sing it for the blind. Sing about everyone that you left behind. Sing it for the world. Sing it for the world. We've got to see what tomorrow brings. Sing it for the world. Sing it for the world. Girl you got to be what tomorrow needs. Sing it for the world. Sing it for the world"
