aluminum park,"You can care if you wanna. You can care if you don't. But c'mon it's a big big world now-. You gotta get what you want.. Got no lack of frustration,. Got no lack of disease.... But c'mon it's a big big world now-. You gotta like what you see... and I do.. Well you can ride, ride, ride on down to the aluminum park.. Well you can ride, ride, ride on down with your head in the dark.. Well, it's a little bit important to me- you get a whole lot of what you need.. So you can ride, ride, ride on down to the aluminum park. RIDE!. (Repeat). And you can ride, ride, ride on down to the aluminum park.. Well, you can ride on down... Hey!"
anytime,"Is This ""Climbing Up To The Moon?"". Or Is It Bailing Out Too Soon?. I Hope We Didn't Wait Too Long.. All That I Wanted To Say - Words Only Got In The Way.. But Then I Found Another Way To Communicate.. Is This ""Climbing Up To The Moon?"". Or Is It Fadin Out Too Soon??. I Know We Didn't, I Know We Didn't Wait Too Long -. Cause Anytime's A Good Time To Move On.. Things I Could Say To Myself - I Could Never Say To Anyone Else.. But What Madonna Said Really Helped -. She Said: ""Boy - You Better Learn To Express Yourself!"". I Know We Didn't, I Know We Didn't Wait Too Long.. Cause Anytime's A Good Time To Move On."
at dawn,"at dawn they ride again, they'll haul you out to the streets.. They'll burn your papers and your empty trash cans,. beat this thought into your head, singin over and over again:. ""all your life is obscene!"". ""forget the papers, forget your musical dreams!"". but that's when my knife rises,. their life ends and my life starts again!"
believe (nobody knows),"Time to roll. The answer floats on down. The farthest shore. Of the mind. Roll the dice. That sail the ship. And all the doors will open. On down the line. Turned to wrong. A lesson learned. And then forgotten over. In our time. In that moment. I awoke among the. Smoke and mirrors. I was blind. Believe, believe, believe, believe. Nobody knows. Believe, believe, believe, believe. Nobody knows for sure. It begins and on and on. A baby's born. The elder's down. All in their time. Start a door, the setting sun. The day has come. My mind is open. My oh my. Believe, believe, believe, believe. Nobody knows. Believe, believe, believe, believe. Nobody knows for sure. Believe, believe, believe, believe. Nobody knows. Believe, believe, believe, believe. Nobody knows, nobody knows. Time to go. The answer floats on by. The farthest shore. Of the mind. Roll the dice that sail the ship. And all the world will open. All this time. Believe, believe, believe, believe. Nobody knows. Believe, believe, believe, believe. Nobody knows, nobody knows. Nobody knows. Nobody knows"
bermuda highway,"sometimes I walk around town looking at faces. wonderin why their bodies go to silly places.. Walkin past the carpet mills looking in and takin stills,. your ass it draws me in like a Bermuda highway.. Oh, don't carve me out! Don't let your silly dreams,. fall in between the crack of the bed and the wall.. Two times I fell asleep in a dirty basement. snoozing in cobwebs and the cement.. Sometimes I wonder why that meek guy got all the fame,. maybe im to blame for his short bitter fucked up life."
big decisions,"[Verse 1]. Sit'n round wondering just what the hell to do with your life. Only get one chance but you seem to always think twice. And I'm getting so tired of trying to always be nice. [Pre-Chorus]. You're sweet and sincere, but so ruled by fear. [Chorus]. What do you want me to do?. Make all the big decisions for you?. Cause I can't. Well I can't. [Verse 2]. I don't quite feel like faking it again tonight. Don't really feel like saying everything is alright. [Pre-Chorus]. You're sweet and sincere, but so ruled by fear. [Chorus]. What do you want me to do?. Make all the big decisions for you?. What do you want me to do?. Make all the big decisions for you?. Well I can't. Well I can't. [Bridge]. Go on do it. If you really, really mean it. Oh don't just hold back then regret it. [Pre-Chorus]. You're sweet and sincere, but so ruled by fear. [Chorus]. What do you want me to do?. Make all the big decisions for you?. What do you want me to do?. Make all the big decisions for you?. Well I can't. Well I can't"
butch cassidy,"butch cassidy i could've been your friend, and rode with you. and the sundance kid. we'd laugh awhile and we'd smile a bit, cause crimes. like our arent counterfit. they say you never even killed a man,. till it came right down to your final stand.. bullets flyin and the wounded cryin and your buddy he's goin down. get lower. and the feelins show and you gave off the final sound. cause a soldiers. death is so much better than defeat just hangin around.. defeat just hangin around"
by my car,"you said, evan, is comin over again. and i said, if he does, i'll. kick his head IN. i've known you for years, i know all your moves, i just. cant believe that it caved in this soon. and i'm playin it over and over. again in my head. you said evan is comin over again. i asked where you go'd,. and you said where you went: he took you to movies and carnival tents.. bought you big houses and payed all the rent. and i'm playin it over and over. again in my head. oh but Los Angeles ain't that far, and the rest of the. girls said they'd be there, by my car."
can you see the hard helmet on my head?,"Do you see the hard. helmet on my head.... totally unscarred. serves protection for my head. but I don't believe. everything I read.... one that makes them warm. don't ever lose any of your god-given charm. they believe you were sweet. but you could never pull that one on me. 'cause I still recall. in no time at all. you went from being so out of control. to snuffin' out the rock that beats. that's why I thought this was so neat. someplace to go where I felt so all-at-ease. no need to write, no need to call. there's no one to see. there's no you, no me. no need to be anything at all.... blood pours out of the walls. fills up beside the clothes in my dresser drawers. wish I was quicker on the draw"
chills,"Still feel that I'm getting ill. Ohh. Chills. Down on my spine. I do on a window sill. Still. Things that go away. Ahh, eeww-ohh. Still. Feel like no one can tell. Chills run down my spine. Ahh-ahh ahh- eww. Still. No one else lives your life. Except yourself. No one else lives your life. Except yourself. No one else lives your life. Still. No one else lives your life. Still eeww"
circuital,"Spinning out, gracefully. Going nowhere, quickly. I'm older, day by day. Still going back to my childhood way. Circuital. Round and round patiently. Getting lost by the guide. And I'm all worked up over nothing. Circuits. All in and out. Connect my body. Deep into the ground. Circuits. Connect the earth to the moon. And link our heavenly bodies. And not a moment too soon. Well you can fling open the windows. Or you can board them up. Satan's jeweled crown. Or Christ's humble cup. You think you'll find yourself out there. Out in the lion's den. In somebody's battle. Over belief systems. Or disappear into the vacuum. Total neutrality. The way you can't lose nothing. But nothing can be gained. Well anyway you cut it. We're just spinning around. Out on the circuits. Over the hollow grounds. Out on the circuits. Over the hollow grounds. Heading right back in the same place. That we started out. Right back in the same place. Right back in the same place. That we starting out. Let her know"
cobra,"Cobra comes up next to me. Anywhere he goes, he's silently. How do you take speaking so much?. How do you live without a lover’s touch?. Dale always says it’s easy. I’m hooked on four like one, two, three. I got them moves, declared to me. You need to listen cuz I guarantee you’re for sure. Now I know I’ve been movin’ too much. I’m gonna live for my hottie’s touch. How do you take him speaking so much?. How do you live without a lover’s touch?. Covered in charcoal, head to toe. Sticky, stick charcoal, I want you to know. How I long till I get these off. They’re so convenient but at such a cost. King I go out to plead. Sticky, sticky warmth, come and rush to me. I want to know, I want to see. There’s life for me. Oh how I long till I get these off. They’re so convenient but at such a cost.. I know somebody, yes, I know someone. Who loves to wait, loves to wait for the policeman to come.. I know somebody, yes, I know them well. And I’m aware of the thought they call ringing the bell. Four on the floor and four in the air. I’m drinkin’ cold, cold lightning with the bugs in my hair. I knew a partner, yes, I knew his house (now). I know somebody, yes, I know someone. Who likes to wait, likes to wait for the policeman to come.. I know somebody, yes, I know them well. And I’m aware of the thought they call ringing the bell. Four on the floor and four in the air. I’m drinkin’ cold, cold lightning with the bugs in my hair. I knew a partner, yes, I knew his house. Why do my toes always feel so cold?. How come? How come? How come?. Why’s all the soap always burn like a rope?. How come? How come? How come?. When I see your reflection, it always frightens me. So strong that I can hardly speak.. How come?. Mixed up potion, the summer’s ocean. I feel I’m swimming in tannin lotion. Too many car chairs, and not enough leads. How come? How come? How come?. Thank you for all the sleep. So I know the spark’s aside. Stuff that keeps me clean. Stuff that helps me breathe. The lamps, the lights, the kerosene. Beautiful, two gardenias spring. How come?. Why does all the soap always burn like the rope?. How come? How come? How come?. Why’s all my toes always seem so cold?. How come? How come? How come?"
come closer,"so i slave away.. on the floor and walls for a day.. buy you the beer can you pay.. get emotional each time they say your name.. oh soldier you look so strong.. who held you that you fought so long.. who told you that you left me amazed.. there's something left i gotta say.. how long can you stay?. i been waitin all day.... i been meltin away.... just to send off with you.. come closer. come closer.. so today. i wont call anyone for change.. ""toes 'cross the floor,"" hear it play.. good at holdin back at eatin away your legs.. come closer.. oooh boo laa tooo. x3. come closer"
compound fracture,"[Verse 1]. Compound fracture gonna ring the gong. And sound a warning of what's to come. If we ain't careful as to where we step. Paradise calling or untimely death. Compound fracture gotta set the bone. Wrap it up let it heal on it's own. Don't walk on it, give it time to rest. [Pre-Chorus]. There's no evil, there's no good. Only people doing as they should. There is life in love and sound. Get as much as you can keep around. Before they put you into the ground. [Chorus]. For who knows how long. (Paradise Calling). How long. (Paradise Calling). [Verse 2]. I know you're young, that's the time to learn. If we're too soft on you, you will get burned. Fill your skull with what you want. [Pre-Chorus]. There's no evil, there's no good. Only people doing as they should. Or as they shouldn't in the light of day. ""God"" and ""The Devil"" were made up anyway. But their meanings so real and so plain. There is life in love and sound. Get as much as you can keep around. Before they put you into the ground. [Chorus] x2. For who knows how long. (Paradise Calling). How long. (Paradise Calling). [Bridge Outro]. Till the next go round and around. Till the next go round. Compound fracture gonna ring the gong. And sound a warning of what's to come. If we ain't careful as to where we step. Paradise calling or untimely death"
dancefloors,"daybreak. nightfall. long as I believe. there ain't nothing glowin like this skin you're showin and the keys you gave to me. nightjails. poolhalls. some things are everywhere. so for the past I'm diggin a grave so big, it will swallow up the sea. oh I know... that it's easy... there's no trouble waitin for me. dancefloors. headlights. in my blood there's gasoline. for an urban boy on a dirty tour I never felt so clean. loaded questions in an automatic world. you just won't be seein the things you need, as if you thought you would. oh I know... it's never easy... when there's trouble waitin for me"
death is the easy way,"some say, death is the easy way and I think they're right.. Cause nights tick, by like a long week except when you stop by.. And I know that tryin gets nothing done and I see you're about dry.. Cause nothing gets you high, you're poor the day you die,. and alcohol it only makes you tired.. But seein you feels good, and its always understood.. That anything much sweeter would make me die."
dondante,"In A Dream I Saw You Walkin - Like A Kid Alive And Talkin - That Was You.. In The Classroom You Were Teachin - On The Streets You Were Policing That Was You.. To The One I Now Know Most - I Will Tell Them Of Your Ghost Like A Thing -. That Never, Ever Was.. And All That Ever Mattered Will Some Day Turn Back To Batter Like A Joke.. Behind Thin Walls You Hid Your Feelins - Take Four Legs To Make A Ceilin Like A Thing.. In A Dream I Saw You Walkin, With Your Friends Alive And Talking - That Was You.. Well I Saw It In Your Movement - And Even Though You Never Knew It -. Well, I Knew, Just How Sweet It Could Be - If You'd Never Left These Streets.. You Had Me Worried! So Worried - That This Would Last.... But Now I'm Learning - Learning That This Will Pass..."
easy morning rebel,"Well the easy mornin rebel, well he has come.. Come down from heaven, all bathed in sun. He'll take to flyin, he'll take to the road. As long as he's movin to get dey blood!. He'll be the water if you'll be the wine.. Sent down from heaven in this earthly disguise. Well the evening rebel, his heart is stone.. This earthly body.... Just a temporary home. A dream of movin moves on thru the night. And he sure looks good when he moves in the light. He'll be the water if you'll be the wine.. Sent down from heaven in this earthly disguise. Black hearted ruler. I only knew. That loving moment I had with you"
el caporal,"If you really wanted me to know. Then you've sure got a funny way of showing. El Caporal. El Caporal. El Caporal. You're money's no good here. Well if you really don't want me to know. You've sure got a silly way of showing. El Caporal. El Caporal. El Caporal. My dog's not in your dumpster. Slide through your life. Straight like a knife. Sway when your dance. Play a game in your pants. It's all new you see. The believing in things. Believing in things that I do. Have we played all the chords we can finger. Have we made all the musical shapes. I just hope that my kisses love will linger. On your sweet, confused captain's face.. And the things you say just aren't making any sense. And the wars you wage are mostly killing innocents. When I want to say, all that's good has gone away. You tell me no, it isn't so.. But if you really wanted me to know. You've sure got a funny way of showing. El Caporal. El Caporal. Your love lasted forever. Your love lasted forever"
evelyn is not real,"ev-O-lyn i hope this cant be true. ev-Olyn, you know my. hearts with you. dont try to tell me there's another boy, don't try to use me. like a lovers toy. ev-Olyn you know this cant be true. from what i found the. ground remains with you. don't try to tell me theres another boy, don't try. and use me like a lovers toy. ""aw take it away johnny!!!"""
evil urges,"Honey it‘s rotten and they got us so scared. Thinking there’s some evil waiting under vain. Whooo! I made a nasty decision. To love whoever I want just-a whenever I can. Things they’re saying--. Evil urges baby; they're just part of the human way. It ain't evil baby, if ya ain't hurting anybody. Evil urges baby; they're now part of the human way. It ain't evil baby, if ya ain't hurting anybody, anybody. It's all the same, we’re tired of waiting come on then. And dedicate your love to any woman or man. No racial boundary lines, no social subdivisions. If you want it, you can. Well we're not saying, I'm not saying that I want it someday. Well we're not saying, I'm not saying that I want it somehow. Well we’re not saying, I'm not saying that I want it someday. Woo, I'm ready it for now (I'm ready for it now!). Things they’re saying--. Evil urges baby; they're part of the human way. It ain't evil baby, if ya ain't hurting anybody. Evil urges baby come on; bad is all the same come on now. It ain't evil baby, if it ain't hurting anybody anybody. Evil urges baby, they’re part of the human way. It ain't evil baby, ’cause ya ain't hurting anybody anybody"
first light,"First light tonight,. First light tomorrow,. First light this morning,. First light this evening,. First light tonight.. Been looking back,. Down through the ages;. First I was an ancient,. Then I was an infant,. Now I am alive.. Been holdin' out,. Searchin' for something,. Something to carry. Me over the sunset,. To dawn's early lights.. First light tonight,. First light tomorrow,. First light this evening,. First light this morning,. First light tonight.. Then I found it. I did it, finally oh. My search it was over. I prayed till was gone. My all in light. I been there.... Still holdin' on. First light tonight,. First light tomorrow,. First light this morning,. First light this evening,. First light tonight.. First light tonight,. First light tomorrow,. First light this evening,. First light this morning,. First light tonight."
get the point,"[Verse 1]. Well we talked and talked and carried on from. Sundown till the break of dawn. We put the needle on the line. It just kept skipping. And then I realised all the time I was wasting. Trying to mend a broken situation. Day dreaming of leaving I only had to do it. And now it's done, you still call every day. To no avail. I never have an answer, I never seem to be there for you. [Pre-Chorus]. But there's only so many ways one can. Look at a given situation. And I wish you all the love in this world and beyond. [Chorus]. I hope you get the point. I hope you get the point. I hope you get the point. The thrill is gone. I hope you get the point. I think our love is done. [Verse 2]. Well I was feeling sympathetic. But still sorry for myself. Flying blind I really wasn't listening. So I'm trying to tell you plainly how I'm feeling day to day. And I'm so sorry now that you ain't feeling the same way. [Pre-Chorus]. There is only so many ways that one can. Look at a given situation. And I wish you all the love in this world and beyond. [Chorus]. I guess you get the point. I guess you get the point. I guess you get the point. The thrill is gone, gone, gone. I hope you get the point. I hope you get the point. I hope you get the point. The love is done"
gideon,"Gideon, what have you told us at all?. Make a sound, come down off the wall.. Religion- should appeal to the hearts of the young. Who are you? What have you become?. You animal. Come on. What does this remind you of?. Truly, truly we have become. Hated and feared for something that we don't want. Listen, listen. Most of us believe that this is wrong. You animal. Come on. What does this remind you of?. What does this remind you of?. Animal. Come on.. What does this remind you of?. Animal. Come on."
golden,"watchin' a stretch of road, miles of light explode. driftin' off a thing i'd never done before. watchin' a crowd roll in. out go the lights it begins. a feelin' in my bones i never felt before.... mmm... people always told me. that bars are dark and lonely. and talk is often cheap and filled with air. sure sometimes they thrill me. but nothin' could ever chill me. like the way they make the time just disappear. feelin' you are here again. hot on my skin again. feelin good a thing i'd never known before. what does it mean to feel? millions of dreams come real. a feelin' in my soul i'd never felt before... mmm.... and you always told me. no matter how long it holds me if it falls apart. or makes us millonaires. you'll be right here forever. we'll go thru this thing together. and on heaven's golden shore we'll lay our heads"
heartbreakin' man,"2o times i wish you'd understand, that you're breakin the. heart of this heartbreakin man. 20 times i wish you'd use the door, cause. you're makin this heart want some more. oooooo"
highly suspicious,"Wasting time home alone dotting your ""i's"".. Peanut butter pudding surprise!. Ain't nobody care what's going on in your mind-. but they got they eye on your prize.... I'm highly suspicious of you.. Now daddy's got you home alone- solving your crimes.. Peanut butter pudding surprise!. Ain't no jokin', smokin', strokin', tapping your lines-. Peanut butter pudding surprise!. I'm highly suspicious of you.. Wasting all your time on drama, could be solving real crime. waste away your mind too.... I'm highly suspicious of you.. I'm highly suspicious. Highly suspicious of you."
hillside song,"I wanna tell you I need you but that sounds so cliché. The grass is always greener on the other side anyway. Why do I value our time now that it's done. Rollin' down the hillside song. Rollin' down the hillside just playin' like two kids. In this grown up world, you're all I understood. At the top of the hillside we were standin' on. Rollin' down the hillside song. You in the moonlight and me in the dark. Night after night, we did always have that spark. What about the music we made so strong?. What about the hillside song?. Mm. When times were difficult, what was I runnin' from?. Rollin' down the hillside song. Wanna tell you I need you but that sounds so cliché. The grass is always greener on the other side anyway. Why do I value our time now that it's done. Rollin' down the hillside song. Mm. Rollin' down the hillside song. Mm. Rollin' down the hillside song"
