love hurts,"Love hurts, Love scars, Love wounds' and marks. Any heart not tough or strong enough. To take a lot of pain, take a lot of pain. Love is like a cloud, it holds a lot of rain. Love hurts, Ooo-oo Love hurts. I'm young, I know, But even so. I know a thing or two - I learned from you. I really learned a lot, really learned a lot. Love is like a flame It burns you when it's hot. Love hurts, Ooo-oo Love hurts. Some fools think of happiness, blissfulness, togetherness. Some fools fool themselves, I guess. They're not foolin' me. I know it isn't true I know it isn't true. Love is just a lie made to make you blue. Love hurts, Ooo-oo Love hurts. I know it isn't true I know it isn't true. Love is just a lie made to make you blue. Love hurts, Ooo-oo Love hurts. Ooo-oo, Love hurts Ooo-oo. I know it isn't true I know it isn't true. Love is just a lie made to make you blue. Love hurts, Ooo-oo Love hurts. Ooo-oo, Love hurts Ooo-oo"
where are you now,Every single day. I think of the times. When you were still mine. And I’m blue. Got to get away. Get you out of my mind. I’m caught up in time. And I’m blue. I don’t miss all the fun that we had. You were always around me. Where are you now. I need you now. If you were around. It would be alright. Living on my own. I know I’m to blame. I’m locked in my chains. And you’re free. Fallen like a stone. I’m down on the ground. I’m tied up and bound. And you’re free. I don’t miss all the fun that we had. You were always around me. Where are you now. I need you now. If you were around it would be alright. repeat * (2x)
love leads to madness,"Do I feel alright?. I'll go anywhere you say you wanna to take me. Save me, run away-ay-ay, steal away-ay-ay. 'Cause I feel alright. I'll do anything you say you wanna make me. Take me, far away-ay-ay, run away-ay-ay. We've been up all night. Tryin' to avoid a situation. Hold me, let me feel your way. 'Cause I wanna stay. Let them all start talkin'. We won't give ourselves away. Our love leads to madness. Our love leads to madness. Our love leads to madness. Do you feel alright?. An' can you see me when you're lookin' in your mirror. Crazy, try to find a way, so your heart don't pay. Run away-ay-ay. Don't you give yourself away. Our love leads to madness. Our love leads to madness. Our love leads to madness. Our lova leads to madness. . (written by Nazareth). copyright 1982 Fool Circle Music Limited. lyrics used by permission. all rights reserved."
dream on,"Dream on. Though its hard to tell. Though youre foolin yourself. Dream on. You can hide away. There is nothing to say, so dream on. Dream on. Though its hard to tell. Though youre foolin yourself, dream on. You can laugh at me because Im crying. You can tell your friends how much. I begged you to stay. You can live your fantasy without me. But youll never know how much I needed you. Dream on. Its so easy for you. Though Im broken in two, dream on. Dream on. You can never see. What youre doing to me, so dream on. You can cross your heart and still be lyin. You can count the reasons why youve thrown it away. You can dream your life away without me. But youll never know how much I needed you. You can laugh at me because Im crying. You can tell your friends how much. I begged you to stay. You can live your fantasy without me. But youll never know how much I needed you. Dream on. Its so easy for you. Though Im broken in two, dream on. Dream on. You can never see. What youre doin to me, so dream on. Dream on. Though its hard to tell. Though youre foolin yourself,dream on. Dream on"
i don't want to go on without you,"I don't want to. Go on without you. It's so bad to be alone. Oh baby come home. I need you. My room is so blue. I keep seein' your face. Oh, every place. Here in the gloom. Of my lonely room. I hold her memories. And smell her sweet perfume. I can't stand to. Live on without you. Oh my darlin' hear my plea. C'mon back to me. Here in the gloom. Of my lonely room. I hold her memories. And smell her sweet perfume. I can't stand to. Live on without you. Oh my darlin' hear my plea. C'mon back to me. I can't stand to. Go on without you. Oh my darlin' hear my plea. Go on without you. 'can't stand to (no, no, no, no,). Go on without you. Oh my darlin' hear my plea. Go on without you. I can't stand to"
sunshine,"Sunshine, every single day. Helps to light my way. And darlin, right before my eyes. It don't come as no surprise. That it's easy. Easy lovin you. And baby, til you came along. There was always something wrong. Around me. There was emptiness of course. But it's alright. And it's easy. Easy lovin you. And sunshine, having you around. You're the light I never found. And darlin, every minute you're away. But it's brighter. And it's easy. Easy lovin you"
hair of the dog,"Heartbreaker...Soulshaker!!!. I've been told about you.... Steamroller, Midnight Shoulder.... What they've been sayin must be true.... Red Hot Mama,. Velvet Charmer,. 'Times come to pay your dues.... CHORUS 2x. Now you're messin' with.... ...a Son-Of-A-Bitch.... (Now You're messin' with a Son-Of-A-Bitch). Talkin' jivy poison ivy.... You ain't gonna cling to me.... Mantaker...Born Faker.... I ain't so blind I can't see.... Red Hot Mama,. Velvet Charmer,. The time's come to pay your dues.... CHORUS 2x. Now you're messin' with.... ...a Son-Of-A-Bitch.... (Now You're messin' with a Son-Of-A-Bitch). Now you're messin' with... a Son-Of-A-Bitch,. Now you're messin with a Son-Of-A-Bitch. ."
star,"Walking alone at night in the cold rain. Wondering if I will see you again. In some corner light. Running down the road in the warm sun. Dreaming that I am still the one. Resting by your side. Chorus:. You took the road to fortune and fame. Your name in lights. I want you to know I still feel the same. Star, I still love you. I still love you. Remembering when you played me that first song. The first show that you asked me along. Just to be around. Working so hard 'till you got that first break. You said you could turn them around. Give them something new. (Chorus:). Got that photograph of you and me. I hear your voice on the radio. Will I ever lay with you again. Nobody planned it, we just seem to drift now. I always seem to have to leave. Just as you come around. But someday soon girl I just got to see you. I just gotta find out. If we still have time. (Chorus:)"
heart's grown cold,"Go out and have your habit,. Keep on takin' it. Keep on fakin' it. You're the one whose heart grows cold. You're the one whose heart's grown cold.. Go out and have your habit. You're the one that's takin' it. You're the one that's fakin' it. You're the one whose heart's grown cold. You're the one whose heart's grown cold.. I touch your lips with my fingertips. I hang on every breath you take. You don't need me like,. I need you. You have your heartaches to climb. Everyday, I just hope and pray. I just hope that you still have,. That you still have your dreams.. Come down and tell me that it's better. You're the one who's choosin' it. You're the one who's losin' it. You're the one who's got no soul,. You're the one whose heart's grown cold.. . (Cleminson). (copyright 1980 Nazsongs ltd.). all rights reserved. Lyrics used by permission only.reproduction prohibited.."
i want to (do everything for you),"I want to hold you in my arms ‘till you say “turn me loose”. I want to do little things to you ‘till you say “It ain’t no use”. I want to wake you every morning with a good morning kiss. I want to kiss you to sleep the same way cause I, I know you like this. I want to do everything for you. Cause that’s all that a man can do. When he loves a woman like I love you. And I love ya, love ya, love ya. I want to say sweet things to you ‘till you say I’ve said enough. I want to stand right by your side when the goin’ gets tough. I want to mend your broken heart till you say the hurt is gone. I want tostay with you always so that you won’t be alone. I want to do everything for you. Cause that’s all that a man can do. When he loves a woman like I love you. And I love ya, love ya, love ya. I want to work for you every day ‘till you say “come home and rest”. I want to buy you pretty little things so you can look your best. I want to take you every where so the world can see what I got. I want to treat you with tender love ‘till you say I’ve got to stop. I want to do everything for you. ‘Cause that’s all that a man can do. When he loves a woman like I love you. And I love ya, love ya, love ya. I want to do everything for you. Cause that’s all that a man can do. When he loves a woman like I love you. And I love ya, love ya, love ya, love ya."
