brother (feat. gavin degraw),Ramblers in the wilderness. we can't find what we need. Get a little restless from the searching. Get a little worn down in between. Like a bull chasing the matador. is the man left to his own schemes. Everybody needs someone. beside em' shining like a. lighthouse from the sea. Brother let me be your shelter. I'll never leave you all alone. I can be the one you call. When you're low. Brother let me be your fortress. When the night winds are driving on. Be the one to light the way. Bring you home. Face down in the desert. now there's a cage locked. around my heart. I found a way to drop the. keys where my failures were. Now my hands can't. reach that far. I ain't made for rivalry. I could never take the world alone. I know that in my weakness I am stronger. It's your love that brings me home. Brother let me be your shelter. I'll never leave you all alone. I can be the one you call. When you're low. Brother let me be your fortress. When the night winds are driving on. Be the one to light the way. Bring you home. And when you call and need me near. Sayin' where'd you go?. Brother I'm right here. And on those days when the sky begins to fall. You're the blood of my blood. We can get through it all. Brother let me be your shelter. Never leave you all alone. I can be the one you call. When you're feeling low. Brother let me be your fortress. When the night winds are driving on. Be the one to light the way. Bring you home. Brother let me be your shelter. Never leave you all alone. I can be the one you call. When you're low. Brother let me be your fortress. When the night winds are driving on. Be the one to light the way. Bring you home
forever on your side (with johnnyswim),"I wont pretend that we can control the night. Or what kind of road were on. Or where we will see the light. But right now Im talking to ya. Im looking into your eyes. Right now Im trying to show ya. That were gonna be alright. Oh I dont know whats around the bend. Oh, all I know is that my love, it knows no end. All these pieces they fall in line. Because Im forever on your side. Take my hand when you cant see the light. Cause Im forever on your side. I will carry you every time. Because Im forever on your side. Oh Im forever on your side. Theyll beat you up. But dont let em keep you down. Youre always tough enough. And Ill always be around. Oh I cant promise that a day will never come. Where the ground beneath us falls out and we got no where to run. Oh but you wont be alone when the water starts to rise up. No you wont be alone my darling when the rains come"
a place only you can go,"Pain is alive in a broken heart. The past never does go away. We were born to love and we’re born to pay. The price for our mistakes. Grace, she comes with a heavy load. Memories, they can’t be erased. Like a pill I swallow that makes me well. But leaves an awful taste. Oh I know this song won’t do. Enough to prove my love to you. In my heart you’ll always know. There is a place only love can go. There is a place only you can go. Take my notions and words to heart. This is the cry of a man. I can’t bring you fortune or noble life. But I’ll love you all I can. Oh I know this song won’t do. Enough to prove my love to you. But in my heart you’ll always know. There is a place only you can go.. Oh I know this song won’t do. Enough to prove my love to you. In my heart you’ll always know. There is a place only love can go. There is a place only you can go"
again,"I won't be the circus for you to star in. I won't leave you roses to watch them die. You won't be the heartache that keeps me sleepless. You won't be the songs that I could never write. I don't want to stay, I don't want to fall. I don't want to have to see you leave me. I don't want to stay, I don't want to fall in love. Maybe I'm a fake, maybe you're a lie. Maybe our last chance died with last night. I don't want to stay, I don't want to fall in love with you again. I won't be a fortress for you to hide in. I won't be the first one you think to call. You won't be the regrets that I can't live with. And we won't be the last ones to ever have to lose it all. I don't want to stay, I don't want to fall. I don't want to have to see you leave me. I don't want to stay, I don't want to fall in love. Maybe I'm a fake, maybe you're a lie. Maybe our last chance died with last night. I don't want to stay, I don't want to fall in love with you again. When we're scared and lonely. We will tell ourselves we're only. Just a word from what we needed. But we know that this ain't right. I don't want to stay, I don't want to fall. I don't want to have to see you leave me. I don't want to stay, I don't want to fall in love. Maybe I'm a fake, maybe you're a lie. Maybe our last chance died with last night. I don't want to stay, I don't want to fall in love with you again. I can't stay. I can't fall for you again"
drive all night,I ain't lookin for a free ride home. Back to the middle. I need a new locale. I need a girl who calls me baby. I need to know if she can save me. I need somewhere i can drive all night. Out into the darkness. Follow the headlights down. I gotta know if they can take me. I gotta know if they can save me. Focus in on every word. Change my path. Maybe i could leave a mark. Try and prove the poets wrong. There must be time. Maybe we could be the song. To march us on. I ain't lookin for a free ride home. Back to the middle. I need a new locale. I need a girl that calls me baby. I need to know if she can save me. I need somewhere i can drive all night. Out into the darkness. Follow the headlights down. I need to know where they can take me. I gotta know if they can save me. Beg the book to turn the page. Cause i get stuck where the villains get away. Somewhere in this wretched tale there must be a line. Where the victim gets his way. Just one time. I'll get mine. I ain't lookin for a free ride home. Back to the middle. I need a new locale. I need a girl that calls me baby. I gotta know if she can save me. I need somewhere i can drive all night. Out into the darkness. Follow the headlights down. I need to know where they can take me. I gotta know if they can save me. Drive all night. Hold on tight. Close your eyes. Say goodbye
bridges burn,"Its time for moving on. Theres some things you cant forget. Sinking us like a stone. I just wanna bury it. I wanna watch all my bridges burn. Stand in the rain till a page is turned. Dance in the light of a lesson learned, lesson learned. I wanna leave everything that hurts. Never go back to the way we were. Set it on fire, baby watch it burn, watch it burn. Out into the unknown. We traded in our regrets. Not gonna go alone. Cause were gonna finish this. Burn it all, set me free. And let the smoke blow on out, to the sea. I need to find somewhere I can believe. I need to know theres a chance we could be"
great night,"My heart is leading and I'm under attack. Don't need a cure cause I don't wanna go back. I, ain't no fighting this fire. I got this fever, fever burning inside. I got this fever, fever getting me high. Let's have a great night on the dance floor. I'll be the cowboy on the white horse. And if we don't drown when we're swimming ashore. I'll be the first in line to get us some more. I got some money burning holes in my pants. And I've been wearing down the bones in my hands. I'm getting off here, yeah, I got me some plans. I got this fever, fever burning inside. I got this fever, fever getting me high. Let's have a great night on the dance floor. I'll be the cowboy on the white horse. And if we don't drown when we're swimming ashore. I'll be the first in line to get us some more. Oh, all the rules need breaking. And I need time for wasting. Before I lose my mind. Oh, tonight, we'll all be outlaws. Take what we want and then ride off. Tonight, we'll feel alive. I got this fever, fever burning inside. I got this fever, fever getting me high. I got this fever, fever burning inside. I got this fever, fever getting me high. Let's have a great night on the dance floor. I'll be the cowboy on the white horse. And if we don't drown when we're swimming ashore. I'll be the first in line to get us some more. Let's have a great night on the dance floor. I'll be the cowboy on the white horse. And if we don't drown when we're swimming ashore. I'll be the first in line to get us some more"
something beautiful,"In your ocean I'm ankle deep,. I feel the waves crashing on my feet;. It's like I know where I need to be. But I can't figure out,. I can't figure out. Just how much air I will need to breathe. When your tide washes over me,. There's only one way to figure out. Will you let me drown?. Will you let me drown?. Hey now, this is my desire:. Consume me like a fire. Cause I just want something beautiful to touch me -. I know that I'm in reach. 'Cause I am down on my knees. Waiting for something beautiful.. Oh-oh... something beautiful.. And the water is rising quick,. And for years I was scared of it.. We can't be sure when it will subside. So I won't leave your side,. No, I can't leave your side.. Hey now, this is my desire:. Consume me like a fire. 'Cause I just want something beautiful to touch me -. I know that I'm in reach. 'Cause I am down on my knees. Waiting for something beautiful.. Oh-oh... something beautiful,. Oh-oh... something beautiful.. In a daydream. I couldn't live like this. I wouldn't stop until I found something beautiful.. But when I wake up. And all I want, I have. You know it's still all I need - something beautiful.. Hey now, this is my desire:. Consume me like a fire. 'Cause I just want something beautiful to touch me -. I know that I'm in reach. 'Cause I am down on my knees. Waiting for something beautiful.. Oh-oh... something beautiful,. Oh-oh... something beautiful."
bullets,"I'm too tired to worry. Oh, bout the way it was. I'm just trying to love you. So I don't have to clean it up. Oh, don't let your blood run cold. Don't let your heart be stoned. Don't be the bitter one. Oh, some things can't be undone. Some bullets that you chose. Can't go back in the gun. Can't put the bullets back into the gun. Can't undo what we have done. Can't break this heart of stone. Can't put the bullets back into the gun. Can't undo what we have done. Can't break this heart of stone. I ain't made to carry. All this weight on my own. Oh, it's way too heavy. And I can't be that strong"
difference maker,"Isn't it amazing how a man can find himself alone. Call into the darkness for an answer that's he's never known. Isn't it amazing how a God can take a broken man. Let him find a fortune let him ruin it with his own two hands. And he walks on up the hill. On the rock on which he stands. He looks back at the crowd. And he looks down at his hands and he says. I am a difference maker. I am the difference maker. I am the only one that speaks to him. I am the friendliest of friends of God. Isn't it amazing how a man can find himself alone. Call into the darkness for an answer that's he's never known. And he walks on up the hill. On the rock on which he stands. He looks back at the ground. And he looks down at his hands and he says. I am a difference maker. I am the difference maker. I am the only one that speaks to him. I am the friendliest of friends of God. I am on the fence about nearly everything I've seen. And I have felt the fire be put out by too much gasoline. We're all strangers passing through, place and time, afternoon. Life is but a vision in a window that we're peeking through. It's a helpless conversation with a man who says he cares a lot. It's a hopeless confrontation about who might throw a punch or not. And we are all transgressors, we're all sinners, we're all astronauts. So if you're beating death then raise your hand but shut up if you're not. I am the difference maker. I am the only one that speaks to him. I am the friendliest of friends of God. I am the difference maker. I am the only one that speaks to him. I am the friendliest of friends of God"
