harvest moon,Come a little bit closer. Hear what I have to say. Just like children sleepin'. We could dream this night away.. But there's a full moon risin'. Let's go dancin' in the light. We know where the music's playin'. Let's go out and feel the night.. Because I'm still in love with you. I want to see you dance again. Because I'm still in love with you. On this harvest moon.. When we were strangers. I watched you from afar. When we were lovers. I loved you with all my heart.. But now it's gettin' late. And the moon is climbin' high. I want to celebrate. See it shinin' in your eye.. Because I'm still in love with you. I want to see you dance again. Because I'm still in love with you. On this harvest moon. Because I'm still in love with you. I want to see you dance again. Because I'm still in love with you. On this harvest moon
heart of gold,"I want to live,. I want to give. I've been a miner for a heart of gold.. It's these expressions I never give. That keep me searching for a heart of gold. And I'm getting old.. Keeps me searching for a heart of gold. And I'm getting old.. I've been to Hollywood. I've been to Redwood. I crossed the ocean for a heart of gold. I've been in my mind, it's such a fine line. That keeps me searching for a heart of gold. And I'm getting old.. Keeps me searching for a heart of gold. And I'm getting old.. Keep me searching for a heart of gold. keep me searching getting old. Keep me searching for a heart of gold. I've been a miner for a heart of gold.. And I'm getting old."
old man,"Old man look at my life,. I'm a lot like you were.. Old man look at my life,. I'm a lot like you were.. Old man look at my life,. Twenty four and there's so much more. Live alone in a paradise. That makes me think of two.. Love lost, such a cost,. Give me things that don't get lost.. Like a coin that won't get tossed. Rolling home to you.. Old man take a look at my life I'm a lot like you. I need someone to love me the whole day through. Ah, one look in my eyes and you can tell that's true.. Lullabies, look in your eyes,. Run around the same old town.. Doesn't mean that much to me. To mean that much to you.. I've been first and last. Look at how the time goes past.. But I'm all alone at last.. Rolling home to you.. Old man take a look at my life I'm a lot like you. I need someone to love me the whole day through. Ah, one look in my eyes and you can tell that's true.. Old man look at my life,. I'm a lot like you were.. Old man look at my life,. I'm a lot like you were.."
rockin' in the free world,"There's colors on the street red, white, and blue.. People shufflin' their feet. People sleepin' in their shoes. There's a warnin' sign on the road ahead. There's a lot of people sayin' we'd be better off dead. Don't feel like Satan, but I am with them. So I try to forget it any way I can.. Keep on rockin' in the free world,. Keep on rockin' in the free world. Keep on rockin' in the free world,. Keep on rockin' in the free world.. I see a woman in the night with a baby in her hand. At an old street light near a garbage can. Now she put her kid away, she's gone to get a hit. She hates her life, and what she's done with it. There's one more kid that will never go to school. Never get to fall in love, never get to be cool.. Keep on rockin' in the free world,. Keep on rockin' in the free world. Keep on rockin' in the free world,. Keep on rockin' in the free world.. We've got a thousand points a night. For the homeless man. We've got a kinder, Gentler machine gun hand. We got department stores and toilet paper. Styrofoam boxes for the ozone layer. There's a man of the people, says keeps em alive. Got fuel to burn, got roads to drive.. Keep on rockin' in the free world,. Keep on rockin' in the free world. Keep on rockin' in the free world,"
on the way home,"When the dream came. I held my breath with my eyes closed. I went insane,. Like a smoke ring day. When the wind blows. Now I won't be back till later on. If I do come back at all. But you know me, and I miss you now.. In a strange game. I saw myself as you knew me. When the change came,. And you had a. Chance to see through me. Though the other side is just the same. You can tell my dream is real. Because I love you, can you see me now.. Though we rush ahead. to save our time. We are only what we feel. And I love you, can you feel it now."
"hey hey, my my (into the black)","Hey hey, my my. Rock and roll can never die. There's more to the picture. Than meets the eye.. Hey hey, my my.. Out of the blue and into the black. You pay for this, but they give you that. And once you're gone, you can't come back. When you're out of the blue and into the black.. The king is gone but he's not forgotten. Is this the story of Johnny Rotten?. It's better to burn out than to fade away. The king is gone but he's not forgotten.. Hey hey, my my. Rock and roll can never die. There's more to the picture. Than meets the eye."
"my my, hey hey (out of the blue)","My my, hey hey. Rock and roll is here to stay. It's better to burn out. Than to fade away. My my, hey hey.. Out of the blue and into the black. They give you this, but you pay for that. And once you're gone, you can never come back. When you're out of the blue and into the black.. The king is gone but he's not forgotten. This is the story of a Johnny Rotten. It's better to burn out than it is to rust. The king is gone but he's not forgotten.. Hey hey, my my. Rock and roll can never die. There's more to the picture. Than meets the eye.. Hey hey, my my."
let me call you sweetheart,"Words by Beth Slater Whitson, Music by Leo Friedman. I am dreaming Dear of you, day by day. Dreaming when the skies are blue, When they're gray;. When the silv'ry moonlight gleams, Still I wander on in dreams,. In a land of love, it seems, Just with you.. Let me call you ""Sweetheart,"" I'm in love with you.. Let me hear you whisper that you love me too.. Keep the love-light glowing in your eyes so true.. Let me call you ""Sweetheart,"" I'm in love with you.. Longing for you all the while, More and more;. Longing for the sunny smile, I adore;. Birds are singing far and near, Roses blooming ev'rywhere. You, alone, my heart can cheer; You, just you.. Let me call you ""Sweetheart,"" I'm in love with you.. Let me hear you whisper that you love me too.. Keep the love-light glowing in your eyes so true.."
dead man theme,"This is it, this is where we make a stand. You and me, time to face this man to man. Can't you see we cannot go on. It's me against me again. I'm sick of the man I am within. Fighting me, making me fall down again. I commit, I'll commit your suicide. Now death will breath you in. Sitting here at my graveside I've. never been so alive. You pulled the dead man out of me. I am not what I was, never again what I was. You pulled the dead man out of me. I buried you, you where nearly my demise. It's only by the grace of God that I survived. I admit I was wrong to let you in. Never come back again. I can see all the possibilities rising up. Now that you're not pulling me down. This is where I say goodbye. And put the last bullet between your eyes"
come on baby let's go downtown,"Come on, baby, let's go downtown,. Let's go, let's go, let's go downtown.. Come on, baby, let's go downtown,. Let's go, let's go, let's go downtown.. Walk on, talk on, baby tell no lies.. Don't you be caught with a tear in your eye.. Sure enough, they'll be sellin' stuff. When the moon begins to rise.. Pretty bad when you're dealin' with the man,. And the light shines in your eyes.. Come on, baby, let's go downtown,. Let's go, let's go, let's go downtown.. Come on, baby, let's go downtown,. Let's go, let's go, let's go downtown.. Snake eyes, French fries and I got lots of gas.. Full moon and a jumpin' tune, now you don't have to ask.. Sure enough, they'll be sellin' stuff. When the moon begins to rise.. Pretty bad when you're dealin' with the man,. And the light shines in your eyes.. Come on, baby, let's go downtown,. Let's go, let's go, let's go downtown.. Come on, baby, let's go downtown,. Let's go, let's go, let's go downtown.. Walk on, talk on, baby tell no lies.. Don't you be caught with a tear in your eye.. Sure enough, they'll be sellin' stuff. When the moon begins to rise.. Pretty bad when you're dealin' with the man,. And the light shines in your eyes.. Pretty bad when you're dealin' with the man,. And the light shines in your eyes.."
